房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3305,61.40,60253.00,36.09,102508.00,3699518.00,在售,商务公寓
3304,61.40,60253.00,36.09,102508.00,3699518.00,在售,商务公寓
3303,61.40,60253.00,36.09,102508.00,3699518.00,在售,商务公寓
3302,61.40,60253.00,36.09,102508.00,3699518.00,在售,商务公寓
3301,61.40,60253.00,36.09,102508.00,3699518.00,在售,商务公寓
3232,50.80,69800.00,36.09,98250.00,3545836.00,在售,商务公寓
3231,50.80,61831.00,36.09,87034.00,3141040.00,在售,商务公寓
3230,50.80,68801.00,36.09,96844.00,3495089.00,在售,商务公寓
3229,50.80,61831.00,36.09,87034.00,3141040.00,在售,商务公寓
3228,50.80,68801.00,36.09,96844.00,3495089.00,在售,商务公寓
3227,50.80,61831.00,36.09,87034.00,3141040.00,在售,商务公寓
3226,50.80,68801.00,36.09,96844.00,3495089.00,在售,商务公寓
3225,50.80,61831.00,36.09,87034.00,3141040.00,在售,商务公寓
3224,50.80,68801.00,36.09,96844.00,3495089.00,在售,商务公寓
3223,50.80,68801.00,36.09,96844.00,3495089.00,在售,商务公寓
3222,50.80,74778.00,36.09,105256.00,3798699.00,在售,商务公寓
3221,50.80,72785.00,36.09,102451.00,3697461.00,在售,商务公寓
3220,50.80,72785.00,36.09,102451.00,3697461.00,在售,商务公寓
3219,50.80,60833.00,36.09,85627.00,3090292.00,在售,商务公寓
3218,50.80,72785.00,36.09,102451.00,3697461.00,在售,商务公寓
3217,50.80,60833.00,36.09,85627.00,3090292.00,在售,商务公寓
3216,50.80,72825.00,36.09,102508.00,3699518.00,在售,商务公寓
3215,50.80,59874.00,36.09,84278.00,3041602.00,在售,商务公寓
3214,50.80,72825.00,36.09,102508.00,3699518.00,在售,商务公寓
3213,50.80,59874.00,36.09,84278.00,3041602.00,在售,商务公寓
3212,50.80,72825.00,36.09,102508.00,3699518.00,在售,商务公寓
3210,50.80,72785.00,36.09,102451.00,3697461.00,在售,商务公寓
3209,50.80,72785.00,36.09,102451.00,3697461.00,在售,商务公寓
3208,50.80,73784.00,36.09,103857.00,3748209.00,在售,商务公寓
3207,50.80,65815.00,36.09,92641.00,3343413.00,在售,商务公寓
3206,50.80,65815.00,36.09,92641.00,3343413.00,在售,商务公寓
3205,50.80,63823.00,36.09,89837.00,3242226.00,在售,商务公寓
3204,50.80,65815.00,36.09,92641.00,3343413.00,在售,商务公寓
3203,50.80,63823.00,36.09,89837.00,3242226.00,在售,商务公寓
3202,50.80,65815.00,36.09,92641.00,3343413.00,在售,商务公寓
3201,50.80,63823.00,36.09,89837.00,3242226.00,在售,商务公寓
3132,50.80,69800.00,36.09,98250.00,3545836.00,在售,商务公寓
3131,50.80,61831.00,36.09,87034.00,3141040.00,在售,商务公寓
3130,50.80,68801.00,36.09,96844.00,3495089.00,在售,商务公寓
3129,50.80,61831.00,36.09,87034.00,3141040.00,在售,商务公寓
3128,50.80,68801.00,36.09,96844.00,3495089.00,在售,商务公寓
3127,50.80,61831.00,36.09,87034.00,3141040.00,在售,商务公寓
3126,50.80,68801.00,36.09,96844.00,3495089.00,在售,商务公寓
3125,50.80,61831.00,36.09,87034.00,3141040.00,在售,商务公寓
3124,50.80,68801.00,36.09,96844.00,3495089.00,在售,商务公寓
3123,50.80,68801.00,36.09,96844.00,3495089.00,在售,商务公寓
3122,50.80,74778.00,36.09,105256.00,3798699.00,在售,商务公寓
3121,50.80,72785.00,36.09,102451.00,3697461.00,在售,商务公寓
3120,50.80,72785.00,36.09,102451.00,3697461.00,在售,商务公寓
3119,50.80,60833.00,36.09,85627.00,3090292.00,在售,商务公寓
3118,50.80,72785.00,36.09,102451.00,3697461.00,在售,商务公寓
3117,50.80,60833.00,36.09,85627.00,3090292.00,在售,商务公寓
3116,50.80,72785.00,36.09,102451.00,3697461.00,在售,商务公寓
3115,50.80,59834.00,36.09,84221.00,3039546.00,在售,商务公寓
