房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
6栋商业233,156.72,40471.92,133.49,47514.00,6342759.00,在售,商业
6栋商业232,71.48,45504.65,60.89,53418.00,3252672.00,在售,商业
6栋商业231,76.45,46513.75,65.12,54606.00,3555976.00,在售,商业
6栋商业230,62.54,46505.99,53.27,54598.00,2908484.00,在售,商业
6栋商业229,71.28,46512.70,60.72,54601.00,3315425.00,在售,商业
6栋商业228,98.18,41477.47,83.63,48693.00,4072258.00,在售,商业
6栋商业227,86.03,42483.55,73.28,49875.00,3654859.00,在售,商业
6栋商业226,54.27,42485.34,46.23,49874.00,2305679.00,在售,商业
6栋商业225,139.08,39466.10,118.47,46331.00,5488945.00,在售,商业
6栋商业224,86.64,46508.22,73.80,54599.00,4029472.00,在售,商业
6栋商业223,25.23,53550.54,21.49,62870.00,1351080.00,在售,商业
6栋商业222,54.67,50539.83,46.57,59330.00,2763012.00,在售,商业
6栋商业221,37.40,47514.36,31.86,55776.00,1777037.00,在售,商业
6栋商业220,104.81,42482.37,89.28,49872.00,4452577.00,在售,商业
6栋商业219,44.95,51548.15,38.29,60514.00,2317089.00,在售,商业
6栋商业218,92.56,44499.22,78.84,52243.00,4118847.00,在售,商业
6栋商业217,70.81,37462.51,60.32,43977.00,2652720.00,在售,商业
6栋商业216,73.27,48519.52,62.41,56962.00,3555025.00,在售,商业
6栋商业215,46.69,48527.44,39.77,56971.00,2265746.00,在售,商业
6栋商业214,46.69,48527.44,39.77,56971.00,2265746.00,在售,商业
6栋商业213,48.67,48526.33,41.46,56965.00,2361776.00,在售,商业
6栋商业212,35.49,42998.79,30.23,50480.00,1526027.00,在售,商业
6栋商业211,48.30,43996.44,41.14,51653.00,2125028.00,在售,商业
6栋商业210,79.29,45507.26,67.54,53424.00,3608270.00,在售,商业
6栋商业209,45.19,53546.70,38.50,62851.00,2419775.00,在售,商业
6栋商业208,45.09,44007.77,38.40,51674.00,1984310.00,在售,商业
6栋商业207,35.20,51537.45,29.99,60490.00,1814118.00,在售,商业
6栋商业206,38.91,51535.03,33.14,60507.00,2005228.00,在售,商业
6栋商业1053,62.03,118990.80,52.84,139685.00,7380999.00,在售,商业
6栋商业1052,69.65,100000.00,59.33,117394.23,6965000.00,在售,商业
6栋商业1051,22.77,133245.01,19.40,156391.00,3033988.00,在售,商业
6栋商业1050,24.20,133268.56,20.62,156406.00,3225099.00,在售,商业
6栋商业1049,14.23,62874.07,12.12,73819.00,894698.00,在售,商业
6栋商业1048,34.07,143303.12,29.02,168240.00,4882337.00,在售,商业
6栋商业1047,10.18,213788.90,8.67,251023.00,2176371.00,在售,商业
6栋商业1046,35.82,118172.62,30.51,138739.00,4232943.00,在售,商业
6栋商业1045,78.00,80939.54,66.44,95022.00,6313284.00,在售,商业
6栋商业1044,76.45,78924.14,65.12,92655.00,6033750.00,在售,商业
6栋商业1043,63.12,77922.49,53.77,91472.00,4918467.00,在售,商业
6栋商业1042,71.21,76920.87,60.66,90298.00,5477535.00,在售,商业
6栋商业1041,98.75,72895.96,84.11,85584.00,7198476.00,在售,商业
6栋商业1040,86.61,72892.00,73.77,85580.00,6313236.00,在售,商业
6栋商业1039,54.27,70884.84,46.23,83212.00,3846920.00,在售,商业
6栋商业1038,85.59,62830.95,72.91,73758.00,5377701.00,在售,商业
6栋商业1037,73.10,62835.78,62.27,73764.00,4593295.00,在售,商业
6栋商业1036,73.16,62836.23,62.32,73766.00,4597098.00,在售,商业
6栋商业1035,71.32,62830.92,60.75,73762.00,4481101.00,在售,商业
6栋商业1034,71.30,62835.21,60.73,73771.00,4480150.00,在售,商业
6栋商业1033,75.84,62834.78,64.60,73767.00,4765389.00,在售,商业
6栋商业1032,75.76,62838.38,64.53,73773.00,4760635.00,在售,商业
6栋商业1031,73.11,62840.18,62.27,73779.00,4594245.00,在售,商业
6栋商业1030,57.99,62845.32,49.40,73773.00,3644400.00,在售,商业
6栋商业1029,57.93,63845.94,49.35,74946.00,3698595.00,在售,商业
6栋商业1028,64.54,64849.76,54.98,76125.00,4185403.00,在售,商业
6栋商业1027,86.64,65855.57,73.80,77313.00,5705726.00,在售,商业
6栋商业1026,25.34,133238.99,21.58,156453.00,3376276.00,在售,商业
6栋商业1025,54.68,79804.83,46.58,93682.00,4363728.00,在售,商业
6栋商业1024,37.40,100000.00,31.86,117388.57,3740000.00,在售,商业
6栋商业1023,90.58,63142.80,77.16,74124.00,5719474.00,在售,商业
6栋商业1022,13.68,141298.78,11.66,165777.00,1932967.00,在售,商业
6栋商业1021,38.92,131235.23,33.16,154031.00,5107675.00,在售,商业
6栋商业1020,13.48,141349.72,11.49,165830.00,1905394.00,在售,商业
6栋商业1019,88.65,100000.00,75.51,117401.66,8865000.00,在售,商业
6栋商业1018,96.36,74901.32,82.08,87932.00,7217491.00,在售,商业
6栋商业1017,97.48,100000.00,83.03,117403.34,9748000.00,在售,商业
6栋商业1016,62.63,100000.00,53.34,117416.57,6263000.00,在售,商业
6栋商业1015,62.64,100000.00,53.35,117413.30,6264000.00,在售,商业
6栋商业1014,64.62,100000.00,55.04,117405.52,6462000.00,在售,商业
6栋商业1013,51.45,75097.21,43.82,88173.00,3863751.00,在售,商业
6栋商业1012,66.43,100000.00,56.58,117408.97,6643000.00,在售,商业
6栋商业1011,67.03,100000.00,57.10,117390.54,6703000.00,在售,商业
6栋商业1010,13.48,141349.72,11.49,165830.00,1905394.00,在售,商业
6栋商业1009,39.10,131239.00,33.31,154051.00,5131444.00,在售,商业
6栋商业1008,45.15,100000.00,38.46,117394.69,4515000.00,在售,商业
6栋商业1007,35.20,100000.00,29.99,117372.45,3520000.00,在售,商业
6栋商业1006,38.91,100000.00,33.14,117410.98,3891000.00,在售,商业
6栋C座2单元4101,88.20,39248.37,69.58,49751.46,3461706.92,在售,住宅
6栋C座2单元404,124.54,38096.88,98.26,48286.03,4744585.46,在售,住宅
6栋C座1单元4005,123.33,39066.88,98.26,49034.38,4818118.33,在售,住宅
6栋C座1单元3905,123.33,39266.88,98.26,49285.40,4842784.33,在售,住宅
6栋C座1单元3805,123.33,39246.88,98.26,49260.30,4840317.73,在售,住宅
6栋C座1单元3705,123.33,39226.88,98.26,49235.20,4837851.13,在售,住宅
6栋C座1单元3605,123.33,39206.88,98.26,49210.10,4835384.53,在售,住宅
6栋C座1单元3505,123.33,39186.88,98.26,49184.99,4832917.93,在售,住宅
6栋C座1单元3405,123.33,39166.88,98.26,49159.89,4830451.33,在售,住宅
6栋C座1单元3305,123.33,39146.88,98.26,49134.79,4827984.73,在售,住宅
6栋C座1单元3205,123.33,39126.88,98.26,49109.68,4825518.13,在售,住宅
6栋C座1单元3105,123.33,39106.88,98.26,49084.58,4823051.53,在售,住宅
6栋C座1单元3005,123.33,39086.88,98.26,49059.48,4820584.93,在售,住宅
6栋C座1单元2905,123.33,39056.88,98.26,49021.83,4816885.03,在售,住宅
6栋C座1单元2805,123.33,39026.88,98.26,48984.17,4813185.13,在售,住宅
6栋C座1单元2705,123.33,38996.88,98.26,48946.52,4809485.23,在售,住宅
6栋C座1单元2605,123.33,38966.88,98.26,48908.86,4805785.33,在售,住宅
6栋C座1单元2505,123.33,38936.88,98.26,48871.21,4802085.43,在售,住宅
6栋C座1单元2405,123.33,38906.88,98.26,48833.55,4798385.53,在售,住宅
6栋C座1单元2305,123.33,38876.88,98.26,48795.90,4794685.63,在售,住宅
6栋C座1单元2205,123.33,38846.88,98.26,48758.25,4790985.73,在售,住宅
6栋C座1单元2105,123.33,38746.88,98.26,48632.73,4778652.73,在售,住宅
6栋C座1单元2005,123.33,38716.88,98.26,48595.08,4774952.83,在售,住宅
6栋C座1单元1905,123.33,38686.88,98.26,48557.42,4771252.93,在售,住宅
6栋C座1单元1805,123.33,38656.88,98.26,48519.77,4767553.03,在售,住宅
6栋C座1单元1705,123.33,38626.88,98.26,48482.12,4763853.13,在售,住宅
6栋C座1单元1605,123.33,38596.88,98.26,48444.46,4760153.23,在售,住宅
6栋C座1单元1505,123.33,38566.88,98.26,48406.81,4756453.33,在售,住宅
6栋C座1单元1405,123.33,38536.88,98.26,48369.15,4752753.43,在售,住宅
6栋C座1单元1305,123.33,38506.88,98.26,48331.50,4749053.53,在售,住宅
6栋C座1单元1205,123.33,38476.88,98.26,48293.84,4745353.63,在售,住宅
6栋C座1单元1105,123.33,38376.88,98.26,48168.33,4733020.63,在售,住宅
6栋C座1单元1005,123.33,38346.88,98.26,48130.68,4729320.73,在售,住宅
6栋C座1单元905,123.33,38316.88,98.26,48093.02,4725620.83,在售,住宅
6栋C座1单元805,123.33,38286.88,98.26,48055.37,4721920.93,在售,住宅
6栋C座1单元705,123.33,38256.88,98.26,48017.71,4718221.03,在售,住宅
6栋C座1单元605,123.33,38226.88,98.26,47980.06,4714521.13,在售,住宅
6栋C座1单元505,123.33,38196.88,98.26,47942.41,4710821.23,在售,住宅
6栋C座1单元405,123.33,38096.88,98.26,47816.89,4698488.23,在售,住宅
6栋C座1单元305,123.33,37796.88,98.26,47440.35,4661489.23,在售,住宅
6栋C座1单元4004,87.34,37229.21,69.58,46731.81,3251599.79,在售,住宅
6栋C座1单元3904,87.34,37429.21,69.58,46982.86,3269067.79,在售,住宅
6栋C座1单元3804,87.34,37409.21,69.58,46957.76,3267320.99,在售,住宅
6栋C座1单元3704,87.34,37389.21,69.58,46932.65,3265574.19,在售,住宅
6栋C座1单元3604,87.34,37369.21,69.58,46907.55,3263827.39,在售,住宅
6栋C座1单元3504,87.34,37349.21,69.58,46882.44,3262080.59,在售,住宅
6栋C座1单元3404,87.34,37329.21,69.58,46857.34,3260333.79,在售,住宅
6栋C座1单元3304,87.34,37309.21,69.58,46832.23,3258586.99,在售,住宅
6栋C座1单元3204,87.34,37289.21,69.58,46807.13,3256840.19,在售,住宅
6栋C座1单元3104,87.34,37269.21,69.58,46782.02,3255093.39,在售,住宅
6栋C座1单元3004,87.34,37249.21,69.58,46756.92,3253346.59,在售,住宅
6栋C座1单元2904,87.34,37219.21,69.58,46719.26,3250726.39,在售,住宅
6栋C座1单元2804,87.34,37189.21,69.58,46681.60,3248106.19,在售,住宅
6栋C座1单元2704,87.34,37159.21,69.58,46643.94,3245485.99,在售,住宅
6栋C座1单元2604,87.34,37129.21,69.58,46606.29,3242865.79,在售,住宅
6栋C座1单元2504,87.34,37099.21,69.58,46568.63,3240245.59,在售,住宅
6栋C座1单元2404,87.34,37069.21,69.58,46530.97,3237625.39,在售,住宅
6栋C座1单元2304,87.34,37039.21,69.58,46493.31,3235005.19,在售,住宅
6栋C座1单元2204,87.34,37009.21,69.58,46455.66,3232384.99,在售,住宅
6栋C座1单元2104,87.34,36909.21,69.58,46330.13,3223650.99,在售,住宅
6栋C座1单元2004,87.34,36879.21,69.58,46292.48,3221030.79,在售,住宅
6栋C座1单元1904,87.34,36849.21,69.58,46254.82,3218410.59,在售,住宅
6栋C座1单元1804,87.34,36819.21,69.58,46217.16,3215790.39,在售,住宅
6栋C座1单元1704,87.34,36789.21,69.58,46179.50,3213170.19,在售,住宅
6栋C座1单元1604,87.34,36759.21,69.58,46141.85,3210549.99,在售,住宅
6栋C座1单元1504,87.34,36729.21,69.58,46104.19,3207929.79,在售,住宅
6栋C座1单元1404,87.34,36699.21,69.58,46066.53,3205309.59,在售,住宅
6栋C座1单元1304,87.34,36669.21,69.58,46028.87,3202689.39,在售,住宅
6栋C座1单元1204,87.34,36639.21,69.58,45991.22,3200069.19,在售,住宅
6栋C座1单元1104,87.34,36539.21,69.58,45865.69,3191335.19,在售,住宅
6栋C座1单元1004,87.34,36509.21,69.58,45828.03,3188714.99,在售,住宅
6栋C座1单元904,87.34,36479.21,69.58,45790.38,3186094.79,在售,住宅
6栋C座1单元804,87.34,36449.21,69.58,45752.72,3183474.59,在售,住宅
6栋C座1单元704,87.34,36419.21,69.58,45715.06,3180854.39,在售,住宅
6栋C座1单元604,87.34,36389.21,69.58,45677.41,3178234.19,在售,住宅
6栋C座1单元504,87.34,36359.21,69.58,45639.75,3175613.99,在售,住宅
6栋C座1单元404,87.34,36259.21,69.58,45514.22,3166879.99,在售,住宅
6栋C座1单元304,87.34,35959.21,69.58,45137.65,3140677.99,在售,住宅
6栋C座1单元4003,87.34,36026.79,69.58,45222.48,3146580.27,在售,住宅
6栋C座1单元3903,87.34,36226.79,69.58,45473.53,3164048.27,在售,住宅
6栋C座1单元3803,87.34,36206.79,69.58,45448.42,3162301.47,在售,住宅
6栋C座1单元3703,87.34,36186.79,69.58,45423.32,3160554.67,在售,住宅
6栋C座1单元3603,87.34,36166.79,69.58,45398.21,3158807.87,在售,住宅
6栋C座1单元3503,87.34,36146.79,69.58,45373.11,3157061.07,在售,住宅
6栋C座1单元3403,87.34,36126.79,69.58,45348.00,3155314.27,在售,住宅
6栋C座1单元3303,87.34,36106.79,69.58,45322.90,3153567.47,在售,住宅
6栋C座1单元3203,87.34,36086.79,69.58,45297.79,3151820.67,在售,住宅
6栋C座1单元3103,87.34,36066.79,69.58,45272.69,3150073.87,在售,住宅
6栋C座1单元3003,87.34,36046.79,69.58,45247.58,3148327.07,在售,住宅
6栋C座1单元2903,87.34,36016.79,69.58,45209.92,3145706.87,在售,住宅
6栋C座1单元2803,87.34,35986.79,69.58,45172.27,3143086.67,在售,住宅
6栋C座1单元2703,87.34,35956.79,69.58,45134.61,3140466.47,在售,住宅
6栋C座1单元2603,87.34,35926.79,69.58,45096.95,3137846.27,在售,住宅
6栋C座1单元2503,87.34,35896.79,69.58,45059.29,3135226.07,在售,住宅
6栋C座1单元2403,87.34,35866.79,69.58,45021.64,3132605.87,在售,住宅
6栋C座1单元2303,87.34,35836.79,69.58,44983.98,3129985.67,在售,住宅
6栋C座1单元2203,87.34,35806.79,69.58,44946.32,3127365.47,在售,住宅
6栋C座1单元2103,87.34,35706.79,69.58,44820.80,3118631.47,在售,住宅
6栋C座1单元2003,87.34,35676.79,69.58,44783.14,3116011.27,在售,住宅
6栋C座1单元1903,87.34,35646.79,69.58,44745.48,3113391.07,在售,住宅
6栋C座1单元1803,87.34,35616.79,69.58,44707.83,3110770.87,在售,住宅
6栋C座1单元1703,87.34,35586.79,69.58,44670.17,3108150.67,在售,住宅
6栋C座1单元1603,87.34,35556.79,69.58,44632.51,3105530.47,在售,住宅
6栋C座1单元1503,87.34,35526.79,69.58,44594.85,3102910.27,在售,住宅
6栋C座1单元1403,87.34,35496.79,69.58,44557.20,3100290.07,在售,住宅
6栋C座1单元1303,87.34,35466.79,69.58,44519.54,3097669.87,在售,住宅
6栋C座1单元1203,87.34,35436.79,69.58,44481.88,3095049.67,在售,住宅
6栋C座1单元1103,87.34,35336.79,69.58,44356.36,3086315.67,在售,住宅
6栋C座1单元1003,87.34,35306.79,69.58,44318.70,3083695.47,在售,住宅
6栋C座1单元903,87.34,35276.79,69.58,44281.04,3081075.27,在售,住宅
6栋C座1单元803,87.34,35246.79,69.58,44243.39,3078455.07,在售,住宅
6栋C座1单元703,87.34,35216.79,69.58,44205.73,3075834.87,在售,住宅
6栋C座1单元603,87.34,35186.79,69.58,44168.07,3073214.67,在售,住宅
6栋C座1单元503,87.34,35156.79,69.58,44130.41,3070594.47,在售,住宅
6栋C座1单元403,87.34,35056.79,69.58,44004.89,3061860.47,在售,住宅
6栋C座1单元303,87.34,34756.79,69.58,43628.31,3035658.47,在售,住宅
6栋C座1单元4002,87.34,38363.57,69.58,48155.71,3350674.80,在售,住宅
6栋C座1单元3902,87.34,38563.57,69.58,48406.76,3368142.80,在售,住宅
6栋C座1单元3802,87.34,38543.57,69.58,48381.66,3366396.00,在售,住宅
6栋C座1单元3702,87.34,38523.57,69.58,48356.55,3364649.20,在售,住宅
6栋C座1单元3602,87.34,38503.57,69.58,48331.45,3362902.40,在售,住宅
6栋C座1单元3502,87.34,38483.57,69.58,48306.34,3361155.60,在售,住宅
6栋C座1单元3402,87.34,38463.57,69.58,48281.24,3359408.80,在售,住宅
6栋C座1单元3302,87.34,38443.57,69.58,48256.13,3357662.00,在售,住宅
6栋C座1单元3202,87.34,38423.57,69.58,48231.03,3355915.20,在售,住宅
6栋C座1单元3102,87.34,38403.57,69.58,48205.92,3354168.40,在售,住宅
6栋C座1单元3002,87.34,38383.57,69.58,48180.82,3352421.60,在售,住宅
6栋C座1单元2902,87.34,38353.57,69.58,48143.16,3349801.40,在售,住宅
6栋C座1单元2802,87.34,38323.57,69.58,48105.50,3347181.20,在售,住宅
6栋C座1单元2702,87.34,38293.57,69.58,48067.85,3344561.00,在售,住宅
6栋C座1单元2602,87.34,38263.57,69.58,48030.19,3341940.80,在售,住宅
6栋C座1单元2502,87.34,38233.57,69.58,47992.53,3339320.60,在售,住宅
6栋C座1单元2402,87.34,38203.57,69.58,47954.87,3336700.40,在售,住宅
