房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3506,88.49,21112.21,69.10,27036.46,1868220.00,在售,住宅
3505,88.49,22012.21,69.10,28189.01,1947861.00,在售,住宅
3504,89.18,21662.22,69.63,27744.31,1931837.00,在售,住宅
3503,89.18,21712.22,69.63,27808.35,1936296.00,在售,住宅
3502,89.18,21462.22,69.63,27488.16,1914001.00,在售,住宅
3501,89.18,21412.22,69.63,27424.12,1909542.00,在售,住宅
3406,88.49,21172.22,69.10,27113.31,1873530.00,在售,住宅
3405,88.49,22072.22,69.10,28265.86,1953171.00,在售,住宅
3404,89.18,21722.21,69.63,27821.15,1937187.00,在售,住宅
3403,89.18,21772.21,69.63,27885.19,1941646.00,在售,住宅
3402,89.18,21522.21,69.63,27565.00,1919351.00,在售,住宅
3401,89.18,21472.21,69.63,27500.96,1914892.00,在售,住宅
3306,88.49,21132.21,69.10,27062.08,1869990.00,在售,住宅
3305,88.49,22032.21,69.10,28214.63,1949631.00,在售,住宅
3304,89.18,21682.21,69.63,27769.92,1933620.00,在售,住宅
3303,89.18,21732.21,69.63,27833.96,1938079.00,在售,住宅
3302,89.18,21482.21,69.63,27513.77,1915784.00,在售,住宅
3301,89.18,21432.21,69.63,27449.73,1911325.00,在售,住宅
3206,88.49,21092.21,69.10,27010.85,1866450.00,在售,住宅
3205,88.49,21992.21,69.10,28163.40,1946091.00,在售,住宅
3204,89.18,21642.21,69.63,27718.69,1930053.00,在售,住宅
3203,89.18,21692.21,69.63,27782.73,1934512.00,在售,住宅
3202,89.18,21442.21,69.63,27462.54,1912217.00,在售,住宅
3201,89.18,21392.21,69.63,27398.50,1907758.00,在售,住宅
3106,88.49,21052.22,69.10,26959.63,1862911.00,在售,住宅
3105,88.49,21952.22,69.10,28112.18,1942552.00,在售,住宅
3104,89.18,21602.22,69.63,27667.47,1926486.00,在售,住宅
3103,89.18,21652.22,69.63,27731.50,1930945.00,在售,住宅
3102,89.18,21402.22,69.63,27411.31,1908650.00,在售,住宅
3101,89.18,21352.22,69.63,27347.27,1904191.00,在售,住宅
3006,88.49,21012.21,69.10,26908.40,1859371.00,在售,住宅
3005,88.49,21912.21,69.10,28060.95,1939012.00,在售,住宅
3004,89.18,21562.22,69.63,27616.24,1922919.00,在售,住宅
3003,89.18,21612.22,69.63,27680.28,1927378.00,在售,住宅
3002,89.18,21362.22,69.63,27360.08,1905083.00,在售,住宅
3001,89.18,21312.22,69.63,27296.05,1900624.00,在售,住宅
2906,88.49,20972.22,69.10,26857.19,1855832.00,在售,住宅
2905,88.49,21872.22,69.10,28009.73,1935473.00,在售,住宅
2904,89.18,21472.21,69.63,27500.96,1914892.00,在售,住宅
2903,89.18,21522.21,69.63,27565.00,1919351.00,在售,住宅
2902,89.18,21322.21,69.63,27308.84,1901515.00,在售,住宅
2901,89.18,21272.21,69.63,27244.80,1897056.00,在售,住宅
2806,88.49,20932.21,69.10,26805.96,1852292.00,在售,住宅
2805,88.49,21832.21,69.10,27958.50,1931933.00,在售,住宅
2804,89.18,21482.21,69.63,27513.77,1915784.00,在售,住宅
2803,89.18,21532.21,69.63,27577.81,1920243.00,在售,住宅
2802,89.18,21232.21,69.63,27193.58,1893489.00,在售,住宅
2801,89.18,21182.21,69.63,27129.54,1889030.00,在售,住宅
2706,88.49,20892.21,69.10,26754.73,1848752.00,在售,住宅
2705,88.49,21792.21,69.10,27907.27,1928393.00,在售,住宅
2704,89.18,21442.21,69.63,27462.54,1912217.00,在售,住宅
2703,89.18,21492.21,69.63,27526.58,1916676.00,在售,住宅
2702,89.18,21242.21,69.63,27206.39,1894381.00,在售,住宅
2701,89.18,21192.21,69.63,27142.35,1889922.00,在售,住宅
2606,88.49,20852.22,69.10,26703.51,1845213.00,在售,住宅
2605,88.49,21752.22,69.10,27856.06,1924854.00,在售,住宅
2604,89.18,21402.22,69.63,27411.31,1908650.00,在售,住宅
2603,89.18,21452.22,69.63,27475.35,1913109.00,在售,住宅
2602,89.18,21202.22,69.63,27155.16,1890814.00,在售,住宅
2601,89.18,21152.22,69.63,27091.12,1886355.00,在售,住宅
2506,88.49,20812.21,69.10,26652.28,1841673.00,在售,住宅
2505,88.49,21712.21,69.10,27804.83,1921314.00,在售,住宅
2504,89.18,21362.22,69.63,27360.08,1905083.00,在售,住宅
2503,89.18,21412.22,69.63,27424.12,1909542.00,在售,住宅
2502,89.18,21162.22,69.63,27103.93,1887247.00,在售,住宅
2501,89.18,21112.22,69.63,27039.89,1882788.00,在售,住宅
2406,88.49,20772.22,69.10,26601.07,1838134.00,在售,住宅
2405,88.49,21672.22,69.10,27753.61,1917775.00,在售,住宅
2404,89.18,21322.21,69.63,27308.84,1901515.00,在售,住宅
2403,89.18,21372.21,69.63,27372.88,1905974.00,在售,住宅
2402,89.18,21122.21,69.63,27052.69,1883679.00,在售,住宅
2401,89.18,21072.21,69.63,26988.65,1879220.00,在售,住宅
2306,88.49,20732.21,69.10,26549.84,1834594.00,在售,住宅
2305,88.49,21632.21,69.10,27702.38,1914235.00,在售,住宅
2304,89.18,21282.21,69.63,27257.61,1897948.00,在售,住宅
2303,89.18,21332.21,69.63,27321.65,1902407.00,在售,住宅
2302,89.18,21082.21,69.63,27001.46,1880112.00,在售,住宅
2301,89.18,21032.21,69.63,26937.42,1875653.00,在售,住宅
2206,88.49,20692.21,69.10,26498.61,1831054.00,在售,住宅
2205,88.49,21592.21,69.10,27651.15,1910695.00,在售,住宅
2204,89.18,21242.21,69.63,27206.39,1894381.00,在售,住宅
2203,89.18,21292.21,69.63,27270.42,1898840.00,在售,住宅
2202,89.18,21042.21,69.63,26950.23,1876545.00,在售,住宅
2201,89.18,20992.21,69.63,26886.19,1872086.00,在售,住宅
2106,88.49,20652.22,69.10,26447.39,1827515.00,在售,住宅
2105,88.49,21552.22,69.10,27599.94,1907156.00,在售,住宅
2104,89.18,21202.22,69.63,27155.16,1890814.00,在售,住宅
2103,89.18,21252.22,69.63,27219.20,1895273.00,在售,住宅
2102,89.18,21002.22,69.63,26899.00,1872978.00,在售,住宅
2101,89.18,20952.22,69.63,26834.97,1868519.00,在售,住宅
2006,88.49,20612.21,69.10,26396.16,1823975.00,在售,住宅
2005,88.49,21512.21,69.10,27548.71,1903616.00,在售,住宅
2004,89.18,21162.22,69.63,27103.93,1887247.00,在售,住宅
2003,89.18,21212.22,69.63,27167.97,1891706.00,在售,住宅
2002,89.18,20962.22,69.63,26847.78,1869411.00,在售,住宅
2001,89.18,20912.22,69.63,26783.74,1864952.00,在售,住宅
1906,88.49,20572.22,69.10,26344.94,1820436.00,在售,住宅
1905,88.49,21472.22,69.10,27497.49,1900077.00,在售,住宅
1904,89.18,21122.21,69.63,27052.69,1883679.00,在售,住宅
1903,89.18,21172.21,69.63,27116.73,1888138.00,在售,住宅
1902,89.18,20922.21,69.63,26796.53,1865843.00,在售,住宅
1901,89.18,20872.21,69.63,26732.50,1861384.00,在售,住宅
1806,88.49,20532.21,69.10,26293.71,1816896.00,在售,住宅
1805,88.49,21432.21,69.10,27446.26,1896537.00,在售,住宅
1804,89.18,21082.21,69.63,27001.46,1880112.00,在售,住宅
1803,89.18,21132.21,69.63,27065.50,1884571.00,在售,住宅
1802,89.18,20882.21,69.63,26745.31,1862276.00,在售,住宅
1801,89.18,20832.21,69.63,26681.27,1857817.00,在售,住宅
1706,88.49,20492.21,69.10,26242.48,1813356.00,在售,住宅
1705,88.49,21392.21,69.10,27395.03,1892997.00,在售,住宅
1704,89.18,21042.21,69.63,26950.23,1876545.00,在售,住宅
1703,89.18,21092.21,69.63,27014.27,1881004.00,在售,住宅
1702,89.18,20842.21,69.63,26694.08,1858709.00,在售,住宅
1701,89.18,20792.21,69.63,26630.04,1854250.00,在售,住宅
1606,88.49,20452.22,69.10,26191.27,1809817.00,在售,住宅
1605,88.49,21352.22,69.10,27343.82,1889458.00,在售,住宅
1604,89.18,21002.22,69.63,26899.00,1872978.00,在售,住宅
1603,89.18,21052.22,69.63,26963.04,1877437.00,在售,住宅
1602,89.18,20802.22,69.63,26642.85,1855142.00,在售,住宅
1601,89.18,20752.22,69.63,26578.81,1850683.00,在售,住宅
1506,88.49,20412.21,69.10,26140.04,1806277.00,在售,住宅
1505,88.49,21312.21,69.10,27292.59,1885918.00,在售,住宅
1504,89.18,20962.22,69.63,26847.78,1869411.00,在售,住宅
1503,89.18,21012.22,69.63,26911.81,1873870.00,在售,住宅
1502,89.18,20762.22,69.63,26591.62,1851575.00,在售,住宅
1501,89.18,20712.22,69.63,26527.58,1847116.00,在售,住宅
1406,88.49,20372.22,69.10,26088.82,1802738.00,在售,住宅
1405,88.49,21272.22,69.10,27241.37,1882379.00,在售,住宅
1404,89.18,20922.21,69.63,26796.53,1865843.00,在售,住宅
1403,89.18,20972.21,69.63,26860.57,1870302.00,在售,住宅
1402,89.18,20722.21,69.63,26540.38,1848007.00,在售,住宅
1401,89.18,20672.21,69.63,26476.34,1843548.00,在售,住宅
1306,88.49,20332.21,69.10,26037.59,1799198.00,在售,住宅
1305,88.49,21232.21,69.10,27190.14,1878839.00,在售,住宅
1304,89.18,20882.21,69.63,26745.31,1862276.00,在售,住宅
1303,89.18,20932.21,69.63,26809.34,1866735.00,在售,住宅
1302,89.18,20682.21,69.63,26489.15,1844440.00,在售,住宅
1301,89.18,20632.21,69.63,26425.11,1839981.00,在售,住宅
1206,88.49,20292.21,69.10,25986.36,1795658.00,在售,住宅
1205,88.49,21192.21,69.10,27138.91,1875299.00,在售,住宅
1204,89.18,20842.21,69.63,26694.08,1858709.00,在售,住宅
