房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
B927,29.96,81719.29,19.74,124027.86,2448310.00,在售,商务公寓
B926,53.84,78648.45,35.47,119380.68,4234433.00,在售,商务公寓
B925,53.84,77719.78,35.47,117971.04,4184433.00,在售,商务公寓
B924,53.84,81434.49,35.47,123609.61,4384433.00,在售,商务公寓
B923,53.84,81434.49,35.47,123609.61,4384433.00,在售,商务公寓
B922,30.08,84718.55,19.82,128573.86,2548334.00,在售,商务公寓
B921,53.84,79577.13,35.47,120790.32,4284433.00,在售,商务公寓
B920,53.84,87006.55,35.47,132067.46,4684433.00,在售,商务公寓
B919,29.99,89973.85,19.76,136554.45,2698316.00,在售,商务公寓
B918,53.84,87006.55,35.47,132067.46,4684433.00,在售,商务公寓
B917,53.84,87006.55,35.47,132067.46,4684433.00,在售,商务公寓
B916,30.14,92844.92,19.86,140903.62,2798346.00,在售,商务公寓
B915,53.84,94435.97,35.47,143344.60,5084433.00,在售,商务公寓
B825,53.84,77669.78,35.47,117895.15,4181741.00,在售,商务公寓
B822,30.08,84668.55,19.82,128497.98,2546830.00,在售,商务公寓
B726,53.84,78548.45,35.47,119228.89,4229049.00,在售,商务公寓
B717,53.84,86906.55,35.47,131915.67,4679049.00,在售,商务公寓
B625,53.84,77569.78,35.47,117743.36,4176357.00,在售,商务公寓
B615,53.84,94285.97,35.47,143116.91,5076357.00,在售,商务公寓
B527,29.96,81519.29,19.74,123724.31,2442318.00,在售,商务公寓
B4127,29.88,83391.96,19.74,126228.57,2491752.00,在售,商务公寓
B4126,53.69,80322.23,35.47,121581.64,4312501.00,在售,商务公寓
B4125,53.69,79390.96,35.47,120172.00,4262501.00,在售,商务公寓
B4122,30.06,87226.54,19.86,132025.67,2622030.00,在售,商务公寓
B4121,53.69,82256.30,35.47,124509.19,4416341.00,在售,商务公寓
B4120,53.69,94577.40,35.47,143159.31,5077861.00,在售,商务公寓
B4119,29.91,95679.10,19.76,144826.01,2861762.00,在售,商务公寓
B4118,53.69,94577.40,35.47,143159.31,5077861.00,在售,商务公寓
B4117,53.69,94577.40,35.47,143159.31,5077861.00,在售,商务公寓
B4116,30.06,98556.52,19.86,149174.67,2962609.00,在售,商务公寓
B4115,53.68,96730.64,35.47,146391.34,5192501.00,在售,商务公寓
B4027,29.96,83169.29,19.74,126228.57,2491752.00,在售,商务公寓
B4026,53.84,80098.45,35.47,121581.64,4312501.00,在售,商务公寓
B4025,53.84,79169.78,35.47,120172.00,4262501.00,在售,商务公寓
B4024,53.84,83884.49,35.47,127328.47,4516341.00,在售,商务公寓
B4023,53.84,83884.49,35.47,127328.47,4516341.00,在售,商务公寓
B4022,30.08,87168.55,19.82,132292.12,2622030.00,在售,商务公寓
B4021,53.84,82027.13,35.47,124509.19,4416341.00,在售,商务公寓
B4020,53.84,94313.91,35.47,143159.31,5077861.00,在售,商务公寓
B4019,29.99,95423.87,19.76,144826.01,2861762.00,在售,商务公寓
B4018,53.84,94313.91,35.47,143159.31,5077861.00,在售,商务公寓
B4017,53.84,94313.91,35.47,143159.31,5077861.00,在售,商务公寓
B4016,30.14,98294.92,19.86,149174.67,2962609.00,在售,商务公寓
B4015,53.84,96443.18,35.47,146391.34,5192501.00,在售,商务公寓
B3927,29.96,83119.29,19.74,126152.68,2490254.00,在售,商务公寓
B3926,53.84,80048.45,35.47,121505.75,4309809.00,在售,商务公寓
B3925,53.84,79119.78,35.47,120096.10,4259809.00,在售,商务公寓
B3924,53.84,83834.49,35.47,127252.57,4513649.00,在售,商务公寓
B3923,53.84,83834.49,35.47,127252.57,4513649.00,在售,商务公寓
B3922,30.08,87118.55,19.82,132216.24,2620526.00,在售,商务公寓
B3921,53.84,81977.13,35.47,124433.29,4413649.00,在售,商务公寓
B3920,53.84,94263.91,35.47,143083.42,5075169.00,在售,商务公寓
B3919,29.99,95373.85,19.76,144750.10,2860262.00,在售,商务公寓
B3918,53.84,94263.91,35.47,143083.42,5075169.00,在售,商务公寓
B3917,53.84,94263.91,35.47,143083.42,5075169.00,在售,商务公寓
B3916,30.14,98244.92,19.86,149098.79,2961102.00,在售,商务公寓
B3915,53.84,96393.18,35.47,146315.44,5189809.00,在售,商务公寓
B3827,29.96,83069.29,19.74,126076.79,2488756.00,在售,商务公寓
B3826,53.84,79998.45,35.47,121429.85,4307117.00,在售,商务公寓
B3825,53.84,79069.78,35.47,120020.21,4257117.00,在售,商务公寓
B3824,53.84,83784.49,35.47,127176.68,4510957.00,在售,商务公寓
B3823,53.84,83784.49,35.47,127176.68,4510957.00,在售,商务公寓
B3822,30.08,87068.55,19.82,132140.36,2619022.00,在售,商务公寓
B3821,53.84,81927.13,35.47,124357.40,4410957.00,在售,商务公寓
B3820,53.84,94213.91,35.47,143007.52,5072477.00,在售,商务公寓
B3819,29.99,95323.87,19.76,144674.24,2858763.00,在售,商务公寓
B3818,53.84,94213.91,35.47,143007.52,5072477.00,在售,商务公寓
B3817,53.84,94213.91,35.47,143007.52,5072477.00,在售,商务公寓
B3816,30.14,98194.92,19.86,149022.91,2959595.00,在售,商务公寓
B3815,53.84,96343.18,35.47,146239.55,5187117.00,在售,商务公寓
B3727,29.96,83019.29,19.74,126000.91,2487258.00,在售,商务公寓
B3726,53.84,79948.45,35.47,121353.96,4304425.00,在售,商务公寓
B3725,53.84,79019.78,35.47,119944.31,4254425.00,在售,商务公寓
B3724,53.84,83734.49,35.47,127100.78,4508265.00,在售,商务公寓
B3723,53.84,83734.49,35.47,127100.78,4508265.00,在售,商务公寓
B3722,30.08,87018.55,19.82,132064.48,2617518.00,在售,商务公寓
B3721,53.84,81877.13,35.47,124281.50,4408265.00,在售,商务公寓
B3720,53.84,94163.91,35.47,142931.63,5069785.00,在售,商务公寓
B3719,29.99,95273.85,19.76,144598.32,2857263.00,在售,商务公寓
B3718,53.84,94163.91,35.47,142931.63,5069785.00,在售,商务公寓
B3717,53.84,94163.91,35.47,142931.63,5069785.00,在售,商务公寓
B3716,30.14,98144.92,19.86,148947.02,2958088.00,在售,商务公寓
B3715,53.84,96293.18,35.47,146163.65,5184425.00,在售,商务公寓
B3627,29.96,82969.29,19.74,125925.02,2485760.00,在售,商务公寓
B3626,53.84,79898.45,35.47,121278.06,4301733.00,在售,商务公寓
B3625,53.84,78969.78,35.47,119868.42,4251733.00,在售,商务公寓
B3624,53.84,82684.49,35.47,125506.99,4451733.00,在售,商务公寓
