房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋B座1628,52.80,36295.60,37.40,51240.85,1916408.00,在售,公寓
1栋B座1627,44.18,35296.85,31.29,49837.48,1559415.00,在售,公寓
1栋B座1626,44.17,35807.06,31.29,50546.43,1581598.00,在售,公寓
1栋B座1625,44.17,35296.85,31.29,49826.20,1559062.00,在售,公寓
1栋B座1624,44.17,35807.06,31.29,50546.43,1581598.00,在售,公寓
1栋B座1623,44.17,35169.05,31.29,49645.79,1553417.00,在售,公寓
1栋B座1622,44.17,35807.06,31.29,50546.43,1581598.00,在售,公寓
1栋B座1621,44.17,34850.55,31.29,49196.19,1539349.00,在售,公寓
1栋B座1620,44.17,35573.08,31.29,50216.13,1571263.00,在售,公寓
1栋B座1619,40.66,34446.50,28.80,48631.77,1400595.00,在售,公寓
1栋B座1618,50.01,35618.43,35.42,50290.17,1781278.00,在售,公寓
1栋B座1617,44.17,34980.41,31.29,49379.51,1545085.00,在售,公寓
1栋B座1616,44.17,34980.41,31.29,49379.51,1545085.00,在售,公寓
1栋B座1615,44.17,34980.41,31.29,49379.51,1545085.00,在售,公寓
1栋B座1614,44.17,35002.06,31.29,49410.06,1546041.00,在售,公寓
1栋B座1613,44.17,35915.28,31.29,50699.20,1586378.00,在售,公寓
1栋B座1612,44.17,34938.14,31.29,49319.84,1543218.00,在售,公寓
1栋B座1611,44.17,35936.92,31.29,50729.75,1587334.00,在售,公寓
1栋B座1610,44.17,34938.14,31.29,49319.84,1543218.00,在售,公寓
1栋B座1609,44.17,35936.92,31.29,50729.75,1587334.00,在售,公寓
1栋B座1608,44.17,34938.14,31.29,49319.84,1543218.00,在售,公寓
1栋B座1607,44.17,35936.92,31.29,50729.75,1587334.00,在售,公寓
1栋B座1606,44.17,34938.14,31.29,49319.84,1543218.00,在售,公寓
1栋B座1605,44.17,35894.65,31.29,50670.08,1585467.00,在售,公寓
1栋B座1604,44.17,34895.90,31.29,49260.21,1541352.00,在售,公寓
1栋B座1603,44.17,35894.65,31.29,50670.08,1585467.00,在售,公寓
1栋B座1602,44.17,35724.58,31.29,50430.00,1577955.00,在售,公寓
1栋B座1601,50.09,36765.60,35.48,51904.98,1841589.00,在售,公寓
1栋B座1528,52.80,36244.07,37.40,51168.10,1913687.00,在售,公寓
1栋B座1527,44.18,35245.31,31.29,49764.71,1557138.00,在售,公寓
1栋B座1526,44.17,35755.51,31.29,50473.66,1579321.00,在售,公寓
1栋B座1525,44.17,35245.30,31.29,49753.43,1556785.00,在售,公寓
1栋B座1524,44.17,35600.90,31.29,50255.41,1572492.00,在售,公寓
1栋B座1523,44.17,34962.89,31.29,49354.77,1544311.00,在售,公寓
1栋B座1522,44.17,35600.90,31.29,50255.41,1572492.00,在售,公寓
1栋B座1521,44.17,34799.02,31.29,49123.45,1537073.00,在售,公寓
1栋B座1520,44.17,35521.55,31.29,50143.40,1568987.00,在售,公寓
1栋B座1519,40.66,34394.95,28.80,48558.99,1398499.00,在售,公寓
1栋B座1518,50.01,35566.88,35.42,50217.39,1778700.00,在售,公寓
1栋B座1517,44.17,34928.88,31.29,49306.77,1542809.00,在售,公寓
1栋B座1516,44.17,34928.88,31.29,49306.77,1542809.00,在售,公寓
1栋B座1515,44.17,34928.88,31.29,49306.77,1542809.00,在售,公寓
1栋B座1514,44.17,34950.53,31.29,49337.32,1543765.00,在售,公寓
1栋B座1513,44.17,35863.73,31.29,50626.43,1584101.00,在售,公寓
1栋B座1512,44.17,34886.61,31.29,49247.10,1540942.00,在售,公寓
1栋B座1511,44.17,35885.39,31.29,50657.01,1585058.00,在售,公寓
1栋B座1510,44.17,34886.61,31.29,49247.10,1540942.00,在售,公寓
1栋B座1509,44.17,35885.39,31.29,50657.01,1585058.00,在售,公寓
1栋B座1508,44.17,34886.61,31.29,49247.10,1540942.00,在售,公寓
1栋B座1507,44.17,35885.39,31.29,50657.01,1585058.00,在售,公寓
1栋B座1506,44.17,34886.61,31.29,49247.10,1540942.00,在售,公寓
1栋B座1505,44.17,35843.12,31.29,50597.34,1583191.00,在售,公寓
1栋B座1504,44.17,34844.35,31.29,49187.44,1539075.00,在售,公寓
1栋B座1503,44.17,35843.12,31.29,50597.34,1583191.00,在售,公寓
1栋B座1502,44.17,35673.05,31.29,50357.27,1575679.00,在售,公寓
1栋B座1501,50.09,36714.07,35.48,51832.24,1839008.00,在售,公寓
1栋B座1428,52.80,36192.53,37.40,51095.34,1910966.00,在售,公寓
