房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
二期1栋D单元1702,162.97,48216.00,123.48,63635.00,7857761.00,在售,住宅
二期1栋D单元1701,164.92,47733.00,124.93,63012.00,7872126.00,在售,住宅
二期1栋D单元1603,162.91,51197.00,121.78,68488.00,8340503.00,在售,住宅
二期1栋D单元1602,85.08,20206.07,63.60,27030.39,1719133.00,在售,住宅
二期1栋D单元1601,88.70,17090.31,66.31,22860.00,1515910.00,在售,住宅
二期1栋D单元1503,86.13,18012.87,64.37,24102.00,1551448.00,在售,住宅
二期1栋D单元1502,86.36,20612.18,64.54,27580.84,1780068.00,在售,住宅
二期1栋D单元1501,87.22,20251.43,65.19,27095.10,1766330.00,在售,住宅
二期1栋D单元1403,87.72,22325.39,65.57,29867.07,1958384.00,在售,住宅
二期1栋D单元1402,85.52,17095.57,63.93,22868.00,1462013.00,在售,住宅
二期1栋D单元1401,87.89,21210.82,65.69,28379.03,1864219.00,在售,住宅
二期1栋D单元1303,86.13,22096.87,64.37,29566.63,1903204.00,在售,住宅
二期1栋D单元1302,86.36,20568.33,64.54,27522.17,1776281.00,在售,住宅
二期1栋D单元1301,87.22,20317.20,65.19,27183.11,1772067.00,在售,住宅
二期1栋D单元1203,87.72,22500.78,65.57,30101.70,1973769.00,在售,住宅
二期1栋D单元1202,85.52,20553.22,63.93,27494.32,1757712.00,在售,住宅
二期1栋D单元1201,87.89,21166.97,65.69,28320.36,1860365.00,在售,住宅
二期1栋D单元1103,86.13,22053.02,64.37,29507.95,1899427.00,在售,住宅
二期1栋D单元1102,86.36,20524.47,64.54,27463.49,1772494.00,在售,住宅
二期1栋D单元1101,87.22,20273.35,65.19,27124.43,1768242.00,在售,住宅
二期1栋D单元1003,87.72,22456.94,65.57,30043.05,1969923.00,在售,住宅
二期1栋D单元1002,85.52,20509.38,63.93,27435.67,1753963.00,在售,住宅
二期1栋D单元1001,87.89,21123.11,65.69,28261.69,1856511.00,在售,住宅
二期1栋D单元903,86.13,22009.18,64.37,29449.29,1895651.00,在售,住宅
二期1栋D单元902,86.36,20480.63,64.54,27404.83,1768708.00,在售,住宅
二期1栋D单元901,87.22,20229.51,65.19,27065.77,1764418.00,在售,住宅
二期1栋D单元803,87.72,22413.09,65.57,29984.39,1966077.00,在售,住宅
二期1栋D单元802,85.52,20465.54,63.93,27377.02,1750213.00,在售,住宅
二期1栋D单元801,87.89,21079.28,65.69,28203.04,1852658.00,在售,住宅
二期1栋D单元703,86.13,21965.33,64.37,29390.61,1891874.00,在售,住宅
二期1栋D单元702,86.36,20436.78,64.54,27346.15,1764921.00,在售,住宅
二期1栋D单元701,87.22,20076.04,65.19,26860.45,1751033.00,在售,住宅
二期1栋D单元603,87.72,22369.24,65.57,29925.72,1962230.00,在售,住宅
二期1栋D单元602,85.52,20421.69,63.93,27318.36,1746463.00,在售,住宅
二期1栋D单元601,87.89,20925.81,65.69,27997.71,1839170.00,在售,住宅
二期1栋D单元503,86.13,21921.49,64.37,29331.95,1888098.00,在售,住宅
二期1栋D单元502,86.36,20392.93,64.54,27287.48,1761134.00,在售,住宅
二期1栋D单元501,87.22,20032.20,65.19,26801.79,1747209.00,在售,住宅
二期1栋D单元403,87.72,36742.00,65.57,49153.00,3223008.00,在售,住宅
二期1栋D单元303,86.13,21658.40,64.37,28979.92,1865438.00,在售,住宅
二期1栋D单元302,86.36,16707.79,64.54,22356.00,1442884.00,在售,住宅
二期1栋D单元301,87.22,19659.51,65.19,26303.15,1714703.00,在售,住宅
二期1栋D单元203,87.72,22500.78,65.57,30101.70,1973769.00,在售,住宅
二期1栋D单元202,85.52,16695.26,63.92,22336.00,1427778.00,在售,住宅
二期1栋D单元201,87.88,20947.81,65.69,28023.96,1840894.00,在售,住宅
二期1栋C单元1702,162.97,48216.00,123.48,63635.00,7857761.00,在售,住宅
二期1栋C单元1701,164.92,47733.00,124.93,63012.00,7872126.00,在售,住宅
二期1栋C单元1603,162.91,51801.00,121.78,69296.00,8438900.00,在售,住宅
二期1栋C单元1602,85.08,20206.07,63.60,27030.39,1719133.00,在售,住宅
二期1栋C单元1601,88.70,20590.73,66.31,27543.32,1826398.00,在售,住宅
二期1栋C单元1503,86.13,22007.59,64.37,29447.16,1895514.00,在售,住宅
二期1栋C单元1502,86.36,20612.18,64.54,27580.84,1780068.00,在售,住宅
二期1栋C单元1501,87.22,20251.43,65.19,27095.10,1766330.00,在售,住宅
二期1栋C单元1403,87.72,22630.74,65.57,30275.56,1985169.00,在售,住宅
二期1栋C单元1402,85.52,20597.07,63.93,27552.97,1761462.00,在售,住宅
二期1栋C单元1401,87.89,21210.82,65.69,28379.03,1864219.00,在售,住宅
二期1栋C单元1303,86.13,22402.20,64.37,29975.17,1929502.00,在售,住宅
二期1栋C单元1302,86.36,20568.33,64.54,27522.17,1776281.00,在售,住宅
二期1栋C单元1301,87.22,20317.20,65.19,27183.11,1772067.00,在售,住宅
二期1栋C单元1203,87.72,22806.13,65.57,30510.20,2000554.00,在售,住宅
二期1栋C单元1202,85.52,20553.22,63.93,27494.32,1757712.00,在售,住宅
二期1栋C单元1201,87.89,21166.97,65.69,28320.36,1860365.00,在售,住宅
二期1栋C单元1103,86.13,22358.36,64.37,29916.51,1925726.00,在售,住宅
二期1栋C单元1102,86.36,20524.47,64.54,27463.49,1772494.00,在售,住宅
二期1栋C单元1101,87.22,20273.35,65.19,27124.43,1768242.00,在售,住宅
二期1栋C单元1003,87.72,22762.27,65.57,30451.53,1996707.00,在售,住宅
二期1栋C单元1002,85.52,20509.38,63.93,27435.67,1753963.00,在售,住宅
二期1栋C单元1001,87.89,21123.11,65.69,28261.69,1856511.00,在售,住宅
二期1栋C单元903,86.13,22314.51,64.37,29857.83,1921949.00,在售,住宅
二期1栋C单元902,86.36,20480.63,64.54,27404.83,1768708.00,在售,住宅
二期1栋C单元901,87.22,20229.51,65.19,27065.77,1764418.00,在售,住宅
二期1栋C单元803,87.72,22718.43,65.57,30392.87,1992861.00,在售,住宅
二期1栋C单元802,85.52,20465.54,63.93,27377.02,1750213.00,在售,住宅
二期1栋C单元801,87.89,21079.28,65.69,28203.04,1852658.00,在售,住宅
二期1栋C单元703,86.13,22270.67,64.37,29799.17,1918173.00,在售,住宅
二期1栋C单元702,86.36,20436.78,64.54,27346.15,1764921.00,在售,住宅
二期1栋C单元701,87.22,20076.04,65.19,26860.45,1751033.00,在售,住宅
二期1栋C单元603,87.72,22674.57,65.57,30334.20,1989014.00,在售,住宅
二期1栋C单元602,85.52,20421.69,63.93,27318.36,1746463.00,在售,住宅
二期1栋C单元601,87.89,20925.81,65.69,27997.71,1839170.00,在售,住宅
二期1栋C单元503,86.13,22226.81,64.37,29740.50,1914396.00,在售,住宅
二期1栋C单元502,86.36,20392.93,64.54,27287.48,1761134.00,在售,住宅
二期1栋C单元501,87.22,20032.20,65.19,26801.79,1747209.00,在售,住宅
二期1栋C单元403,87.72,22630.74,65.57,30275.56,1985169.00,在售,住宅
二期1栋C单元402,85.52,20377.84,63.93,27259.70,1742713.00,在售,住宅
二期1栋C单元401,87.89,20881.96,65.69,27939.04,1835316.00,在售,住宅
二期1栋C单元303,86.13,18308.31,64.37,24497.00,1576894.00,在售,住宅
二期1栋C单元302,86.36,20129.86,64.54,26935.46,1738415.00,在售,住宅
二期1栋C单元301,87.22,19659.51,65.19,26303.15,1714703.00,在售,住宅
二期1栋C单元203,87.72,22806.13,65.57,30510.20,2000554.00,在售,住宅
二期1栋C单元202,85.52,16714.05,63.92,22362.00,1429385.00,在售,住宅
二期1栋C单元201,87.88,20947.81,65.69,28023.96,1840894.00,在售,住宅
二期1栋B单元1702,161.75,49426.00,123.48,64744.00,7994655.00,在售,住宅
二期1栋B单元1701,163.69,48337.00,124.93,63333.00,7912283.00,在售,住宅
二期1栋B单元1603,161.70,52406.00,121.78,69584.00,8474050.00,在售,住宅
二期1栋B单元1602,84.44,20822.09,63.60,27644.93,1758218.00,在售,住宅
二期1栋B单元1601,88.04,17407.06,66.31,23111.00,1532517.00,在售,住宅
二期1栋B单元1503,85.49,22318.14,64.37,29640.79,1907978.00,在售,住宅
二期1栋B单元1502,85.71,21228.11,64.54,28191.23,1819462.00,在售,住宅
二期1栋B单元1501,86.57,20561.93,65.19,27305.52,1780047.00,在售,住宅
二期1栋B单元1403,87.07,22941.18,65.57,30463.45,1997489.00,在售,住宅
二期1栋B单元1402,84.88,17654.15,63.93,23439.00,1498484.00,在售,住宅
二期1栋B单元1401,87.23,21521.32,65.69,28578.24,1877305.00,在售,住宅
二期1栋B单元1303,85.49,18851.60,64.37,25036.00,1611623.00,在售,住宅
二期1栋B单元1302,85.71,17635.11,64.54,23419.00,1511505.00,在售,住宅
二期1栋B单元1301,86.57,20627.71,65.19,27392.86,1785741.00,在售,住宅
二期1栋B单元1203,87.07,23116.57,65.57,30696.35,2012760.00,在售,住宅
二期1栋B单元1202,84.88,21169.19,63.93,28106.38,1796841.00,在售,住宅
二期1栋B单元1201,87.23,21477.47,65.69,28520.01,1873480.00,在售,住宅
二期1栋B单元1103,85.49,22668.92,64.37,30106.66,1937966.00,在售,住宅
二期1栋B单元1102,85.71,21140.41,64.54,28074.75,1811945.00,在售,住宅
二期1栋B单元1101,86.57,20583.86,65.19,27334.63,1781945.00,在售,住宅
二期1栋B单元1003,87.07,23072.71,65.57,30638.11,2008941.00,在售,住宅
二期1栋B单元1002,84.88,17578.73,63.93,23339.00,1492082.00,在售,住宅
二期1栋B单元1001,87.23,21433.63,65.69,28461.80,1869656.00,在售,住宅
二期1栋B单元903,85.49,22625.06,64.37,30048.42,1934217.00,在售,住宅
二期1栋B单元902,85.71,21096.58,64.54,28016.54,1808188.00,在售,住宅
二期1栋B单元901,86.57,20540.01,65.19,27276.40,1778149.00,在售,住宅
二期1栋B单元803,87.07,23028.87,65.57,30579.89,2005124.00,在售,住宅
二期1栋B单元802,84.88,21081.50,63.93,27989.95,1789398.00,在售,住宅
二期1栋B单元801,87.23,21389.77,65.69,28403.56,1865830.00,在售,住宅
二期1栋B单元703,85.49,22581.22,64.37,29990.19,1930469.00,在售,住宅
二期1栋B单元702,85.71,21052.72,64.54,27958.30,1804429.00,在售,住宅
二期1栋B单元701,86.57,20386.55,65.19,27072.61,1764864.00,在售,住宅
二期1栋B单元603,87.07,22985.02,65.57,30521.67,2001306.00,在售,住宅
二期1栋B单元602,84.88,21037.65,63.93,27931.73,1785676.00,在售,住宅
二期1栋B单元601,87.23,21236.31,65.69,28199.78,1852444.00,在售,住宅
二期1栋B单元503,85.49,22537.37,64.37,29931.95,1926720.00,在售,住宅
二期1栋B单元502,85.71,21008.89,64.54,27900.09,1800672.00,在售,住宅
二期1栋B单元501,86.57,20342.71,65.19,27014.40,1761069.00,在售,住宅
二期1栋B单元403,87.07,22941.18,65.57,30463.45,1997489.00,在售,住宅
二期1栋B单元402,84.88,17465.62,63.93,23189.00,1482481.00,在售,住宅
二期1栋B单元401,87.23,17652.33,65.69,23440.00,1539812.00,在售,住宅
二期1栋B单元303,85.49,18571.03,64.37,24664.00,1587637.00,在售,住宅
二期1栋B单元302,85.71,17258.04,64.54,22918.00,1479186.00,在售,住宅
二期1栋B单元301,86.57,19970.01,65.19,26519.46,1728804.00,在售,住宅
二期1栋B单元203,87.07,23116.57,65.57,30696.35,2012760.00,在售,住宅
二期1栋B单元202,84.88,17239.37,63.92,22892.00,1463277.00,在售,住宅
二期1栋B单元201,87.23,17708.90,65.69,23515.00,1544747.00,在售,住宅
二期1栋A单元1702,161.50,50998.00,123.48,66700.00,8236177.00,在售,住宅
二期1栋A单元1701,163.44,50877.00,124.93,66559.00,8315336.00,在售,住宅
二期1栋A单元1603,161.45,53132.00,121.78,70439.00,8578161.00,在售,住宅
二期1栋A单元1602,84.31,17942.18,63.60,23784.00,1512705.00,在售,住宅
二期1栋A单元1601,87.90,18413.26,66.31,24408.00,1618525.00,在售,住宅
二期1栋A单元1503,85.36,18923.88,64.37,25094.00,1615342.00,在售,住宅
二期1栋A单元1502,85.58,18279.14,64.54,24238.00,1564328.00,在售,住宅
