房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
11号楼1116,111.02,77661.00,108.90,79173.00,8621924.00,在售,商业
11号楼1115,95.20,79421.10,93.38,80969.04,7560889.00,在售,商业
11号楼1112,78.04,84234.79,76.55,85874.37,6573683.00,在售,商业
11号楼1110,238.62,104769.00,234.05,106815.00,25000000.00,在售,商业
10号楼1019,85.01,86541.14,82.49,89184.90,7356862.00,在售,商业
10号楼1011,82.76,86541.13,80.30,89192.33,7162144.00,在售,商业
10号楼1010,81.73,86568.18,79.30,89220.90,7075217.00,在售,商业
10号楼1009,74.76,120385.23,72.54,124069.48,9000000.00,在售,商业
10号楼1008,65.35,137719.97,63.41,141933.45,9000000.00,在售,商业
9号、12号楼1216,109.85,74922.02,103.10,79827.20,8230184.00,在售,商业
9号、12号楼1215,34.64,113522.00,32.51,120960.00,3932402.00,在售,商业
9号、12号楼1212,34.59,113522.00,32.46,120971.00,3926726.00,在售,商业
9号、12号楼1211,106.87,74009.71,100.30,78857.61,7909418.00,在售,商业
9号、12号楼1210,97.26,78183.68,91.29,83296.58,7604145.00,在售,商业
9号、12号楼1209,94.60,76109.94,88.78,81099.35,7200000.00,在售,商业
9号、12号楼1207,33.34,116901.86,31.29,124560.82,3897508.00,在售,商业
9号、12号楼1206,33.80,116901.83,31.72,124567.53,3951282.00,在售,商业
9号、12号楼1205,89.74,80534.08,84.23,85802.30,7227128.00,在售,商业
9号、12号楼1203,78.13,83024.82,73.33,88459.42,6486729.00,在售,商业
9号、12号楼1202,72.74,80534.08,68.27,85807.07,5858049.00,在售,商业
9号、12号楼1201,63.12,79825.00,59.24,85053.24,5038554.00,在售,商业
9号、12号楼0931,49.11,111178.90,44.64,122311.74,5459996.00,在售,商业
9号、12号楼0930,112.74,73396.27,102.46,80760.26,8274696.00,在售,商业
