房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
6栋22,32.43,99471.11,31.47,102505.50,3225848.10,在售,商业
6栋21,44.20,90397.42,42.89,93158.45,3995565.96,在售,商业
6栋20,48.27,94372.20,46.83,97274.10,4555346.09,在售,商业
6栋18,38.59,134749.94,37.45,138851.80,5200000.00,在售,商业
6栋17,42.01,178897.65,40.76,184383.97,7515490.00,在售,商业
6栋16,33.31,160612.43,32.32,165532.18,5350000.00,在售,商业
6栋15,42.00,133936.76,40.76,138011.38,5625344.00,在售,商业
6栋14,48.13,124929.06,46.70,128754.52,6012836.00,在售,商业
6栋13,48.23,124929.06,46.80,128746.34,6025329.00,在售,商业
6栋12,47.89,124929.06,46.47,128746.57,5982853.00,在售,商业
6栋11,48.23,124929.06,46.80,128746.34,6025329.00,在售,商业
6栋10,47.89,124929.06,46.47,128746.57,5982853.00,在售,商业
6栋09,48.23,124929.06,46.80,128746.34,6025329.00,在售,商业
6栋08,47.89,124929.06,46.47,128746.57,5982853.00,在售,商业
6栋07,48.23,124929.06,46.80,128746.34,6025329.00,在售,商业
6栋06,47.89,124929.06,46.47,128746.57,5982853.00,在售,商业
6栋05,48.23,124929.06,46.80,128746.34,6025329.00,在售,商业
6栋04,47.89,124929.06,46.47,128746.57,5982853.00,在售,商业
6栋03,48.23,131506.96,46.80,135525.23,6342581.00,在售,商业
6栋02,48.02,141023.25,46.59,145351.72,6771937.00,在售,商业
6栋01,62.94,206545.92,61.07,212870.48,13000000.00,在售,商业
