房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2422,44.32,76933.00,29.57,115308.00,3409661.00,在售,商务公寓
2421,43.21,75744.00,28.83,113524.00,3272893.00,在售,商务公寓
2420,92.86,75788.00,62.68,112280.00,7037705.00,在售,商务公寓
2419,53.82,81644.00,36.32,120982.00,4394074.00,在售,商务公寓
2418,54.14,81722.00,36.32,121817.00,4424411.00,在售,商务公寓
2417,54.14,81799.00,36.32,121933.00,4428622.00,在售,商务公寓
2416,54.14,81877.00,36.32,122049.00,4432833.00,在售,商务公寓
2415,54.14,81955.00,36.32,122165.00,4437044.00,在售,商务公寓
2414,53.78,82033.00,36.32,121468.00,4411723.00,在售,商务公寓
2413,98.96,80477.00,66.84,119151.00,7964026.00,在售,商务公寓
2412,43.21,80733.00,28.83,121001.00,3488463.00,在售,商务公寓
2411,44.32,80766.00,29.57,121054.00,3579554.00,在售,商务公寓
2324,44.98,76922.00,28.83,120012.00,3459937.00,在售,商务公寓
2323,46.14,76844.00,29.57,119905.00,3545577.00,在售,商务公寓
2322,46.14,76766.00,29.57,119783.00,3541988.00,在售,商务公寓
2321,44.98,75577.00,28.83,117914.00,3399463.00,在售,商务公寓
2320,96.67,75622.00,62.68,116630.00,7310347.00,在售,商务公寓
2319,56.02,81477.00,36.32,125671.00,4564354.00,在售,商务公寓
2318,56.36,81555.00,36.32,126554.00,4596440.00,在售,商务公寓
2317,56.36,81633.00,36.32,126675.00,4600823.00,在售,商务公寓
2316,56.36,81711.00,36.32,126795.00,4605207.00,在售,商务公寓
2315,56.36,81788.00,36.32,126916.00,4609590.00,在售,商务公寓
2314,55.99,81866.00,36.32,126203.00,4583684.00,在售,商务公寓
2313,103.02,80311.00,66.84,123782.00,8273593.00,在售,商务公寓
2312,46.79,80566.00,30.01,125614.00,3769688.00,在售,商务公寓
2311,46.11,80599.00,29.57,125683.00,3716440.00,在售,商务公寓
2310,46.14,80522.00,29.57,125643.00,3715270.00,在售,商务公寓
2309,44.98,79222.00,28.83,123600.00,3563391.00,在售,商务公寓
2308,86.92,74511.00,56.28,115076.00,6476457.00,在售,商务公寓
2307,55.22,78877.00,35.76,121801.00,4355600.00,在售,商务公寓
2306,55.51,79188.00,35.76,122924.00,4395744.00,在售,商务公寓
2305,55.51,79111.00,35.76,122803.00,4391427.00,在售,商务公寓
2304,55.51,79033.00,35.76,122682.00,4387109.00,在售,商务公寓
2303,55.51,78955.00,35.76,122561.00,4382792.00,在售,商务公寓
2302,55.20,78488.00,35.76,121156.00,4332556.00,在售,商务公寓
2301,90.29,76188.00,58.49,117611.00,6879045.00,在售,商务公寓
2224,47.57,76755.00,30.01,121667.00,3651235.00,在售,商务公寓
2223,46.87,76677.00,29.57,121537.00,3593861.00,在售,商务公寓
2222,46.90,76599.00,29.57,121492.00,3592514.00,在售,商务公寓
2221,45.72,75411.00,28.83,119590.00,3447771.00,在售,商务公寓
2220,98.27,75455.00,62.68,118299.00,7414963.00,在售,商务公寓
2219,56.95,81311.00,36.32,127495.00,4630636.00,在售,商务公寓
2218,57.29,81388.00,36.32,128379.00,4662738.00,在售,商务公寓
2217,57.29,81466.00,36.32,128502.00,4667194.00,在售,商务公寓
2216,57.29,81544.00,36.32,128625.00,4671649.00,在售,商务公寓
2215,57.29,81622.00,36.32,128747.00,4676105.00,在售,商务公寓
2214,56.91,81699.00,36.32,128015.00,4649515.00,在售,商务公寓
2213,104.72,80144.00,66.84,125564.00,8392668.00,在售,商务公寓
2212,45.72,80399.00,28.83,127501.00,3675863.00,在售,商务公寓
2211,46.90,80433.00,29.57,127572.00,3772297.00,在售,商务公寓
2210,46.90,80355.00,29.57,127448.00,3768650.00,在售,商务公寓
2209,45.72,79055.00,28.83,125369.00,3614395.00,在售,商务公寓
2208,88.36,74344.00,56.28,116720.00,6569026.00,在售,商务公寓
2207,56.14,78711.00,35.76,123569.00,4418811.00,在售,商务公寓
2206,56.42,78633.00,35.76,124062.00,4436461.00,在售,商务公寓
2205,56.42,78555.00,35.76,123939.00,4432073.00,在售,商务公寓
2204,56.42,78477.00,35.76,123817.00,4427685.00,在售,商务公寓
2203,56.42,78399.00,35.76,123694.00,4423297.00,在售,商务公寓
2202,56.11,78322.00,35.76,122892.00,4394629.00,在售,商务公寓
2201,91.78,76022.00,58.49,119290.00,6977269.00,在售,商务公寓
