房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
212,216.53,41162.53,184.29,48363.57,8912922.64,在售,商业
211,66.64,34879.19,56.71,40986.59,2324349.67,在售,商业
210,68.00,33579.19,57.88,39450.33,2283385.38,在售,商业
209,68.73,33579.19,58.50,39451.25,2307898.19,在售,商业
208,68.73,33579.19,58.50,39451.25,2307898.19,在售,商业
207,68.73,33189.19,58.50,38993.05,2281093.49,在售,商业
206,67.90,33189.19,57.79,38995.43,2253546.46,在售,商业
205,78.37,33622.53,66.71,39499.29,2634997.68,在售,商业
204,96.46,25830.15,82.09,30351.76,2491576.40,在售,商业
203,73.03,28496.81,62.16,33480.09,2081122.62,在售,商业
202,77.64,27163.48,66.08,31915.45,2108972.95,在售,商业
201,122.65,25830.15,104.39,30348.38,3168068.06,在售,商业
143,48.48,48060.30,46.70,49892.15,2329963.47,在售,商业
142,56.58,45726.96,54.50,47472.14,2587231.93,在售,商业
141,29.26,47393.63,28.18,49209.99,1386737.79,在售,商业
140,65.38,44393.63,62.97,46092.67,2902455.92,在售,商业
139,98.13,36519.67,94.52,37914.46,3583675.62,在售,商业
138,112.26,34870.06,108.12,36205.27,3914513.83,在售,商业
137,160.91,32937.10,155.00,34192.96,5299909.77,在售,商业
136,148.05,34356.76,142.61,35667.34,5086519.74,在售,商业
135,171.93,34356.30,165.61,35667.40,5906878.96,在售,商业
134,173.58,34870.06,167.20,36200.63,6052746.39,在售,商业
133,213.30,29726.30,205.55,30847.10,6340621.63,在售,商业
132,33.02,41726.96,31.82,43300.58,1377824.53,在售,商业
131,138.61,31225.23,133.57,32403.45,4328129.90,在售,商业
130,146.14,35963.81,140.83,37319.82,5255751.23,在售,商业
129,114.58,37453.40,110.42,38864.43,4291410.72,在售,商业
128,114.06,37453.40,109.92,38864.03,4271934.95,在售,商业
127,111.68,37453.40,107.62,38866.34,4182795.85,在售,商业
126,112.20,37453.40,108.13,38863.14,4202271.62,在售,商业
125,150.84,40244.42,145.36,41761.61,6070468.40,在售,商业
124,240.87,42931.41,232.12,44549.76,10340890.44,在售,商业
123,41.18,57060.30,39.68,59217.32,2349743.26,在售,商业
122,197.34,42097.20,190.16,43686.69,8307462.85,在售,商业
121,210.88,42086.01,203.22,43672.36,8875098.19,在售,商业
120,162.02,43136.73,156.14,44761.19,6989013.74,在售,商业
119,150.66,42671.73,128.22,50139.78,6428923.54,在售,商业
118,133.24,41638.40,113.40,48923.28,5547900.59,在售,商业
117,130.14,41638.40,110.76,48923.99,5418821.54,在售,商业
116,135.36,41638.40,115.20,48925.12,5636174.00,在售,商业
115,248.01,35162.15,211.09,41312.07,8720565.13,在售,商业
114,54.69,53726.96,46.55,63121.97,2938327.95,在售,商业
113,123.65,42653.09,105.24,50114.54,5274054.68,在售,商业
112,75.78,63326.96,64.50,74401.82,4798917.74,在售,商业
111,110.80,58326.96,94.31,68525.37,6462628.21,在售,商业
110,66.64,53660.30,56.71,63056.29,3575922.57,在售,商业
109,68.00,51660.30,57.88,60692.82,3512900.58,在售,商业
108,68.73,51660.30,58.50,60694.23,3550612.60,在售,商业
107,68.73,51660.30,58.50,60694.23,3550612.60,在售,商业
106,68.73,51060.30,58.50,59989.30,3509374.60,在售,商业
105,67.90,51060.30,57.79,59992.98,3466994.55,在售,商业
104,78.41,51726.96,66.74,60771.82,4055911.67,在售,商业
103,66.81,51660.30,56.86,60700.40,3451424.82,在售,商业
102,73.10,56993.63,62.22,66959.73,4166234.79,在售,商业
101,77.24,54326.96,65.74,63830.47,4196215.11,在售,商业
2D3405,66.78,10428.40,51.77,13451.97,696409.00,在售,住宅
2D3404,68.46,10473.85,53.08,13508.66,717040.00,在售,住宅
2D3403,66.96,11548.23,51.92,14893.48,773270.00,在售,住宅
2D3402,66.96,11574.95,51.92,14927.94,775059.00,在售,住宅
2D3401,67.96,10586.09,52.69,13654.03,719431.00,在售,住宅
2D3305,66.78,10668.41,51.77,13761.58,712437.00,在售,住宅
2D3304,68.46,10713.84,53.08,13818.19,733470.00,在售,住宅
2D3303,66.96,11788.23,51.92,15203.00,789340.00,在售,住宅
2D3302,66.96,11814.96,51.92,15237.48,791130.00,在售,住宅
2D3301,67.96,10826.10,52.69,13963.59,735742.00,在售,住宅
2D3205,66.78,10638.40,51.77,13722.87,710433.00,在售,住宅
2D3204,68.46,10683.84,53.08,13779.50,731416.00,在售,住宅
2D3203,66.96,11758.22,51.92,15164.31,787331.00,在售,住宅
2D3202,66.96,11784.96,51.92,15198.78,789121.00,在售,住宅
2D3201,67.96,10796.10,52.69,13924.90,733703.00,在售,住宅
