房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3栋209,92.26,43567.04,56.96,70566.98,4019495.35,在售,商业
3栋208,96.49,42407.70,59.57,68690.93,4091918.61,在售,商业
3栋207,90.68,41980.57,55.98,68002.82,3806797.96,在售,商业
3栋206,93.71,42041.59,57.85,68102.28,3939717.10,在售,商业
3栋205,135.37,45628.59,83.58,73902.16,6176742.18,在售,商业
3栋204,147.38,45628.59,90.99,73906.38,6724741.54,在售,商业
3栋203,85.82,47062.52,52.98,76234.53,4038905.30,在售,商业
3栋201,109.82,56860.31,67.80,92100.28,6244398.97,在售,商业
3栋113,49.12,86391.69,38.97,108892.99,4243559.73,在售,商业
3栋112,121.69,83013.90,96.56,104618.49,10101961.18,在售,商业
3栋111,68.35,84459.44,54.23,106450.36,5772803.02,在售,商业
3栋110,53.86,73323.62,42.74,92400.80,3949210.02,在售,商业
3栋109,83.57,77188.11,66.31,97279.60,6450609.94,在售,商业
3栋108,79.97,77674.80,63.46,97882.98,6211653.93,在售,商业
3栋107,86.55,80013.83,68.68,100832.81,6925197.37,在售,商业
3栋106,121.57,63618.81,96.47,80171.43,7734138.32,在售,商业
3栋105,94.05,80166.38,74.63,101027.04,7539648.04,在售,商业
3栋104,96.60,80471.47,76.66,101402.87,7773544.11,在售,商业
3栋103,83.18,80674.87,66.00,101674.78,6710535.29,在售,商业
3栋102,59.59,80979.96,47.29,102042.62,4825595.60,在售,商业
3栋101,110.65,85174.96,87.80,107341.79,9424609.30,在售,商业
2栋216,55.17,58146.20,34.61,92687.83,3207925.74,在售,商业
2栋215,83.36,57214.62,52.29,91210.76,4769410.49,在售,商业
2栋214,196.15,49418.17,123.04,78782.30,9693373.83,在售,商业
2栋213,121.38,49107.64,76.14,78285.86,5960685.58,在售,商业
2栋212,142.69,49107.64,89.50,78292.40,7007169.43,在售,商业
2栋211,114.46,49883.96,71.79,79533.61,5709717.98,在售,商业
2栋210,157.84,49806.33,99.01,79400.37,7861430.74,在售,商业
2栋209,108.70,48797.12,68.19,77786.28,5304246.41,在售,商业
2栋208,118.61,48797.12,74.40,77793.36,5787825.82,在售,商业
2栋207,138.28,49573.43,86.74,79029.45,6855014.22,在售,商业
2栋206,94.57,56438.30,59.32,89975.89,5337370.02,在售,商业
2栋205,97.38,56438.30,61.08,89979.73,5495961.65,在售,商业
2栋204,50.87,57680.41,31.91,91952.44,2934202.33,在售,商业
2栋203,144.69,49728.70,90.76,79277.71,7195245.00,在售,商业
2栋202,106.56,48797.12,66.84,77795.04,5199820.58,在售,商业
2栋201,121.38,48797.12,76.14,77790.83,5922993.82,在售,商业
2栋124,52.82,82677.84,42.00,103977.22,4367043.43,在售,商业
2栋123,45.73,80626.14,36.36,101403.56,3687033.51,在售,商业
2栋122,54.58,80293.44,43.40,100977.32,4382415.70,在售,商业
2栋121,58.93,80293.44,46.86,100975.08,4731692.14,在售,商业
2栋120,70.68,80071.63,56.20,100702.19,5659462.84,在售,商业
2栋119,69.73,80182.53,55.45,100831.88,5591128.02,在售,商业
2栋118,60.07,73472.93,47.77,92391.02,4413519.11,在售,商业
2栋117,38.89,80737.05,30.92,101547.98,3139863.69,在售,商业
2栋116,39.48,80737.05,31.40,101512.69,3187498.54,在售,商业
2栋115,74.38,100933.19,59.14,126943.03,7507410.72,在售,商业
2栋114,154.73,94972.18,123.04,119433.08,14695045.86,在售,商业
2栋113,98.81,104482.07,78.57,131397.14,10323873.31,在售,商业
2栋112,107.37,105341.56,85.37,132488.27,11310523.71,在售,商业
2栋111,90.39,100002.40,71.88,125754.27,9039216.92,在售,商业
2栋110,135.60,71262.80,107.83,89615.46,9663235.54,在售,商业
2栋109,87.64,100224.20,69.69,126038.88,8783649.31,在售,商业
2栋108,86.83,100224.20,69.05,126031.39,8702467.70,在售,商业
2栋107,89.21,100224.20,70.94,126036.11,8941001.31,在售,商业
2栋106,75.28,100335.11,59.86,126181.54,7553226.87,在售,商业
2栋105,72.49,100335.11,57.64,126184.80,7273291.92,在售,商业
2栋104,35.83,108042.83,28.49,135878.36,3871174.56,在售,商业
2栋103,129.79,79580.48,103.21,100075.10,10328751.05,在售,商业
2栋102,84.06,100224.20,66.84,126044.98,8424846.65,在售,商业
2栋101,85.44,108874.60,67.94,136918.54,9302245.61,在售,商业
5栋3123,76.89,42683.13,58.80,55814.73,3281906.00,在售,宿舍
5栋3122,45.45,42286.27,34.76,55290.88,1921911.00,在售,宿舍
5栋3121,45.45,42286.27,34.76,55290.88,1921911.00,在售,宿舍
5栋3120,45.45,41286.27,34.76,53983.34,1876461.00,在售,宿舍
5栋3119,45.45,41286.27,34.76,53983.34,1876461.00,在售,宿舍
5栋3118,45.45,42286.27,34.76,55290.88,1921911.00,在售,宿舍
5栋3117,45.45,42286.27,34.76,55290.88,1921911.00,在售,宿舍
5栋3116,45.45,42286.27,34.76,55290.88,1921911.00,在售,宿舍
5栋3115,45.45,42286.27,34.76,55290.88,1921911.00,在售,宿舍
5栋3114,46.37,41286.26,35.46,53988.83,1914444.00,在售,宿舍
5栋3113,46.37,42286.26,35.46,55296.50,1960814.00,在售,宿舍
5栋3112,46.79,42286.26,35.78,55298.32,1978574.00,在售,宿舍
5栋3111,76.93,42492.66,58.83,55566.21,3268960.00,在售,宿舍
5栋3110,75.11,41016.46,57.44,53634.16,3080746.00,在售,宿舍
5栋3109,44.54,40673.37,34.06,53188.26,1811592.00,在售,宿舍
5栋3108,44.54,40673.37,34.06,53188.26,1811592.00,在售,宿舍
5栋3107,44.48,40673.36,34.01,53194.68,1809151.00,在售,宿舍
5栋3106,44.54,40673.37,34.06,53188.26,1811592.00,在售,宿舍
5栋3105,44.54,40286.26,34.06,52682.03,1794350.00,在售,宿舍
5栋3104,45.94,40286.26,35.13,52682.92,1850751.00,在售,宿舍
5栋3103,45.94,40286.26,35.13,52682.92,1850751.00,在售,宿舍
5栋3102,44.54,40286.26,34.06,52682.03,1794350.00,在售,宿舍
5栋3101,75.11,40683.13,57.44,53198.29,3055710.00,在售,宿舍
5栋3023,76.89,42983.13,58.80,56207.02,3304973.00,在售,宿舍
5栋3022,45.45,42586.27,34.76,55683.14,1935546.00,在售,宿舍
5栋3021,45.45,42586.27,34.76,55683.14,1935546.00,在售,宿舍
5栋3020,45.45,41586.27,34.76,54375.60,1890096.00,在售,宿舍
5栋3019,45.45,41586.27,34.76,54375.60,1890096.00,在售,宿舍
5栋3018,45.45,42586.27,34.76,55683.14,1935546.00,在售,宿舍
5栋3017,45.45,42586.27,34.76,55683.14,1935546.00,在售,宿舍
5栋3016,45.45,42586.27,34.76,55683.14,1935546.00,在售,宿舍
5栋3015,45.45,42586.27,34.76,55683.14,1935546.00,在售,宿舍
5栋3014,46.37,41586.26,35.46,54381.13,1928355.00,在售,宿舍
5栋3013,46.37,42586.26,35.46,55688.80,1974725.00,在售,宿舍
5栋3012,46.79,42586.26,35.78,55690.64,1992611.00,在售,宿舍
5栋3011,76.93,42792.66,58.83,55958.51,3292039.00,在售,宿舍
5栋3010,75.11,41316.46,57.44,54026.44,3103279.00,在售,宿舍
5栋3009,44.54,40973.37,34.06,53580.56,1824954.00,在售,宿舍
5栋3008,44.54,40973.37,34.06,53580.56,1824954.00,在售,宿舍
5栋3007,44.48,40973.36,34.01,53587.03,1822495.00,在售,宿舍
5栋3006,44.54,40973.37,34.06,53580.56,1824954.00,在售,宿舍
5栋3005,44.54,40586.26,34.06,53074.34,1807712.00,在售,宿舍
5栋3004,45.94,40586.26,35.13,53075.23,1864533.00,在售,宿舍
5栋3003,45.94,40586.26,35.13,53075.23,1864533.00,在售,宿舍
5栋3002,44.54,40586.26,34.06,53074.34,1807712.00,在售,宿舍
5栋3001,75.11,40983.13,57.44,53590.58,3078243.00,在售,宿舍
5栋2923,76.89,42983.13,58.80,56207.02,3304973.00,在售,宿舍
5栋2922,45.45,42586.27,34.76,55683.14,1935546.00,在售,宿舍
5栋2921,45.45,42586.27,34.76,55683.14,1935546.00,在售,宿舍
5栋2920,45.45,41586.27,34.76,54375.60,1890096.00,在售,宿舍
5栋2919,45.45,41586.27,34.76,54375.60,1890096.00,在售,宿舍
5栋2918,45.45,42586.27,34.76,55683.14,1935546.00,在售,宿舍
5栋2917,45.45,42586.27,34.76,55683.14,1935546.00,在售,宿舍
5栋2916,45.45,42586.27,34.76,55683.14,1935546.00,在售,宿舍
5栋2915,45.45,42586.27,34.76,55683.14,1935546.00,在售,宿舍
5栋2914,46.37,41586.26,35.46,54381.13,1928355.00,在售,宿舍
5栋2913,46.37,42586.26,35.46,55688.80,1974725.00,在售,宿舍
5栋2912,46.79,42586.26,35.78,55690.64,1992611.00,在售,宿舍
5栋2911,76.93,42792.66,58.83,55958.51,3292039.00,在售,宿舍
5栋2910,75.11,41316.46,57.44,54026.44,3103279.00,在售,宿舍
5栋2909,44.54,40973.37,34.06,53580.56,1824954.00,在售,宿舍
5栋2908,44.54,40973.37,34.06,53580.56,1824954.00,在售,宿舍
5栋2907,44.48,40973.36,34.01,53587.03,1822495.00,在售,宿舍
5栋2906,44.54,40973.37,34.06,53580.56,1824954.00,在售,宿舍
5栋2905,44.54,40586.26,34.06,53074.34,1807712.00,在售,宿舍
5栋2904,45.94,40586.26,35.13,53075.23,1864533.00,在售,宿舍
5栋2903,45.94,40586.26,35.13,53075.23,1864533.00,在售,宿舍
5栋2902,44.54,40586.26,34.06,53074.34,1807712.00,在售,宿舍
5栋2901,75.11,40983.13,57.44,53590.58,3078243.00,在售,宿舍
5栋2823,76.89,42983.13,58.80,56207.02,3304973.00,在售,宿舍
5栋2822,45.45,42586.27,34.76,55683.14,1935546.00,在售,宿舍
5栋2821,45.45,42586.27,34.76,55683.14,1935546.00,在售,宿舍
5栋2820,45.45,41586.27,34.76,54375.60,1890096.00,在售,宿舍
5栋2819,45.45,41586.27,34.76,54375.60,1890096.00,在售,宿舍
5栋2818,45.45,42586.27,34.76,55683.14,1935546.00,在售,宿舍
5栋2817,45.45,42586.27,34.76,55683.14,1935546.00,在售,宿舍
5栋2816,45.45,42586.27,34.76,55683.14,1935546.00,在售,宿舍
5栋2815,45.45,42586.27,34.76,55683.14,1935546.00,在售,宿舍
5栋2814,46.37,41586.26,35.46,54381.13,1928355.00,在售,宿舍
5栋2813,46.37,42586.26,35.46,55688.80,1974725.00,在售,宿舍
5栋2812,46.79,42586.26,35.78,55690.64,1992611.00,在售,宿舍
5栋2811,76.93,42792.66,58.83,55958.51,3292039.00,在售,宿舍
5栋2810,75.11,41316.46,57.44,54026.44,3103279.00,在售,宿舍
5栋2809,44.54,40973.37,34.06,53580.56,1824954.00,在售,宿舍
5栋2808,44.54,40973.37,34.06,53580.56,1824954.00,在售,宿舍
5栋2807,44.48,40973.36,34.01,53587.03,1822495.00,在售,宿舍
5栋2806,44.54,40973.37,34.06,53580.56,1824954.00,在售,宿舍
5栋2805,44.54,40586.26,34.06,53074.34,1807712.00,在售,宿舍
