房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2B614,87.35,33103.63,60.46,47826.69,2891602.00,在售,公寓式办公
2B613,73.95,34196.85,51.19,49401.38,2528857.00,在售,公寓式办公
2B612,36.40,34861.26,25.20,50355.15,1268950.00,在售,公寓式办公
2B611,36.32,34861.26,25.14,50364.39,1266161.00,在售,公寓式办公
2B610,48.01,34695.67,33.23,50127.56,1665739.00,在售,公寓式办公
2B609,48.38,33921.08,33.49,49002.74,1641102.00,在售,公寓式办公
2B608,48.01,34695.67,33.23,50127.56,1665739.00,在售,公寓式办公
2B607,48.18,33921.09,33.35,49005.03,1634318.00,在售,公寓式办公
2B606,47.70,35095.66,33.02,50698.45,1674063.00,在售,公寓式办公
2B605,47.48,33521.08,32.86,48435.20,1591581.00,在售,公寓式办公
2B604,36.40,34861.26,25.20,50355.15,1268950.00,在售,公寓式办公
2B603,36.40,34861.26,25.19,50375.14,1268950.00,在售,公寓式办公
2B602,87.35,33205.32,60.46,47973.61,2900485.00,在售,公寓式办公
2B601,73.95,34196.85,51.18,49411.03,2528857.00,在售,公寓式办公
2B714,87.35,32833.63,60.46,47436.61,2868018.00,在售,公寓式办公
2B713,73.95,33896.85,51.19,48968.00,2506672.00,在售,公寓式办公
2B712,36.40,34591.26,25.20,49965.15,1259122.00,在售,公寓式办公
2B710,48.01,34425.66,33.23,49737.46,1652776.00,在售,公寓式办公
2B709,48.38,33621.08,33.49,48569.36,1626588.00,在售,公寓式办公
2B708,48.01,34425.66,33.23,49737.46,1652776.00,在售,公寓式办公
2B707,48.18,33621.09,33.35,48571.63,1619864.00,在售,公寓式办公
2B706,47.70,34825.66,33.02,50308.41,1661184.00,在售,公寓式办公
2B705,47.48,33221.08,32.86,48001.73,1577337.00,在售,公寓式办公
2B704,36.40,34591.26,25.20,49965.15,1259122.00,在售,公寓式办公
2B703,36.40,34591.26,25.19,49984.99,1259122.00,在售,公寓式办公
2B702,87.35,32935.32,60.46,47583.52,2876900.00,在售,公寓式办公
2B701,73.95,33896.85,51.18,48977.56,2506672.00,在售,公寓式办公
2B814,87.91,32833.63,61.09,47248.38,2886404.00,在售,公寓式办公
2B813,75.21,33896.85,52.27,48773.33,2549382.00,在售,公寓式办公
2B812,36.64,34591.24,25.47,49761.40,1267423.00,在售,公寓式办公
2B811,36.11,34591.25,25.09,49784.37,1249090.00,在售,公寓式办公
2B810,48.72,34425.66,33.86,49533.90,1677218.00,在售,公寓式办公
2B809,48.72,33621.08,33.86,48376.22,1638019.00,在售,公寓式办公
2B808,48.72,34425.66,33.86,49533.90,1677218.00,在售,公寓式办公
2B807,48.72,33621.08,33.86,48376.22,1638019.00,在售,公寓式办公
2B806,48.81,34825.65,33.92,50113.20,1699840.00,在售,公寓式办公
2B805,48.18,33221.09,33.48,47807.40,1600592.00,在售,公寓式办公
2B804,36.11,34591.25,25.09,49784.37,1249090.00,在售,公寓式办公
2B803,36.64,34591.24,25.46,49780.95,1267423.00,在售,公寓式办公
2B802,87.91,32935.32,61.09,47394.72,2895344.00,在售,公寓式办公
2B801,75.21,33896.85,52.27,48773.33,2549382.00,在售,公寓式办公
2B914,87.91,32853.63,61.09,47277.18,2888163.00,在售,公寓式办公
2B913,75.21,34026.84,52.27,48960.37,2559159.00,在售,公寓式办公
2B912,36.64,34611.24,25.47,49790.18,1268156.00,在售,公寓式办公
2B911,36.11,34611.24,25.09,49813.15,1249812.00,在售,公寓式办公
2B910,48.72,34445.67,33.86,49562.69,1678193.00,在售,公寓式办公
2B909,48.72,33751.09,33.86,48563.29,1644353.00,在售,公寓式办公
2B908,48.72,34445.67,33.86,49562.69,1678193.00,在售,公寓式办公
2B907,48.72,33751.09,33.86,48563.29,1644353.00,在售,公寓式办公
2B906,48.81,34845.67,33.92,50142.01,1700817.00,在售,公寓式办公
2B905,48.18,33351.08,33.48,47994.47,1606855.00,在售,公寓式办公
2B904,36.11,34611.24,25.09,49813.15,1249812.00,在售,公寓式办公
2B903,36.64,34611.24,25.46,49809.74,1268156.00,在售,公寓式办公
