房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2号楼栋B单元3305,89.68,27112.00,69.51,34979.28,2431410.00,在售,住宅
2号楼栋B单元3304,77.64,27460.00,60.18,35427.47,2132025.00,在售,住宅
2号楼栋B单元3303,118.46,27755.00,91.47,35945.09,3287897.00,在售,住宅
2号楼栋B单元3302,87.96,26220.00,67.93,33950.66,2306268.00,在售,住宅
2号楼栋B单元3301,69.14,25657.00,53.59,33101.88,1773930.00,在售,住宅
2号楼栋B单元3205,89.68,27112.00,69.51,34979.28,2431410.00,在售,住宅
2号楼栋B单元3204,77.64,27460.00,60.18,35427.47,2132025.00,在售,住宅
2号楼栋B单元3203,118.87,27753.00,91.79,35940.73,3299000.00,在售,住宅
2号楼栋B单元3202,88.37,26215.00,68.25,33943.52,2316645.00,在售,住宅
2号楼栋B单元3201,69.14,25657.00,53.58,33108.06,1773930.00,在售,住宅
2号楼栋B单元3105,89.68,27082.00,69.51,34940.57,2428719.00,在售,住宅
2号楼栋B单元3104,77.64,27430.00,60.18,35388.77,2129696.00,在售,住宅
2号楼栋B单元3103,118.87,27713.00,91.79,35888.93,3294245.00,在售,住宅
2号楼栋B单元3102,88.37,26185.00,68.25,33904.67,2313994.00,在售,住宅
2号楼栋B单元3101,69.14,25627.00,53.58,33069.35,1771856.00,在售,住宅
2号楼栋B单元3005,89.68,27042.00,69.51,34888.97,2425132.00,在售,住宅
2号楼栋B单元3004,77.64,27400.00,60.18,35350.07,2127367.00,在售,住宅
2号楼栋B单元3003,118.87,27683.00,91.79,35850.08,3290679.00,在售,住宅
2号楼栋B单元3002,88.37,26145.00,68.25,33852.88,2310459.00,在售,住宅
2号楼栋B单元3001,69.14,25597.00,53.58,33030.65,1769782.00,在售,住宅
2号楼栋B单元2905,89.68,27012.00,69.51,34850.27,2422442.00,在售,住宅
2号楼栋B单元2904,77.64,27370.00,60.18,35311.37,2125038.00,在售,住宅
2号楼栋B单元2903,118.87,27653.00,91.79,35811.23,3287113.00,在售,住宅
2号楼栋B单元2902,88.37,26115.00,68.25,33814.04,2307808.00,在售,住宅
2号楼栋B单元2901,69.14,25567.00,53.58,32991.92,1767707.00,在售,住宅
2号楼栋B单元2805,89.68,26982.00,69.51,34811.55,2419751.00,在售,住宅
2号楼栋B单元2804,77.64,27330.00,60.18,35259.75,2121932.00,在售,住宅
2号楼栋B单元2803,118.87,27623.00,91.79,35772.38,3283547.00,在售,住宅
2号楼栋B单元2802,88.37,26085.00,68.25,33775.19,2305157.00,在售,住宅
2号楼栋B单元2801,69.14,25537.00,53.58,32953.21,1765633.00,在售,住宅
2号楼栋B单元2705,89.68,26952.00,69.51,34772.85,2417061.00,在售,住宅
2号楼栋B单元2704,77.64,27300.00,60.18,35221.05,2119603.00,在售,住宅
2号楼栋B单元2703,118.87,27583.00,91.79,35720.58,3278792.00,在售,住宅
2号楼栋B单元2702,88.37,26055.00,68.25,33736.35,2302506.00,在售,住宅
2号楼栋B单元2701,69.14,25497.00,53.58,32901.61,1762868.00,在售,住宅
2号楼栋B单元2605,89.68,26922.00,69.51,34734.14,2414370.00,在售,住宅
2号楼栋B单元2604,77.64,27270.00,60.18,35182.35,2117274.00,在售,住宅
2号楼栋B单元2603,118.87,27553.00,91.79,35681.73,3275226.00,在售,住宅
2号楼栋B单元2602,88.37,26025.00,68.25,33697.49,2299854.00,在售,住宅
2号楼栋B单元2601,69.14,25467.00,53.58,32862.88,1760793.00,在售,住宅
2号楼栋B单元2505,89.68,26882.00,69.51,34682.53,2410783.00,在售,住宅
2号楼栋B单元2504,77.64,27240.00,60.18,35143.64,2114944.00,在售,住宅
2号楼栋B单元2503,118.87,27523.00,91.79,35642.88,3271660.00,在售,住宅
