房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
11号008,67.41,72515.97,65.54,74585.01,4888302.00,在售,商业
11号007,65.74,74472.22,63.93,76580.69,4895804.00,在售,商业
11号006,65.74,76406.57,63.93,78569.81,5022968.00,在售,商业
11号005,65.74,78340.91,63.93,80558.92,5150132.00,在售,商业
11号004,99.79,70414.56,97.03,72417.48,7026669.00,在售,商业
11号003,109.31,89554.60,106.29,92099.10,9789214.00,在售,商业
11号002,104.58,89557.19,101.69,92102.37,9365891.00,在售,商业
11号001,162.00,41113.00,157.52,42282.88,6660399.00,在售,商业
5号077,92.78,53861.00,90.21,55395.53,4997230.00,在售,商业
5号076,88.45,65116.75,86.01,66964.03,5759577.00,在售,商业
5号075,174.53,29304.00,169.70,30138.96,5114581.00,在售,商业
5号074,174.41,29313.95,169.57,30150.00,5112646.00,在售,商业
5号073,97.51,49619.00,94.81,51032.60,4838400.00,在售,商业
5号072,116.12,60461.00,112.92,62174.57,7020752.00,在售,商业
5号071,100.95,48958.00,98.15,50355.26,4942368.00,在售,商业
5号070,110.89,46661.00,107.83,47986.03,5174333.00,在售,商业
5号069,236.52,23504.00,229.97,24174.38,5559382.00,在售,商业
5号068,200.22,27777.00,194.68,28568.20,5561657.00,在售,商业
5号067,89.78,68831.00,87.30,70787.29,6179730.00,在售,商业
5号066,89.06,72204.00,86.60,74255.25,6430504.00,在售,商业
4号065,114.83,58415.22,111.66,60073.00,6707819.00,在售,商业
4号064,97.58,38149.38,94.88,39234.00,3722616.00,在售,商业
4号063,86.41,46374.93,84.01,47699.00,4007257.00,在售,商业
4号062,110.38,35934.83,107.33,36955.00,3966487.00,在售,商业
4号061,99.60,34465.22,96.85,35443.00,3432735.00,在售,商业
4号060,155.69,33129.19,151.38,34072.00,5157885.00,在售,商业
4号059,93.08,38012.27,90.50,39095.00,3538182.00,在售,商业
4号058,123.34,50045.50,119.93,51468.00,6172611.00,在售,商业
4号057,80.14,46878.06,77.92,48213.00,3756808.00,在售,商业
4号056,104.30,52747.72,101.41,54250.00,5501588.00,在售,商业
4号055,143.58,35273.58,139.62,36274.00,5064581.00,在售,商业
4号054,40.50,80804.49,39.38,83102.00,3272582.00,在售,商业
4号053,39.58,79705.00,38.48,81983.00,3154724.00,在售,商业
3号052,51.02,75202.87,49.61,77340.00,3836850.00,在售,商业
3号051,50.40,73390.61,49.00,75487.00,3698887.00,在售,商业
3号050,50.40,73390.61,49.01,75472.00,3698887.00,在售,商业
3号049,70.59,62779.41,68.64,64562.00,4431598.00,在售,商业
3号048,75.39,42599.77,73.31,43808.00,3211596.00,在售,商业
3号047,62.71,45700.09,60.98,46996.00,2865853.00,在售,商业
3号046,26.88,78377.68,26.13,80627.00,2106792.00,在售,商业
3号045,33.41,77766.05,32.49,79968.00,2598164.00,在售,商业
3号044,38.78,51552.78,37.71,53015.00,1999216.00,在售,商业
3号043,64.42,57648.00,62.63,59296.00,3713708.00,在售,商业
3号042,50.74,72966.00,49.34,75036.96,3702324.00,在售,商业
2号041,50.74,77785.00,49.33,80009.27,3946857.00,在售,商业
2号040,64.66,55658.00,62.87,57243.40,3598892.00,在售,商业
2号039,35.69,47846.00,34.70,49211.07,1707624.00,在售,商业
2号038,33.41,68779.00,32.48,70748.37,2297907.00,在售,商业
2号037,54.99,59751.00,53.46,61461.85,3285750.00,在售,商业
2号036,40.33,68323.00,39.22,70257.48,2755498.00,在售,商业
2号035,80.09,36037.00,77.88,37060.20,2886248.00,在售,商业
2号034,77.83,36005.00,75.67,37033.16,2802299.00,在售,商业
2号033,40.74,51901.00,39.61,53381.78,2114452.00,在售,商业
2号032,54.58,51427.00,53.07,52890.40,2806893.00,在售,商业
2号031,33.41,67919.00,32.48,69864.01,2269183.00,在售,商业
2号030,35.95,45581.00,34.95,46885.47,1638647.00,在售,商业
2号029,50.88,49199.00,49.47,50602.01,2503281.00,在售,商业
2号028,64.69,65340.00,62.90,67199.51,4226849.00,在售,商业
1号027,123.28,31777.00,119.87,32681.97,3917587.00,在售,商业
1号026,161.00,34839.00,156.54,35831.74,5609100.00,在售,商业
1号025,166.43,38875.70,161.82,39983.00,6470082.00,在售,商业
1号024,85.29,47632.00,82.93,48987.50,4062533.00,在售,商业
1号023,97.19,56132.00,94.50,57730.49,5455531.00,在售,商业
1号022,94.55,39862.00,91.94,40993.70,3768960.00,在售,商业
1号021,96.97,46064.00,94.28,47379.05,4466896.00,在售,商业
1号020,146.00,35625.00,141.96,36639.13,5201290.00,在售,商业
1号019,95.48,46598.00,92.83,47928.96,4449245.00,在售,商业
1号018,96.69,46183.00,94.01,47499.86,4465461.00,在售,商业
1号017,85.79,45871.00,83.41,47180.26,3935305.00,在售,商业
1号016,166.42,37919.00,161.81,38999.49,6310507.00,在售,商业
1号015,145.65,35498.00,141.62,36508.20,5170291.00,在售,商业
1号014,73.46,49325.00,71.43,50726.97,3623427.00,在售,商业
1号013,123.09,34674.00,119.68,35662.14,4268044.00,在售,商业
1号012,72.30,45269.00,70.30,46557.75,3273010.00,在售,商业
1号011,76.17,45903.00,74.06,47211.18,3496459.00,在售,商业
1号010,127.47,33564.00,123.95,34518.12,4278520.00,在售,商业
1号009,20.07,84763.00,19.51,87196.42,1701202.00,在售,商业
6号095,41.11,72896.00,39.97,74975.26,2996761.00,在售,商业
6号094,110.26,45955.00,107.21,47263.13,5067080.00,在售,商业
6号093,110.26,44008.00,107.21,45260.15,4852340.00,在售,商业
6号092,41.11,65886.00,39.97,67766.10,2708611.00,在售,商业
6号091,99.08,40052.00,96.34,41191.30,3968369.00,在售,商业
6号090,91.64,41001.00,89.10,42170.55,3757396.00,在售,商业
6号089,91.64,41527.00,89.10,42711.21,3805568.00,在售,商业
6号088,99.32,38997.00,96.56,40112.09,3873223.00,在售,商业
6号087,41.11,65886.00,39.97,67766.10,2708611.00,在售,商业
6号086,110.26,46649.14,107.21,47976.26,5143535.00,在售,商业
6号085,110.26,45785.27,107.21,47087.80,5048284.00,在售,商业
6号084,41.10,75283.89,39.97,77412.25,3094168.00,在售,商业
6号083,89.58,47970.00,87.10,49336.78,4297233.00,在售,商业
6号082,91.64,48361.00,89.10,49740.35,4431865.00,在售,商业
6号081,91.64,49413.00,89.10,50821.67,4528210.00,在售,商业
6号080,92.08,49939.00,89.54,51356.08,4598423.00,在售,商业
6号079,92.08,51198.00,89.54,52650.45,4714321.00,在售,商业
6号078,91.64,52576.00,89.10,54075.50,4818127.00,在售,商业
6号B单元404,87.94,23325.60,67.53,30375.44,2051254.00,在售,住宅
6号B单元504,87.94,23347.17,67.53,30403.53,2053151.00,在售,住宅
6号B单元604,87.94,23368.75,67.53,30431.63,2055048.00,在售,住宅
6号B单元704,87.94,23390.32,67.53,30459.72,2056945.00,在售,住宅
6号B单元804,87.94,23411.89,67.53,30487.81,2058842.00,在售,住宅
6号B单元904,87.94,23433.46,67.53,30515.90,2060739.00,在售,住宅
6号B单元1004,87.94,23455.03,67.53,30543.99,2062636.00,在售,住宅
6号B单元1104,87.94,23476.60,67.53,30572.08,2064533.00,在售,住宅
6号B单元1204,87.94,23498.18,67.53,30600.17,2066430.00,在售,住宅
6号B单元1304,87.94,23519.75,67.53,30628.26,2068327.00,在售,住宅
6号B单元1404,87.94,23584.47,67.53,30712.55,2074019.00,在售,住宅
6号B单元1504,87.94,23649.19,67.53,30796.83,2079710.00,在售,住宅
6号B单元1604,87.94,23713.90,67.53,30881.10,2085401.00,在售,住宅
6号B单元1704,87.94,23778.62,67.53,30965.37,2091092.00,在售,住宅
6号B单元1804,87.94,23843.34,67.53,31049.66,2096784.00,在售,住宅
6号B单元1904,87.94,23908.06,67.53,31133.94,2102475.00,在售,住宅
6号B单元2004,87.94,23972.77,67.53,31218.21,2108166.00,在售,住宅
6号B单元2104,87.94,24037.49,67.53,31302.48,2113857.00,在售,住宅
6号B单元2204,87.94,24102.21,67.53,31386.77,2119549.00,在售,住宅
6号B单元2304,87.94,24166.93,67.53,31471.04,2125240.00,在售,住宅
6号B单元2404,87.94,24118.38,67.53,31407.83,2120971.00,在售,住宅
6号B单元2504,87.94,24069.85,67.53,31344.63,2116703.00,在售,住宅
6号B单元2604,87.94,24021.32,67.53,31281.43,2112435.00,在售,住宅
6号B单元2704,87.94,23972.77,67.53,31218.21,2108166.00,在售,住宅
6号B单元2804,87.94,23924.24,67.53,31155.01,2103898.00,在售,住宅
6号B单元2904,87.94,23875.69,67.53,31091.79,2099629.00,在售,住宅
6号B单元3004,87.94,23827.16,67.53,31028.59,2095361.00,在售,住宅
6号B单元3104,87.94,23778.62,67.53,30965.37,2091092.00,在售,住宅
6号B单元3204,87.94,23730.08,67.53,30902.17,2086824.00,在售,住宅
6号B单元3304,87.94,23681.55,67.53,30838.97,2082556.00,在售,住宅
6号B单元3404,87.94,23633.01,67.53,30775.75,2078287.00,在售,住宅
6号B单元3504,87.94,23411.89,67.53,30487.81,2058842.00,在售,住宅
6号B单元403,78.19,21831.62,60.04,28431.29,1707015.00,在售,住宅
6号B单元503,78.19,21853.20,60.04,28459.39,1708702.00,在售,住宅
6号B单元603,78.19,21874.77,60.04,28487.49,1710389.00,在售,住宅
6号B单元703,78.19,21896.35,60.04,28515.58,1712076.00,在售,住宅
6号B单元803,78.19,21917.91,60.04,28543.67,1713762.00,在售,住宅
6号B单元903,78.19,21939.49,60.04,28571.76,1715449.00,在售,住宅
6号B单元1003,78.19,21961.06,60.04,28599.86,1717136.00,在售,住宅
6号B单元1103,78.19,21982.64,60.04,28627.96,1718823.00,在售,住宅
6号B单元1203,78.19,22004.20,60.04,28656.04,1720509.00,在售,住宅
6号B单元1303,78.19,22025.78,60.04,28684.14,1722196.00,在售,住宅
6号B单元1403,78.19,22090.49,60.04,28768.42,1727256.00,在售,住宅
6号B单元1503,78.19,22155.22,60.04,28852.71,1732317.00,在售,住宅
6号B单元1603,78.19,22219.93,60.04,28936.99,1737377.00,在售,住宅
6号B单元1703,78.19,22284.65,60.04,29021.26,1742437.00,在售,住宅
6号B单元1803,78.19,22349.36,60.04,29105.54,1747497.00,在售,住宅
6号B单元1903,78.19,22414.09,60.04,29189.84,1752558.00,在售,住宅
6号B单元2003,78.19,22478.80,60.04,29274.11,1757618.00,在售,住宅
6号B单元2103,78.19,22543.52,60.04,29358.39,1762678.00,在售,住宅
