房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
5栋二单元02G,127.94,41268.19,100.52,52525.39,5279852.39,已产权备案,住宅
5栋二单元02F,134.70,38981.28,105.84,49610.54,5250779.62,已产权备案,住宅
5栋二单元02E,88.34,39137.21,69.41,49810.99,3457381.49,已产权备案,住宅
5栋一单元02D,76.46,35862.78,60.47,45345.93,2742068.60,已产权备案,住宅
5栋一单元02C,76.46,35135.13,60.47,44425.87,2686432.43,已产权备案,住宅
5栋一单元02B,87.77,37629.93,69.41,47583.62,3302779.62,已产权备案,住宅
5栋一单元02A,134.47,41060.29,106.35,51917.04,5521377.33,已产权备案,住宅
5栋二单元03G,127.94,41580.04,100.52,52922.30,5319750.51,已产权备案,住宅
5栋二单元03F,134.70,39293.13,105.84,50007.42,5292785.86,已产权备案,住宅
5栋二单元03E,88.34,39449.06,69.41,50207.90,3484930.35,已产权备案,住宅
5栋一单元03D,76.46,36174.63,60.47,45740.24,2765912.68,已产权备案,住宅
5栋一单元03C,76.46,35446.98,60.47,44820.18,2710276.50,已产权备案,住宅
5栋一单元03B,87.77,37941.78,69.41,47977.96,3330150.72,已产权备案,住宅
5栋一单元03A,134.43,41372.14,106.32,52310.54,5561656.96,在售,住宅
5栋二单元04G,127.94,41787.94,100.52,53186.92,5346349.27,已产权备案,住宅
5栋二单元04F,134.70,39501.03,105.84,50272.01,5320790.02,已产权备案,住宅
5栋二单元04E,88.34,39656.96,69.41,50472.50,3503296.25,已产权备案,住宅
5栋一单元04D,76.46,36382.53,60.47,46003.12,2781808.73,已产权备案,住宅
5栋一单元04C,76.46,35654.88,60.47,45083.05,2726172.55,已产权备案,住宅
5栋一单元04B,87.77,38149.68,69.41,48240.86,3348398.12,已产权备案,住宅
5栋一单元04A,134.43,41580.04,106.32,52573.41,5589604.98,已产权备案,住宅
5栋二单元05G,127.94,41995.84,100.52,53451.53,5372948.02,在售,住宅
5栋二单元05F,134.70,39708.93,105.84,50536.60,5348794.17,已产权备案,住宅
5栋二单元05E,88.34,39864.86,69.41,50737.10,3521662.16,已产权备案,住宅
5栋一单元05D,76.46,36590.43,60.47,46265.99,2797704.78,已产权备案,住宅
5栋一单元05C,76.46,35862.78,60.47,45345.93,2742068.60,已产权备案,住宅
5栋一单元05B,87.77,38357.58,69.41,48503.75,3366645.53,已产权备案,住宅
5栋一单元05A,134.43,41787.94,106.32,52836.27,5617553.01,已产权备案,住宅
5栋二单元06G,127.94,42203.74,100.52,53716.14,5399546.77,已产权备案,住宅
5栋二单元06F,134.70,39916.83,105.84,50801.19,5376798.33,已产权备案,住宅
5栋二单元06E,88.34,40280.66,69.41,51266.30,3558393.97,已产权备案,住宅
5栋一单元06D,76.46,37006.23,60.47,46791.74,2829496.88,已产权备案,住宅
5栋一单元06C,76.46,36278.58,60.47,45871.68,2773860.70,已产权备案,住宅
5栋一单元06B,87.77,38773.38,69.41,49029.53,3403140.33,已产权备案,住宅
5栋一单元06A,134.43,42203.74,106.32,53362.01,5673449.06,已产权备案,住宅
5栋二单元07G,127.94,42411.64,100.52,53980.75,5426145.53,已产权备案,住宅
5栋二单元07F,134.70,40124.74,105.84,51065.78,5404802.49,已产权备案,住宅
5栋二单元07E,88.34,40696.46,69.41,51795.50,3595125.77,已产权备案,住宅
5栋一单元07D,76.46,37422.03,60.47,47317.49,2861288.98,已产权备案,住宅
5栋一单元07C,76.46,36694.38,60.47,46397.43,2805652.80,已产权备案,住宅
5栋一单元07B,87.77,39189.18,69.41,49555.32,3439635.13,已产权备案,住宅
5栋一单元07A,134.43,42619.54,106.32,53887.74,5729345.11,已产权备案,住宅
5栋二单元08G,127.94,43243.24,100.52,55039.20,5532540.54,已产权备案,住宅
5栋二单元08F,134.70,41372.14,105.84,52653.32,5572827.44,已产权备案,住宅
5栋二单元08E,88.34,41112.26,69.41,52324.70,3631857.58,已产权备案,住宅
5栋一单元08D,76.46,37837.83,60.47,47843.24,2893081.08,已产权备案,住宅
5栋一单元08C,76.46,37110.18,60.47,46923.18,2837444.90,已产权备案,住宅
5栋一单元08B,87.77,39604.98,69.41,50081.11,3476129.93,已产权备案,住宅
5栋一单元08A,134.43,43035.34,106.32,54413.47,5785241.16,已产权备案,住宅
5栋二单元09G,127.94,43659.04,100.52,55568.42,5585738.04,已产权备案,住宅
5栋二单元09F,134.70,41995.84,105.84,53447.08,5656839.91,已产权备案,住宅
5栋二单元09E,88.34,41424.11,69.41,52721.60,3659406.44,已产权备案,住宅
5栋一单元09D,76.46,38149.68,60.47,48237.55,2916925.15,已产权备案,住宅
5栋一单元09C,76.46,37422.03,60.47,47317.49,2861288.98,已产权备案,住宅
5栋一单元09B,87.77,39916.83,69.41,50475.45,3503501.03,已产权备案,住宅
5栋一单元09A,134.43,43347.19,106.32,54807.78,5827163.20,已产权备案,住宅
5栋二单元10G,127.94,44074.84,100.52,56097.64,5638935.55,在售,住宅
5栋二单元10F,134.70,42619.54,105.84,54240.85,5740852.39,已产权备案,住宅
5栋二单元10E,88.34,41735.96,69.41,53118.50,3686955.30,已产权备案,住宅
5栋一单元10D,76.46,38461.53,60.47,48631.87,2940769.23,已产权备案,住宅
5栋一单元10C,76.46,37733.88,60.47,47711.80,2885133.05,在售,住宅
5栋一单元10B,87.77,40228.69,69.41,50869.79,3530872.14,在售,住宅
5栋一单元10A,134.43,43659.04,106.32,55202.08,5869085.23,在售,住宅
5栋二单元11G,127.94,44490.64,100.52,56626.87,5692133.05,已产权备案,住宅
5栋二单元11F,134.70,43139.29,105.84,54902.33,5810862.78,已产权备案,住宅
5栋二单元11E,88.34,42047.81,69.41,53515.40,3714504.15,已产权备案,住宅
5栋一单元11D,76.46,38773.38,60.47,49026.18,2964613.30,在售,住宅
5栋一单元11C,76.46,38045.73,60.47,48106.12,2908977.13,已产权备案,住宅
5栋一单元11B,87.77,40540.54,69.41,51264.12,3558243.24,已产权备案,住宅
5栋一单元11A,134.43,43970.89,106.32,55596.38,5911007.27,已产权备案,住宅
5栋二单元12G,127.94,44906.44,100.52,57156.09,5745330.56,已产权备案,住宅
5栋二单元12F,134.70,43659.04,105.84,55563.80,5880873.18,已产权备案,住宅
