房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
4栋29层29D,125.64,47493.37,102.18,58397.60,5967067.00,在售,住宅
4栋29层29C,94.87,47166.36,77.15,57999.65,4474673.00,在售,住宅
4栋29层29B,94.87,47248.11,77.15,58100.17,4482428.00,在售,住宅
4栋29层29A,95.75,48903.60,77.86,60140.25,4682520.00,在售,住宅
4栋28层28D,125.64,47432.06,102.18,58322.22,5959364.00,在售,住宅
4栋28层28C,94.87,47105.05,77.15,57924.25,4468856.00,在售,住宅
4栋28层28B,94.87,47186.80,77.15,58024.78,4476612.00,在售,住宅
4栋28层28A,95.75,48842.29,77.86,60064.85,4676649.00,在售,住宅
4栋27层27D,125.64,47370.74,102.18,58246.82,5951660.00,在售,住宅
4栋26层26D,125.64,47309.42,102.18,58171.42,5943956.00,在售,住宅
4栋25层25D,125.64,47248.11,102.18,58096.04,5936253.00,在售,住宅
4栋24层24D,125.64,47186.80,102.18,58020.64,5928549.00,在售,住宅
4栋23层23D,125.64,47125.49,102.18,57945.25,5920846.00,在售,住宅
4栋22层22D,125.64,47064.17,102.18,57869.86,5913142.00,在售,住宅
4栋21层21D,125.64,47002.86,102.18,57794.47,5905439.00,在售,住宅
4栋20层20D,125.64,46941.54,102.18,57719.07,5897735.00,在售,住宅
4栋19层19D,125.64,46890.45,102.18,57656.25,5891316.00,在售,住宅
4栋18层18D,125.64,46839.35,102.18,57593.42,5884896.00,在售,住宅
4栋17层17D,125.64,46788.26,102.18,57530.60,5878477.00,在售,住宅
4栋16层16D,125.64,46737.16,102.18,57467.77,5872057.00,在售,住宅
4栋15层15D,125.64,46686.06,102.18,57404.94,5865637.00,在售,住宅
4栋14层14D,125.64,46634.97,102.18,57342.12,5859218.00,在售,住宅
4栋13层13D,125.64,46583.87,102.18,57279.29,5852798.00,在售,住宅
4栋12层12D,125.64,46532.78,102.18,57216.46,5846378.00,在售,住宅
4栋11层11D,125.64,46481.69,102.18,57153.64,5839959.00,在售,住宅
4栋10层10D,125.64,46532.78,102.18,57216.46,5846378.00,在售,住宅
4栋9层9D,125.64,46430.59,102.18,57090.81,5833539.00,在售,住宅
4栋8层8D,125.64,46328.40,102.18,56965.16,5820700.00,在售,住宅
4栋7层7D,125.64,46226.21,102.18,56839.51,5807861.00,在售,住宅
4栋6层6D,125.64,46124.02,102.18,56713.86,5795022.00,在售,住宅
4栋5层5D,125.64,46021.82,102.18,56588.20,5782182.00,在售,住宅
4栋4层4D,125.64,45919.64,102.18,56462.55,5769343.00,在售,住宅
4栋4层4C,94.87,45081.68,77.15,55436.15,4276899.00,在售,住宅
4栋4层4B,94.87,45163.42,77.15,55536.67,4284654.00,在售,住宅
4栋4层4A,95.75,47329.87,77.86,58204.92,4531835.00,在售,住宅
4栋3层3D,125.64,45817.45,102.18,56336.90,5756504.00,在售,住宅
4栋3层3C,94.87,44979.49,77.15,55310.49,4267204.00,在售,住宅
4栋3层3B,94.87,45061.24,77.15,55411.02,4274960.00,在售,住宅
4栋3层3A,95.75,47227.68,77.86,58079.24,4522050.00,在售,住宅
4栋2层2D,125.64,45715.26,102.18,56211.24,5743665.00,在售,住宅
4栋2层2C,94.87,44877.30,77.15,55184.82,4257509.00,在售,住宅
4栋2层2B,94.87,44959.05,77.15,55285.35,4265265.00,在售,住宅
4栋2层2A,95.75,47125.48,77.86,57953.57,4512265.00,在售,住宅
3栋29层29D,96.22,46307.96,78.34,56877.10,4455752.00,在售,住宅
3栋29层29C,94.75,48719.65,77.15,59833.92,4616187.00,在售,住宅
3栋29层29B,94.75,49087.55,77.15,60285.74,4651045.00,在售,住宅
3栋29层29A,125.48,46716.72,102.18,57369.49,5862014.00,在售,住宅
3栋28层28D,96.22,46246.64,78.34,56801.79,4449852.00,在售,住宅
3栋28层28C,94.75,48658.34,77.15,59758.63,4610378.00,在售,住宅
3栋28层28B,94.75,49026.23,77.15,60210.43,4645235.00,在售,住宅
3栋28层28A,125.48,46655.41,102.18,57294.20,5854321.00,在售,住宅
3栋27层27D,96.22,46185.34,78.34,56726.49,4443953.00,在售,住宅
3栋27层27C,94.75,48597.02,77.15,59683.32,4604568.00,在售,住宅
3栋27层27B,94.75,48964.91,77.15,60135.13,4639425.00,在售,住宅
3栋27层27A,125.48,46594.09,102.18,57218.90,5846627.00,在售,住宅
3栋26层26D,96.22,46124.02,78.34,56651.17,4438053.00,在售,住宅
3栋26层26C,94.75,48535.72,77.15,59608.02,4598759.00,在售,住宅
3栋26层26B,94.75,48903.60,77.15,60059.83,4633616.00,在售,住宅
3栋26层26A,125.48,46532.78,102.18,57143.60,5838933.00,在售,住宅
3栋25层25D,96.22,46062.70,78.34,56575.86,4432153.00,在售,住宅
3栋25层25C,94.75,48474.40,77.15,59532.72,4592949.00,在售,住宅
3栋25层25B,94.75,48842.28,77.15,59984.52,4627806.00,在售,住宅
3栋25层25A,125.48,46471.47,102.18,57068.31,5831240.00,在售,住宅
3栋24层24D,96.22,46001.39,78.34,56500.56,4426254.00,在售,住宅
3栋24层24C,94.75,48413.09,77.15,59457.42,4587140.00,在售,住宅
3栋24层24B,94.75,48780.97,77.15,59909.23,4621997.00,在售,住宅
3栋24层24A,125.48,46410.15,102.18,56993.01,5823546.00,在售,住宅
3栋23层23D,96.22,45940.07,78.34,56425.25,4420354.00,在售,住宅
3栋23层23C,94.75,48351.77,77.15,59382.11,4581330.00,在售,住宅
3栋23层23B,94.75,48719.65,77.15,59833.92,4616187.00,在售,住宅
3栋23层23A,125.48,46348.84,102.18,56917.71,5815852.00,在售,住宅
3栋22层22D,96.22,45878.76,78.34,56349.94,4414454.00,在售,住宅
3栋22层22C,94.75,48290.46,77.15,59306.82,4575521.00,在售,住宅
3栋22层22B,94.75,48658.34,77.15,59758.63,4610378.00,在售,住宅
3栋22层22A,125.48,46287.52,102.18,56842.42,5808158.00,在售,住宅
3栋21层21D,96.22,45817.45,78.34,56274.64,4408555.00,在售,住宅
3栋21层21C,94.75,48229.14,77.15,59231.51,4569711.00,在售,住宅
3栋21层21B,94.75,48597.02,77.15,59683.32,4604568.00,在售,住宅
3栋21层21A,125.48,46226.21,102.18,56767.13,5800465.00,在售,住宅
3栋20层20D,96.22,45756.13,78.34,56199.32,4402655.00,在售,住宅
3栋20层20C,94.75,48167.83,77.15,59156.22,4563902.00,在售,住宅
3栋20层20B,94.75,48535.72,77.15,59608.02,4598759.00,在售,住宅
3栋20层20A,125.48,46164.89,102.18,56691.83,5792771.00,在售,住宅
3栋19层19D,96.22,45705.04,78.34,56136.57,4397739.00,在售,住宅
3栋19层19C,94.75,48116.73,77.15,59093.45,4559060.00,在售,住宅
3栋19层19B,94.75,48484.62,77.15,59545.28,4593918.00,在售,住宅
3栋19层19A,125.48,46113.80,102.18,56629.09,5786360.00,在售,住宅
3栋18层18D,96.22,45653.94,78.34,56073.81,4392822.00,在售,住宅
3栋18层18C,94.75,48065.64,77.15,59030.71,4554219.00,在售,住宅
3栋18层18B,94.75,48433.52,77.15,59482.51,4589076.00,在售,住宅
3栋18层18A,125.48,46062.70,102.18,56566.33,5779948.00,在售,住宅
3栋17层17D,96.22,45602.85,78.34,56011.05,4387906.00,在售,住宅
