房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋F座305,88.81,13321.20,66.44,17806.38,1183056.39,已产权备案,住宅
1栋F座405,88.75,12687.70,66.40,16958.34,1126034.05,已产权备案,住宅
1栋F座505,88.80,13422.76,66.44,17940.12,1191941.60,已产权备案,住宅
1栋F座605,88.75,12789.16,66.40,17093.95,1135038.39,已产权备案,住宅
1栋F座705,88.80,13524.22,66.44,18075.72,1200951.01,已产权备案,住宅
1栋F座805,88.75,12890.62,66.40,17229.55,1144042.73,已产权备案,住宅
1栋F座905,88.80,13625.68,66.44,18211.32,1209960.42,已产权备案,住宅
1栋F座1005,88.75,12992.07,66.40,17365.16,1153047.06,已产权备案,住宅
1栋F座1105,88.80,13706.84,66.44,18319.80,1217167.95,已产权备案,住宅
1栋F座1205,88.75,13052.95,66.40,17446.53,1158449.67,已产权备案,住宅
1栋F座1305,88.80,13767.72,66.44,18401.16,1222573.60,已产权备案,住宅
1栋F座1405,88.75,13113.82,66.40,17527.89,1163852.27,已产权备案,住宅
1栋F座1505,88.80,13828.59,66.44,18482.52,1227979.24,已产权备案,住宅
1栋F座1605,88.75,13174.70,66.40,17609.26,1169254.87,已产权备案,住宅
1栋F座1705,88.80,13889.46,66.44,18563.89,1233384.89,已产权备案,住宅
1栋F座1805,88.75,13235.57,66.40,17690.62,1174657.48,已签预售合同,住宅
1栋F座1905,88.80,13950.34,66.44,18645.25,1238790.54,已产权备案,住宅
1栋F座2005,88.75,13296.45,66.40,17771.98,1180060.08,已产权备案,住宅
1栋F座2105,88.80,13990.92,66.44,18699.49,1242394.30,已产权备案,住宅
1栋F座2205,88.75,13316.74,66.40,17799.11,1181860.95,已产权备案,住宅
1栋F座2305,88.80,14011.21,66.44,18726.61,1244196.19,已产权备案,住宅
1栋F座2405,88.75,13337.03,66.40,17826.23,1183661.82,已产权备案,住宅
1栋F座2505,88.80,14031.50,66.44,18753.73,1245998.07,已产权备案,住宅
1栋F座2605,88.75,13357.32,66.40,17853.35,1185462.68,已产权备案,住宅
1栋F座2705,88.80,14051.80,66.44,18780.85,1247799.95,已产权备案,住宅
1栋F座2805,88.75,13377.61,66.40,17880.47,1187263.55,已产权备案,住宅
1栋F座2905,88.80,14072.09,66.44,18807.97,1249601.83,已产权备案,住宅
1栋F座3005,88.75,13397.90,66.40,17907.59,1189064.42,已产权备案,住宅
1栋F座3105,88.80,14092.38,66.44,18835.09,1251403.72,已产权备案,住宅
1栋F座304,78.38,13808.35,58.64,18456.66,1082298.60,已签认购书,住宅
1栋F座404,78.32,13212.56,58.60,17658.84,1034808.04,已产权备案,住宅
1栋F座504,78.37,13909.93,58.64,18590.07,1090121.93,已产权备案,住宅
1栋F座604,78.32,13314.02,58.60,17794.44,1042754.18,已产权备案,住宅
1栋F座704,78.37,14011.39,58.64,18725.66,1098073.15,已产权备案,住宅
1栋F座804,78.32,13415.47,58.60,17930.03,1050700.32,已产权备案,住宅
1栋F座904,78.37,14112.85,58.64,18861.26,1106024.36,已产权备案,住宅
1栋F座1004,78.32,13516.93,58.60,18065.63,1058646.46,已产权备案,住宅
1栋F座1104,78.37,14194.01,58.64,18969.73,1112385.33,已产权备案,住宅
1栋F座1204,78.32,13577.81,58.60,18146.99,1063414.14,已产权备案,住宅
1栋F座1304,78.37,14254.89,58.64,19051.09,1117156.05,已产权备案,住宅
1栋F座1404,78.32,13638.68,58.60,18228.35,1068181.82,已产权备案,住宅
1栋F座1504,78.37,14315.76,58.64,19132.44,1121926.78,已产权备案,住宅
1栋F座1604,78.32,13699.55,58.60,18309.71,1072949.51,已产权备案,住宅
1栋F座1704,78.37,14376.64,58.64,19213.80,1126697.51,已产权备案,住宅
1栋F座1804,78.32,13760.43,58.60,18391.07,1077717.19,已产权备案,住宅
1栋F座1904,78.37,14437.51,58.64,19295.16,1131468.23,已产权备案,住宅
1栋F座2004,78.32,13821.30,58.60,18472.43,1082484.87,已产权备案,住宅
1栋F座2104,78.37,14478.10,58.64,19349.39,1134648.72,已产权备案,住宅
1栋F座2204,78.32,13841.59,58.60,18499.55,1084074.10,已产权备案,住宅
1栋F座2304,78.37,14498.39,58.64,19376.51,1136238.96,已产权备案,住宅
1栋F座2404,78.32,13861.89,58.60,18526.67,1085663.33,已产权备案,住宅
1栋F座2504,78.37,14518.68,58.64,19403.63,1137829.20,已产权备案,住宅
1栋F座2604,78.32,13882.18,58.60,18553.79,1087252.56,已产权备案,住宅
1栋F座2704,78.37,14538.97,58.64,19430.75,1139419.45,已产权备案,住宅
1栋F座2804,78.32,13902.47,58.60,18580.91,1088841.79,已产权备案,住宅
1栋F座2904,78.37,14559.26,58.64,19457.87,1141009.69,已产权备案,住宅
1栋F座3004,78.32,13922.76,58.60,18608.03,1090431.01,已产权备案,住宅
