房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2栋商业31,397.79,23500.00,377.78,24744.73,9348065.00,在售,商铺
2栋商业30,69.54,23500.00,66.04,24745.45,1634190.00,在售,商铺
2栋商业27,124.22,23500.00,115.07,25368.64,2919170.00,在售,商铺
2栋商业26,108.91,23500.00,100.89,25368.07,2559385.00,在售,商铺
2栋商业25,118.09,23500.00,112.15,24744.67,2775115.00,在售,商铺
1栋F座3205,88.95,16528.74,66.40,22142.04,1470232.00,已产权备案,住宅
1栋F座3204,78.50,16988.50,58.60,22757.64,1333598.00,已产权备案,住宅
1栋F座3203,89.78,17218.38,67.02,23065.75,1545867.00,已产权备案,住宅
1栋F座3202,88.87,16528.74,66.34,22142.14,1468910.00,已产权备案,住宅
1栋F座3201,89.70,17908.04,66.96,23989.72,1606352.00,已产权备案,住宅
1栋F座3105,89.00,17293.11,66.44,23165.06,1539087.00,已产权备案,住宅
1栋F座3104,78.55,17712.65,58.64,23726.62,1391329.00,已产权备案,住宅
1栋F座3103,89.83,18110.34,67.06,24259.64,1626852.00,已产权备案,住宅
1栋F座3102,88.91,17420.69,66.38,23333.44,1548874.00,已产权备案,住宅
1栋F座3101,89.74,18931.04,67.00,25356.29,1698872.00,已产权备案,住宅
1栋F座3005,88.95,16505.75,66.40,22111.25,1468187.00,已产权备案,住宅
1栋F座3004,78.50,16965.52,58.60,22726.86,1331794.00,已产权备案,住宅
1栋F座3003,89.78,17195.41,67.02,23034.97,1543804.00,已产权备案,住宅
1栋F座3002,88.87,16505.74,66.34,22111.33,1466866.00,已产权备案,住宅
1栋F座3001,89.70,17885.06,66.96,23958.93,1604290.00,已产权备案,住宅
1栋F座2905,89.00,22986.00,66.44,30790.00,2045754.00,已产权备案,住宅
1栋F座2904,78.55,17689.66,58.64,23695.82,1389523.00,已产权备案,住宅
1栋F座2903,89.83,18087.36,67.06,24228.86,1624788.00,已产权备案,住宅
1栋F座2902,88.91,17397.70,66.38,23302.65,1546830.00,已产权备案,住宅
1栋F座2901,89.74,18908.05,67.00,25325.50,1696809.00,已产权备案,住宅
1栋F座2805,88.95,16482.76,66.40,22080.45,1466142.00,已产权备案,住宅
1栋F座2804,78.50,16942.53,58.60,22696.05,1329989.00,已产权备案,住宅
1栋F座2803,89.78,17172.42,67.02,23004.17,1541740.00,已产权备案,住宅
1栋F座2802,88.87,16482.76,66.34,22080.53,1464823.00,已产权备案,住宅
1栋F座2801,89.70,17862.07,66.96,23928.13,1602228.00,已产权备案,住宅
1栋F座2705,89.00,17247.13,66.44,23103.47,1534995.00,已产权备案,住宅
1栋F座2704,78.55,17666.68,58.64,23665.04,1387718.00,已产权备案,住宅
1栋F座2703,89.83,18064.36,67.06,24198.06,1622722.00,已产权备案,住宅
1栋F座2702,88.91,17374.72,66.38,23271.87,1544787.00,已产权备案,住宅
1栋F座2701,89.74,18885.05,67.00,25294.70,1694745.00,已产权备案,住宅
1栋F座2605,88.95,16459.77,66.40,22049.65,1464097.00,已产权备案,住宅
1栋F座2604,78.50,16919.54,58.60,22665.25,1328184.00,已产权备案,住宅
1栋F座2603,89.78,17149.43,67.02,22973.38,1539676.00,已产权备案,住宅
1栋F座2602,88.87,16459.77,66.34,22049.74,1462780.00,已产权备案,住宅
1栋F座2601,89.70,17839.08,66.96,23897.34,1600166.00,已产权备案,住宅
1栋F座2505,89.00,17224.14,66.44,23072.68,1532949.00,已产权备案,住宅
1栋F座2504,78.55,17643.69,58.64,23634.24,1385912.00,已产权备案,住宅
1栋F座2503,89.83,18041.38,67.06,24167.28,1620658.00,已产权备案,住宅
1栋F座2502,88.91,17351.72,66.38,23241.06,1542742.00,已产权备案,住宅
1栋F座2501,89.74,18862.06,67.00,25263.91,1692682.00,已产权备案,住宅
1栋F座2405,88.95,16436.78,66.40,22018.85,1462052.00,已产权备案,住宅
1栋F座2404,78.50,16896.56,58.60,22634.47,1326380.00,已产权备案,住宅
1栋F座2403,89.78,17126.44,67.02,22942.58,1537612.00,已产权备案,住宅
1栋F座2402,88.87,16436.78,66.34,22018.94,1460737.00,已产权备案,住宅
1栋F座2401,89.70,17816.09,66.96,23866.54,1598104.00,已产权备案,住宅
1栋F座2305,89.00,17201.15,66.44,23041.88,1530903.00,已产权备案,住宅
1栋F座2304,78.55,17620.70,58.64,23603.44,1384106.00,已产权备案,住宅
1栋F座2303,89.83,18018.39,67.06,24136.47,1618592.00,已产权备案,住宅
1栋F座2302,88.91,17328.73,66.38,23210.27,1540698.00,已产权备案,住宅
1栋F座2301,89.74,18839.09,67.00,25233.13,1690620.00,已产权备案,住宅
1栋F座2205,88.95,16413.79,66.40,21988.05,1460007.00,已产权备案,住宅
1栋F座2204,78.50,16873.56,58.60,22603.66,1324575.00,已产权备案,住宅
1栋F座2203,89.78,17103.45,67.02,22911.78,1535548.00,已产权备案,住宅
1栋F座2202,88.87,16413.80,66.34,21988.16,1458695.00,已产权备案,住宅
1栋F座2201,89.70,17793.11,66.96,23835.75,1596042.00,已产权备案,住宅
1栋F座2105,89.00,17178.16,66.44,23011.09,1528857.00,已产权备案,住宅
1栋F座2104,78.55,17597.70,58.64,23572.64,1382300.00,已产权备案,住宅
1栋F座2103,89.83,17995.40,67.06,24105.68,1616527.00,已产权备案,住宅
1栋F座2102,88.91,17305.75,66.38,23179.49,1538655.00,已产权备案,住宅
1栋F座2101,89.74,18816.10,67.00,25202.34,1688557.00,已产权备案,住宅
1栋F座2005,88.95,16390.81,66.40,21957.27,1457963.00,已产权备案,住宅
1栋F座2004,78.50,16850.58,58.60,22572.88,1322771.00,已产权备案,住宅
1栋F座2003,89.78,17080.46,67.02,22880.99,1533484.00,已产权备案,住宅
1栋F座2002,88.87,16390.80,66.34,21957.35,1456651.00,已产权备案,住宅
1栋F座2001,89.70,17770.12,66.96,23804.95,1593980.00,已产权备案,住宅
1栋F座1905,89.00,17132.19,66.44,22949.50,1524765.00,已产权备案,住宅
1栋F座1904,78.55,17551.73,58.64,23511.06,1378689.00,已产权备案,住宅
