房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1816,99.23,38500.00,72.92,52391.00,3820355.00,在售,商务公寓
1812,80.59,36000.00,59.23,48983.00,2901240.00,在售,商务公寓
1811,79.97,36000.00,58.77,48986.00,2878920.00,在售,商务公寓
1810,98.87,38500.00,72.66,52388.00,3806495.00,在售,商务公寓
1718,42.29,36500.00,31.08,49665.00,1543585.00,在售,商务公寓
1717,42.29,36500.00,31.08,49665.00,1543585.00,在售,商务公寓
1716,99.23,38500.00,72.92,52391.00,3820355.00,在售,商务公寓
1715,79.43,36000.00,58.38,48980.00,2859480.00,在售,商务公寓
1714,80.59,36000.00,59.23,48983.00,2901240.00,在售,商务公寓
1713,80.59,36000.00,59.23,48983.00,2901240.00,在售,商务公寓
1712,80.59,36000.00,59.23,48983.00,2901240.00,在售,商务公寓
1711,79.97,36000.00,58.77,48986.00,2878920.00,在售,商务公寓
1710,98.87,38500.00,72.66,52388.00,3806495.00,在售,商务公寓
1709,42.00,37050.00,30.86,50424.00,1556100.00,在售,商务公寓
1708,41.99,37050.00,30.86,50413.00,1555730.00,在售,商务公寓
1707,98.87,37500.00,72.66,51027.00,3707625.00,在售,商务公寓
1706,79.97,34555.00,58.77,47020.00,2763363.00,在售,商务公寓
1705,80.59,34555.00,59.23,47016.00,2784787.00,在售,商务公寓
1704,80.59,34555.00,59.23,47016.00,2784787.00,在售,商务公寓
1703,80.59,34555.00,59.23,47016.00,2784787.00,在售,商务公寓
1702,79.43,34555.00,58.38,47014.00,2744704.00,在售,商务公寓
1701,99.23,36000.00,72.92,48989.00,3572280.00,在售,商务公寓
1616,101.60,43700.00,73.77,60186.00,4439920.00,在售,办公
1615,85.47,43200.00,62.06,59496.00,3692304.00,在售,办公
1614,86.45,43200.00,62.77,59497.00,3734640.00,在售,办公
1613,86.53,43200.00,62.83,59495.00,3738096.00,在售,办公
1216,101.60,40900.00,73.77,56330.00,4155440.00,在售,办公
1215,85.47,40400.00,62.06,55640.00,3452988.00,在售,办公
1214,86.45,40400.00,62.77,55641.00,3492580.00,在售,办公
1213,86.53,40400.00,62.83,55639.00,3495812.00,在售,办公
1212,86.45,40400.00,62.78,55632.00,3492580.00,在售,办公
1211,144.74,40400.00,105.10,55637.00,5847496.00,在售,办公
1210,44.62,44000.00,32.40,60595.00,1963280.00,在售,办公
1209,61.99,40000.00,45.01,55090.00,2479600.00,在售,办公
912,86.45,38300.00,62.78,52740.00,3311035.00,在售,办公
911,144.74,38300.00,105.10,52745.00,5543542.00,在售,办公
910,44.62,41000.00,32.40,56464.00,1829420.00,在售,办公
909,61.99,37900.00,45.01,52198.00,2349421.00,在售,办公
616,101.60,37900.00,73.77,52198.00,3850640.00,在售,办公
615,85.47,37400.00,62.06,51508.00,3196578.00,在售,办公
614,86.45,37400.00,62.77,51509.00,3233230.00,在售,办公
613,86.53,37400.00,62.83,51508.00,3236222.00,在售,办公
612,86.45,37400.00,62.78,51501.00,3233230.00,在售,办公
611,144.74,37400.00,105.10,51506.00,5413276.00,在售,办公
610,44.62,38100.00,32.40,52470.00,1700022.00,在售,办公
609,61.99,37000.00,45.01,50958.00,2293630.00,在售,办公
608,44.62,37670.00,32.40,51878.00,1680835.00,在售,办公
607,144.74,36900.00,105.10,50817.00,5340906.00,在售,办公
606,86.45,36900.00,62.78,50812.00,3190005.00,在售,办公
605,86.53,36900.00,62.83,50819.00,3192957.00,在售,办公
604,86.45,36900.00,62.78,50812.00,3190005.00,在售,办公
603,85.47,36900.00,62.06,50819.00,3153843.00,在售,办公
602,101.60,37400.00,73.77,51509.00,3799840.00,在售,办公
601,99.44,36900.00,72.21,50815.00,3669336.00,在售,办公
516,101.81,37400.00,73.77,51616.00,3807694.00,在售,办公
515,85.27,36900.00,61.79,50922.00,3146463.00,在售,办公
514,86.40,36900.00,62.61,50921.00,3188160.00,在售,办公
513,86.49,36900.00,62.67,50925.00,3191481.00,在售,办公
512,86.40,36900.00,62.61,50921.00,3188160.00,在售,办公
511,144.82,36900.00,104.94,50923.00,5343858.00,在售,办公
510,44.72,37600.00,32.40,51897.00,1681472.00,在售,办公
509,61.56,36500.00,44.61,50369.00,2246940.00,在售,办公
508,44.72,37170.00,32.40,51304.00,1662242.00,在售,办公
507,144.82,36400.00,104.94,50233.00,5271448.00,在售,办公
506,86.40,36400.00,62.61,50231.00,3144960.00,在售,办公
505,86.48,36400.00,62.67,50229.00,3147872.00,在售,办公
504,86.40,36400.00,62.61,50231.00,3144960.00,在售,办公
503,85.27,36400.00,61.79,50232.00,3103828.00,在售,办公
502,101.81,36900.00,73.77,50926.00,3756789.00,在售,办公
501,99.10,36400.00,71.81,50233.00,3607240.00,在售,办公
408,104.77,36100.00,74.67,50652.00,3782197.00,在售,办公
407,92.24,37100.00,65.74,52055.00,3422104.00,在售,办公
406,99.32,36600.00,70.78,51358.00,3635112.00,在售,办公
405,99.32,36600.00,70.78,51358.00,3635112.00,在售,办公
404,99.32,36600.00,70.78,51358.00,3635112.00,在售,办公
403,99.17,36600.00,70.68,51353.00,3629622.00,在售,办公
402,102.61,36600.00,73.13,51354.00,3755526.00,在售,办公
401,64.90,36200.00,46.26,50786.00,2349380.00,在售,办公
