房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
G04栋3603,266.07,31809.00,201.50,42003.08,8463621.00,在售,住宅
G04栋3403,266.07,31665.00,201.50,41812.55,8425228.00,在售,住宅
G04栋3203,266.07,31521.00,201.50,41622.02,8386837.00,在售,住宅
G04栋3003,266.07,31376.00,201.50,41431.48,8348443.00,在售,住宅
G04栋2803,266.05,40879.00,201.48,53979.84,10875858.00,在售,住宅
G04栋2603,266.05,31088.00,201.48,41051.41,8271038.00,在售,住宅
G04栋2403,266.05,40546.00,201.48,53540.12,10787263.00,在售,住宅
G04栋2203,266.05,30799.00,201.48,40670.33,8194258.00,在售,住宅
G04栋2003,266.05,30655.00,201.48,40479.79,8155868.00,在售,住宅
G04栋1803,266.05,30511.00,201.48,40289.25,8117478.00,在售,住宅
G04栋1603,266.05,30366.00,201.48,40098.72,8079090.00,在售,住宅
G04栋1403,266.49,39710.00,201.82,52434.44,10582318.00,在售,住宅
G04栋1203,266.49,30072.00,201.82,39708.68,8014005.00,在售,住宅
G04栋1003,266.49,29639.00,201.82,39137.09,7898647.00,在售,住宅
G04栋803,266.49,29495.00,201.82,38946.56,7860194.00,在售,住宅
G04栋603,266.49,38548.00,201.82,50901.41,10272922.00,在售,住宅
G04栋403,266.49,38382.00,201.82,50682.22,10228685.00,在售,住宅
G04栋3802,204.80,36041.00,155.10,47589.92,7381196.00,在售,住宅
G04栋3702,200.83,36897.00,152.08,48725.83,7410225.00,在售,住宅
G04栋3602,200.83,35912.00,152.08,47423.77,7212206.00,在售,住宅
G04栋3502,200.83,36715.00,152.08,48485.49,7373674.00,在售,住宅
G04栋3402,200.83,35731.00,152.08,47184.75,7175857.00,在售,住宅
G04栋3302,200.83,36536.00,152.08,48247.79,7337524.00,在售,住宅
G04栋3202,200.83,35550.00,152.08,46947.04,7139707.00,在售,住宅
G04栋3102,200.83,36355.00,152.08,48008.77,7301174.00,在售,住宅
G04栋3002,200.83,35368.00,152.08,46706.70,7103156.00,在售,住宅
G04栋2802,200.86,35189.00,152.11,46466.78,7068062.00,在售,住宅
G04栋2702,200.86,35993.00,152.11,47528.45,7229554.00,在售,住宅
G04栋2602,200.86,35008.00,152.11,46227.77,7031706.00,在售,住宅
G04栋2502,200.86,35812.00,152.11,47290.76,7193399.00,在售,住宅
G04栋2402,200.86,34826.00,152.11,45988.76,6995351.00,在售,住宅
G04栋2302,200.86,35632.00,152.11,47051.76,7157044.00,在售,住宅
G04栋2202,200.86,34646.00,152.11,45749.76,6958995.00,在售,住宅
G04栋2102,200.86,35451.00,152.11,46812.75,7120688.00,在售,住宅
G04栋2002,200.86,34466.00,152.11,45512.07,6922840.00,在售,住宅
G04栋1902,200.86,35269.00,152.11,46573.74,7084332.00,在售,住宅
G04栋1802,200.86,34284.00,152.11,45273.05,6886484.00,在售,住宅
G04栋1702,200.86,35089.00,152.11,46336.05,7048177.00,在售,住宅
G04栋1602,200.86,34103.00,152.11,45034.04,6850129.00,在售,住宅
G04栋1402,200.76,41893.00,152.03,55320.92,8410439.00,在售,住宅
G04栋1302,200.76,34730.00,152.03,45861.96,6972394.00,在售,住宅
G04栋1202,200.76,33743.00,152.03,44559.92,6774444.00,在售,住宅
G04栋1102,200.76,34188.00,152.03,45146.24,6863582.00,在售,住宅
G04栋1002,200.76,33202.00,152.03,43844.20,6665633.00,在售,住宅
G04栋902,200.76,33464.00,152.03,44190.17,6718233.00,在售,住宅
G04栋802,200.76,32478.00,152.03,42889.45,6520484.00,在售,住宅
G04栋702,200.76,33102.00,152.03,43713.46,6645758.00,在售,住宅
G04栋602,200.76,32117.00,152.03,42411.42,6447809.00,在售,住宅
G04栋502,200.76,32922.00,152.03,43474.45,6609420.00,在售,住宅
