房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2栋B座40E,71.46,63328.36,55.43,81642.52,4525445.18,在售,住宅
2栋B座39E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座38E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座37E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座36E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座35E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座34E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座32E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座31E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座30E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座29E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座28E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座27E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座26E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座25E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座24E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座23E,71.46,52628.36,55.43,67848.15,3760823.18,在售,住宅
2栋B座22E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座21E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座20E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座19E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座18E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座16E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座15E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座14E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座13E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座12E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座11E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座10E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座9E,71.46,52328.36,55.43,67461.39,3739385.18,在售,住宅
2栋B座8E,71.46,52028.36,55.43,67074.63,3717947.18,在售,住宅
2栋B座7E,71.46,52028.36,55.43,67074.63,3717947.18,在售,住宅
2栋B座6E,71.46,52028.36,55.43,67074.63,3717947.18,在售,住宅
2栋B座5E,71.46,52028.36,55.43,67074.63,3717947.18,在售,住宅
2栋B座4E,71.46,52028.36,55.43,67074.63,3717947.18,在售,住宅
2栋B座3E,71.46,52028.36,55.43,67074.63,3717947.18,在售,住宅
2栋B座2E,73.08,52028.36,55.43,68595.22,3802233.14,在售,住宅
2栋B座40D,71.47,63031.16,55.44,81256.08,4504837.58,在售,住宅
2栋B座39D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座38D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座37D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座36D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座35D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座34D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座32D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座31D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座30D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座29D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座28D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座27D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座26D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座25D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座24D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座23D,71.47,52331.16,55.44,67462.27,3740108.58,在售,住宅
2栋B座22D,71.47,52031.16,55.44,67075.53,3718667.58,在售,住宅
2栋B座21D,71.47,52031.16,55.44,67075.53,3718667.58,在售,住宅
2栋B座20D,71.47,52031.16,55.44,67075.53,3718667.58,在售,住宅
2栋B座19D,71.47,52031.16,55.44,67075.53,3718667.58,在售,住宅
2栋B座18D,71.47,52031.16,55.44,67075.53,3718667.58,在售,住宅
2栋B座16D,71.47,52031.16,55.44,67075.53,3718667.58,在售,住宅
2栋B座15D,71.47,52031.16,55.44,67075.53,3718667.58,在售,住宅
2栋B座14D,71.47,52031.16,55.44,67075.53,3718667.58,在售,住宅
2栋B座13D,71.47,52031.16,55.44,67075.53,3718667.58,在售,住宅
2栋B座12D,71.47,52031.16,55.44,67075.53,3718667.58,在售,住宅
2栋B座11D,71.47,52031.16,55.44,67075.53,3718667.58,在售,住宅
2栋B座10D,71.47,52031.16,55.44,67075.53,3718667.58,在售,住宅
2栋B座9D,71.47,52031.16,55.44,67075.53,3718667.58,在售,住宅
2栋B座8D,71.47,51731.16,55.44,66688.79,3697226.58,在售,住宅
2栋B座7D,71.47,51731.16,55.44,66688.79,3697226.58,在售,住宅
2栋B座6D,71.47,51731.16,55.44,66688.79,3697226.58,在售,住宅
2栋B座5D,71.47,51731.16,55.44,66688.79,3697226.58,在售,住宅
2栋B座4D,71.47,51731.16,55.44,66688.79,3697226.58,在售,住宅
2栋B座3D,71.47,51731.16,55.44,66688.79,3697226.58,在售,住宅
2栋B座2D,73.09,51731.16,55.44,68200.41,3781031.08,在售,住宅
2栋B座40C,88.77,66362.96,68.86,85550.98,5891040.68,在售,住宅
2栋B座39C,88.77,55662.96,68.86,71757.21,4941201.68,在售,住宅
2栋B座38C,88.77,55662.96,68.86,71757.21,4941201.68,在售,住宅
2栋B座37C,88.77,55662.96,68.86,71757.21,4941201.68,在售,住宅
2栋B座36C,88.77,55662.96,68.86,71757.21,4941201.68,在售,住宅
2栋B座35C,88.77,55662.96,68.86,71757.21,4941201.68,在售,住宅
2栋B座34C,88.77,55662.96,68.86,71757.21,4941201.68,在售,住宅
2栋B座32C,88.77,55662.96,68.86,71757.21,4941201.68,在售,住宅
2栋B座31C,88.77,55662.96,68.86,71757.21,4941201.68,在售,住宅
2栋B座30C,88.77,55662.96,68.86,71757.21,4941201.68,在售,住宅
2栋B座29C,88.77,55662.96,68.86,71757.21,4941201.68,在售,住宅
2栋B座28C,88.77,55662.96,68.86,71757.21,4941201.68,在售,住宅
2栋B座27C,88.77,55662.96,68.86,71757.21,4941201.68,在售,住宅
2栋B座26C,88.77,55662.96,68.86,71757.21,4941201.68,在售,住宅
2栋B座25C,88.77,55662.96,68.86,71757.21,4941201.68,在售,住宅
2栋B座24C,88.77,55662.96,68.86,71757.21,4941201.68,在售,住宅
2栋B座23C,88.77,55662.96,68.86,71757.21,4941201.68,在售,住宅
2栋B座22C,88.77,55362.96,68.86,71370.47,4914570.68,在售,住宅
2栋B座21C,88.77,55362.96,68.86,71370.47,4914570.68,在售,住宅
2栋B座20C,88.77,55362.96,68.86,71370.47,4914570.68,在售,住宅
2栋B座19C,88.77,55362.96,68.86,71370.47,4914570.68,在售,住宅
2栋B座18C,88.77,55362.96,68.86,71370.47,4914570.68,在售,住宅
2栋B座16C,88.77,55362.96,68.86,71370.47,4914570.68,在售,住宅
2栋B座15C,88.77,55362.96,68.86,71370.47,4914570.68,在售,住宅
2栋B座14C,88.77,55362.96,68.86,71370.47,4914570.68,在售,住宅
2栋B座13C,88.77,55362.96,68.86,71370.47,4914570.68,在售,住宅
2栋B座12C,88.77,55362.96,68.86,71370.47,4914570.68,在售,住宅
2栋B座11C,88.77,55362.96,68.86,71370.47,4914570.68,在售,住宅
2栋B座10C,88.77,55362.96,68.86,71370.47,4914570.68,在售,住宅
2栋B座9C,88.77,55362.96,68.86,71370.47,4914570.68,在售,住宅
2栋B座8C,88.77,55062.96,68.86,70983.73,4887939.68,在售,住宅
2栋B座7C,88.77,55062.96,68.86,70983.73,4887939.68,在售,住宅
2栋B座6C,88.77,55062.96,68.86,70983.73,4887939.68,在售,住宅
2栋B座5C,88.77,55062.96,68.86,70983.73,4887939.68,在售,住宅
2栋B座4C,88.77,55062.96,68.86,70983.73,4887939.68,在售,住宅
2栋B座3C,88.77,55062.96,68.86,70983.73,4887939.68,在售,住宅
2栋B座40B,88.57,65656.36,68.71,84633.74,5815184.52,在售,住宅
