房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋113,69.08,7000.00,67.12,7204.00,483560.00,在售,商业
1栋112,68.52,7000.00,66.57,7205.00,479640.00,在售,商业
1栋111,77.64,7000.00,75.44,7204.00,543480.00,在售,商业
1栋110,37.80,7000.00,36.72,7205.00,264600.00,在售,商业
1栋109,85.63,7000.00,83.20,7204.00,599410.00,在售,商业
1栋108,78.23,7000.00,76.01,7204.00,547610.00,在售,商业
1栋107,88.97,7000.00,86.44,7204.00,622790.00,在售,商业
1栋106,35.08,7000.00,34.08,7205.00,245560.00,在售,商业
1栋105,86.55,7000.00,84.09,7204.00,605850.00,在售,商业
1栋104,88.99,7000.00,86.46,7204.00,622930.00,在售,商业
1栋103,88.99,7000.00,86.46,7204.00,622930.00,在售,商业
1栋102,86.97,7000.00,84.50,7204.00,608790.00,在售,商业
1栋101,104.23,100000.00,101.26,102933.04,10423000.00,在售,商业
6栋111,51.43,120000.00,48.58,127039.93,6171600.00,在售,商业
6栋110,61.71,120000.00,58.29,127040.65,7405200.00,在售,商业
6栋109,122.25,120000.00,115.46,127056.98,14670000.00,在售,商业
6栋108,99.03,120000.00,93.53,127056.55,11883600.00,在售,商业
6栋107,98.97,120000.00,93.48,127047.49,11876400.00,在售,商业
6栋106,113.51,120000.00,107.22,127039.73,13621200.00,在售,商业
6栋105,29.29,120000.00,27.66,127071.58,3514800.00,在售,商业
6栋104,59.12,120000.00,55.84,127048.71,7094400.00,在售,商业
6栋103,82.85,120000.00,78.25,127054.31,9942000.00,在售,商业
6栋102,116.17,120000.00,109.73,127042.74,13940400.00,在售,商业
6栋101,35.05,120000.00,33.11,127031.10,4206000.00,在售,商业
2栋112,76.33,90000.00,73.85,93022.34,6869700.00,在售,商业
2栋111,63.21,90000.00,61.15,93031.88,5688900.00,在售,商业
2栋110,52.97,90000.00,51.25,93020.48,4767300.00,在售,商业
2栋109,78.58,7000.00,76.03,7234.00,550060.00,在售,商业
2栋108,56.74,7000.00,54.90,7234.00,397180.00,在售,商业
2栋107,90.34,7000.00,85.46,7399.00,632380.00,在售,商业
2栋106,95.57,7000.00,90.42,7398.00,668990.00,在售,商业
2栋105,95.57,7000.00,90.42,7398.00,668990.00,在售,商业
2栋104,95.57,7000.00,90.42,7398.00,668990.00,在售,商业
2栋103,93.60,80000.00,88.55,84562.39,7488000.00,在售,商业
2栋102,80.84,90000.00,76.48,95130.75,7275600.00,在售,商业
2栋101,77.33,90000.00,73.16,95129.85,6959700.00,在售,商业
6栋B单元205,84.57,22386.42,65.69,28820.52,1893220.00,在售,住宅
6栋B单元305,84.57,22321.21,65.69,28736.56,1887705.00,在售,住宅
6栋B单元405,84.57,22386.42,65.69,28820.52,1893220.00,在售,住宅
6栋B单元505,84.57,22321.21,65.69,28736.56,1887705.00,在售,住宅
6栋B单元605,84.57,22386.42,65.69,28820.52,1893220.00,在售,住宅
6栋B单元705,84.57,22321.21,65.69,28736.56,1887705.00,在售,住宅
6栋B单元805,84.57,22386.42,65.69,28820.52,1893220.00,在售,住宅
6栋B单元905,84.57,22321.21,65.69,28736.56,1887705.00,在售,住宅
6栋B单元1005,84.57,22386.42,65.69,28820.52,1893220.00,在售,住宅
6栋B单元1105,84.57,22964.42,65.69,29564.63,1942101.00,在售,住宅
6栋B单元1205,84.57,23029.63,65.69,29648.59,1947616.00,在售,住宅
6栋B单元1305,84.57,22964.42,65.69,29564.63,1942101.00,在售,住宅
6栋B单元1405,84.57,23029.63,65.69,29648.59,1947616.00,在售,住宅
6栋B单元1505,84.57,22964.42,65.69,29564.63,1942101.00,在售,住宅
6栋B单元1605,84.57,23029.63,65.69,29648.59,1947616.00,在售,住宅
6栋B单元1705,84.57,22964.42,65.69,29564.63,1942101.00,在售,住宅
6栋B单元1805,84.57,23029.63,65.69,29648.59,1947616.00,在售,住宅
6栋B单元1905,84.57,22964.42,65.69,29564.63,1942101.00,在售,住宅
6栋B单元2005,84.57,23672.83,65.69,30476.66,2002012.00,在售,住宅
6栋B单元2105,84.57,23607.62,65.69,30392.70,1996497.00,在售,住宅
6栋B单元2205,84.57,23672.83,65.69,30476.66,2002012.00,在售,住宅
6栋B单元2305,84.57,23607.62,65.69,30392.70,1996497.00,在售,住宅
6栋B单元2405,84.57,23672.83,65.69,30476.66,2002012.00,在售,住宅
6栋B单元2505,84.57,23607.62,65.69,30392.70,1996497.00,在售,住宅
6栋B单元2605,84.57,23672.83,65.69,30476.66,2002012.00,在售,住宅
6栋B单元2705,84.58,23607.31,65.69,30395.91,1996707.00,在售,住宅
6栋B单元203,84.57,22207.87,65.69,28590.65,1878120.00,在售,住宅
6栋B单元303,84.57,22142.66,65.69,28506.69,1872605.00,在售,住宅
6栋B单元403,84.57,22207.87,65.69,28590.65,1878120.00,在售,住宅
6栋B单元503,84.57,22142.66,65.69,28506.69,1872605.00,在售,住宅
6栋B单元603,84.57,22207.87,65.69,28590.65,1878120.00,在售,住宅
6栋B单元703,84.57,22142.66,65.69,28506.69,1872605.00,在售,住宅
6栋B单元803,84.57,22207.87,65.69,28590.65,1878120.00,在售,住宅
6栋B单元903,84.57,21209.00,65.69,27304.00,1793645.00,在售,住宅
6栋B单元1003,84.57,22207.87,65.69,28590.65,1878120.00,在售,住宅
6栋B单元1103,84.57,22785.86,65.69,29334.76,1927001.00,在售,住宅
6栋B单元1203,84.57,22851.08,65.69,29418.72,1932516.00,在售,住宅
6栋B单元1303,84.57,22785.86,65.69,29334.76,1927001.00,在售,住宅
6栋B单元1403,84.57,22851.08,65.69,29418.72,1932516.00,在售,住宅
6栋B单元1503,84.57,22785.86,65.69,29334.76,1927001.00,在售,住宅
6栋B单元1603,84.57,22851.08,65.69,29418.72,1932516.00,在售,住宅
6栋B单元1703,84.57,22785.86,65.69,29334.76,1927001.00,在售,住宅
6栋B单元1803,84.57,22851.08,65.69,29418.72,1932516.00,在售,住宅
6栋B单元1903,84.57,22785.86,65.69,29334.76,1927001.00,在售,住宅
6栋B单元2003,84.57,23494.28,65.69,30246.79,1986912.00,在售,住宅
6栋B单元2103,84.57,23429.07,65.69,30162.83,1981397.00,在售,住宅
6栋B单元2203,84.57,23494.28,65.69,30246.79,1986912.00,在售,住宅
6栋B单元2303,84.57,23429.07,65.69,30162.83,1981397.00,在售,住宅
6栋B单元2403,84.57,23494.28,65.69,30246.79,1986912.00,在售,住宅
6栋B单元2503,84.57,23429.07,65.69,30162.83,1981397.00,在售,住宅
6栋B单元2603,84.57,30000.00,65.69,38622.00,2537100.00,在售,住宅
6栋B单元2703,84.58,23428.74,65.69,30165.98,1981603.00,在售,住宅
6栋B单元202,88.46,26152.76,68.71,33670.12,2313474.00,在售,住宅
6栋B单元302,88.44,24569.35,68.70,31629.01,2172914.00,在售,住宅
6栋B单元402,88.46,26152.76,68.71,33670.12,2313474.00,在售,住宅
6栋B单元502,88.44,24569.35,68.70,31629.01,2172914.00,在售,住宅
6栋B单元602,88.46,21738.00,68.71,27986.00,1922943.00,在售,住宅
6栋B单元702,88.44,24569.35,68.70,31629.01,2172914.00,在售,住宅
6栋B单元802,88.46,26152.76,68.71,33670.12,2313474.00,在售,住宅
6栋B单元902,88.44,24569.35,68.70,31629.01,2172914.00,在售,住宅
6栋B单元1002,88.46,26152.76,68.71,33670.12,2313474.00,在售,住宅
6栋B单元1102,88.44,25212.56,68.70,32457.03,2229799.00,在售,住宅
6栋B单元1202,88.46,26795.97,68.71,34498.20,2370372.00,在售,住宅
6栋B单元1302,88.44,25212.56,68.70,32457.03,2229799.00,在售,住宅
6栋B单元1402,88.46,26795.97,68.71,34498.20,2370372.00,在售,住宅
6栋B单元1502,88.44,25212.56,68.70,32457.03,2229799.00,在售,住宅
6栋B单元1602,88.46,26795.97,68.71,34498.20,2370372.00,在售,住宅
6栋B单元1702,88.44,25212.56,68.70,32457.03,2229799.00,在售,住宅
6栋B单元1802,88.46,26795.97,68.71,34498.20,2370372.00,在售,住宅
6栋B单元1902,88.44,25212.56,68.70,32457.03,2229799.00,在售,住宅
6栋B单元2002,88.46,27439.18,68.71,35326.29,2427270.00,在售,住宅
6栋B单元2102,88.44,25855.76,68.70,33285.06,2286684.00,在售,住宅
6栋B单元2202,88.46,26000.46,68.71,33474.00,2300000.00,在售,住宅
6栋B单元2302,88.44,25855.76,68.70,33285.06,2286684.00,在售,住宅
6栋B单元2402,88.46,27439.18,68.71,35326.29,2427270.00,在售,住宅
6栋B单元2502,88.44,25855.76,68.70,33285.06,2286684.00,在售,住宅
6栋B单元2602,88.46,27439.18,68.71,35326.29,2427270.00,在售,住宅
6栋B单元2702,86.62,25934.07,67.27,33393.93,2246410.00,在售,住宅
6栋B单元201,88.47,26541.18,68.71,34174.05,2348099.00,在售,住宅
6栋B单元301,88.44,24958.16,68.70,32129.54,2207300.00,在售,住宅
6栋B单元401,88.47,26541.18,68.71,34174.05,2348099.00,在售,住宅
6栋B单元501,88.44,24958.16,68.70,32129.54,2207300.00,在售,住宅
6栋B单元601,88.47,26541.18,68.71,34174.05,2348099.00,在售,住宅
6栋B单元701,88.44,24958.16,68.70,32129.54,2207300.00,在售,住宅
6栋B单元801,88.47,26541.18,68.71,34174.05,2348099.00,在售,住宅
6栋B单元901,88.44,24958.16,68.70,32129.54,2207300.00,在售,住宅
6栋B单元1001,88.47,26541.18,68.71,34174.05,2348099.00,在售,住宅
6栋B单元1101,88.44,25601.36,68.70,32957.57,2264185.00,在售,住宅
6栋B单元1201,88.47,27184.40,68.71,35002.23,2405004.00,在售,住宅
6栋B单元1301,88.44,25601.36,68.70,32957.57,2264185.00,在售,住宅
6栋B单元1401,88.47,27184.40,68.71,35002.23,2405004.00,在售,住宅
