房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
6栋205,88.30,41059.00,65.51,55342.84,3625509.70,在售,住宅
6栋305,88.30,41092.00,65.51,55387.32,3628423.60,在售,住宅
6栋405,88.30,41126.00,65.51,55433.15,3631425.80,在售,住宅
6栋505,88.30,44826.00,65.51,60420.33,3958135.80,在售,住宅
6栋605,88.40,44859.00,65.59,60459.45,3965535.60,在售,住宅
6栋705,88.40,44892.00,65.59,60503.93,3968452.80,在售,住宅
6栋805,88.40,44926.00,65.59,60549.75,3971458.40,在售,住宅
6栋905,88.40,44848.00,65.59,60444.63,3964563.20,在售,住宅
6栋1005,88.40,44881.00,65.59,60489.11,3967480.40,在售,住宅
6栋1105,88.40,44915.00,65.59,60534.93,3970486.00,在售,住宅
6栋1205,88.40,44948.00,65.59,60579.41,3973403.20,在售,住宅
6栋1305,88.40,44981.00,65.59,60623.88,3976320.40,在售,住宅
6栋1405,88.40,45015.00,65.59,60669.71,3979326.00,在售,住宅
6栋1505,88.40,45048.00,65.59,60714.18,3982243.20,在售,住宅
6栋1605,88.40,45081.00,65.59,60758.66,3985160.40,在售,住宅
6栋1705,88.40,45115.00,65.59,60804.48,3988166.00,在售,住宅
6栋1805,88.40,45148.00,65.59,60848.96,3991083.20,在售,住宅
6栋1905,88.40,45181.00,65.59,60893.43,3994000.40,在售,住宅
6栋2005,88.40,45215.00,65.59,60939.26,3997006.00,在售,住宅
6栋2105,88.40,45248.00,65.59,60983.74,3999923.20,在售,住宅
6栋2205,88.40,45281.00,65.59,61028.21,4002840.40,在售,住宅
6栋2305,88.40,45315.00,65.59,61074.04,4005846.00,在售,住宅
6栋2405,88.40,45348.00,65.59,61118.51,4008763.20,在售,住宅
6栋2505,88.40,45381.00,65.59,61162.99,4011680.40,在售,住宅
6栋2605,88.40,45415.00,65.59,61208.81,4014686.00,在售,住宅
6栋2705,88.40,45448.00,65.59,61253.29,4017603.20,在售,住宅
6栋2805,88.40,45481.00,65.59,61297.76,4020520.40,在售,住宅
6栋2905,88.40,45515.00,65.59,61343.59,4023526.00,在售,住宅
6栋3005,88.40,45548.00,65.59,61388.07,4026443.20,在售,住宅
6栋3105,88.40,45581.00,65.59,61432.54,4029360.40,在售,住宅
