房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3栋306,72.52,33993.10,57.05,43210.86,2465180.00,在售,住宅
3栋506,72.58,38122.55,57.10,48457.70,2766935.00,在售,住宅
3栋606,72.58,38152.54,57.10,48495.83,2769112.00,在售,住宅
3栋706,72.58,38182.55,57.10,48533.97,2771290.00,在售,住宅
3栋806,72.58,38212.55,57.10,48572.10,2773467.00,在售,住宅
3栋906,72.58,38242.55,57.10,48610.24,2775645.00,在售,住宅
3栋1206,72.58,38032.55,57.10,48343.30,2760403.00,在售,住宅
3栋1406,72.58,38032.55,57.10,48343.30,2760403.00,在售,住宅
3栋305,73.80,38396.00,58.06,48805.11,2833625.00,在售,住宅
3栋505,73.91,38456.01,58.15,48878.48,2842284.00,在售,住宅
3栋605,73.91,38486.01,58.15,48916.61,2844501.00,在售,住宅
3栋705,73.91,38516.00,58.15,48954.73,2846718.00,在售,住宅
3栋805,73.91,38546.01,58.15,48992.88,2848936.00,在售,住宅
3栋905,73.91,38576.01,58.15,49031.00,2851153.00,在售,住宅
3栋1405,73.91,38366.01,58.15,48764.09,2835632.00,在售,住宅
3栋303,89.26,39786.06,70.22,50573.96,3551304.00,在售,住宅
3栋403,89.26,39816.06,70.22,50612.10,3553982.00,在售,住宅
3栋503,89.37,39846.06,70.31,50647.74,3561043.00,在售,住宅
3栋603,89.37,39876.06,70.31,50685.87,3563724.00,在售,住宅
3栋703,89.37,39906.06,70.31,50724.00,3566405.00,在售,住宅
3栋803,89.37,39936.06,70.31,50762.13,3569086.00,在售,住宅
3栋903,89.37,39966.07,70.31,50800.28,3571768.00,在售,住宅
3栋1403,89.37,39756.07,70.31,50533.35,3553000.00,在售,住宅
3栋302,89.24,40119.39,70.20,51000.78,3580255.00,在售,住宅
3栋502,89.36,40179.39,70.30,51072.98,3590431.00,在售,住宅
3栋602,89.36,40209.40,70.30,51111.12,3593112.00,在售,住宅
3栋702,89.36,40239.40,70.30,51149.26,3595793.00,在售,住宅
3栋802,89.36,40269.40,70.30,51187.39,3598474.00,在售,住宅
3栋902,89.36,40299.40,70.30,51225.53,3601155.00,在售,住宅
3栋1402,89.36,40089.40,70.30,50958.59,3582389.00,在售,住宅
3栋301,89.78,39619.42,70.63,50361.48,3557032.00,在售,住宅
3栋401,89.78,39649.43,70.63,50399.63,3559726.00,在售,住宅
3栋501,89.87,39679.43,70.70,50438.34,3565991.00,在售,住宅
3栋601,89.87,39709.43,70.70,50476.47,3568687.00,在售,住宅
3栋701,89.87,39739.43,70.70,50514.61,3571383.00,在售,住宅
3栋801,89.87,39769.43,70.70,50552.74,3574079.00,在售,住宅
3栋901,89.87,39799.43,70.70,50590.87,3576775.00,在售,住宅
3栋1401,89.87,39589.42,70.70,50323.93,3557902.00,在售,住宅
2栋2单元306,89.61,41619.41,65.70,56765.84,3729516.00,在售,住宅
2栋2单元406,89.61,42149.41,65.70,57488.72,3777009.00,在售,住宅
2栋2单元506,89.62,41679.41,65.70,56854.01,3735309.00,在售,住宅
2栋2单元606,89.61,42209.41,65.70,57570.56,3782386.00,在售,住宅
2栋2单元706,89.62,41739.42,65.70,56935.87,3740687.00,在售,住宅
2栋2单元806,89.61,42269.41,65.70,57652.38,3787762.00,在售,住宅
2栋2单元906,89.62,41799.41,65.70,57017.71,3746064.00,在售,住宅
2栋2单元1006,89.61,42329.41,65.70,57734.23,3793139.00,在售,住宅
2栋2单元1106,89.62,41859.41,65.70,57099.55,3751441.00,在售,住宅
2栋2单元1206,89.61,42389.42,65.70,57816.07,3798516.00,在售,住宅
2栋2单元1306,89.62,41919.41,65.70,57181.40,3756818.00,在售,住宅
2栋2单元1406,89.61,42449.41,65.70,57897.89,3803892.00,在售,住宅
2栋2单元1506,89.62,41979.41,65.70,57263.24,3762195.00,在售,住宅
2栋2单元1606,89.61,42509.41,65.70,57979.74,3809269.00,在售,住宅
2栋2单元1706,89.62,42039.42,65.70,57345.09,3767573.00,在售,住宅
2栋2单元1806,89.61,42569.41,65.70,58061.56,3814645.00,在售,住宅
2栋2单元1906,89.62,42099.41,65.70,57426.94,3772950.00,在售,住宅
2栋2单元2006,89.61,35555.00,65.70,48494.00,3186083.00,在售,住宅
2栋2单元2106,89.62,42159.41,65.70,57508.78,3778327.00,在售,住宅
2栋2单元2206,89.61,35605.00,65.70,48562.00,3190564.00,在售,住宅
2栋2单元2306,89.62,42219.41,65.70,57590.62,3783704.00,在售,住宅
2栋2单元2406,89.61,42749.41,65.70,58307.07,3830775.00,在售,住宅
2栋2单元2506,89.62,42279.41,65.70,57672.46,3789081.00,在售,住宅
2栋2单元2606,89.61,42809.41,65.70,58388.91,3836152.00,在售,住宅
2栋2单元2706,89.62,42339.42,65.70,57754.32,3794459.00,在售,住宅
2栋2单元2806,89.61,42869.41,65.70,58470.74,3841528.00,在售,住宅
2栋2单元2906,89.62,42399.41,65.70,57836.16,3799836.00,在售,住宅
2栋2单元3006,89.61,42929.41,65.70,58552.58,3846905.00,在售,住宅
2栋2单元3106,89.62,42459.41,65.70,57918.00,3805213.00,在售,住宅
2栋2单元3206,89.61,42889.42,65.70,58498.03,3843321.00,在售,住宅
2栋2单元305,89.61,41563.86,65.70,56690.07,3724538.00,在售,住宅
2栋2单元405,89.61,42093.86,65.70,57412.95,3772031.00,在售,住宅
2栋2单元505,89.62,41623.86,65.70,56778.24,3730331.00,在售,住宅
2栋2单元605,89.61,42153.86,65.70,57494.79,3777408.00,在售,住宅
2栋2单元705,89.62,41683.86,65.70,56860.09,3735708.00,在售,住宅
2栋2单元805,89.61,42213.86,65.70,57576.62,3782784.00,在售,住宅
2栋2单元905,89.62,41743.86,65.70,56941.93,3741085.00,在售,住宅
2栋2单元1005,89.61,42273.86,65.70,57658.46,3788161.00,在售,住宅
2栋2单元1105,89.62,41803.86,65.70,57023.77,3746462.00,在售,住宅
2栋2单元1205,89.61,42333.85,65.70,57740.28,3793537.00,在售,住宅
2栋2单元1305,89.62,41863.85,65.70,57105.61,3751839.00,在售,住宅
2栋2单元1405,89.61,42393.86,65.70,57822.13,3798914.00,在售,住宅
2栋2单元1505,89.62,41923.86,65.70,57187.47,3757217.00,在售,住宅
2栋2单元1605,89.61,42453.86,65.70,57903.97,3804291.00,在售,住宅
2栋2单元1705,89.62,41983.86,65.70,57269.31,3762594.00,在售,住宅
2栋2单元1805,89.61,42513.86,65.70,57985.79,3809667.00,在售,住宅
2栋2单元1905,89.62,42043.86,65.70,57351.15,3767971.00,在售,住宅
2栋2单元2005,89.61,42573.86,65.70,58067.64,3815044.00,在售,住宅
2栋2单元2105,89.62,42103.86,65.70,57432.99,3773348.00,在售,住宅
2栋2单元2205,89.61,42633.85,65.70,58149.46,3820420.00,在售,住宅
2栋2单元2305,89.62,42163.85,65.70,57514.84,3778725.00,在售,住宅
2栋2单元2405,89.61,42693.86,65.70,58231.30,3825797.00,在售,住宅
2栋2单元2505,89.62,42223.86,65.70,57596.69,3784103.00,在售,住宅
