房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
821,58.01,55620.00,40.70,79275.58,3226516.20,在售,商业性办公
921,58.01,55600.00,40.70,79247.07,3225356.00,在售,商业性办公
1021,58.01,56000.00,40.70,79817.19,3248560.00,在售,商业性办公
1121,58.01,56000.00,40.70,79817.19,3248560.00,在售,商业性办公
1221,58.01,56000.00,40.70,79817.19,3248560.00,在售,商业性办公
1321,58.01,56000.00,40.70,79817.19,3248560.00,在售,商业性办公
1421,58.01,56000.00,40.70,79817.19,3248560.00,在售,商业性办公
1521,58.01,56000.00,40.70,79817.19,3248560.00,在售,商业性办公
1621,58.01,56000.00,40.70,79817.19,3248560.00,在售,商业性办公
1721,58.01,56000.00,40.70,79817.19,3248560.00,在售,商业性办公
1821,58.01,56000.00,40.70,79817.19,3248560.00,在售,商业性办公
1921,58.01,56000.00,40.70,79817.19,3248560.00,在售,商业性办公
2021,58.01,56000.00,40.70,79817.19,3248560.00,在售,商业性办公
2121,58.01,56000.00,40.70,79817.19,3248560.00,在售,商业性办公
820,38.95,53300.00,27.33,75961.76,2076035.00,在售,商业性办公
920,38.95,53300.00,27.33,75961.76,2076035.00,在售,商业性办公
1020,38.95,53500.00,27.33,76246.79,2083825.00,在售,商业性办公
1120,38.95,53500.00,27.33,76246.79,2083825.00,在售,商业性办公
1220,38.95,53500.00,27.33,76246.79,2083825.00,在售,商业性办公
1320,38.95,55500.00,27.33,79097.14,2161725.00,在售,商业性办公
1420,38.95,55500.00,27.33,79097.14,2161725.00,在售,商业性办公
1520,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1620,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1720,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1820,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1920,38.95,56000.00,27.33,79809.73,2181200.00,在售,商业性办公
2020,38.95,54000.00,27.33,76959.38,2103300.00,在售,商业性办公
2120,38.95,54000.00,27.33,76959.38,2103300.00,在售,商业性办公
819,39.22,53300.00,27.52,75960.24,2090426.00,在售,商业性办公
919,39.22,53300.00,27.52,75960.24,2090426.00,在售,商业性办公
1019,39.22,53500.00,27.52,76245.27,2098270.00,在售,商业性办公
1119,39.22,53500.00,27.52,76245.27,2098270.00,在售,商业性办公
1219,39.22,53500.00,27.52,76245.27,2098270.00,在售,商业性办公
1319,39.22,46030.00,27.52,65599.44,1805296.60,在售,商业性办公
1419,39.22,55500.00,27.52,79095.56,2176710.00,在售,商业性办公
1519,39.22,56500.00,27.52,80520.71,2215930.00,在售,商业性办公
1619,39.22,56500.00,27.52,80520.71,2215930.00,在售,商业性办公
1719,39.22,56500.00,27.52,80520.71,2215930.00,在售,商业性办公
1819,39.22,56500.00,27.52,80520.71,2215930.00,在售,商业性办公
1919,39.22,56000.00,27.52,79808.13,2196320.00,在售,商业性办公
2019,39.22,54000.00,27.52,76957.84,2117880.00,在售,商业性办公
2119,39.22,54000.00,27.52,76957.84,2117880.00,在售,商业性办公
818,38.95,53300.00,27.33,75961.76,2076035.00,在售,商业性办公
918,38.95,53300.00,27.33,75961.76,2076035.00,在售,商业性办公
1018,38.95,53500.00,27.33,76246.79,2083825.00,在售,商业性办公
1118,38.95,53500.00,27.33,76246.79,2083825.00,在售,商业性办公
1218,38.95,53500.00,27.33,76246.79,2083825.00,在售,商业性办公
1318,38.95,46100.00,27.33,65700.51,1795595.00,在售,商业性办公
1418,38.95,55500.00,27.33,79097.14,2161725.00,在售,商业性办公
1518,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1618,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1718,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1818,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1918,38.95,56000.00,27.33,79809.73,2181200.00,在售,商业性办公
2018,38.95,54000.00,27.33,76959.38,2103300.00,在售,商业性办公
2118,38.95,54000.00,27.33,76959.38,2103300.00,在售,商业性办公
817,38.95,53300.00,27.33,75961.76,2076035.00,在售,商业性办公
917,38.95,53300.00,27.33,75961.76,2076035.00,在售,商业性办公
1017,38.95,53500.00,27.33,76246.79,2083825.00,在售,商业性办公
1117,38.95,53500.00,27.33,76246.79,2083825.00,在售,商业性办公
1217,38.95,53500.00,27.33,76246.79,2083825.00,在售,商业性办公
1317,38.95,55500.00,27.33,79097.14,2161725.00,在售,商业性办公
1417,38.95,55500.00,27.33,79097.14,2161725.00,在售,商业性办公
1517,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1617,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1717,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1817,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1917,38.95,56000.00,27.33,79809.73,2181200.00,在售,商业性办公
2017,38.95,54000.00,27.33,76959.38,2103300.00,在售,商业性办公
2117,38.95,54000.00,27.33,76959.38,2103300.00,在售,商业性办公
816,39.22,53300.00,27.52,75960.24,2090426.00,在售,商业性办公
916,39.22,53300.00,27.52,75960.24,2090426.00,在售,商业性办公
1016,39.22,53500.00,27.52,76245.27,2098270.00,在售,商业性办公
1116,39.22,53500.00,27.52,76245.27,2098270.00,在售,商业性办公
1216,39.22,53500.00,27.52,76245.27,2098270.00,在售,商业性办公
1316,39.22,47010.00,27.52,66996.08,1843732.20,在售,商业性办公
1416,39.22,55500.00,27.52,79095.56,2176710.00,在售,商业性办公
1516,39.22,55500.00,27.52,79095.56,2176710.00,在售,商业性办公
1616,39.22,43498.22,27.52,61991.29,1706000.19,在售,商业性办公
1716,39.22,56500.00,27.52,80520.71,2215930.00,在售,商业性办公
1816,39.22,56500.00,27.52,80520.71,2215930.00,在售,商业性办公
1916,39.22,56000.00,27.52,79808.13,2196320.00,在售,商业性办公
1016,39.22,54000.00,27.52,76957.84,2117880.00,在售,商业性办公
2116,39.22,54000.00,27.52,76957.84,2117880.00,在售,商业性办公
815,38.95,53300.00,27.33,75961.76,2076035.00,在售,商业性办公
915,38.95,53300.00,27.33,75961.76,2076035.00,在售,商业性办公
1015,38.95,53500.00,27.33,76246.79,2083825.00,在售,商业性办公
1115,38.95,53500.00,27.33,76246.79,2083825.00,在售,商业性办公
1215,38.95,53500.00,27.33,76246.79,2083825.00,在售,商业性办公
1315,38.95,55500.00,27.33,79097.14,2161725.00,在售,商业性办公
1415,38.95,55500.00,27.33,79097.14,2161725.00,在售,商业性办公
1515,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1615,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1715,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1815,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1915,38.95,56000.00,27.33,79809.73,2181200.00,在售,商业性办公
2015,38.95,54000.00,27.33,76959.38,2103300.00,在售,商业性办公
2115,38.95,54000.00,27.33,76959.38,2103300.00,在售,商业性办公
814,38.95,53300.00,27.33,75961.76,2076035.00,在售,商业性办公
914,38.95,53300.00,27.33,75961.76,2076035.00,在售,商业性办公
1014,38.95,53500.00,27.33,76246.79,2083825.00,在售,商业性办公
1114,38.95,53500.00,27.33,76246.79,2083825.00,在售,商业性办公
1214,38.95,53500.00,27.33,76246.79,2083825.00,在售,商业性办公
1314,38.95,46730.00,27.33,66598.37,1820133.50,在售,商业性办公
1414,38.95,55500.00,27.33,79097.14,2161725.00,在售,商业性办公
1514,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1614,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1714,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1814,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1914,38.95,47535.00,27.33,67745.64,1851488.25,在售,商业性办公
2014,38.95,54000.00,27.33,76959.38,2103300.00,在售,商业性办公
2114,38.95,54000.00,27.33,76959.38,2103300.00,在售,商业性办公
813,39.22,53300.00,27.52,75960.24,2090426.00,在售,商业性办公
913,39.22,53300.00,27.52,75960.24,2090426.00,在售,商业性办公
1013,39.22,53500.00,27.52,76245.27,2098270.00,在售,商业性办公
1113,39.22,53500.00,27.52,76245.27,2098270.00,在售,商业性办公
1213,39.22,53500.00,27.52,76245.27,2098270.00,在售,商业性办公
1313,39.22,55500.00,27.52,79095.56,2176710.00,在售,商业性办公
1413,39.22,55500.00,27.52,79095.56,2176710.00,在售,商业性办公
1513,39.22,56500.00,27.52,80520.71,2215930.00,在售,商业性办公
1613,39.22,56500.00,27.52,80520.71,2215930.00,在售,商业性办公
1713,39.22,56500.00,27.52,80520.71,2215930.00,在售,商业性办公
1813,39.22,56500.00,27.52,80520.71,2215930.00,在售,商业性办公
1913,39.22,56000.00,27.52,79808.13,2196320.00,在售,商业性办公
2013,39.22,54000.00,27.52,76957.84,2117880.00,在售,商业性办公
2113,39.22,54000.00,27.52,76957.84,2117880.00,在售,商业性办公
812,38.95,53300.00,27.33,75961.76,2076035.00,在售,商业性办公
912,38.95,53300.00,27.33,75961.76,2076035.00,在售,商业性办公
1012,38.95,53500.00,27.33,76246.79,2083825.00,在售,商业性办公
1112,38.95,53500.00,27.33,76246.79,2083825.00,在售,商业性办公
1212,38.95,53500.00,27.33,76246.79,2083825.00,在售,商业性办公
1312,38.95,55500.00,27.33,79097.14,2161725.00,在售,商业性办公
1412,38.95,55500.00,27.33,79097.14,2161725.00,在售,商业性办公
1512,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1612,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1712,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1812,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1912,38.95,56000.00,27.33,79809.73,2181200.00,在售,商业性办公
2012,38.95,54000.00,27.33,76959.38,2103300.00,在售,商业性办公
2112,38.95,54000.00,27.33,76959.38,2103300.00,在售,商业性办公
811,38.95,53300.00,27.33,75961.76,2076035.00,在售,商业性办公
911,38.95,53300.00,27.33,75961.76,2076035.00,在售,商业性办公
1011,38.95,53500.00,27.33,76246.79,2083825.00,在售,商业性办公
1111,38.95,53500.00,27.33,76246.79,2083825.00,在售,商业性办公
1211,38.95,53500.00,27.33,76246.79,2083825.00,在售,商业性办公
1311,38.95,55500.00,27.33,79097.14,2161725.00,在售,商业性办公
1411,38.95,55500.00,27.33,79097.14,2161725.00,在售,商业性办公
1511,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1611,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1711,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1811,38.95,56500.00,27.33,80522.31,2200675.00,在售,商业性办公
1911,38.95,56000.00,27.33,79809.73,2181200.00,在售,商业性办公
2011,38.95,54000.00,27.33,76959.38,2103300.00,在售,商业性办公
2111,38.95,54000.00,27.33,76959.38,2103300.00,在售,商业性办公
810,58.29,57500.00,40.89,81968.08,3351675.00,在售,商业性办公
910,58.29,57500.00,40.89,81968.08,3351675.00,在售,商业性办公
1010,58.29,58500.00,40.89,83393.61,3409965.00,在售,商业性办公
1110,58.29,58500.00,40.89,83393.61,3409965.00,在售,商业性办公
