房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
01,3016.43,75600.00,2541.04,89743.61,228042108.00,在售,电影院
E01,806.38,105235.20,679.30,124922.06,84859560.57,在售,净菜市场
B054,30.63,53000.00,25.80,62922.10,1623390.00,在售,商业
B053,39.81,49000.00,33.54,58160.11,1950690.00,在售,商业
B052,41.86,48000.00,35.26,56984.69,2009280.00,在售,商业
B051,31.23,49886.00,26.30,59237.27,1557940.00,在售,商业
B050,28.08,54500.00,23.65,64708.67,1530360.00,在售,商业
B049,47.43,48258.00,39.95,57293.55,2288877.00,在售,商业
B048,73.52,39000.00,61.93,46298.73,2867280.00,在售,商业
B047,61.03,42000.00,51.41,49859.18,2563260.00,在售,商业
B046,39.95,49343.00,33.66,58563.67,1971253.00,在售,商业
B045,51.28,47000.00,43.19,55803.66,2410160.00,在售,商业
B044,17.76,70000.00,14.96,83101.61,1243200.00,在售,商业
B043,36.11,50500.00,30.42,59945.93,1823555.00,在售,商业
B042,37.89,50000.00,31.92,59351.51,1894500.00,在售,商业
B041,39.10,49000.00,32.94,58163.33,1915900.00,在售,商业
B040,46.66,48000.00,39.31,56974.82,2239680.00,在售,商业
B039,57.16,47000.00,48.15,55794.81,2686520.00,在售,商业
B038,43.06,50000.00,36.28,59343.99,2153000.00,在售,商业
B037,47.96,51000.00,40.40,60543.57,2445960.00,在售,商业
B036,47.96,51000.00,40.40,60543.57,2445960.00,在售,商业
B035,47.96,51000.00,40.40,60543.57,2445960.00,在售,商业
B034,47.96,53000.00,40.40,62917.83,2541880.00,在售,商业
B033,45.56,54769.00,38.38,65015.01,2495276.00,在售,商业
B032,51.72,64000.00,43.57,75971.55,3310080.00,在售,商业
B031,33.78,56939.00,28.45,67606.31,1923399.00,在售,商业
B030,34.40,56939.00,28.97,67611.40,1958702.00,在售,商业
B029,34.48,56939.00,29.04,67605.27,1963257.00,在售,商业
B028,37.99,56939.00,32.00,67597.29,2163113.00,在售,商业
B027,41.99,54769.00,35.37,65019.80,2299750.00,在售,商业
B026,52.75,55311.00,44.44,65653.81,2917655.00,在售,商业
B025,57.00,54226.00,48.01,64379.97,3090882.00,在售,商业
B024,60.30,53683.00,50.80,63723.33,3237145.00,在售,商业
B023,47.48,59652.00,40.00,70806.93,2832277.00,在售,商业
B022,47.55,66000.00,40.06,78339.99,3138300.00,在售,商业
