房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3306,86.95,54195.00,64.52,73036.12,4712291.00,在售,住宅
3305,86.95,53886.00,64.52,72619.69,4685423.00,在售,住宅
3301,87.01,53460.00,64.56,72049.87,4651540.00,在售,住宅
3206,89.88,33693.00,64.52,46936.25,3028327.00,在售,住宅
3205,89.88,33384.00,64.52,46505.79,3000554.00,在售,住宅
3204,127.71,65152.00,92.85,89612.94,8320562.00,在售,住宅
3203,127.71,66277.00,92.85,91160.32,8464236.00,在售,住宅
3202,120.47,62705.00,87.54,86292.79,7554071.00,在售,住宅
3201,89.93,33007.00,64.56,45977.69,2968320.00,在售,住宅
3106,86.95,34823.00,64.52,46929.01,3027860.00,在售,住宅
3105,86.95,34514.00,64.52,46512.58,3000992.00,在售,住宅
3101,87.01,34087.00,64.56,45940.36,2965910.00,在售,住宅
3006,89.88,33653.00,64.52,46880.53,3024732.00,在售,住宅
3005,89.88,33344.00,64.52,46450.07,2996959.00,在售,住宅
3004,127.71,45152.00,92.85,62104.06,5766362.00,在售,住宅
3003,127.71,46277.00,92.85,63651.43,5910036.00,在售,住宅
3002,120.47,42705.00,87.54,58769.37,5144671.00,在售,住宅
3001,89.93,32967.00,64.56,45921.96,2964722.00,在售,住宅
2906,86.95,34783.00,64.52,46875.10,3024382.00,在售,住宅
2905,86.95,34474.00,64.52,46458.67,2997514.00,在售,住宅
2901,87.01,34047.00,64.56,45886.44,2962429.00,在售,住宅
2806,89.88,33613.00,64.52,46824.79,3021136.00,在售,住宅
2805,89.88,33304.00,64.52,46394.35,2993364.00,在售,住宅
2804,127.71,45052.00,92.85,61966.51,5753591.00,在售,住宅
2803,127.71,46177.00,92.85,63513.89,5897265.00,在售,住宅
2802,120.47,42605.00,87.54,58631.75,5132624.00,在售,住宅
2801,89.93,32927.00,64.56,45866.24,2961125.00,在售,住宅
2706,86.95,34743.00,64.52,46821.20,3020904.00,在售,住宅
2705,86.95,34434.00,64.52,46404.77,2994036.00,在售,住宅
2701,87.01,34007.00,64.56,45832.54,2958949.00,在售,住宅
2606,89.88,33573.00,64.52,46769.07,3017541.00,在售,住宅
2605,89.88,33264.00,64.52,46338.62,2989768.00,在售,住宅
2604,127.71,44952.00,92.85,61828.97,5740820.00,在售,住宅
2603,127.71,46077.00,92.85,63376.34,5884494.00,在售,住宅
2602,120.47,42505.00,87.54,58494.13,5120577.00,在售,住宅
2601,89.93,32887.00,64.56,45810.53,2957528.00,在售,住宅
2506,86.95,34703.00,64.52,46767.29,3017426.00,在售,住宅
2505,86.95,34394.00,64.52,46350.86,2990558.00,在售,住宅
2501,87.01,33967.00,64.56,45778.64,2955469.00,在售,住宅
2406,89.88,33533.00,64.52,46713.36,3013946.00,在售,住宅
2405,89.88,33224.00,64.52,46282.90,2986173.00,在售,住宅
2404,127.71,44852.00,92.85,61691.42,5728049.00,在售,住宅
2403,127.71,45977.00,92.85,63238.80,5871723.00,在售,住宅
2402,120.47,42405.00,87.54,58356.52,5108530.00,在售,住宅
2401,89.93,32847.00,64.56,45754.81,2953931.00,在售,住宅
2306,86.95,34663.00,64.52,46713.39,3013948.00,在售,住宅
2305,86.95,34354.00,64.52,46296.96,2987080.00,在售,住宅
2301,87.01,33927.00,64.56,45724.72,2951988.00,在售,住宅
2206,89.88,33493.00,64.52,46657.64,3010351.00,在售,住宅
2205,89.88,33184.00,64.52,46227.18,2982578.00,在售,住宅
2204,127.71,44752.00,92.85,61553.88,5715278.00,在售,住宅
2203,127.71,45877.00,92.85,63101.26,5858952.00,在售,住宅
2202,120.47,42305.00,87.54,58218.90,5096483.00,在售,住宅
2201,89.93,32807.00,64.56,45699.10,2950334.00,在售,住宅
2106,86.95,34623.00,64.52,46659.48,3010470.00,在售,住宅
2105,86.95,34314.00,64.52,46243.05,2983602.00,在售,住宅
2101,87.01,33887.00,64.56,45670.81,2948508.00,在售,住宅
2006,89.88,33453.00,64.52,46601.92,3006756.00,在售,住宅
2005,89.88,33144.00,64.52,46171.46,2978983.00,在售,住宅
2004,127.71,44652.00,92.85,61416.33,5702507.00,在售,住宅
2003,127.71,45777.00,92.85,62963.71,5846181.00,在售,住宅
2002,120.47,42205.00,87.54,58081.28,5084436.00,在售,住宅
2001,89.93,32767.00,64.56,45643.37,2946736.00,在售,住宅
1906,86.95,34573.00,64.52,46592.09,3006122.00,在售,住宅
1905,86.95,34264.00,64.52,46175.68,2979255.00,在售,住宅
1901,87.01,33837.00,64.56,45603.42,2944157.00,在售,住宅
1806,89.88,33393.00,64.52,46518.33,3001363.00,在售,住宅
1805,89.88,33084.00,64.52,46087.87,2973590.00,在售,住宅
1804,127.71,44552.00,92.85,61278.79,5689736.00,在售,住宅
1803,127.71,45677.00,92.85,62826.17,5833410.00,在售,住宅
1802,120.47,42105.00,87.54,57943.67,5072389.00,在售,住宅
1801,89.93,32707.00,64.56,45559.80,2941341.00,在售,住宅
1706,86.95,34513.00,64.52,46511.23,3000905.00,在售,住宅
1705,86.95,34204.00,64.52,46094.82,2974038.00,在售,住宅
1701,87.01,33777.00,64.56,45522.56,2938937.00,在售,住宅
1606,89.88,33333.00,64.52,46434.74,2995970.00,在售,住宅
1605,89.88,33024.00,64.52,46004.29,2968197.00,在售,住宅
1604,127.71,44452.00,92.85,61141.24,5676965.00,在售,住宅
1603,127.71,45577.00,92.85,62688.62,5820639.00,在售,住宅
1602,120.47,42005.00,87.54,57806.05,5060342.00,在售,住宅
1601,89.93,32647.00,64.56,45476.22,2935945.00,在售,住宅
1506,86.95,34453.00,64.52,46430.37,2995688.00,在售,住宅
1505,86.95,34144.00,64.52,46013.96,2968821.00,在售,住宅
1501,87.01,33717.00,64.56,45441.69,2933716.00,在售,住宅
1406,89.88,33273.00,64.52,46351.16,2990577.00,在售,住宅
1405,89.88,32964.00,64.52,45920.70,2962804.00,在售,住宅
1404,127.71,44352.00,92.85,61003.70,5664194.00,在售,住宅
1403,127.71,45427.00,92.85,62482.30,5801482.00,在售,住宅
1402,120.47,41905.00,87.54,57668.43,5048295.00,在售,住宅
1401,89.93,32587.00,64.56,45392.64,2930549.00,在售,住宅
1306,86.95,34393.00,64.52,46349.51,2990471.00,在售,住宅
1305,86.95,34084.00,64.52,45933.10,2963604.00,在售,住宅
1301,87.01,33657.00,64.56,45360.84,2928496.00,在售,住宅
1206,89.88,33213.00,64.52,46267.57,2985184.00,在售,住宅
1205,89.88,32904.00,64.52,45837.13,2957412.00,在售,住宅
1204,127.71,44252.00,92.85,60866.16,5651423.00,在售,住宅
1203,127.71,45327.00,92.85,62344.76,5788711.00,在售,住宅
1202,120.47,41805.00,87.54,57530.82,5036248.00,在售,住宅
1201,89.93,32527.00,64.56,45309.06,2925153.00,在售,住宅
1106,86.95,34333.00,64.52,46268.66,2985254.00,在售,住宅
1105,86.95,34024.00,64.52,45852.24,2958387.00,在售,住宅
1101,87.01,33597.00,64.56,45279.97,2923275.00,在售,住宅
1006,89.88,33133.00,64.52,46156.13,2977994.00,在售,住宅
1005,89.88,32824.00,64.52,45725.68,2950221.00,在售,住宅
1004,127.71,44152.00,92.85,60728.61,5638652.00,在售,住宅
1003,127.71,45227.00,92.85,62207.21,5775940.00,在售,住宅
1002,120.47,41705.00,87.54,57393.20,5024201.00,在售,住宅
1001,89.93,32447.00,64.56,45197.63,2917959.00,在售,住宅
906,86.95,34233.00,64.52,46133.89,2976559.00,在售,住宅
905,86.95,33924.00,64.52,45717.48,2949692.00,在售,住宅
901,87.01,33497.00,64.56,45145.19,2914574.00,在售,住宅
806,89.88,33033.00,64.52,46016.83,2969006.00,在售,住宅
805,89.88,32724.00,64.52,45586.37,2941233.00,在售,住宅
804,127.71,44052.00,92.85,60591.07,5625881.00,在售,住宅
803,127.71,45127.00,92.85,62069.67,5763169.00,在售,住宅
802,120.47,41605.00,87.54,57255.58,5012154.00,在售,住宅
801,89.93,32347.00,64.56,45058.33,2908966.00,在售,住宅
706,86.95,34133.00,64.52,45999.13,2967864.00,在售,住宅
705,86.95,33824.00,64.52,45582.71,2940997.00,在售,住宅
701,87.01,33397.00,64.56,45010.42,2905873.00,在售,住宅
606,89.88,32783.00,64.52,45668.56,2946536.00,在售,住宅
605,89.88,32474.00,64.52,45238.11,2918763.00,在售,住宅
604,127.71,43952.00,92.85,60453.52,5613110.00,在售,住宅
603,127.71,45027.00,92.85,61932.12,5750398.00,在售,住宅
602,120.47,41505.00,87.54,57117.96,5000107.00,在售,住宅
601,89.93,32247.00,64.56,44919.03,2899973.00,在售,住宅
506,86.95,33883.00,64.52,45662.22,2946127.00,在售,住宅
505,86.95,33574.00,64.52,45245.79,2919259.00,在售,住宅
501,87.01,33297.00,64.56,44875.65,2897172.00,在售,住宅
406,89.88,32683.00,64.52,45529.26,2937548.00,在售,住宅
405,89.88,32374.00,64.52,45098.80,2909775.00,在售,住宅
404,127.71,43852.00,92.85,60315.98,5600339.00,在售,住宅
403,127.71,44927.00,92.85,61794.58,5737627.00,在售,住宅
402,120.47,41405.00,87.54,56980.35,4988060.00,在售,住宅
401,89.93,32147.00,64.56,44779.73,2890980.00,在售,住宅
306,86.95,33783.00,64.52,45527.46,2937432.00,在售,住宅
305,86.95,33474.00,64.52,45111.03,2910564.00,在售,住宅
301,87.01,33197.00,64.56,44740.87,2888471.00,在售,住宅
206,89.88,32583.00,64.52,45389.95,2928560.00,在售,住宅
204,127.71,43752.00,92.85,60178.43,5587568.00,在售,住宅
203,127.71,44827.00,92.85,61657.03,5724856.00,在售,住宅
202,120.47,41305.00,87.54,56842.73,4976013.00,在售,住宅
201,89.93,32047.00,64.56,44640.44,2881987.00,在售,住宅
