房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2号楼33E,88.83,48167.58,69.12,61902.87,4278727.00,在售,住宅
2号楼33D,88.94,45818.64,69.21,58880.36,4075110.20,在售,住宅
2号楼33C,89.60,42788.23,69.72,54988.89,3833825.58,在售,住宅
2号楼33B,89.76,40483.44,69.85,52022.81,3633793.80,在售,住宅
2号楼33A,89.13,41592.57,69.36,53447.90,3707146.61,在售,住宅
2号楼32E,88.83,48167.58,69.12,61902.87,4278727.00,在售,住宅
2号楼32D,88.94,45818.64,69.21,58880.36,4075110.20,在售,住宅
2号楼32C,89.60,42788.23,69.72,54988.89,3833825.58,在售,住宅
2号楼32B,89.76,40483.44,69.85,52022.81,3633793.80,在售,住宅
2号楼32A,89.13,41592.57,69.36,53447.90,3707146.61,在售,住宅
2号楼31E,88.83,48107.58,69.12,61825.76,4273397.00,在售,住宅
2号楼31D,88.94,45758.64,69.21,58803.26,4069773.80,在售,住宅
2号楼31C,89.64,42728.23,69.75,54912.66,3830158.71,在售,住宅
2号楼31B,89.80,40423.44,69.88,51946.55,3630025.13,在售,住宅
2号楼31A,89.17,41532.57,69.39,53371.66,3703460.12,在售,住宅
2号楼30E,88.83,48047.59,69.12,61748.66,4268068.00,在售,住宅
2号楼30D,88.94,45698.64,69.21,58726.15,4064437.40,在售,住宅
2号楼30C,89.64,42668.23,69.75,54835.56,3824780.31,在售,住宅
2号楼30B,89.80,40363.44,69.88,51869.44,3624637.13,在售,住宅
2号楼30A,89.17,41472.57,69.39,53294.56,3698109.92,在售,住宅
2号楼29E,88.83,47987.59,69.12,61671.55,4262738.00,在售,住宅
2号楼29D,88.94,45638.64,69.21,58649.05,4059101.00,在售,住宅
2号楼29C,89.64,42608.23,69.75,54758.45,3819401.91,在售,住宅
2号楼29B,89.80,40303.44,69.88,51792.34,3619249.13,在售,住宅
2号楼29A,89.17,41412.57,69.39,53217.46,3692759.72,在售,住宅
2号楼28E,88.83,47927.59,69.12,61594.44,4257408.00,在售,住宅
2号楼28D,88.94,45578.64,69.21,58571.94,4053764.60,在售,住宅
2号楼28C,89.64,42548.23,69.75,54681.34,3814023.51,在售,住宅
2号楼28B,89.80,40243.44,69.88,51715.24,3613861.13,在售,住宅
2号楼28A,89.17,41352.57,69.39,53140.35,3687409.52,在售,住宅
2号楼27E,88.83,47867.58,69.12,61517.33,4252078.00,在售,住宅
2号楼27D,88.94,45518.64,69.21,58494.84,4048428.20,在售,住宅
2号楼27C,89.64,42488.23,69.75,54604.23,3808645.11,在售,住宅
2号楼27B,89.80,40183.44,69.88,51638.13,3608473.13,在售,住宅
2号楼27A,89.17,41292.57,69.39,53063.25,3682059.32,在售,住宅
2号楼26E,88.83,47807.58,69.12,61440.21,4246748.00,在售,住宅
2号楼26D,88.94,45458.64,69.21,58417.74,4043091.80,在售,住宅
2号楼26C,89.64,42428.23,69.75,54527.12,3803266.71,在售,住宅
2号楼26B,89.80,40123.44,69.88,51561.03,3603085.13,在售,住宅
2号楼26A,89.17,41232.57,69.39,52986.15,3676709.12,在售,住宅
2号楼25E,88.83,47247.59,69.12,60720.54,4197004.00,在售,住宅
