房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2栋4005,86.74,37392.22,69.58,46613.98,3243401.35,在售,住宅
2栋3905,86.74,37725.55,69.58,47029.52,3272314.68,在售,住宅
2栋3805,86.74,37714.44,69.58,47015.67,3271350.91,在售,住宅
2栋3705,86.74,37703.33,69.58,47001.82,3270387.13,在售,住宅
2栋3605,86.74,37692.22,69.58,46987.97,3269423.35,在售,住宅
2栋3505,86.74,37681.11,69.58,46974.12,3268459.57,在售,住宅
2栋3405,86.74,37670.00,69.58,46960.27,3267495.80,在售,住宅
2栋3305,86.74,37658.88,69.58,46946.42,3266532.02,在售,住宅
2栋3205,86.74,37647.77,69.58,46932.57,3265568.24,在售,住宅
2栋3105,86.74,37636.66,69.58,46918.71,3264604.46,在售,住宅
2栋3005,86.74,37625.55,69.58,46904.86,3263640.68,在售,住宅
2栋2905,86.74,37592.22,69.58,46863.31,3260749.35,在售,住宅
2栋2805,86.74,37558.88,69.58,46821.75,3257858.02,在售,住宅
2栋2705,86.74,37525.55,69.58,46780.20,3254966.68,在售,住宅
2栋2605,86.74,37492.22,69.58,46738.65,3252075.35,在售,住宅
2栋2505,86.74,37458.88,69.58,46697.09,3249184.02,在售,住宅
2栋2405,86.74,37425.55,69.58,46655.54,3246292.68,在售,住宅
2栋2305,86.74,37392.22,69.58,46613.98,3243401.35,在售,住宅
2栋2205,86.74,37358.88,69.58,46572.43,3240510.02,在售,住宅
2栋2105,86.74,37325.55,69.58,46530.88,3237618.68,在售,住宅
2栋2005,86.74,37214.44,69.58,46392.36,3227980.91,在售,住宅
2栋1905,86.74,37181.11,69.58,46350.81,3225089.57,在售,住宅
2栋1805,86.74,37147.77,69.58,46309.25,3222198.24,在售,住宅
2栋1705,86.74,37114.44,69.58,46267.70,3219306.91,在售,住宅
2栋1605,86.74,37081.11,69.58,46226.15,3216415.57,在售,住宅
2栋1505,86.74,37047.77,69.58,46184.59,3213524.24,在售,住宅
2栋1405,86.74,37014.44,69.58,46143.04,3210632.91,在售,住宅
2栋1305,86.74,36981.11,69.58,46101.48,3207741.57,在售,住宅
2栋1205,86.74,36947.77,69.58,46059.93,3204850.24,在售,住宅
2栋1105,86.74,36914.44,69.58,46018.38,3201958.91,在售,住宅
2栋1005,86.74,36881.11,69.58,45976.82,3199067.57,在售,住宅
2栋905,86.74,36847.77,69.58,45935.27,3196176.24,在售,住宅
2栋805,86.74,36814.44,69.58,45893.71,3193284.91,在售,住宅
2栋705,86.74,36781.11,69.58,45852.16,3190393.57,在售,住宅
2栋605,86.74,36747.77,69.58,45810.61,3187502.24,在售,住宅
2栋505,86.74,36714.44,69.58,45769.05,3184610.91,在售,住宅
2栋405,86.74,36603.33,69.58,45630.54,3174973.13,在售,住宅
2栋305,86.74,36325.55,69.58,45284.25,3150878.68,在售,住宅
2栋205,86.74,36047.77,69.58,44937.97,3126784.24,在售,住宅
2栋4004,86.74,35170.00,69.58,43843.71,3050645.80,在售,住宅
2栋3904,86.74,35503.33,69.58,44259.25,3079559.13,在售,住宅
2栋3804,86.74,35492.22,69.58,44245.40,3078595.35,在售,住宅
2栋3704,86.74,35481.11,69.58,44231.55,3077631.57,在售,住宅
2栋3604,86.74,35470.00,69.58,44217.70,3076667.80,在售,住宅
2栋3504,86.74,35458.88,69.58,44203.85,3075704.02,在售,住宅
2栋3404,86.74,35447.77,69.58,44190.00,3074740.24,在售,住宅
2栋3304,86.74,35436.66,69.58,44176.14,3073776.46,在售,住宅
2栋3204,86.74,35425.55,69.58,44162.29,3072812.68,在售,住宅
2栋3104,86.74,35414.44,69.58,44148.44,3071848.91,在售,住宅
2栋3004,86.74,35403.33,69.58,44134.59,3070885.13,在售,住宅
2栋2904,86.74,35370.00,69.58,44093.04,3067993.80,在售,住宅
2栋2804,86.74,35336.66,69.58,44051.48,3065102.46,在售,住宅
2栋2704,86.74,35303.33,69.58,44009.93,3062211.13,在售,住宅
2栋2604,86.74,35270.00,69.58,43968.37,3059319.80,在售,住宅
2栋2504,86.74,35236.66,69.58,43926.82,3056428.46,在售,住宅
2栋2404,86.74,35203.33,69.58,43885.27,3053537.13,在售,住宅
2栋2304,86.74,35170.00,69.58,43843.71,3050645.80,在售,住宅
2栋2204,86.74,35136.66,69.58,43802.16,3047754.46,在售,住宅
2栋2104,86.74,35103.33,69.58,43760.60,3044863.13,在售,住宅
2栋2004,86.74,34992.22,69.58,43622.09,3035225.35,在售,住宅
2栋1904,86.74,34958.88,69.58,43580.54,3032334.02,在售,住宅
2栋1804,86.74,34925.55,69.58,43538.98,3029442.68,在售,住宅
2栋1704,86.74,34892.22,69.58,43497.43,3026551.35,在售,住宅
2栋1604,86.74,34858.88,69.58,43455.87,3023660.02,在售,住宅
2栋1504,86.74,34825.55,69.58,43414.32,3020768.68,在售,住宅
2栋1404,86.74,34792.22,69.58,43372.77,3017877.35,在售,住宅
2栋1304,86.74,34758.88,69.58,43331.21,3014986.02,在售,住宅
2栋1204,86.74,34725.55,69.58,43289.66,3012094.68,在售,住宅
2栋1104,86.74,34692.22,69.58,43248.10,3009203.35,在售,住宅
2栋1004,86.74,34658.88,69.58,43206.55,3006312.02,在售,住宅
2栋904,86.74,34625.55,69.58,43164.99,3003420.68,在售,住宅
2栋804,86.74,34592.22,69.58,43123.44,3000529.35,在售,住宅
2栋704,86.74,34558.88,69.58,43081.89,2997638.02,在售,住宅
2栋604,86.74,34525.55,69.58,43040.33,2994746.68,在售,住宅
2栋504,86.74,34492.22,69.58,42998.78,2991855.35,在售,住宅
2栋404,86.74,34381.11,69.58,42860.26,2982217.57,在售,住宅
2栋304,86.74,34103.33,69.58,42513.98,2958123.13,在售,住宅
2栋204,86.74,33825.55,69.58,42167.70,2934028.68,在售,住宅
2栋4003,86.74,33503.33,69.58,41766.01,2906079.13,在售,住宅
2栋3903,86.74,33836.66,69.58,42181.55,2934992.46,在售,住宅
2栋3803,86.74,33825.55,69.58,42167.70,2934028.68,在售,住宅
2栋3703,86.74,33814.44,69.58,42153.85,2933064.91,在售,住宅
2栋3603,86.74,33803.33,69.58,42139.99,2932101.13,在售,住宅
2栋3503,86.74,33792.22,69.58,42126.14,2931137.35,在售,住宅
2栋3403,86.74,33781.11,69.58,42112.29,2930173.57,在售,住宅
2栋3303,86.74,33770.00,69.58,42098.44,2929209.80,在售,住宅
2栋3203,86.74,33758.88,69.58,42084.59,2928246.02,在售,住宅
2栋3103,86.74,33747.77,69.58,42070.74,2927282.24,在售,住宅
2栋3003,86.74,33736.66,69.58,42056.89,2926318.46,在售,住宅
2栋2903,86.74,33703.33,69.58,42015.33,2923427.13,在售,住宅
2栋2803,86.74,33670.00,69.58,41973.78,2920535.80,在售,住宅
2栋2703,86.74,33636.66,69.58,41932.22,2917644.46,在售,住宅
2栋2603,86.74,33603.33,69.58,41890.67,2914753.13,在售,住宅
2栋2503,86.74,33570.00,69.58,41849.12,2911861.80,在售,住宅
2栋2403,86.74,33536.66,69.58,41807.56,2908970.46,在售,住宅
2栋2303,86.74,33503.33,69.58,41766.01,2906079.13,在售,住宅
2栋2203,86.74,33470.00,69.58,41724.45,2903187.80,在售,住宅
2栋2103,86.74,33436.66,69.58,41682.90,2900296.46,在售,住宅
2栋2003,86.74,33325.55,69.58,41544.39,2890658.68,在售,住宅
2栋1903,86.74,33292.22,69.58,41502.83,2887767.35,在售,住宅
