房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
裙楼1层138号,69.01,89954.00,40.31,153999.00,6207725.00,在售,商业
裙楼1层137号,67.41,88461.00,39.38,151426.00,5963156.00,在售,商业
裙楼1层127号,59.66,118000.00,34.85,202005.16,7039880.00,在售,商业
裙楼1层126号,57.23,118000.00,33.43,202008.37,6753140.00,在售,商业
裙楼1层125号,62.01,118000.00,36.22,202020.43,7317180.00,在售,商业
裙楼1层124号,99.04,118000.00,57.86,201982.71,11686720.00,在售,商业
裙楼1层118号,75.37,118000.00,44.03,201990.91,8893660.00,在售,商业
裙楼1层117号,81.78,118000.00,47.77,202010.46,9650040.00,在售,商业
裙楼1层63号,125.71,98312.00,73.44,168284.00,12358801.00,在售,商业
裙楼1层62号,131.20,95028.00,76.64,162678.00,12467673.00,在售,商业
裙楼1层20号,111.25,35027.00,64.99,59959.00,3896753.00,在售,商业
裙楼1层19号,51.81,59003.00,30.26,101024.00,3056986.00,在售,商业
裙楼1层13号,118.42,45000.00,69.17,77040.00,5328900.00,在售,商业
裙楼1层09号,59.62,69073.00,34.83,118235.00,4118132.00,在售,商业
裙楼1层08号,90.82,64789.00,53.05,110916.00,5884136.00,在售,商业
裙楼1层07号,80.85,66580.00,47.23,113974.00,5382993.00,在售,商业
裙楼1层06号,135.45,118000.00,79.12,202010.86,15983100.00,在售,商业
裙楼1层05号,270.74,118000.00,158.15,202006.44,31947320.00,在售,商业
裙楼1层64号,116.11,89953.00,67.82,154004.00,10444551.00,在售,商业
裙楼1层69号,156.35,98312.00,91.33,168302.00,15371081.00,在售,商业
裙楼1层136号,67.41,86879.00,39.38,148717.00,5856513.00,在售,商业
裙楼1层135号,69.01,85685.00,40.31,146691.00,5913121.00,在售,商业
裙楼1层132号,48.03,118000.00,28.06,201979.33,5667540.00,在售,商业
裙楼1层68号,230.19,76819.00,134.46,131510.00,17682965.00,在售,商业
裙楼1层67号,231.79,79804.00,135.40,136615.00,18497769.00,在售,商业
裙楼1层66号,194.28,72939.00,113.49,124862.00,14170588.00,在售,商业
裙楼1层65号,216.92,73834.00,126.72,126389.00,16016071.00,在售,商业
裙楼1层18号,58.32,45009.00,34.07,77045.00,2624924.00,在售,商业
裙楼1层17号,55.37,47016.00,32.34,80497.00,2603275.00,在售,商业
裙楼1层16号,57.29,38036.00,33.47,65105.00,2179082.00,在售,商业
裙楼1层15号,81.73,53237.00,47.74,91140.00,4351060.00,在售,商业
裙楼1层14号,82.46,53237.00,48.17,91133.00,4389923.00,在售,商业
裙楼1层12号,144.94,100000.00,84.67,171182.23,14494000.00,在售,商业
裙楼1层11号,60.54,59625.00,35.36,102084.00,3609697.00,在售,商业
裙楼1层10号,70.96,41000.00,41.45,70189.00,2909359.00,在售,商业
裙楼2层02号,4752.71,45000.00,2639.37,81031.43,213871950.00,在售,商业
裙楼3层41号,62.98,40000.00,32.88,76618.00,2519200.00,在售,商业
裙楼3层40号,86.85,40000.00,45.34,76621.08,3474000.00,在售,商业
裙楼3层39号,1146.90,55000.00,598.69,105362.54,63079500.00,在售,商业
裙楼3层04号,305.54,55000.00,159.49,105365.22,16804700.00,在售,商业
裙楼3层03号,225.70,55000.00,117.82,105359.87,12413500.00,在售,商业
裙楼1层134号,51.97,99000.00,30.36,169467.39,5145030.00,在售,商业
裙楼1层133号,56.03,99000.00,32.73,169476.62,5546970.00,在售,商业
裙楼3层51号,76.38,22566.00,39.87,43230.00,1723591.00,在售,商业
裙楼3层50号,90.61,24357.00,47.30,46659.00,2206987.00,在售,商业
裙楼3层49号,56.83,29133.00,29.67,55801.00,1655628.00,在售,商业
裙楼3层48号,78.72,38000.00,41.09,72800.19,2991360.00,在售,商业
裙楼3层47号,76.31,27939.00,39.84,53514.00,2132025.00,在售,商业
裙楼3层46号,72.34,27939.00,37.76,53525.00,2021107.00,在售,商业
裙楼3层45号,67.89,27939.00,35.44,53520.00,1896778.00,在售,商业
裙楼3层44号,104.09,38000.00,54.34,72790.20,3955420.00,在售,商业
裙楼3层43号,72.76,31521.00,37.98,60386.00,2293467.00,在售,商业
裙楼3层40号,89.12,22566.00,46.52,43230.00,2011081.00,在售,商业
裙楼2层41号,690.13,50000.00,390.36,88396.60,34506500.00,在售,商业
裙楼1层131号,59.70,99000.00,34.87,169495.26,5910300.00,在售,商业
裙楼1层130号,59.11,99000.00,34.53,169472.63,5851890.00,在售,商业
裙楼1层129号,56.11,99000.00,32.77,169511.44,5554890.00,在售,商业
裙楼1层128号,56.85,99000.00,33.21,169471.54,5628150.00,在售,商业
D座2903号房,85.89,15765.22,66.25,20438.86,1354075.00,在售,住宅
D座2902号房,69.22,15431.88,53.40,20003.65,1068195.00,在售,住宅
D座2901号房,85.89,15626.33,66.25,20258.80,1342146.00,在售,住宅
D座2805号房,241.04,17641.76,185.95,22868.35,4252370.00,在售,复式住宅
D座2804号房,241.04,17688.05,185.95,22928.36,4263529.00,在售,复式住宅
D座2803号房,86.00,15765.22,66.35,20434.19,1355809.00,在售,住宅
D座2802号房,71.55,15431.89,55.20,20002.75,1104152.00,在售,住宅
D座2801号房,86.13,15626.33,66.45,20254.26,1345896.00,在售,住宅
D座2705号房,138.50,15975.09,106.51,20773.17,2212551.00,在售,住宅
D座2704号房,138.50,16021.39,106.51,20833.37,2218963.00,在售,住宅
D座2703号房,86.15,15765.22,66.25,20500.73,1358174.00,在售,住宅
D座2702号房,69.44,15431.88,53.40,20067.22,1071590.00,在售,住宅
D座2701号房,86.15,15626.32,66.25,20320.12,1346208.00,在售,住宅
D座2605号房,138.31,15975.09,106.39,20768.07,2209515.00,在售,住宅
D座2604号房,138.31,16021.38,106.39,20828.25,2215918.00,在售,住宅
D座2603号房,86.26,15765.22,66.35,20495.97,1359908.00,在售,住宅
D座2602号房,71.76,15431.88,55.20,20061.44,1107392.00,在售,住宅
D座2601号房,86.39,15626.33,66.45,20315.41,1349959.00,在售,住宅
D座2505号房,138.50,15975.09,106.51,20773.17,2212551.00,在售,住宅
D座2504号房,138.50,16021.39,106.51,20833.37,2218963.00,在售,住宅
D座2503号房,86.15,15765.22,66.25,20500.73,1358174.00,在售,住宅
D座2502号房,69.44,15431.88,53.40,20067.22,1071590.00,在售,住宅
D座2501号房,86.15,15626.32,66.25,20320.12,1346208.00,在售,住宅
D座2405号房,138.31,15963.97,106.39,20753.62,2207978.00,在售,住宅
D座2404号房,138.31,16010.28,106.39,20813.81,2214382.00,在售,住宅
D座2403号房,86.26,15754.10,66.35,20481.52,1358949.00,在售,住宅
D座2402号房,71.76,15420.77,55.20,20047.01,1106595.00,在售,住宅
D座2401号房,86.39,15615.22,66.45,20300.96,1348999.00,在售,住宅
D座2305号房,138.50,15952.87,106.51,20744.27,2209473.00,在售,住宅
D座2304号房,138.50,15999.16,106.51,20804.47,2215885.00,在售,住宅
D座2303号房,86.15,15742.99,66.25,20471.83,1356259.00,在售,住宅
D座2302号房,69.44,15409.66,53.40,20038.33,1070047.00,在售,住宅
D座2301号房,86.15,15604.10,66.25,20291.23,1344294.00,在售,住宅
D座2205号房,138.31,15941.76,106.39,20724.73,2204905.00,在售,住宅
D座2204号房,138.31,15988.05,106.39,20784.92,2211308.00,在售,住宅
D座2203号房,86.26,15731.89,66.35,20452.64,1357033.00,在售,住宅
D座2202号房,71.76,15398.55,55.20,20018.11,1105000.00,在售,住宅
D座2201号房,86.39,15592.99,66.45,20272.06,1347079.00,在售,住宅
D座2105号房,138.50,15930.64,106.51,20715.37,2206395.00,在售,住宅
D座2104号房,138.50,15976.94,106.51,20775.57,2212807.00,在售,住宅
D座2103号房,86.15,15720.77,66.25,20442.94,1354345.00,在售,住宅
D座2102号房,69.44,15387.44,53.40,20009.43,1068504.00,在售,住宅
D座2101号房,86.15,15581.89,66.25,20262.33,1342380.00,在售,住宅
D座2005号房,138.31,15919.53,106.39,20695.84,2201831.00,在售,住宅
D座2004号房,138.31,15965.83,106.39,20756.03,2208235.00,在售,住宅
D座2003号房,86.26,15709.66,66.35,20423.75,1355116.00,在售,住宅
D座2002号房,71.76,15376.33,55.20,19989.23,1103406.00,在售,住宅
D座2001号房,86.39,15570.77,66.45,20243.17,1345159.00,在售,住宅
D座1905号房,138.50,15891.76,106.51,20664.81,2201009.00,在售,住宅
D座1904号房,138.50,15938.05,106.51,20725.01,2207421.00,在售,住宅
D座1903号房,86.15,15681.89,66.25,20392.37,1350995.00,在售,住宅
D座1902号房,69.44,15348.55,53.40,19958.87,1065804.00,在售,住宅
D座1901号房,86.15,15542.99,66.25,20211.75,1339029.00,在售,住宅
D座1805号房,138.31,15863.97,106.39,20623.62,2194147.00,在售,住宅
D座1804号房,138.31,15910.28,106.39,20683.81,2200551.00,在售,住宅
D座1803号房,86.26,15654.10,66.35,20351.51,1350323.00,在售,住宅
D座1802号房,71.76,15320.77,55.20,19917.01,1099419.00,在售,住宅
D座1801号房,86.39,15515.22,66.45,20170.95,1340360.00,在售,住宅
D座1705号房,138.50,15836.20,106.51,20592.56,2193314.00,在售,住宅
D座1704号房,138.50,15882.49,106.51,20652.76,2199726.00,在售,住宅
D座1703号房,86.15,15626.32,66.25,20320.12,1346208.00,在售,住宅
D座1702号房,69.44,15293.00,53.40,19886.62,1061946.00,在售,住宅
D座1701号房,86.15,15487.44,66.25,20139.51,1334243.00,在售,住宅
D座1605号房,138.31,15808.43,106.39,20551.40,2186464.00,在售,住宅
D座1604号房,138.31,15854.72,106.39,20611.58,2192867.00,在售,住宅
D座1603号房,86.26,15598.55,66.35,20279.29,1345531.00,在售,住宅
D座1602号房,71.76,15265.21,55.20,19844.78,1095432.00,在售,住宅
D座1601号房,86.39,15459.65,66.45,20098.72,1335560.00,在售,住宅
D座1505号房,138.50,15780.64,106.51,20520.32,2185620.00,在售,住宅
D座1504号房,138.50,15826.94,106.51,20580.52,2192032.00,在售,住宅
D座1503号房,86.15,15570.77,66.25,20247.87,1341422.00,在售,住宅
D座1502号房,69.44,15237.44,53.40,19814.38,1058088.00,在售,住宅
D座1501号房,86.15,15431.88,66.25,20067.27,1329457.00,在售,住宅
D座1405号房,138.31,15752.87,106.39,20479.18,2178780.00,在售,住宅
D座1404号房,138.31,15799.16,106.39,20539.36,2185183.00,在售,住宅
D座1403号房,86.26,15542.99,66.35,20207.06,1340739.00,在售,住宅
D座1402号房,71.76,15209.67,55.20,19772.57,1091446.00,在售,住宅
D座1401号房,86.39,15404.10,66.45,20026.50,1330761.00,在售,住宅
D座1305号房,138.50,15725.09,106.51,20448.08,2177926.00,在售,住宅
D座1304号房,138.50,15771.39,106.51,20508.29,2184338.00,在售,住宅
D座1303号房,86.15,15515.21,66.25,20175.63,1336636.00,在售,住宅
D座1302号房,69.44,15181.88,53.40,19742.13,1054230.00,在售,住宅
D座1301号房,86.15,15376.33,66.25,19995.03,1324671.00,在售,住宅
D座1205号房,138.31,15697.31,106.39,20406.95,2171096.00,在售,住宅
D座1204号房,138.31,15743.61,106.39,20467.13,2177499.00,在售,住宅
D座1203号房,86.26,15487.44,66.35,20134.84,1335947.00,在售,住宅
D座1202号房,71.76,15154.11,55.20,19700.34,1087459.00,在售,住宅
D座1201号房,86.39,15348.54,66.45,19954.26,1325961.00,在售,住宅
D座1105号房,138.50,15669.53,106.51,20375.84,2170231.00,在售,住宅
D座1104号房,138.50,15715.83,106.51,20436.04,2176643.00,在售,住宅
D座1103号房,86.15,15459.66,66.25,20103.39,1331850.00,在售,住宅
D座1102号房,69.44,15126.33,53.40,19669.90,1050373.00,在售,住宅
D座1101号房,86.15,15320.77,66.25,19922.79,1319885.00,在售,住宅
D座1005号房,138.31,15641.76,106.39,20334.73,2163412.00,在售,住宅
D座1004号房,138.31,15688.05,106.39,20394.91,2169815.00,在售,住宅
D座1003号房,86.26,15431.89,66.35,20062.62,1331155.00,在售,住宅
D座1002号房,71.76,15098.55,55.20,19628.11,1083472.00,在售,住宅
D座1001号房,86.39,15292.99,66.45,19882.04,1321162.00,在售,住宅
D座905号房,138.50,15630.64,106.51,20325.27,2164845.00,在售,住宅
D座904号房,138.50,15676.94,106.51,20385.47,2171257.00,在售,住宅
D座903号房,86.15,15420.77,66.25,20052.83,1328500.00,在售,住宅
D座902号房,69.44,15087.44,53.40,19619.32,1047672.00,在售,住宅
D座901号房,86.15,15281.89,66.25,19872.22,1316535.00,在售,住宅
D座805号房,138.31,15619.53,106.39,20305.83,2160338.00,在售,住宅
D座804号房,138.31,15665.83,106.39,20366.03,2166742.00,在售,住宅
D座803号房,86.26,15409.66,66.35,20033.73,1329238.00,在售,住宅
D座802号房,71.76,15076.33,55.20,19599.23,1081878.00,在售,住宅
D座801号房,86.39,15270.77,66.45,19853.15,1319242.00,在售,住宅
D座705号房,138.50,15608.42,106.51,20296.37,2161767.00,在售,住宅
D座704号房,138.50,15654.72,106.51,20356.57,2168179.00,在售,住宅
D座703号房,86.15,15398.54,66.25,20023.92,1326585.00,在售,住宅
D座702号房,69.44,15065.22,53.40,19590.43,1046129.00,在售,住宅
D座701号房,86.15,15259.66,66.25,19843.32,1314620.00,在售,住宅
D座605号房,138.11,15597.31,106.21,20281.94,2154145.00,在售,住宅
D座604号房,138.11,15643.61,106.21,20342.14,2160539.00,在售,住宅
D座603号房,85.97,15387.43,66.11,20009.95,1322858.00,在售,住宅
D座602号房,71.45,15054.10,54.95,19574.44,1075616.00,在售,住宅
D座601号房,86.16,15248.54,66.26,19828.17,1313815.00,在售,住宅
D座505号房,138.29,15632.12,106.33,20330.73,2161767.00,在售,住宅
D座504号房,138.29,15678.49,106.33,20391.03,2168179.00,在售,住宅
D座503号房,85.86,15450.55,66.02,20093.68,1326585.00,在售,住宅
D座502号房,69.13,15132.77,53.15,19682.57,1046129.00,在售,住宅
D座501号房,85.92,15300.51,66.06,19900.39,1314620.00,在售,住宅
C座2906号房,88.29,14882.50,66.25,19833.60,1313976.00,在售,住宅
C座2905号房,83.37,14493.61,62.57,19311.69,1208333.00,在售,住宅
C座2904号房,88.29,14901.01,66.25,19858.27,1315611.00,在售,住宅
C座2903号房,88.29,15765.21,66.25,21009.97,1391911.00,在售,住宅
C座2902号房,71.16,15524.48,53.40,20687.67,1104722.00,在售,住宅
C座2901号房,88.29,15626.33,66.26,20821.74,1379649.00,在售,住宅
C座2806号房,88.38,14882.50,66.35,19823.90,1315316.00,在售,住宅
C座2805号房,83.35,14493.61,62.57,19307.06,1208043.00,在售,住宅
C座2804号房,88.34,14901.01,66.32,19848.55,1316356.00,在售,住宅
C座2803号房,88.38,15765.21,66.35,20999.69,1393330.00,在售,住宅
C座2802号房,73.53,15524.47,55.20,20679.61,1141515.00,在售,住宅
C座2801号房,88.52,15626.33,66.46,20813.16,1383243.00,在售,住宅
C座2706号房,88.29,14882.50,66.25,19833.60,1313976.00,在售,住宅
C座2705号房,83.37,14493.61,62.57,19311.69,1208333.00,在售,住宅
C座2704号房,88.29,14901.01,66.25,19858.27,1315611.00,在售,住宅
C座2703号房,88.29,15765.21,66.25,21009.97,1391911.00,在售,住宅
C座2702号房,71.16,15524.48,53.40,20687.67,1104722.00,在售,住宅
C座2701号房,88.29,15626.33,66.26,20821.74,1379649.00,在售,住宅
C座2606号房,88.38,14882.50,66.35,19823.90,1315316.00,在售,住宅
C座2605号房,83.35,14493.61,62.57,19307.06,1208043.00,在售,住宅
C座2604号房,88.34,14901.01,66.32,19848.55,1316356.00,在售,住宅
C座2603号房,88.38,15765.21,66.35,20999.69,1393330.00,在售,住宅
C座2602号房,73.53,15524.47,55.20,20679.61,1141515.00,在售,住宅
C座2601号房,88.52,15626.33,66.46,20813.16,1383243.00,在售,住宅
C座2506号房,88.29,14882.50,66.25,19833.60,1313976.00,在售,住宅
C座2505号房,83.37,14493.61,62.57,19311.69,1208333.00,在售,住宅
