房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
凤凰智谷大厦1栋2437,34.45,41219.16,22.95,61873.64,1420000.00,在售,单身宿舍
凤凰智谷大厦1栋2436,32.92,41312.27,21.93,62015.50,1360000.00,在售,单身宿舍
凤凰智谷大厦1栋2435,32.92,41312.27,21.93,62015.50,1360000.00,在售,单身宿舍
凤凰智谷大厦1栋2434,32.92,41312.27,21.93,62015.50,1360000.00,在售,单身宿舍
凤凰智谷大厦1栋2433,32.92,41312.27,21.93,62015.50,1360000.00,在售,单身宿舍
凤凰智谷大厦1栋2432,32.92,41312.27,21.93,62015.50,1360000.00,在售,单身宿舍
凤凰智谷大厦1栋2431,33.39,43426.18,22.24,65197.84,1450000.00,在售,单身宿舍
凤凰智谷大厦1栋2430,33.39,46421.08,22.24,69694.24,1550000.00,在售,单身宿舍
凤凰智谷大厦1栋2429,32.92,44349.94,21.93,66575.47,1460000.00,在售,单身宿舍
凤凰智谷大厦1栋2428,32.92,44349.94,21.93,66575.47,1460000.00,在售,单身宿舍
凤凰智谷大厦1栋2427,32.92,43438.64,21.93,65207.48,1430000.00,在售,单身宿舍
凤凰智谷大厦1栋2426,33.48,43309.44,22.30,65022.42,1450000.00,在售,单身宿舍
凤凰智谷大厦1栋2425,33.10,42598.19,22.05,63945.58,1410000.00,在售,单身宿舍
凤凰智谷大厦1栋2424,32.92,42831.11,21.93,64295.49,1410000.00,在售,单身宿舍
凤凰智谷大厦1栋2423,32.92,43438.64,21.93,65207.48,1430000.00,在售,单身宿舍
凤凰智谷大厦1栋2422,32.92,43438.64,21.93,65207.48,1430000.00,在售,单身宿舍
凤凰智谷大厦1栋2421,32.92,43438.64,21.93,65207.48,1430000.00,在售,单身宿舍
凤凰智谷大厦1栋2420,32.92,43438.64,21.93,65207.48,1430000.00,在售,单身宿舍
凤凰智谷大厦1栋2419,32.92,43438.64,21.93,65207.48,1430000.00,在售,单身宿舍
凤凰智谷大厦1栋2418,32.92,43438.64,21.93,65207.48,1430000.00,在售,单身宿舍
凤凰智谷大厦1栋2417,32.92,43438.64,21.93,65207.48,1430000.00,在售,单身宿舍
凤凰智谷大厦1栋2416,35.21,44021.58,23.45,66098.08,1550000.00,在售,单身宿舍
凤凰智谷大厦1栋2415,32.32,42388.61,21.53,63632.14,1370000.00,在售,单身宿舍
凤凰智谷大厦1栋2414,32.92,42527.34,21.93,63839.49,1400000.00,在售,单身宿舍
凤凰智谷大厦1栋2413,32.92,42527.34,21.93,63839.49,1400000.00,在售,单身宿舍
凤凰智谷大厦1栋2412,32.92,42527.34,21.93,63839.49,1400000.00,在售,单身宿舍
凤凰智谷大厦1栋2411,32.92,42527.34,21.93,63839.49,1400000.00,在售,单身宿舍
凤凰智谷大厦1栋2410,32.92,42527.34,21.93,63839.49,1400000.00,在售,单身宿舍
