房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
C座5J,24.78,62645.64,8.48,183061.20,1552359.00,在售,商务办公
C座5H,57.26,61664.98,19.61,180057.98,3530937.00,在售,商务办公
C座5G,75.33,61344.13,25.80,179110.62,4621054.00,在售,商务办公
C座5F,58.16,62186.98,19.91,181657.20,3616795.00,在售,商务办公
C座5E,57.75,61873.71,19.77,180738.84,3573207.00,在售,商务办公
C座5D,91.96,62384.86,31.49,182182.02,5736912.00,在售,商务办公
C座5C,62.08,62916.52,21.26,183718.62,3905858.00,在售,商务办公
C座5B,56.35,63128.39,19.30,184315.28,3557285.00,在售,商务办公
C座5A,128.64,63424.33,44.05,185219.22,8158907.00,在售,商务办公
C座18K,57.33,63650.32,39.06,93422.24,3649073.00,在售,商务办公
C座17K,59.58,63596.91,39.06,97007.27,3789104.00,在售,商务办公
C座16K,58.67,63545.13,39.06,95447.84,3728193.00,在售,商务办公
C座15K,59.58,63492.43,39.06,96847.90,3782879.00,在售,商务办公
C座14K,58.67,63440.65,39.06,95290.91,3722063.00,在售,商务办公
C座18J,68.08,63958.96,46.38,93883.69,4354326.00,在售,商务办公
C座17J,70.75,63905.75,46.38,97484.51,4521332.00,在售,商务办公
C座16J,69.67,63853.88,46.38,95918.49,4448700.00,在售,商务办公
C座15J,70.75,63801.25,46.38,97325.11,4513939.00,在售,商务办公
C座14J,69.67,63749.38,46.38,95761.53,4441420.00,在售,商务办公
C座19H,83.58,63964.63,54.18,98674.12,5346164.00,在售,商务办公
C座18H,79.52,64164.24,54.18,94173.88,5102341.00,在售,商务办公
C座17H,82.65,64111.15,54.18,97799.68,5298787.00,在售,商务办公
C座16H,81.38,64059.24,54.18,96218.91,5213141.00,在售,商务办公
C座15H,82.65,64006.65,54.18,97640.27,5290150.00,在售,商务办公
C座14H,81.38,63954.74,54.18,96061.96,5204637.00,在售,商务办公
C座19G,81.96,64273.30,53.13,99150.00,5267840.00,在售,商务办公
C座18G,77.98,64478.14,53.13,94635.91,5028006.00,在售,商务办公
C座17G,81.04,64425.04,53.13,98268.51,5221006.00,在售,商务办公
C座16G,79.81,64373.14,53.13,96699.05,5137621.00,在售,商务办公
C座15G,81.04,64320.55,53.13,98109.12,5212538.00,在售,商务办公
C座14G,79.81,64268.65,53.13,96542.08,5129281.00,在售,商务办公
C座18F,57.33,64695.25,39.06,94955.93,3708979.00,在售,商务办公
C座17F,59.58,64641.84,39.06,98601.15,3851361.00,在售,商务办公
C座16F,58.67,64590.06,39.06,97017.38,3789499.00,在售,商务办公
C座15F,59.58,64537.36,39.06,98441.78,3845136.00,在售,商务办公
C座14F,58.67,64485.58,39.06,96860.44,3783369.00,在售,商务办公
C座18E,57.33,62605.38,39.06,91888.55,3589167.00,在售,商务办公
C座17E,59.58,62551.98,39.06,95413.38,3726847.00,在售,商务办公
C座16E,58.67,62500.20,39.06,93878.31,3666887.00,在售,商务办公
C座15E,59.58,62447.49,39.06,95254.01,3720622.00,在售,商务办公
C座14E,58.67,62395.70,39.06,93721.35,3660756.00,在售,商务办公
C座18D,68.08,62391.55,46.38,91582.94,4247617.00,在售,商务办公
C座17D,70.75,62338.36,46.38,95093.55,4410439.00,在售,商务办公
C座16D,69.67,62286.47,46.38,93564.01,4339499.00,在售,商务办公
C座15D,70.75,62233.86,46.38,94934.15,4403046.00,在售,商务办公
C座14D,69.67,62181.98,46.38,93407.05,4332219.00,在售,商务办公
C座19C,76.55,61853.71,49.62,95423.25,4734902.00,在售,商务办公
C座18C,72.82,62076.40,49.62,91100.44,4520404.00,在售,商务办公
C座17C,75.69,62023.25,49.62,94609.83,4694540.00,在售,商务办公
C座16C,74.53,61971.35,49.62,93081.92,4618725.00,在售,商务办公
C座15C,75.69,61918.76,49.62,94450.44,4686631.00,在售,商务办公
C座14C,74.53,61866.85,49.62,92924.96,4610937.00,在售,商务办公
C座19B,60.17,61576.78,39.00,95001.92,3705075.00,在售,商务办公
C座18B,57.24,61874.00,39.00,90812.00,3541668.00,在售,商务办公
C座17B,59.49,61820.59,39.00,94300.17,3677707.00,在售,商务办公
C座16B,58.58,61768.79,39.00,92779.89,3618416.00,在售,商务办公
C座15B,59.49,61716.10,39.00,94140.79,3671491.00,在售,商务办公
C座14B,58.58,61664.30,39.00,92622.94,3612295.00,在售,商务办公
C座18A,57.33,61560.45,39.06,90354.86,3529261.00,在售,商务办公
C座17A,59.58,61507.04,39.06,93819.50,3664590.00,在售,商务办公
