房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋B座4007,214.55,120751.95,155.48,166628.06,25907332.13,在售,住宅
1栋B座4005,88.50,78575.95,63.56,109407.99,6953972.09,在售,住宅
1栋B座4001,88.50,77450.95,63.56,107841.56,6854409.59,在售,住宅
1栋B座3907,89.36,70504.95,64.47,97724.87,6300322.85,在售,住宅
1栋B座3906,89.36,71527.95,64.47,99142.82,6391738.13,在售,住宅
1栋B座3905,88.10,78828.95,63.57,109246.98,6944831.01,在售,住宅
1栋B座3903,89.09,73818.95,64.28,102310.68,6576530.78,在售,住宅
1栋B座3902,89.09,73481.95,64.28,101843.61,6546507.45,在售,住宅
1栋B座3901,88.10,77703.95,63.57,107687.87,6845718.51,在售,住宅
1栋B座3807,89.36,70257.95,64.47,97382.51,6278250.93,在售,住宅
1栋B座3806,89.36,71280.95,64.47,98800.46,6369666.21,在售,住宅
1栋B座3805,88.10,76381.95,63.57,105855.75,6729250.31,在售,住宅
1栋B座3803,89.09,73571.95,64.28,101968.35,6554525.55,在售,住宅
1栋B座3802,89.09,73234.95,64.28,101501.27,6524502.22,在售,住宅
1栋B座3801,88.10,75256.95,63.57,104296.64,6630137.81,在售,住宅
1栋B座3707,89.36,70010.95,64.47,97040.15,6256179.01,在售,住宅
1栋B座3706,89.36,71033.95,64.47,98458.10,6347594.29,在售,住宅
1栋B座3705,88.10,76134.95,63.57,105513.44,6707489.61,在售,住宅
1栋B座3703,89.09,73324.95,64.28,101626.01,6532520.32,在售,住宅
1栋B座3702,89.09,72987.95,64.28,101158.94,6502496.99,在售,住宅
1栋B座3701,88.10,75009.95,63.57,103954.33,6608377.11,在售,住宅
1栋B座3607,89.36,69763.95,64.47,96697.79,6234107.09,在售,住宅
1栋B座3606,89.36,70786.95,64.47,98115.74,6325522.37,在售,住宅
1栋B座3605,88.10,75887.95,63.57,105171.13,6685728.91,在售,住宅
1栋B座3603,89.09,73077.95,64.28,101283.68,6510515.09,在售,住宅
1栋B座3602,89.09,72740.95,64.28,100816.61,6480491.76,在售,住宅
1栋B座3601,88.10,74762.95,63.57,103612.02,6586616.41,在售,住宅
1栋B座3507,89.36,69516.95,64.47,96355.43,6212035.17,在售,住宅
1栋B座3506,89.36,70639.95,64.47,97911.99,6312386.45,在售,住宅
1栋B座3505,88.10,75640.95,63.57,104828.82,6663968.21,在售,住宅
1栋B座3503,89.09,72830.95,64.28,100941.34,6488509.86,在售,住宅
1栋B座3502,89.09,72493.95,64.28,100474.27,6458486.53,在售,住宅
1栋B座3501,88.10,74515.95,63.57,103269.71,6564855.71,在售,住宅
1栋B座3407,89.36,69269.95,64.47,96013.07,6189963.25,在售,住宅
1栋B座3406,89.36,70292.95,64.47,97431.03,6281378.53,在售,住宅
1栋B座3405,88.10,75393.95,63.57,104486.51,6642207.51,在售,住宅
1栋B座3403,89.09,72583.95,64.28,100599.01,6466504.63,在售,住宅
1栋B座3402,89.09,72246.95,64.28,100131.94,6436481.30,在售,住宅
1栋B座3401,88.10,74268.95,63.57,102927.40,6543095.01,在售,住宅
1栋B座3307,89.36,69022.95,64.47,95670.72,6167891.33,在售,住宅
