房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
406,415.91,114248.79,342.97,138546.28,47517217.81,在售,商业
405,550.23,117567.33,453.73,142571.73,64689073.22,在售,商业
403,374.55,103641.98,308.86,125685.11,38819103.91,在售,商业
402,600.56,120525.54,495.24,146157.06,72382823.07,在售,商业
401,393.20,96616.73,324.24,117165.37,37989700.46,在售,商业
306,428.80,117619.04,353.60,142633.04,50435045.16,在售,商业
305,534.58,121058.43,440.83,146803.56,64715416.77,在售,商业
303,374.70,106728.34,308.99,129425.26,39991111.72,在售,商业
302,600.56,124117.62,495.24,150513.05,74540083.86,在售,商业
301,395.23,99477.20,325.92,120631.97,39316374.02,在售,商业
206,445.45,121194.16,359.57,150140.28,53985942.03,在售,商业
205,532.08,124763.21,429.49,154564.73,66384008.93,在售,商业
203,391.04,110004.17,315.64,136281.94,43016032.27,在售,商业
202,240.57,127930.40,194.19,158485.07,30776216.93,在售,商业
201,403.76,102512.20,325.92,126995.36,41390329.45,在售,商业
106,356.19,126313.36,293.73,153173.17,44991556.95,在售,商业
105,252.82,130070.65,208.49,157726.80,32884462.09,在售,商业
104,186.09,107520.00,153.46,130381.83,20008396.80,在售,商业
103,108.34,114698.09,89.34,139091.02,12426392.03,在售,商业
102,286.10,133394.04,235.92,161766.85,38164037.51,在售,商业
101,243.65,106859.18,200.92,129585.10,26036239.54,在售,商业
