房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
6102,1055.52,102201.00,603.56,178731.52,107875199.52,在售,办公
6101,1059.91,110131.00,606.07,192599.77,116728948.21,在售,办公
6002,1191.13,99889.00,727.50,163547.47,118980784.57,在售,办公
6001,1072.56,105814.00,655.08,173248.86,113491863.84,在售,办公
5903,829.45,94619.00,515.17,152341.42,78481729.55,在售,办公
5902,826.55,99132.00,513.37,159607.21,81937554.60,在售,办公
5901,790.82,103863.00,491.18,167223.70,82136937.66,在售,办公
5803,837.61,92971.00,520.75,149540.93,77873439.31,在售,办公
5802,829.26,97406.00,515.56,156674.10,80774899.56,在售,办公
5801,791.67,102054.00,492.19,164150.20,80793090.18,在售,办公
5703,844.02,91323.00,524.26,147023.30,77078438.46,在售,办公
5702,833.08,95679.00,517.46,154037.53,79708261.32,在售,办公
5701,790.90,100245.00,491.26,161388.61,79283770.50,在售,办公
5603,852.24,89675.00,529.90,144224.61,76424622.00,在售,办公
5602,836.11,93952.00,519.87,151103.55,78554206.72,在售,办公
5601,791.88,98435.00,492.37,158313.27,77948707.80,在售,办公
5404,506.46,87792.00,302.44,147014.73,44463136.32,在售,办公
5403,746.50,88308.00,445.78,147879.94,65921922.00,在售,办公
5402,659.94,90758.00,394.09,151982.62,59894834.52,在售,办公
5401,593.02,95013.00,354.13,159107.13,56344609.26,在售,办公
5304,515.16,86104.00,308.00,144017.32,44357336.64,在售,办公
5303,743.71,86610.00,444.65,144861.62,64412723.10,在售,办公
5302,662.75,89013.00,396.25,148879.15,58993365.75,在售,办公
5301,596.12,93186.00,356.40,155864.30,55550038.32,在售,办公
5204,523.07,84417.00,313.10,141028.42,44156000.19,在售,办公
5203,741.73,84912.00,443.99,141854.04,62981777.76,在售,办公
5202,665.58,87268.00,398.40,145792.75,58083835.44,在售,办公
5201,599.22,91360.00,358.69,152624.10,54744739.20,在售,办公
5104,531.24,82729.00,318.36,138047.97,43948953.96,在售,办公
5103,739.50,83215.00,443.18,138854.39,61537492.50,在售,办公
5102,668.41,85523.00,400.57,142707.71,57164428.43,在售,办公
5101,602.33,89533.00,360.97,149398.59,53928411.89,在售,办公
5004,540.72,78748.00,324.42,131251.52,42580618.56,在售,办公
5003,735.98,79212.00,441.58,132022.39,58298447.76,在售,办公
5002,671.26,81415.00,402.74,135697.05,54650632.90,在售,办公
5001,605.44,85240.00,363.25,142072.14,51607705.60,在售,办公
4904,547.20,79356.00,327.48,132599.25,43423603.20,在售,办公
4903,734.42,79822.00,439.52,133379.30,58622873.24,在售,办公
4902,675.16,82036.00,404.06,137077.23,55387425.76,在售,办公
4901,606.46,85883.00,362.95,143503.52,52084604.18,在售,办公
4804,586.44,79318.00,333.88,139317.26,46515247.92,在售,办公
4803,692.74,79552.00,394.40,139728.32,55108852.48,在售,办公
4802,637.65,73647.00,363.04,129354.91,46961009.55,在售,办公
4801,641.53,80488.00,365.24,141374.07,51635466.64,在售,办公
4704,597.32,77631.00,343.47,135006.11,46370548.92,在售,办公
4703,629.36,78166.00,361.89,135937.86,49194553.76,在售,办公
4702,597.53,74021.00,343.59,128728.33,44229768.13,在售,办公
4701,629.36,80579.00,361.89,140134.29,50713199.44,在售,办公
4602,655.51,77761.00,366.27,139168.13,50973113.11,在售,办公
4601,742.29,75428.00,414.76,134992.40,55989450.12,在售,办公
1001,2542.14,82628.00,1380.25,152183.98,210051943.92,在售,商业
901,2555.85,82378.00,1390.67,151398.83,210545811.30,在售,商业
801,2567.73,82128.00,1399.70,150662.66,210882529.44,在售,商业
701,2579.87,81878.00,1408.93,149925.54,211234595.86,在售,商业
601,2587.28,81628.00,1414.56,149300.48,211194491.84,在售,商业
501,2573.43,81378.00,1406.20,148926.60,209420586.54,在售,商业
401,2708.10,81128.00,1194.58,183916.30,219702736.80,在售,商业
301,1037.34,80878.00,331.89,252788.52,83897984.52,在售,商业
