房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
同胜阁3804,88.60,78038.00,68.68,100672.20,6914166.80,在售,住宅
同胜阁3803,88.60,78722.00,68.68,101554.58,6974769.20,在售,住宅
同胜阁3704,88.60,77726.00,68.68,100269.70,6886523.60,在售,住宅
同胜阁3703,88.60,78407.00,68.68,101148.22,6946860.20,在售,住宅
同胜阁3702,238.55,102275.00,184.90,131950.79,24397701.25,在售,住宅
同胜阁3701,238.24,100542.00,184.66,129714.75,23953126.08,在售,住宅
同胜阁3604,88.60,77415.00,68.68,99868.50,6858969.00,在售,住宅
同胜阁3603,88.60,78093.00,68.68,100743.15,6919039.80,在售,住宅
同胜阁3602,127.44,79495.00,98.78,102559.65,10130842.80,在售,住宅
同胜阁3601,127.44,77987.00,98.78,100614.12,9938663.28,在售,住宅
同胜阁3504,88.62,77105.00,68.69,99476.56,6833045.10,在售,住宅
同胜阁3503,88.62,77781.00,68.70,100334.09,6892952.22,在售,住宅
同胜阁3502,125.50,80755.00,97.28,104181.25,10134752.50,在售,住宅
同胜阁3501,125.50,79254.00,97.28,102244.82,9946377.00,在售,住宅
同胜阁3404,88.60,76797.00,68.68,99071.26,6804214.20,在售,住宅
同胜阁3403,88.60,77470.00,68.68,99939.45,6863842.00,在售,住宅
同胜阁3402,127.44,78854.00,98.78,101732.67,10049153.76,在售,住宅
同胜阁3401,127.44,77358.00,98.78,99802.62,9858503.52,在售,住宅
同胜阁3304,88.62,76490.00,68.69,98683.12,6778543.80,在售,住宅
同胜阁3303,88.62,77160.00,68.70,99533.03,6837919.20,在售,住宅
同胜阁3302,125.50,80117.00,97.28,103358.17,10054683.50,在售,住宅
同胜阁3301,125.50,78627.00,97.28,101435.94,9867688.50,在售,住宅
同胜阁3204,88.60,76184.00,68.68,98280.46,6749902.40,在售,住宅
同胜阁3203,88.60,76851.00,68.68,99140.92,6808998.60,在售,住宅
同胜阁3202,127.44,78218.00,98.78,100912.14,9968101.92,在售,住宅
同胜阁3201,127.44,76734.00,98.78,98997.58,9778980.96,在售,住宅
同胜阁3104,88.62,75879.00,68.69,97894.84,6724396.98,在售,住宅
同胜阁3103,88.62,76544.00,68.70,98738.41,6783329.28,在售,住宅
同胜阁3102,125.50,79483.00,97.28,102540.26,9975116.50,在售,住宅
同胜阁3101,125.50,78006.00,97.28,100634.79,9789753.00,在售,住宅
同胜阁3004,88.60,75576.00,68.68,97496.12,6696033.60,在售,住宅
同胜阁3003,88.60,76238.00,68.68,98350.12,6754686.80,在售,住宅
同胜阁3002,127.44,77587.00,98.78,100098.06,9887687.28,在售,住宅
同胜阁3001,127.44,76115.00,98.78,98198.98,9700095.60,在售,住宅
同胜阁2904,88.62,75273.00,68.69,97113.01,6670693.26,在售,住宅
同胜阁2903,88.62,75933.00,68.70,97950.25,6729182.46,在售,住宅
同胜阁2902,125.50,78855.00,97.28,101730.08,9896302.50,在售,住宅
同胜阁2901,125.50,77389.00,97.28,99838.81,9712319.50,在售,住宅
同胜阁2804,88.60,74972.00,68.68,96716.93,6642519.20,在售,住宅
同胜阁2803,88.60,75629.00,68.68,97564.49,6700729.40,在售,住宅
同胜阁2802,127.44,76961.00,98.78,99290.44,9807909.84,在售,住宅
同胜阁2801,127.44,75501.00,98.78,97406.83,9621847.44,在售,住宅
同胜阁2604,88.60,74374.00,68.68,95945.49,6589536.40,在售,住宅
同胜阁2603,88.60,75025.00,68.68,96785.30,6647215.00,在售,住宅
同胜阁2602,127.44,76341.00,98.78,98490.55,9728897.04,在售,住宅
同胜阁2601,127.44,74892.00,98.78,96621.14,9544236.48,在售,住宅
同胜阁2504,88.62,74076.00,68.69,95568.71,6564615.12,在售,住宅
同胜阁2503,88.62,74725.00,68.70,96391.98,6622129.50,在售,住宅
同胜阁2502,125.50,77614.00,97.28,100129.08,9740557.00,在售,住宅
同胜阁2501,125.50,76171.00,97.28,98267.48,9559460.50,在售,住宅
同胜阁2404,88.60,73876.00,68.68,95303.05,6545413.60,在售,住宅
同胜阁2403,88.60,74523.00,68.68,96137.70,6602737.80,在售,住宅
同胜阁2402,127.44,75825.00,98.78,97824.84,9663138.00,在售,住宅
同胜阁2401,127.44,74386.00,98.78,95968.33,9479751.84,在售,住宅
同胜阁2304,88.62,73677.00,68.69,95053.94,6529255.74,在售,住宅
同胜阁2303,88.62,74322.00,68.70,95872.13,6586415.64,在售,住宅
同胜阁2302,125.50,77199.00,97.28,99593.69,9688474.50,在售,住宅
同胜阁2301,125.50,75765.00,97.28,97743.70,9508507.50,在售,住宅
同胜阁2204,88.60,73478.00,68.68,94789.61,6510150.80,在售,住宅
同胜阁2203,88.60,74122.00,68.68,95620.40,6567209.20,在售,住宅
同胜阁2202,127.44,75412.00,98.78,97292.01,9610505.28,在售,住宅
同胜阁2201,127.44,73981.00,98.78,95445.82,9428138.64,在售,住宅
同胜阁2104,88.62,73279.00,68.69,94540.47,6493984.98,在售,住宅
同胜阁2103,88.62,73921.00,68.70,95354.86,6550879.02,在售,住宅
同胜阁2102,125.50,76787.00,97.28,99062.17,9636768.50,在售,住宅
同胜阁2101,125.50,75360.00,97.28,97221.21,9457680.00,在售,住宅
同胜阁1904,88.62,73081.00,68.69,94285.02,6476438.22,在售,住宅
同胜阁1903,88.62,73722.00,68.70,95098.16,6533243.64,在售,住宅
同胜阁1902,125.50,76582.00,97.28,98797.70,9611041.00,在售,住宅
同胜阁1901,125.50,75159.00,97.28,96961.90,9432454.50,在售,住宅
同胜阁1704,88.62,72687.00,68.69,93776.70,6441521.94,在售,住宅
同胜阁1703,88.62,73324.00,68.70,94584.75,6497972.88,在售,住宅
同胜阁1702,125.50,76174.00,97.28,98271.35,9559837.00,在售,住宅
同胜阁1701,125.50,74758.00,97.28,96444.58,9382129.00,在售,住宅
同胜阁1504,88.62,72295.00,68.69,93270.96,6406782.90,在售,住宅
同胜阁1503,88.62,72929.00,68.70,94075.22,6462967.98,在售,住宅
同胜阁1502,125.50,75767.00,97.28,97746.28,9508758.50,在售,住宅
同胜阁1501,125.50,74359.00,97.28,95929.83,9332054.50,在售,住宅
同胜阁1404,88.60,72100.00,68.68,93011.93,6388060.00,在售,住宅
同胜阁1403,88.60,72732.00,68.68,93827.24,6444055.20,在售,住宅
同胜阁1402,127.44,73983.00,98.78,95448.40,9428393.52,在售,住宅
同胜阁1401,127.44,72579.00,98.78,93637.04,9249467.76,在售,住宅
同胜阁1304,88.62,71905.00,68.69,92767.81,6372221.10,在售,住宅
同胜阁1303,88.62,72536.00,68.70,93568.27,6428140.32,在售,住宅
同胜阁1302,125.50,75363.00,97.28,97225.08,9458056.50,在售,住宅
同胜阁1301,125.50,73963.00,97.28,95418.96,9282356.50,在售,住宅
同胜阁1204,88.60,71711.00,68.68,92510.11,6353594.60,在售,住宅
同胜阁1203,88.60,72340.00,68.68,93321.54,6409324.00,在售,住宅
同胜阁1202,127.44,73580.00,98.78,94928.47,9377035.20,在售,住宅
同胜阁1201,127.44,72183.00,98.78,93126.15,9199001.52,在售,住宅
同胜阁1104,88.62,71374.00,68.69,92082.74,6325163.88,在售,住宅
同胜阁1103,88.62,72000.00,68.70,92876.85,6380640.00,在售,住宅
同胜阁1102,125.50,74812.00,97.28,96514.24,9388906.00,在售,住宅
同胜阁1101,125.50,73422.00,97.28,94721.02,9214461.00,在售,住宅
同胜阁1004,88.60,71039.00,68.68,91643.20,6294055.40,在售,住宅
