房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
49F,205.08,93262.00,153.90,124276.61,19126170.96,在售,商务公寓
49E,123.85,104150.00,93.28,138282.34,12898977.50,在售,商务公寓
49D,123.85,105150.00,93.28,139610.07,13022827.50,在售,商务公寓
49C,205.08,86262.00,153.90,114948.73,17690610.96,在售,商务公寓
49B,337.07,91910.00,252.94,122480.04,30980103.70,在售,商务公寓
49A,336.80,103340.00,252.75,137704.89,34804912.00,在售,商务公寓
48F,205.08,93242.00,153.90,124249.96,19122069.36,在售,商务公寓
48E,123.85,104050.00,93.28,138149.57,12886592.50,在售,商务公寓
48D,123.85,105050.00,93.28,139477.29,13010442.50,在售,商务公寓
48C,205.08,86242.00,153.90,114922.08,17686509.36,在售,商务公寓
48B,337.07,91810.00,252.94,122346.78,30946396.70,在售,商务公寓
48A,336.80,103240.00,252.75,137571.63,34771232.00,在售,商务公寓
47F,205.08,93222.00,153.90,124223.31,19117967.76,在售,商务公寓
47E,123.85,103950.00,93.28,138016.80,12874207.50,在售,商务公寓
47D,123.85,104950.00,93.28,139344.52,12998057.50,在售,商务公寓
47C,205.08,86222.00,153.90,114895.43,17682407.76,在售,商务公寓
47B,337.07,91710.00,252.94,122213.52,30912689.70,在售,商务公寓
47A,336.80,103140.00,252.75,137438.38,34737552.00,在售,商务公寓
46F,205.08,93202.00,153.90,124196.66,19113866.16,在售,商务公寓
46E,123.85,103850.00,93.28,137884.03,12861822.50,在售,商务公寓
46D,123.85,104850.00,93.28,139211.75,12985672.50,在售,商务公寓
46C,205.08,86202.00,153.90,114868.78,17678306.16,在售,商务公寓
46B,337.07,91610.00,252.94,122080.26,30878982.70,在售,商务公寓
46A,336.80,103040.00,252.75,137305.13,34703872.00,在售,商务公寓
45F,205.08,93182.00,153.90,124170.01,19109764.56,在售,商务公寓
45E,123.85,103750.00,93.28,137751.25,12849437.50,在售,商务公寓
45D,123.85,104750.00,93.28,139078.98,12973287.50,在售,商务公寓
45C,205.08,86182.00,153.90,114842.13,17674204.56,在售,商务公寓
45B,337.07,91510.00,252.94,121947.00,30845275.70,在售,商务公寓
45A,336.80,102940.00,252.75,137171.87,34670192.00,在售,商务公寓
44F,205.08,93162.00,153.90,124143.35,19105662.96,在售,商务公寓
44E,123.85,103650.00,93.28,137618.48,12837052.50,在售,商务公寓
44D,123.85,104650.00,93.28,138946.21,12960902.50,在售,商务公寓
44C,205.08,86162.00,153.90,114815.48,17670102.96,在售,商务公寓
44B,337.07,91410.00,252.94,121813.74,30811568.70,在售,商务公寓
44A,336.80,102840.00,252.75,137038.62,34636512.00,在售,商务公寓
43F,205.08,93142.00,153.90,124116.70,19101561.36,在售,商务公寓
43E,123.85,103550.00,93.28,137485.71,12824667.50,在售,商务公寓
43D,123.85,104550.00,93.28,138813.43,12948517.50,在售,商务公寓
43C,205.08,86142.00,153.90,114788.83,17666001.36,在售,商务公寓
43B,337.07,91310.00,252.94,121680.48,30777861.70,在售,商务公寓
43A,336.80,102740.00,252.75,136905.36,34602832.00,在售,商务公寓
42F,205.08,93122.00,153.90,124090.05,19097459.76,在售,商务公寓
42E,123.85,103450.00,93.28,137352.94,12812282.50,在售,商务公寓
42D,123.85,104450.00,93.28,138680.66,12936132.50,在售,商务公寓
42C,205.08,86122.00,153.90,114762.18,17661899.76,在售,商务公寓
42B,337.07,91210.00,252.94,121547.22,30744154.70,在售,商务公寓
42A,336.80,102640.00,252.75,136772.11,34569152.00,在售,商务公寓
41F,205.08,93102.00,153.90,124063.40,19093358.16,在售,商务公寓
41E,123.85,103350.00,93.28,137220.17,12799897.50,在售,商务公寓
41D,123.85,104350.00,93.28,138547.89,12923747.50,在售,商务公寓
41C,205.08,86102.00,153.90,114735.53,17657798.16,在售,商务公寓
41B,337.07,91110.00,252.94,121413.96,30710447.70,在售,商务公寓
41A,336.80,102540.00,252.75,136638.86,34535472.00,在售,商务公寓
40F,205.08,93082.00,153.90,124036.75,19089256.56,在售,商务公寓
40E,123.85,103250.00,93.28,137087.39,12787512.50,在售,商务公寓
40D,123.85,104250.00,93.28,138415.12,12911362.50,在售,商务公寓
40C,205.08,86082.00,153.90,114708.87,17653696.56,在售,商务公寓
40B,337.07,91010.00,252.94,121280.70,30676740.70,在售,商务公寓
