房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
27C,209.26,119485.99,154.90,161417.94,25003640.00,在售,未销售
26D,203.76,110043.99,155.06,144605.73,22422565.00,在售,未销售
26C,199.62,109182.99,151.91,143473.83,21795110.00,在售,未销售
25D,201.68,107995.00,154.66,140827.82,21780432.00,在售,未销售
25C,198.10,107028.00,151.91,139571.10,21202247.00,在售,未销售
25B,197.23,108647.99,151.25,141676.99,21428645.00,在售,未销售
24D,203.36,106863.00,154.66,140512.47,21731660.00,在售,未销售
24C,195.15,105792.00,148.41,139109.95,20645309.00,在售,未销售
24B,198.35,108156.00,150.85,142212.41,21452743.00,在售,未销售
24A,191.16,109024.00,145.38,143355.53,20841028.00,在售,未销售
23H,101.42,97647.00,74.32,133252.94,9903359.00,在售,未销售
23G,102.60,96423.99,75.19,131574.70,9893102.00,在售,未销售
23F,100.41,96324.00,73.58,131447.30,9671893.00,在售,未销售
23E,99.05,95447.99,72.59,130240.03,9454124.00,在售,未销售
23D,101.42,95788.99,74.32,130717.43,9714920.00,在售,未销售
23C,102.60,96473.99,75.19,131642.93,9898232.00,在售,未销售
23B,97.48,96910.00,71.44,132233.86,9446787.00,在售,未销售
23A,96.10,98105.00,70.43,133861.86,9427891.00,在售,未销售
22H,101.42,97245.00,74.32,132704.35,9862588.00,在售,未销售
22G,102.60,96023.99,75.19,131028.88,9852062.00,在售,未销售
22F,100.41,95924.00,73.58,130901.45,9631729.00,在售,未销售
22E,99.05,95237.00,72.59,129952.12,9433225.00,在售,未销售
22D,101.42,95388.00,74.32,130170.22,9674251.00,在售,未销售
22C,102.60,96073.99,75.19,131097.11,9857192.00,在售,未销售
22B,97.48,96508.99,71.44,131686.68,9407697.00,在售,未销售
22A,96.10,97700.99,70.43,133310.60,9389066.00,在售,未销售
21H,99.27,96650.00,72.59,132173.10,9594446.00,在售,未销售
21G,100.63,95623.99,73.58,130777.96,9622643.00,在售,未销售
21F,100.63,95523.99,73.58,130641.20,9612580.00,在售,未销售
21E,97.24,94834.99,71.11,129682.95,9221755.00,在售,未销售
21D,94.28,95365.99,68.94,130419.29,8991106.00,在售,未销售
21C,97.69,96056.99,71.44,131352.29,9383808.00,在售,未销售
21B,97.69,96107.00,71.44,131420.67,9388693.00,在售,未销售
21A,96.31,97296.00,70.43,133048.10,9370578.00,在售,未销售
20H,97.07,96442.00,71.11,131649.90,9361625.00,在售,未销售
20G,100.45,95224.00,73.58,129997.97,9565251.00,在售,未销售
20F,102.47,95123.99,75.06,129860.85,9747356.00,在售,未销售
20E,101.70,94434.00,74.50,128911.91,9603938.00,在售,未销售
20D,96.14,94207.00,70.43,128596.63,9057061.00,在售,未销售
20C,97.52,95655.00,71.44,130574.97,9328276.00,在售,未销售
20B,102.47,95323.99,75.06,130133.89,9767850.00,在售,未销售
20A,99.67,96122.99,73.01,131222.83,9580579.00,在售,未销售
19H,99.05,95896.00,72.59,130851.34,9498499.00,在售,未销售
19G,100.41,95097.00,73.58,129772.90,9548690.00,在售,未销售
19F,102.43,93657.00,75.06,127808.24,9593287.00,在售,未销售
19E,101.65,94352.99,74.50,128738.01,9590982.00,在售,未销售
19D,96.10,95317.00,70.43,130057.70,9159964.00,在售,未销售
