房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2号B单元404,88.03,13980.60,67.76,18162.81,1230712.67,在售,住宅
2号B单元504,88.03,14002.03,67.76,18190.65,1232598.70,在售,住宅
2号B单元604,88.03,14023.45,67.76,18218.48,1234484.72,在售,住宅
2号B单元704,88.03,14044.87,67.76,18246.32,1236370.75,在售,住宅
2号B单元804,88.03,14066.30,67.76,18274.15,1238256.77,在售,住宅
2号B单元904,88.03,14087.72,67.76,18301.98,1240142.80,在售,住宅
2号B单元1004,88.03,14109.15,67.76,18329.82,1242028.82,在售,住宅
2号B单元1104,88.03,14130.57,67.76,18357.65,1243914.85,在售,住宅
2号B单元1204,88.03,14152.00,67.76,18385.49,1245800.87,在售,住宅
2号B单元1304,88.03,14173.42,67.76,18413.32,1247686.90,在售,住宅
2号B单元1404,88.03,14237.70,67.76,18496.82,1253344.97,在售,住宅
2号B单元1504,88.03,14301.97,67.76,18580.32,1259003.05,在售,住宅
2号B单元1604,88.03,14366.25,67.76,18663.83,1264661.12,在售,住宅
2号B单元1704,88.03,14430.52,67.76,18747.33,1270319.20,在售,住宅
2号B单元1804,88.03,14494.80,67.76,18830.83,1275977.28,在售,住宅
2号B单元1904,88.03,14559.07,67.76,18914.33,1281635.35,在售,住宅
2号B单元2004,88.03,14623.34,67.76,18997.83,1287293.43,在售,住宅
2号B单元2104,88.03,14687.62,67.76,19081.33,1292951.50,在售,住宅
2号B单元2204,88.03,14751.89,67.76,19164.84,1298609.58,在售,住宅
2号B单元2304,88.03,14816.17,67.76,19248.34,1304267.65,在售,住宅
2号B单元2404,88.03,14794.74,67.76,19220.50,1302381.63,在售,住宅
2号B单元2504,88.03,14773.32,67.76,19192.67,1300495.60,在售,住宅
2号B单元2604,88.03,14751.89,67.76,19164.84,1298609.58,在售,住宅
2号B单元2704,88.03,14730.47,67.76,19137.00,1296723.55,在售,住宅
2号B单元2804,88.03,14709.04,67.76,19109.17,1294837.53,在售,住宅
2号B单元2904,88.03,14687.62,67.76,19081.33,1292951.50,在售,住宅
2号B单元3004,88.03,14666.19,67.76,19053.50,1291065.48,在售,住宅
2号B单元3104,88.03,14644.77,67.76,19025.67,1289179.45,在售,住宅
2号B单元3204,88.03,14623.34,67.76,18997.83,1287293.43,在售,住宅
2号B单元3304,88.03,14601.92,67.76,18970.00,1285407.40,在售,住宅
2号B单元3404,88.03,14580.49,67.76,18942.16,1283521.38,在售,住宅
2号B单元3504,88.03,14066.30,67.76,18274.15,1238256.77,在售,住宅
2号B单元403,78.00,13473.86,60.04,17504.35,1050961.74,在售,住宅
2号B单元503,78.00,13495.29,60.04,17532.19,1052632.88,在售,住宅
2号B单元603,78.00,13516.71,60.04,17560.02,1054304.01,在售,住宅
2号B单元703,78.00,13538.14,60.04,17587.86,1055975.15,在售,住宅
2号B单元803,78.00,13559.56,60.04,17615.69,1057646.28,在售,住宅
2号B单元903,78.00,13580.99,60.04,17643.52,1059317.42,在售,住宅
2号B单元1003,78.00,13602.41,60.04,17671.36,1060988.55,在售,住宅
2号B单元1103,78.00,13623.84,60.04,17699.19,1062659.68,在售,住宅
2号B单元1203,78.00,13645.26,60.04,17727.02,1064330.82,在售,住宅
2号B单元1303,78.00,13666.69,60.04,17754.86,1066001.95,在售,住宅
2号B单元1403,78.00,13730.96,60.04,17838.36,1071015.36,在售,住宅
2号B单元1503,78.00,13795.24,60.04,17921.86,1076028.76,在售,住宅
2号B单元1603,78.00,13859.51,60.04,18005.36,1081042.16,在售,住宅
2号B单元1703,78.00,13923.78,60.04,18088.86,1086055.57,在售,住宅
2号B单元1803,78.00,13988.06,60.04,18172.36,1091068.97,在售,住宅
2号B单元1903,78.00,14052.33,60.04,18255.86,1096082.37,在售,住宅
2号B单元2003,78.00,14116.61,60.04,18339.37,1101095.78,在售,住宅
2号B单元2103,78.00,14180.88,60.04,18422.87,1106109.18,在售,住宅
2号B单元2203,78.00,14245.16,60.04,18506.37,1111122.58,在售,住宅
2号B单元2303,78.00,14309.43,60.04,18589.87,1116135.98,在售,住宅
2号B单元2403,78.00,14288.01,60.04,18562.03,1114464.85,在售,住宅
2号B单元2503,78.00,14266.58,60.04,18534.20,1112793.72,在售,住宅
2号B单元2603,78.00,14245.16,60.04,18506.37,1111122.58,在售,住宅
2号B单元2703,78.00,14223.73,60.04,18478.53,1109451.45,在售,住宅
2号B单元2803,78.00,14202.31,60.04,18450.70,1107780.31,在售,住宅
2号B单元2903,78.00,14180.88,60.04,18422.87,1106109.18,在售,住宅
2号B单元3003,78.00,14159.46,60.04,18395.03,1104438.04,在售,住宅
2号B单元3103,78.00,14138.03,60.04,18367.20,1102766.91,在售,住宅
2号B单元3203,78.00,14116.61,60.04,18339.37,1101095.78,在售,住宅
2号B单元3303,78.00,14095.18,60.04,18311.53,1099424.64,在售,住宅
2号B单元3403,78.00,14073.76,60.04,18283.70,1097753.51,在售,住宅
2号B单元3503,78.00,13559.56,60.04,17615.69,1057646.28,在售,住宅
2号B单元402,78.00,13955.92,60.04,18130.61,1088562.27,在售,住宅
2号B单元502,78.00,13977.35,60.04,18158.45,1090233.40,在售,住宅
2号B单元602,78.00,13998.77,60.04,18186.28,1091904.54,在售,住宅
2号B单元702,78.00,14020.20,60.04,18214.11,1093575.67,在售,住宅
2号B单元802,78.00,14041.62,60.04,18241.95,1095246.80,在售,住宅
2号B单元902,78.00,14063.05,60.04,18269.78,1096917.94,在售,住宅
2号B单元1002,78.00,14084.47,60.04,18297.61,1098589.07,在售,住宅
2号B单元1102,78.00,14105.90,60.04,18325.45,1100260.21,在售,住宅
2号B单元1202,78.00,14127.32,60.04,18353.28,1101931.34,在售,住宅
2号B单元1302,78.00,14148.74,60.04,18381.12,1103602.48,在售,住宅
2号B单元1402,78.00,14213.02,60.04,18464.62,1108615.88,在售,住宅
2号B单元1502,78.00,14277.29,60.04,18548.12,1113629.28,在售,住宅
2号B单元1602,78.00,14341.57,60.04,18631.62,1118642.69,在售,住宅
2号B单元1702,78.00,14405.84,60.04,18715.12,1123656.09,在售,住宅
2号B单元1802,78.00,14470.12,60.04,18798.62,1128669.49,在售,住宅
2号B单元1902,78.00,14534.39,60.04,18882.12,1133682.90,在售,住宅
2号B单元2002,78.00,14598.67,60.04,18965.62,1138696.30,在售,住宅
