房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
13号楼3110,248.26,72506.00,152.41,118104.71,18000340.00,在售,办公
13号楼3109,118.09,72277.00,72.49,117743.01,8535191.00,在售,办公
13号楼3108,125.38,71876.99,76.97,117083.77,9011938.00,在售,办公
13号楼3107,230.88,71820.00,141.74,116987.45,16581802.00,在售,办公
13号楼3106,131.21,71191.99,80.55,115966.50,9341102.00,在售,办公
13号楼3105,131.21,70505.99,80.55,114849.06,9251092.00,在售,办公
13号楼3103,217.68,70335.00,133.64,114565.42,15310523.00,在售,办公
13号楼3102,166.85,68505.99,102.43,111590.60,11430226.00,在售,办公
13号楼3101,207.71,70449.00,127.52,114750.32,14632962.00,在售,办公
13号楼3011,261.16,102817.08,165.12,162619.36,26851710.00,在售,办公
13号楼3010,241.06,71505.99,152.41,113097.80,17237236.00,在售,办公
13号楼3009,114.66,71277.00,72.49,112741.35,8172621.00,在售,办公
13号楼3008,121.74,70877.00,76.97,112102.97,8628566.00,在售,办公
13号楼3007,225.43,70820.00,142.53,112011.17,15964953.00,在售,办公
13号楼3006,127.40,70192.00,80.55,111017.51,8942461.00,在售,办公
13号楼3005,127.40,69505.99,80.55,109932.51,8855064.00,在售,办公
13号楼3003,211.41,69334.99,133.66,109667.15,14658112.00,在售,办公
13号楼3002,163.37,67505.99,103.29,106771.75,11028455.00,在售,办公
13号楼3001,209.32,69449.00,132.34,109846.34,14537065.00,在售,办公
13号楼2910,128.21,69119.99,78.98,112204.03,8861875.00,在售,办公
13号楼2909,140.46,70206.00,86.53,113962.03,9861135.00,在售,办公
13号楼2908,247.42,70506.00,152.41,114458.33,17444595.00,在售,办公
13号楼2907,117.69,70276.99,72.49,114097.11,8270900.00,在售,办公
13号楼2906,124.95,69876.99,76.97,113435.50,8731131.00,在售,办公
13号楼2905,232.34,69820.00,143.12,113345.29,16221979.00,在售,办公
13号楼2903,217.00,68335.00,133.67,110935.10,14828695.00,在售,办公
13号楼2902,168.86,66505.99,104.02,107961.95,11230203.00,在售,办公
13号楼2901,223.21,68448.99,137.49,111124.45,15278501.00,在售,办公
13号楼2811,125.36,68119.99,79.41,107537.12,8539523.00,在售,办公
13号楼2810,136.59,69206.00,86.53,109243.59,9452848.00,在售,办公
13号楼2809,240.60,69506.00,152.41,109724.71,16723144.00,在售,办公
13号楼2808,114.44,69277.00,72.49,109367.63,7928060.00,在售,办公
13号楼2807,121.51,68876.99,76.97,108733.84,8369244.00,在售,办公
13号楼2806,226.69,68820.00,143.60,108640.71,15600806.00,在售,办公
13号楼2805,254.32,100808.00,161.10,159140.22,25637491.00,在售,办公
13号楼2803,211.02,67335.00,133.67,106299.33,14209032.00,在售,办公
13号楼2802,165.14,65506.00,104.61,103409.43,10817661.00,在售,办公
13号楼2801,224.32,67449.00,142.10,106475.43,15130160.00,在售,办公
13号楼2710,129.22,67119.99,79.78,108714.53,8673246.00,在售,办公
13号楼2709,140.16,68206.00,86.53,110479.05,9559753.00,在售,办公
