房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1-D-4604,230.80,83800.00,178.42,108401.75,19341040.00,在售,住宅
1-D-4603,230.80,83800.00,178.43,108395.68,19341040.00,在售,住宅
1-D-4602,249.08,83800.00,192.58,108385.63,20872904.00,在售,住宅
1-D-4601,314.45,83800.00,243.11,108390.90,26350910.00,在售,住宅
1-D-4504,133.95,54557.30,103.77,70424.51,7307951.00,在售,住宅
1-D-4503,133.95,54659.00,103.76,70562.59,7321574.00,在售,住宅
1-D-4502,141.95,57010.69,109.96,73596.48,8092668.00,在售,住宅
1-D-4501,181.82,57324.25,140.84,74003.81,10422696.00,在售,住宅
1-D-4404,133.95,54357.30,103.77,70166.34,7281161.00,在售,住宅
1-D-4403,133.95,54459.00,103.76,70304.40,7294784.00,在售,住宅
1-D-4402,141.95,56810.69,109.96,73338.29,8064278.00,在售,住宅
1-D-4401,181.82,57124.25,140.84,73745.62,10386332.00,在售,住宅
1-D-4304,133.95,54157.30,103.77,69908.18,7254371.00,在售,住宅
1-D-4303,133.95,54259.00,103.76,70046.21,7267994.00,在售,住宅
1-D-4302,141.95,56610.69,109.96,73080.11,8035888.00,在售,住宅
1-D-4301,181.82,56924.25,140.84,73487.42,10349968.00,在售,住宅
1-D-4204,133.95,53957.30,103.77,69650.01,7227581.00,在售,住宅
1-D-4203,133.95,54059.00,103.76,69788.02,7241204.00,在售,住宅
1-D-4202,141.95,56410.69,109.96,72821.92,8007498.00,在售,住宅
1-D-4201,181.82,56724.25,140.84,73229.23,10313604.00,在售,住宅
1-D-4104,133.95,53757.30,103.77,69391.84,7200791.00,在售,住宅
1-D-4103,133.95,53859.00,103.76,69529.82,7214414.00,在售,住宅
1-D-4102,141.95,56210.69,109.96,72563.74,7979108.00,在售,住宅
1-D-4101,181.82,56524.25,140.84,72971.04,10277240.00,在售,住宅
1-D-4004,133.95,53557.30,103.77,69133.68,7174001.00,在售,住宅
1-D-4003,133.95,53659.00,103.76,69271.63,7187624.00,在售,住宅
1-D-4002,141.95,56010.69,109.96,72305.55,7950718.00,在售,住宅
1-D-4001,181.82,56324.25,140.84,72712.84,10240876.00,在售,住宅
1-D-3904,133.95,53357.30,103.77,68875.51,7147211.00,在售,住宅
1-D-3903,133.95,53459.00,103.76,69013.44,7160834.00,在售,住宅
1-D-3902,141.95,55810.69,109.96,72047.37,7922328.00,在售,住宅
1-D-3901,181.82,56124.25,140.84,72454.65,10204512.00,在售,住宅
1-D-3804,133.95,53157.30,103.77,68617.34,7120421.00,在售,住宅
1-D-3803,133.95,53259.00,103.76,68755.25,7134044.00,在售,住宅
1-D-3802,141.95,55610.69,109.96,71789.18,7893938.00,在售,住宅
1-D-3801,181.82,55924.25,140.84,72196.45,10168148.00,在售,住宅
1-D-3704,133.95,52957.30,103.77,68359.17,7093631.00,在售,住宅
1-D-3703,133.95,53059.00,103.76,68497.06,7107254.00,在售,住宅
1-D-3702,141.95,55410.69,109.96,71531.00,7865548.00,在售,住宅
1-D-3701,181.82,55724.25,140.84,71938.26,10131784.00,在售,住宅
1-D-3604,133.95,52757.30,103.76,68107.57,7066841.00,在售,住宅
1-D-3603,133.95,52859.00,103.76,68238.86,7080464.00,在售,住宅
1-D-3602,141.95,55210.69,109.96,71272.81,7837158.00,在售,住宅
1-D-3601,181.82,55524.25,140.84,71680.07,10095420.00,在售,住宅
1-D-3504,133.95,52557.30,103.76,67849.38,7040051.00,在售,住宅
1-D-3503,133.95,52659.00,103.76,67980.67,7053674.00,在售,住宅
1-D-3502,141.95,55010.69,109.96,71014.63,7808768.00,在售,住宅
1-D-3501,181.82,55324.25,140.84,71421.87,10059056.00,在售,住宅
1-D-3304,133.40,52257.30,103.33,67464.67,6971124.00,在售,住宅
1-D-3303,133.40,52359.00,103.33,67595.97,6984691.00,在售,住宅
1-D-3302,140.89,53710.69,109.13,69342.07,7567300.00,在售,住宅
1-D-3301,180.50,54024.25,139.81,69747.36,9751378.00,在售,住宅
1-D-3204,133.40,52157.30,103.33,67335.57,6957784.00,在售,住宅
1-D-3203,133.40,52259.00,103.33,67466.87,6971351.00,在售,住宅
1-D-3202,140.89,53610.69,109.13,69212.97,7553211.00,在售,住宅
1-D-3201,180.50,53924.25,139.81,69618.26,9733328.00,在售,住宅
1-D-3104,133.40,52057.30,103.33,67206.47,6944444.00,在售,住宅
1-D-3103,133.40,52159.00,103.33,67337.77,6958011.00,在售,住宅
1-D-3102,140.89,53510.69,109.13,69083.87,7539122.00,在售,住宅
1-D-3101,180.50,53824.25,139.81,69489.15,9715278.00,在售,住宅
1-D-3004,133.40,51957.30,103.33,67077.37,6931104.00,在售,住宅
1-D-3003,133.40,52059.00,103.33,67208.67,6944671.00,在售,住宅
1-D-3002,140.89,53410.69,109.13,68954.77,7525033.00,在售,住宅
1-D-3001,180.50,53724.25,139.81,69360.05,9697228.00,在售,住宅
1-D-2904,133.40,51857.30,103.33,66948.27,6917764.00,在售,住宅
1-D-2903,133.40,50459.00,103.33,65143.05,6731231.00,在售,住宅
1-D-2902,140.89,51810.69,109.13,66889.12,7299609.00,在售,住宅
1-D-2901,180.50,53624.25,139.81,69230.95,9679178.00,在售,住宅
