房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
7号楼45D,85.21,106040.00,67.58,133703.28,9035668.00,在售,住宅
7号楼45C,85.21,107140.00,67.58,135090.25,9129399.00,在售,住宅
7号楼45B,160.69,113190.00,127.44,142722.07,18188501.00,在售,住宅
7号楼45A,140.72,114840.00,111.61,144792.45,16160285.00,在售,住宅
7号楼44D,85.21,105710.00,67.58,133287.20,9007549.00,在售,住宅
7号楼44C,85.21,106810.00,67.58,134674.16,9101280.00,在售,住宅
7号楼44B,160.69,112860.00,127.44,142305.97,18135473.00,在售,住宅
7号楼44A,140.72,114510.00,111.61,144376.37,16113847.00,在售,住宅
7号楼43D,85.21,105380.00,67.58,132871.12,8979430.00,在售,住宅
7号楼43C,85.21,106480.00,67.58,134258.08,9073161.00,在售,住宅
7号楼43B,160.69,112530.00,127.44,141889.88,18082446.00,在售,住宅
7号楼43A,140.72,114180.00,111.61,143960.31,16067410.00,在售,住宅
7号楼42D,85.21,105050.00,67.58,132455.03,8951311.00,在售,住宅
7号楼42C,85.21,106150.00,67.58,133841.99,9045042.00,在售,住宅
7号楼42B,160.69,112200.00,127.44,141473.78,18029418.00,在售,住宅
7号楼42A,140.72,113850.00,111.61,143544.23,16020972.00,在售,住宅
7号楼41D,85.21,104720.00,67.58,132038.93,8923191.00,在售,住宅
7号楼41C,85.21,105820.00,67.58,133425.90,9016922.00,在售,住宅
7号楼41B,160.69,111870.00,127.44,141057.67,17976390.00,在售,住宅
7号楼41A,140.72,113520.00,111.61,143128.16,15974534.00,在售,住宅
7号楼40D,85.21,104390.00,67.58,131622.85,8895072.00,在售,住宅
7号楼40C,85.21,105490.00,67.58,133009.81,8988803.00,在售,住宅
7号楼40B,160.69,111540.00,127.44,140641.58,17923363.00,在售,住宅
7号楼40A,140.72,113190.00,111.61,142712.10,15928097.00,在售,住宅
7号楼39D,85.21,104060.00,67.58,131206.76,8866953.00,在售,住宅
7号楼39C,85.21,105160.00,67.58,132593.73,8960684.00,在售,住宅
7号楼39B,160.69,111210.00,127.44,140225.48,17870335.00,在售,住宅
7号楼39A,140.72,112860.00,111.61,142296.02,15881659.00,在售,住宅
7号楼38D,85.21,103730.00,67.58,130790.66,8838833.00,在售,住宅
7号楼38C,85.21,104830.00,67.58,132177.63,8932564.00,在售,住宅
7号楼38B,160.69,110880.00,127.44,139809.38,17817307.00,在售,住宅
7号楼38A,140.72,112530.00,111.61,141879.96,15835222.00,在售,住宅
7号楼37D,85.21,103400.00,67.58,130374.58,8810714.00,在售,住宅
7号楼37C,85.21,104500.00,67.58,131761.54,8904445.00,在售,住宅
7号楼37B,160.69,110550.00,127.44,139393.28,17764280.00,在售,住宅
7号楼37A,140.72,112200.00,111.61,141463.88,15788784.00,在售,住宅
7号楼36D,85.21,103070.00,67.58,129958.49,8782595.00,在售,住宅
7号楼36C,85.21,104170.00,67.58,131345.46,8876326.00,在售,住宅
7号楼36B,160.69,110220.00,127.44,138977.18,17711252.00,在售,住宅
7号楼36A,140.72,111870.00,111.61,141047.81,15742346.00,在售,住宅
7号楼35D,85.21,101970.00,67.58,128571.53,8688864.00,在售,住宅
7号楼35C,85.21,103070.00,67.58,129958.49,8782595.00,在售,住宅
7号楼35B,160.69,109120.00,127.44,137590.18,17534493.00,在售,住宅
7号楼35A,140.72,110770.00,111.61,139660.91,15587554.00,在售,住宅
7号楼34D,85.21,101750.00,67.58,128294.14,8670118.00,在售,住宅
7号楼34C,85.21,102850.00,67.58,129681.10,8763849.00,在售,住宅
7号楼34B,160.69,108900.00,127.44,137312.78,17499141.00,在售,住宅
7号楼34A,140.72,110550.00,111.61,139383.53,15556596.00,在售,住宅
7号楼33D,85.21,101530.00,67.58,128016.74,8651371.00,在售,住宅
7号楼33C,85.21,102630.00,67.58,129403.70,8745102.00,在售,住宅
7号楼33B,160.69,108680.00,127.44,137035.38,17463789.00,在售,住宅
7号楼33A,140.72,110330.00,111.61,139106.16,15525638.00,在售,住宅
7号楼32D,85.21,101310.00,67.58,127739.35,8632625.00,在售,住宅
7号楼32C,85.21,102410.00,67.58,129126.31,8726356.00,在售,住宅
7号楼32B,160.69,108460.00,127.44,136757.98,17428437.00,在售,住宅
7号楼32A,140.72,110110.00,111.61,138828.77,15494679.00,在售,住宅
7号楼31D,84.67,101090.00,67.18,127408.31,8559290.00,在售,住宅
7号楼31C,84.68,102190.00,67.18,128809.90,8653449.00,在售,住宅
7号楼31B,160.06,108240.00,126.99,136427.23,17324894.00,在售,住宅
7号楼31A,140.56,109890.00,111.52,138505.54,15446138.00,在售,住宅
7号楼30D,84.67,100870.00,67.18,127131.04,8540663.00,在售,住宅
7号楼30C,84.68,101970.00,67.18,128532.60,8634820.00,在售,住宅
7号楼30B,160.06,108020.00,126.99,136149.94,17289681.00,在售,住宅
7号楼30A,140.56,109670.00,111.52,138228.26,15415215.00,在售,住宅
7号楼29D,84.67,100650.00,67.18,126853.77,8522036.00,在售,住宅
7号楼29C,84.68,101750.00,67.18,128255.28,8616190.00,在售,住宅
7号楼29B,160.06,107800.00,126.99,135872.65,17254468.00,在售,住宅
7号楼29A,140.56,109450.00,111.52,137950.97,15384292.00,在售,住宅
7号楼28D,84.67,100430.00,67.18,126576.48,8503408.00,在售,住宅
7号楼28C,84.68,101530.00,67.18,127977.97,8597560.00,在售,住宅
7号楼28B,160.06,107580.00,126.99,135595.36,17219255.00,在售,住宅
7号楼28A,140.56,109230.00,111.52,137673.68,15353369.00,在售,住宅
7号楼27D,84.67,100210.00,67.18,126299.21,8484781.00,在售,住宅
7号楼27C,84.68,101310.00,67.18,127700.67,8578931.00,在售,住宅
7号楼27B,160.06,107360.00,126.99,135318.07,17184042.00,在售,住宅
7号楼27A,140.56,109010.00,111.52,137396.40,15322446.00,在售,住宅
7号楼26D,84.67,99990.00,67.18,126021.93,8466153.00,在售,住宅
7号楼26C,84.68,101090.00,67.18,127423.36,8560301.00,在售,住宅
7号楼26B,160.06,107140.00,126.99,135040.77,17148828.00,在售,住宅
7号楼26A,140.56,108790.00,111.52,137119.10,15291522.00,在售,住宅
7号楼25D,84.67,99770.00,67.18,125744.66,8447526.00,在售,住宅
7号楼25C,84.68,100870.00,67.18,127146.06,8541672.00,在售,住宅
7号楼25B,160.06,106920.00,126.99,134763.49,17113615.00,在售,住宅
7号楼25A,140.56,108570.00,111.52,136841.81,15260599.00,在售,住宅
7号楼24D,84.67,99550.00,67.18,125467.39,8428899.00,在售,住宅
7号楼24C,84.68,100650.00,67.18,126868.74,8523042.00,在售,住宅
7号楼24B,160.06,106700.00,126.99,134486.20,17078402.00,在售,住宅
7号楼24A,140.56,108350.00,111.52,136564.53,15229676.00,在售,住宅
7号楼23D,84.67,99330.00,67.18,125190.10,8410271.00,在售,住宅
7号楼23C,84.68,100430.00,67.18,126591.43,8504412.00,在售,住宅
7号楼23B,160.06,106480.00,126.99,134208.91,17043189.00,在售,住宅
7号楼23A,140.56,108130.00,111.52,136287.24,15198753.00,在售,住宅
7号楼22D,84.67,99110.00,67.18,124912.83,8391644.00,在售,住宅
7号楼22C,84.68,100210.00,67.18,126314.13,8485783.00,在售,住宅
7号楼22B,160.06,106260.00,126.99,133931.62,17007976.00,在售,住宅
7号楼22A,140.56,107910.00,111.52,136009.95,15167830.00,在售,住宅
7号楼21D,84.67,98890.00,67.18,124635.55,8373016.00,在售,住宅
7号楼21C,84.68,99990.00,67.18,126036.81,8467153.00,在售,住宅
7号楼21B,160.06,106040.00,126.99,133654.32,16972762.00,在售,住宅
7号楼21A,140.56,107690.00,111.52,135732.66,15136906.00,在售,住宅
7号楼20D,84.67,98670.00,67.18,124358.28,8354389.00,在售,住宅
7号楼20C,84.68,99770.00,67.18,125759.51,8448524.00,在售,住宅
7号楼20B,160.06,105820.00,126.99,133377.03,16937549.00,在售,住宅
7号楼20A,140.56,107470.00,111.52,135455.37,15105983.00,在售,住宅
7号楼19D,84.67,98340.00,67.18,123942.36,8326448.00,在售,住宅
