房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
A座5601,3144.87,148591.50,1175.87,397408.68,467300953.60,在售,商业
A座5501,3099.33,148591.50,1169.76,393699.64,460534097.93,在售,商业
A座5308,471.53,92289.55,249.75,174243.42,43517295.00,在售,办公
A座5307,312.74,89063.74,165.65,168148.48,27853797.00,在售,办公
A座5306,451.05,90569.12,238.91,170989.93,40851205.00,在售,办公
A座5305,347.49,83257.29,184.05,157191.40,28931079.00,在售,办公
A座5304,471.53,83472.35,249.75,157596.46,39359718.00,在售,办公
A座5303,207.51,82827.19,109.91,156377.68,17187471.00,在售,办公
A座5302,323.94,84547.62,171.58,159624.41,27388357.00,在售,办公
A座5301,207.52,87343.32,109.91,164912.07,18125486.00,在售,办公
A座5209,512.00,91536.86,248.92,188280.88,46866877.00,在售,办公
A座5208,342.81,88956.22,166.66,182977.81,30495083.00,在售,办公
A座5207,253.30,99493.85,123.15,204643.06,25201794.00,在售,办公
A座5206,293.26,97988.48,142.57,201557.84,28736102.00,在售,办公
A座5205,378.57,83149.77,184.05,171029.66,31478009.00,在售,办公
A座5204,436.28,83364.82,212.11,171469.54,36370406.00,在售,办公
A座5203,224.62,82719.66,109.20,170151.01,18580491.00,在售,办公
A座5202,337.05,84440.09,163.86,173688.11,28460534.00,在售,办公
A座5201,224.62,87235.79,109.20,179440.51,19594904.00,在售,办公
A座5109,472.02,91751.92,251.16,172434.87,43308742.00,在售,办公
A座5108,239.82,89171.27,127.61,167581.34,21385056.00,在售,办公
A座5107,243.29,88633.64,129.45,166579.21,21563679.00,在售,办公
A座5106,318.48,89278.80,169.46,167788.94,28433514.00,在售,办公
A座5105,344.75,83042.24,183.44,156066.36,28628814.00,在售,办公
A座5104,472.11,83257.29,251.21,156469.10,39306603.00,在售,办公
A座5103,208.73,82612.14,111.07,155250.13,17243632.00,在售,办公
A座5102,343.40,84332.56,182.72,158492.79,28959804.00,在售,办公
A座5101,208.70,87128.27,111.05,163743.08,18183670.00,在售,办公
A座5008,467.44,91966.97,249.72,172148.97,42989043.00,在售,办公
A座5007,344.52,88741.17,184.05,166113.05,30573108.00,在售,办公
A座5006,514.40,90246.54,274.80,168933.12,46422823.00,在售,办公
A座5005,344.52,82934.71,184.05,155244.05,28572669.00,在售,办公
A座5004,467.85,83149.77,249.93,155650.06,38901621.00,在售,办公
A座5003,205.40,82504.61,109.73,154437.68,16946447.00,在售,办公
A座5002,328.71,84225.04,175.60,157662.94,27685613.00,在售,办公
A座5001,205.81,87020.74,109.95,162889.84,17909739.00,在售,办公
A座4909,501.53,91321.81,248.92,183997.38,45800630.00,在售,办公
A座4908,407.92,88633.64,202.46,178580.63,36155436.00,在售,办公
A座4907,227.46,98096.00,112.89,197651.85,22312918.00,在售,办公
A座4906,338.76,98741.17,168.13,198950.56,33449559.00,在售,办公
A座4905,370.84,82827.19,184.05,166887.45,30715636.00,在售,办公
A座4904,427.36,83042.24,212.11,167313.81,35488934.00,在售,办公
A座4903,220.03,82397.08,109.20,166024.09,18129831.00,在售,办公
A座4902,337.57,84117.51,167.54,169485.19,28395549.00,在售,办公
A座4901,220.03,86913.21,109.20,175123.75,19123514.00,在售,办公
A座4809,467.80,91214.28,251.16,169891.87,42670044.00,在售,办公
A座4808,237.98,88526.11,127.77,164885.69,21067445.00,在售,办公
A座4807,240.81,88311.06,129.29,164484.39,21266187.00,在售,办公
A座4806,413.69,88956.22,222.11,165685.02,36800300.00,在售,办公
A座4805,341.67,82719.66,183.44,154071.23,28262828.00,在售,办公
A座4804,467.88,82934.71,251.20,154472.51,38803496.00,在售,办公
A座4803,206.78,82289.55,111.02,153268.19,17015835.00,在售,办公
A座4802,346.62,84009.98,186.10,156472.55,29119542.00,在售,办公
A座4801,206.85,86805.68,111.06,161676.17,17955756.00,在售,办公
A座4708,463.59,91644.39,249.75,170111.81,42485425.00,在售,办公
A座4707,341.64,88418.58,184.05,164125.65,30207327.00,在售,办公
A座4706,604.13,89923.96,325.46,166919.94,54325765.00,在售,办公
A座4705,341.64,82612.13,184.05,153347.51,28223611.00,在售,办公
A座4704,463.60,82827.19,249.75,153748.49,38398686.00,在售,办公
A座4703,204.02,82182.03,109.91,152550.06,16766778.00,在售,办公
A座4702,331.51,83902.46,178.59,155745.03,27814505.00,在售,办公
