房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
B2130,40.50,60190.12,27.84,87561.06,2437700.00,在售,B2129
33.27,59933.87,22.87,87188.45,1994000.00,在售,B2128,33.27
59933.87,22.87,87188.45,1994000.00,在售,B2127,33.27,59933.87
22.87,87188.45,1994000.00,在售,B2126,33.27,59549.14,22.87
86628.77,1981200.00,在售
B2125,26.68,59036.73,18.34,85883.31,1575100.00,在售,B2124
26.68,59036.73,18.34,85883.31,1575100.00,在售,B2123,30.79
59291.97,21.16,86275.99,1825600.00,在售,B2122,30.79,59291.97
21.16,86275.99,1825600.00,在售,B2121,30.17,59294.00,20.74
86253.61,1788900.00,在售
B2120,30.17,59294.00,20.74,86253.61,1788900.00,在售,B2119
33.27,59549.14,22.87,86628.77,1981200.00,在售,B2118,33.27
59933.87,22.87,87188.45,1994000.00,在售,B2117,33.27,59933.87
22.87,87188.45,1994000.00,在售,B2116,33.27,59933.87,22.87
87188.45,1994000.00,在售
B2115,40.50,60190.12,27.84,87561.06,2437700.00,在售,B2114
48.45,58074.30,33.30,84495.49,2813700.00,在售,B2113,38.64
57818.32,26.56,84115.21,2234100.00,在售,B2112,31.82,57818.98
21.87,84124.37,1839800.00,在售,B2111,31.82,57432.43,21.87
83561.95,1827500.00,在售
B2110,31.82,57174.73,21.87,83187.01,1819300.00,在售,B2109
25.40,56921.25,17.46,82806.41,1445800.00,在售,B2108,25.87
56919.21,17.78,82817.77,1472500.00,在售,B2107,25.87,56919.21
17.78,82817.77,1472500.00,在售,B2106,25.40,56921.25,17.46
82806.41,1445800.00,在售
B2105,31.82,57174.73,21.87,83187.01,1819300.00,在售,B2104
31.82,57432.43,21.87,83561.95,1827500.00,在售,B2103,31.82
57818.98,21.87,84124.37,1839800.00,在售,B2102,38.64,57818.32
26.56,84115.21,2234100.00,在售,B2101,48.45,58074.30,33.30
84495.49,2813700.00,在售
B2030,40.50,60135.80,27.84,87482.04,2435500.00,在售,B2029
33.27,59879.77,22.87,87109.75,1992200.00,在售,B2028,33.27
59879.77,22.87,87109.75,1992200.00,在售,B2027,33.27,59879.77
22.87,87109.75,1992200.00,在售,B2026,33.27,59495.04,22.87
86550.06,1979400.00,在售
B2025,26.68,58980.50,18.34,85801.52,1573600.00,在售,B2024
26.68,58980.50,18.34,85801.52,1573600.00,在售,B2023,30.79
59236.76,21.16,86195.65,1823900.00,在售,B2022,30.79,59236.76
21.16,86195.65,1823900.00,在售,B2021,30.17,59237.65,20.74
86171.64,1787200.00,在售
B2020,30.17,59237.65,20.74,86171.64,1787200.00,在售,B2019
33.27,59495.04,22.87,86550.06,1979400.00,在售,B2018,33.27
59879.77,22.87,87109.75,1992200.00,在售,B2017,33.27,59879.77
22.87,87109.75,1992200.00,在售,B2016,33.27,59879.77,22.87
87109.75,1992200.00,在售
B2015,40.50,60135.80,27.84,87482.04,2435500.00,在售,B2014
48.45,58018.57,33.30,84414.41,2811000.00,在售,B2013,38.64
57761.38,26.56,84032.37,2231900.00,在售,B2012,31.82,57762.41
21.87,84042.06,1838000.00,在售,B2011,31.82,57375.86,21.87
83479.65,1825700.00,在售
B2010,31.82,57121.30,21.87,83109.28,1817600.00,在售,B2009
25.40,56866.14,17.46,82726.23,1444400.00,在售,B2008,25.87
56865.09,17.78,82739.03,1471100.00,在售,B2007,25.87,56865.09
17.78,82739.03,1471100.00,在售,B2006,25.40,56866.14,17.46
82726.23,1444400.00,在售
B2005,31.82,57121.30,21.87,83109.28,1817600.00,在售,B2004
31.82,57375.86,21.87,83479.65,1825700.00,在售,B2003,31.82
57762.41,21.87,84042.06,1838000.00,在售,B2002,38.64,57761.38
26.56,84032.37,2231900.00,在售,B2001,48.45,58018.57,33.30
84414.41,2811000.00,在售
B1930,41.59,60079.34,28.67,87153.81,2498700.00,在售,B1929
34.12,59824.15,23.52,86785.71,2041200.00,在售,B1928,34.12
59824.15,23.52,86785.71,2041200.00,在售,B1927,34.12,59824.15
23.52,86785.71,2041200.00,在售,B1926,34.12,59437.28,23.52
86224.48,2028000.00,在售
B1925,26.61,58925.21,18.34,85496.18,1568000.00,在售,B1924
26.61,58925.21,18.34,85496.18,1568000.00,在售,B1923,30.70
59182.41,21.16,85864.83,1816900.00,在售,B1922,30.70,59182.41
21.16,85864.83,1816900.00,在售,B1921,30.09,59182.45,20.74
85863.06,1780800.00,在售
B1920,30.09,59182.45,20.74,85863.06,1780800.00,在售,B1919
34.12,59437.28,23.52,86224.48,2028000.00,在售,B1918,34.12
59824.15,23.52,86785.71,2041200.00,在售,B1917,34.12,59824.15
23.52,86785.71,2041200.00,在售,B1916,34.12,59824.15,23.52
86785.71,2041200.00,在售
B1915,41.59,60079.34,28.66,87184.22,2498700.00,在售,B1914
49.29,57963.07,33.97,84103.62,2857000.00,在售,B1913,39.27
57705.62,27.07,83712.59,2266100.00,在售,B1912,32.32,57707.30
22.28,83711.84,1865100.00,在售,B1911,32.32,57320.54,22.27
83188.14,1852600.00,在售
B1910,31.73,57065.86,21.87,82793.78,1810700.00,在售,B1909
25.33,56810.10,17.46,82416.95,1439000.00,在售,B1908,25.80
56810.07,17.78,82435.32,1465700.00,在售,B1907,25.80,56810.07
17.78,82435.32,1465700.00,在售,B1906,25.33,56810.10,17.46
82416.95,1439000.00,在售
B1905,31.73,57065.86,21.87,82793.78,1810700.00,在售,B1904
32.32,57320.54,22.28,83150.80,1852600.00,在售,B1903,32.32
57707.30,22.28,83711.84,1865100.00,在售,B1902,39.27,57705.62
27.07,83712.59,2266100.00,在售,B1901,49.29,57963.07,33.98
84078.86,2857000.00,在售
B1830,41.59,60024.04,28.67,87073.59,2496400.00,在售,B1829
34.12,59768.46,23.52,86704.93,2039300.00,在售,B1828,34.12
59768.46,23.52,86704.93,2039300.00,在售,B1827,34.12,59768.46
23.52,86704.93,2039300.00,在售,B1826,34.12,59381.59,23.52
86143.70,2026100.00,在售
B1825,26.61,58868.84,18.34,85414.39,1566500.00,在售,B1824
26.61,58868.84,18.34,85414.39,1566500.00,在售,B1823,30.70
59127.03,21.16,85784.49,1815200.00,在售,B1822,30.70,59127.03
21.16,85784.49,1815200.00,在售,B1821,30.09,59125.95,20.74
85781.09,1779100.00,在售
B1820,30.09,59125.95,20.74,85781.09,1779100.00,在售,B1819
34.12,59381.59,23.52,86143.70,2026100.00,在售,B1818,34.12
