房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
A区5栋3303,161.09,49534.37,132.64,60159.02,7979493.00,在售,住宅
A区5栋3302,125.65,50707.62,103.46,61583.34,6371413.00,在售,住宅
A区5栋3301,160.45,48405.79,132.11,58789.72,7766710.00,在售,住宅
A区5栋3203,161.09,49797.04,132.64,60478.03,8021806.00,在售,住宅
A区5栋3202,125.65,50970.29,103.46,61902.34,6404417.00,在售,住宅
A区5栋3201,160.45,48668.45,132.11,59108.72,7808854.00,在售,住宅
A区5栋3103,161.56,49625.99,133.03,60268.92,8017575.00,在售,住宅
A区5栋3102,126.10,50762.22,103.83,61649.96,6401116.00,在售,住宅
A区5栋3101,160.92,48500.12,132.50,58902.94,7804640.00,在售,住宅
A区5栋3003,161.09,49744.51,132.64,60414.23,8013344.00,在售,住宅
A区5栋3002,125.65,50917.75,103.46,61838.54,6397816.00,在售,住宅
A区5栋3001,160.45,48615.92,132.11,59044.92,7800425.00,在售,住宅
A区5栋2903,161.09,49718.24,132.64,60382.32,8009112.00,在售,住宅
A区5栋2902,125.65,50891.49,103.46,61806.64,6394516.00,在售,住宅
A区5栋2901,160.45,48589.66,132.11,59013.02,7796211.00,在售,住宅
A区5栋2803,161.56,49547.41,133.03,60173.50,8004881.00,在售,住宅
A区5栋2802,126.10,50683.70,103.83,61554.60,6391215.00,在售,住宅
A区5栋2801,160.92,48421.55,132.50,58807.52,7791997.00,在售,住宅
A区5栋2703,161.09,49665.71,132.64,60318.53,8000650.00,在售,住宅
A区5栋2702,125.65,50838.95,103.46,61742.84,6387915.00,在售,住宅
A区5栋2701,160.45,48537.12,132.11,58949.22,7787782.00,在售,住宅
A区5栋2603,161.09,49639.44,132.64,60286.63,7996419.00,在售,住宅
A区5栋2602,125.65,50812.68,103.46,61710.94,6384614.00,在售,住宅
A区5栋2601,160.45,48510.86,132.11,58917.32,7783568.00,在售,住宅
A区5栋2503,161.26,49560.87,132.78,60191.19,7992187.00,在售,住宅
A区5栋2502,125.85,50705.71,103.62,61583.80,6381314.00,在售,住宅
A区5栋2501,160.62,48433.27,132.25,58823.08,7779353.00,在售,住宅
A区5栋2403,161.09,49586.91,132.64,60222.82,7987956.00,在售,住宅
A区5栋2402,125.65,50760.15,103.46,61647.14,6378014.00,在售,住宅
A区5栋2401,160.45,48458.32,132.11,58853.52,7775139.00,在售,住宅
A区5栋2303,161.09,49481.84,132.64,60095.22,7971031.00,在售,住宅
A区5栋2302,125.65,50655.08,103.46,61519.54,6364812.00,在售,住宅
A区5栋2301,160.45,48353.26,132.11,58725.91,7758281.00,在售,住宅
A区5栋2203,161.56,49233.13,133.03,59791.82,7954106.00,在售,住宅
A区5栋2202,126.10,50369.62,103.83,61173.16,6351610.00,在售,住宅
A区5栋2201,160.92,48107.27,132.50,58425.83,7741423.00,在售,住宅
A区5栋2103,161.09,49271.71,132.64,59840.02,7937181.00,在售,住宅
