房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋D座二单元2803,54.50,117869.00,30.32,211868.77,6423861.00,在售,商务公寓
1栋D座二单元2802,36.70,117569.00,20.41,211405.29,4314782.00,在售,商务公寓
1栋D座二单元2801,61.34,117269.00,34.12,210822.98,7193280.00,在售,商务公寓
1栋D座二单元2703,150.34,116969.00,104.13,168876.59,17585119.00,在售,商务公寓
1栋D座二单元2702,121.41,116669.00,84.10,168427.86,14164783.00,在售,商务公寓
1栋D座二单元2701,143.09,116369.00,99.11,168007.67,16651240.00,在售,商务公寓
1栋D座二单元2603,150.34,116069.00,104.13,167577.19,17449813.00,在售,商务公寓
1栋D座二单元2602,121.41,115769.00,84.10,167128.59,14055514.00,在售,商务公寓
1栋D座二单元2601,143.09,115469.00,99.11,166708.29,16522459.00,在售,商务公寓
1栋D座二单元2503,150.34,115169.00,104.13,166277.80,17314507.00,在售,商务公寓
1栋D座二单元2502,121.41,114869.00,84.10,165829.31,13946245.00,在售,商务公寓
1栋D座二单元2501,143.09,114569.00,99.11,165408.92,16393678.00,在售,商务公寓
1栋D座二单元2403,150.34,114269.00,104.13,164978.40,17179201.00,在售,商务公寓
1栋D座二单元2402,121.41,113969.00,84.10,164530.04,13836976.00,在售,商务公寓
1栋D座二单元2401,143.09,113669.00,99.11,164109.54,16264897.00,在售,商务公寓
1栋D座二单元2303,150.34,113369.00,104.13,163679.01,17043895.00,在售,商务公寓
1栋D座二单元2302,121.41,113069.00,84.10,163230.76,13727707.00,在售,商务公寓
1栋D座二单元2301,143.09,112769.00,99.11,162810.17,16136116.00,在售,商务公寓
1栋D座二单元2203,150.34,112469.00,104.13,162379.61,16908589.00,在售,商务公寓
1栋D座二单元2202,121.41,112169.00,84.10,161931.49,13618438.00,在售,商务公寓
1栋D座二单元2201,143.09,111869.00,99.11,161510.80,16007335.00,在售,商务公寓
1栋D座二单元2103,150.34,111569.00,104.13,161080.22,16773283.00,在售,商务公寓
1栋D座二单元2102,121.41,111269.00,84.10,160632.21,13509169.00,在售,商务公寓
1栋D座二单元2101,143.09,110969.00,99.11,160211.42,15878554.00,在售,商务公寓
1栋D座二单元2003,150.34,110669.00,104.13,159780.82,16637977.00,在售,商务公寓
1栋D座二单元2002,121.41,110369.00,84.10,159332.94,13399900.00,在售,商务公寓
1栋D座二单元2001,143.09,110069.00,99.11,158912.05,15749773.00,在售,商务公寓
1栋D座二单元1903,150.34,109769.00,104.13,158481.43,16502671.00,在售,商务公寓
1栋D座二单元1902,121.41,109469.00,84.10,158033.66,13290631.00,在售,商务公寓
1栋D座二单元1901,143.09,109169.00,99.11,157612.67,15620992.00,在售,商务公寓
1栋D座二单元1803,150.34,108869.00,104.13,157182.03,16367365.00,在售,商务公寓
1栋D座二单元1802,121.41,108569.00,84.10,156734.39,13181362.00,在售,商务公寓
1栋D座二单元1801,143.09,108269.00,99.11,156313.30,15492211.00,在售,商务公寓
1栋D座二单元1703,150.34,107969.00,104.13,155882.64,16232059.00,在售,商务公寓
1栋D座二单元1702,121.41,107669.00,84.10,155435.11,13072093.00,在售,商务公寓
1栋D座二单元1701,143.09,107369.00,99.11,155013.92,15363430.00,在售,商务公寓
1栋D座二单元1603,150.34,107069.00,104.13,154583.24,16096753.00,在售,商务公寓
1栋D座二单元1602,121.41,106769.00,84.10,154135.84,12962824.00,在售,商务公寓
1栋D座二单元1601,143.09,106469.00,99.11,153714.55,15234649.00,在售,商务公寓
1栋D座二单元1503,150.34,106169.00,104.13,153283.85,15961447.00,在售,商务公寓
1栋D座二单元1502,121.41,105869.00,84.10,152836.56,12853555.00,在售,商务公寓
1栋D座二单元1501,143.09,105569.00,99.11,152415.18,15105868.00,在售,商务公寓
1栋D座二单元1403,150.34,105269.00,104.13,151984.45,15826141.00,在售,商务公寓
1栋D座二单元1402,121.41,104969.00,84.10,151537.29,12744286.00,在售,商务公寓
1栋D座二单元1401,143.09,104669.00,99.11,151115.80,14977087.00,在售,商务公寓
1栋D座二单元1303,150.34,104369.00,104.13,150685.06,15690835.00,在售,商务公寓
1栋D座二单元1302,121.41,104069.00,84.10,150238.01,12635017.00,在售,商务公寓
1栋D座二单元1301,143.09,103769.00,99.11,149816.43,14848306.00,在售,商务公寓
1栋D座二单元1203,150.34,103469.00,104.13,149385.66,15555529.00,在售,商务公寓
1栋D座二单元1202,121.41,103169.00,84.10,148938.74,12525748.00,在售,商务公寓
1栋D座二单元1201,143.09,102869.00,99.11,148517.05,14719525.00,在售,商务公寓
1栋D座二单元1103,150.34,102569.00,104.13,148086.27,15420223.00,在售,商务公寓
1栋D座二单元1102,121.41,102269.00,84.10,147639.46,12416479.00,在售,商务公寓
1栋D座二单元1101,143.09,101969.00,99.11,147217.68,14590744.00,在售,商务公寓
1栋D座二单元1003,150.34,101669.00,104.13,146786.87,15284917.00,在售,商务公寓
1栋D座二单元1002,121.41,101369.00,84.10,146340.19,12307210.00,在售,商务公寓
1栋D座二单元1001,143.09,101069.00,99.11,145918.30,14461963.00,在售,商务公寓
1栋D座二单元903,150.34,100769.00,104.13,145487.48,15149611.00,在售,商务公寓
1栋D座二单元902,121.41,100469.00,84.10,145040.92,12197941.00,在售,商务公寓
1栋D座二单元901,143.09,100169.00,99.11,144618.93,14333182.00,在售,商务公寓
1栋D座二单元803,150.34,99869.00,104.13,144188.08,15014305.00,在售,商务公寓
1栋D座二单元802,121.41,99569.00,84.10,143741.64,12088672.00,在售,商务公寓
1栋D座二单元801,143.09,99269.00,99.11,143319.55,14204401.00,在售,商务公寓
1栋D座二单元703,150.34,98969.00,104.13,142888.69,14878999.00,在售,商务公寓
