房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
23F,187.90,59529.00,122.66,91191.09,11185499.10,在售,办公
23E,301.13,59529.00,196.57,91193.81,17925967.77,在售,办公
23D,263.89,59529.00,172.26,91194.17,15709107.81,在售,办公
23C,263.89,59529.00,172.26,91194.17,15709107.81,在售,办公
23B,301.13,59529.00,196.57,91193.81,17925967.77,在售,办公
23A,285.66,59529.00,186.47,91194.58,17005054.14,在售,办公
22F,187.90,59529.00,122.66,91191.09,11185499.10,在售,办公
22E,301.13,59529.00,196.57,91193.81,17925967.77,在售,办公
22D,263.89,59529.00,172.26,91194.17,15709107.81,在售,办公
22C,263.89,59529.00,172.26,91194.17,15709107.81,在售,办公
22B,301.13,59529.00,196.57,91193.81,17925967.77,在售,办公
22A,285.66,59529.00,186.47,91194.58,17005054.14,在售,办公
21F,187.90,59529.00,122.66,91191.09,11185499.10,在售,办公
21E,301.13,59529.00,196.57,91193.81,17925967.77,在售,办公
21D,263.89,59529.00,172.26,91194.17,15709107.81,在售,办公
21C,263.89,59529.00,172.26,91194.17,15709107.81,在售,办公
21B,301.13,59529.00,196.57,91193.81,17925967.77,在售,办公
21A,285.66,59529.00,186.47,91194.58,17005054.14,在售,办公
20F,187.90,59529.00,122.66,91191.09,11185499.10,在售,办公
20E,301.13,59529.00,196.57,91193.81,17925967.77,在售,办公
20D,263.89,59529.00,172.26,91194.17,15709107.81,在售,办公
20C,263.89,59529.00,172.26,91194.17,15709107.81,在售,办公
20B,301.13,59529.00,196.57,91193.81,17925967.77,在售,办公
20A,285.66,59529.00,186.47,91194.58,17005054.14,在售,办公
19F,186.76,59529.00,122.02,91113.22,11117636.04,在售,办公
19E,301.74,59529.00,197.14,91114.33,17962280.46,在售,办公
19D,264.48,59529.00,172.80,91112.44,15744229.92,在售,办公
19C,264.48,59529.00,172.80,91112.44,15744229.92,在售,办公
19B,301.74,59529.00,197.14,91114.33,17962280.46,在售,办公
19A,284.39,59529.00,185.80,91116.53,16929452.31,在售,办公
18F,186.76,59529.00,122.02,91113.22,11117636.04,在售,办公
18E,301.74,59529.00,197.14,91114.33,17962280.46,在售,办公
18D,264.48,59529.00,172.80,91112.44,15744229.92,在售,办公
18C,264.48,59529.00,172.80,91112.44,15744229.92,在售,办公
18B,301.74,59529.00,197.14,91114.33,17962280.46,在售,办公
18A,284.39,59529.00,185.80,91116.53,16929452.31,在售,办公
17F,186.76,59529.00,122.02,91113.22,11117636.04,在售,办公
17E,301.74,59529.00,197.14,91114.33,17962280.46,在售,办公
17D,264.48,59529.00,172.80,91112.44,15744229.92,在售,办公
17C,264.48,59529.00,172.80,91112.44,15744229.92,在售,办公
17B,301.74,59529.00,197.14,91114.33,17962280.46,在售,办公
17A,284.39,59529.00,185.80,91116.53,16929452.31,在售,办公
16F,186.76,59529.00,122.02,91113.22,11117636.04,在售,办公
16E,301.74,59529.00,197.14,91114.33,17962280.46,在售,办公
16D,264.48,59529.00,172.80,91112.44,15744229.92,在售,办公
16C,264.48,59529.00,172.80,91112.44,15744229.92,在售,办公
16B,301.74,59529.00,197.14,91114.33,17962280.46,在售,办公
16A,284.39,59529.00,185.80,91116.53,16929452.31,在售,办公
15F,186.81,59529.00,122.02,91137.62,11120612.49,在售,办公
15E,301.82,59529.00,197.14,91138.49,17967042.78,在售,办公
15D,264.55,59529.00,172.80,91136.55,15748396.95,在售,办公
15C,264.55,59529.00,172.80,91136.55,15748396.95,在售,办公
15B,301.82,59529.00,197.14,91138.49,17967042.78,在售,办公
15A,284.46,59529.00,185.80,91138.96,16933619.34,在售,办公
14D,201.11,59529.00,120.75,99145.98,11971877.19,在售,办公
14C,335.28,59529.00,201.31,99145.01,19958883.12,在售,办公
14B,335.28,59529.00,201.31,99145.01,19958883.12,在售,办公
14A,307.25,59529.00,184.47,99150.45,18290285.25,在售,办公
13D,184.69,59529.00,120.75,91051.02,10994411.01,在售,办公
13C,303.28,59529.00,198.28,91052.82,18053955.12,在售,办公
13B,307.91,59529.00,201.31,91051.48,18329574.39,在售,办公
13A,281.67,59529.00,184.15,91053.67,16767533.43,在售,办公
1301,527.29,59529.00,344.74,91051.36,31389046.41,在售,办公
12F,184.69,59529.00,120.75,91051.02,10994411.01,在售,办公
12E,303.28,59529.00,198.28,91052.82,18053955.12,在售,办公
12D,265.95,59529.00,173.88,91049.79,15831737.55,在售,办公
12C,265.95,59529.00,173.88,91049.79,15831737.55,在售,办公
12B,303.28,59529.00,198.28,91052.82,18053955.12,在售,办公
12A,281.67,59529.00,184.15,91053.67,16767533.43,在售,办公
11F,184.69,59529.00,120.75,91051.02,10994411.01,在售,办公
11E,303.28,59529.00,198.28,91052.82,18053955.12,在售,办公
11D,265.95,59529.00,173.88,91049.79,15831737.55,在售,办公
11C,265.95,59529.00,173.88,91049.79,15831737.55,在售,办公
11B,303.28,59529.00,198.28,91052.82,18053955.12,在售,办公
11A,281.67,59529.00,184.15,91053.67,16767533.43,在售,办公
10F,184.69,59529.00,120.75,91051.02,10994411.01,在售,办公
10E,303.28,59529.00,198.28,91052.82,18053955.12,在售,办公
