房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
6号楼2H,86.83,54462.74,61.59,76781.94,4729000.00,在售,住宅
6号楼3H,86.83,54554.87,61.59,76911.83,4737000.00,在售,住宅
6号楼4H,86.83,54635.49,61.59,77025.49,4744000.00,在售,住宅
6号楼5H,86.83,54716.11,61.59,77139.14,4751000.00,在售,住宅
6号楼6H,86.83,55015.54,61.59,77561.29,4777000.00,在售,住宅
6号楼7H,86.83,55314.98,61.59,77983.43,4803000.00,在售,住宅
6号楼8H,86.83,55602.90,61.59,78389.34,4828000.00,在售,住宅
6号楼9H,87.03,55900.26,61.73,78810.95,4865000.00,在售,住宅
6号楼10H,87.03,56199.01,61.73,79232.13,4891000.00,在售,住宅
6号楼12H,87.03,56359.87,61.73,79458.93,4905000.00,在售,住宅
6号楼14H,88.05,56842.70,62.49,80092.81,5005000.00,在售,住宅
6号楼15H,88.05,57251.56,62.49,80668.90,5041000.00,在售,住宅
6号楼16H,88.05,57649.06,62.49,81228.99,5076000.00,在售,住宅
6号楼17H,88.05,58046.56,62.49,81789.08,5111000.00,在售,住宅
6号楼18H,88.05,58137.42,62.49,81917.10,5119000.00,在售,住宅
6号楼22H,88.05,58466.78,62.49,82381.18,5148000.00,在售,住宅
6号楼24H,88.19,58634.76,62.59,82617.03,5171000.00,在售,住宅
6号楼25H,88.19,58725.47,62.59,82744.84,5179000.00,在售,住宅
6号楼26H,88.19,58804.85,62.59,82856.68,5186000.00,在售,住宅
6号楼27H,88.19,58895.56,62.59,82984.50,5194000.00,在售,住宅
6号楼28H,88.19,58974.94,62.59,83096.34,5201000.00,在售,住宅
6号楼29H,88.19,59054.31,62.59,83208.18,5208000.00,在售,住宅
6号楼31H,88.19,59371.81,62.59,83655.53,5236000.00,在售,住宅
6号楼32H,88.19,59530.55,62.59,83879.21,5250000.00,在售,住宅
6号楼33H,88.22,59691.67,62.62,84094.53,5266000.00,在售,住宅
6号楼34H,88.22,59850.37,62.62,84318.10,5280000.00,在售,住宅
6号楼35H,88.22,59907.05,62.62,84397.95,5285000.00,在售,住宅
6号楼39H,88.22,60111.08,62.62,84685.40,5303000.00,在售,住宅
6号楼42H,88.22,60201.76,62.62,84813.15,5311000.00,在售,住宅
6号楼43H,88.26,60242.46,62.65,84868.31,5317000.00,在售,住宅
6号楼44H,88.26,60265.12,62.65,84900.23,5319000.00,在售,住宅
6号楼45H,88.26,60299.11,62.65,84948.12,5322000.00,在售,住宅
6号楼46H,88.26,60333.10,62.65,84996.00,5325000.00,在售,住宅
6号楼47H,88.26,60367.09,62.65,85043.89,5328000.00,在售,住宅
6号楼48H,88.26,60401.08,62.65,85091.77,5331000.00,在售,住宅
6号楼49H,88.26,60423.74,62.65,85123.70,5333000.00,在售,住宅
6号楼50H,88.26,60457.73,62.65,85171.58,5336000.00,在售,住宅
6号楼51H,88.26,60491.72,62.65,85219.47,5339000.00,在售,住宅
6号楼52H,88.26,60525.71,62.65,85267.35,5342000.00,在售,住宅
6号楼53H,88.26,60446.40,62.65,85155.62,5335000.00,在售,住宅
6号楼2G,87.99,58267.98,62.41,82150.29,5127000.00,在售,住宅
6号楼3G,87.99,58358.90,62.41,82278.48,5135000.00,在售,住宅
6号楼4G,87.99,58438.45,62.41,82390.64,5142000.00,在售,住宅
6号楼5G,87.99,58518.01,62.41,82502.80,5149000.00,在售,住宅
6号楼6G,87.99,58813.50,62.41,82919.40,5175000.00,在售,住宅
6号楼7G,87.99,59108.98,62.41,83336.00,5201000.00,在售,住宅
6号楼8G,87.99,59404.47,62.41,83752.60,5227000.00,在售,住宅
6号楼9G,88.01,59697.76,62.43,84158.25,5254000.00,在售,住宅
6号楼10G,88.01,59993.18,62.43,84574.72,5280000.00,在售,住宅
6号楼12G,88.01,60163.61,62.43,84814.99,5295000.00,在售,住宅
6号楼14G,89.02,60548.19,63.18,85311.80,5390000.00,在售,住宅
6号楼15G,89.02,60840.26,63.18,85723.33,5416000.00,在售,住宅
6号楼16G,89.02,61132.32,63.18,86134.85,5442000.00,在售,住宅
6号楼17G,89.02,61424.39,63.18,86546.37,5468000.00,在售,住宅
6号楼18G,89.02,61514.26,63.18,86672.99,5476000.00,在售,住宅
6号楼22G,89.02,62165.80,63.18,87591.00,5534000.00,在售,住宅
6号楼24G,89.14,62542.06,63.27,88114.43,5575000.00,在售,住宅
6号楼25G,89.14,62631.81,63.27,88240.87,5583000.00,在售,住宅
6号楼26G,89.14,62710.34,63.27,88351.50,5590000.00,在售,住宅
6号楼27G,89.14,62800.08,63.27,88477.95,5598000.00,在售,住宅
6号楼28G,89.14,62878.61,63.27,88588.58,5605000.00,在售,住宅
6号楼29G,89.14,62968.36,63.27,88715.03,5613000.00,在售,住宅
6号楼31G,89.14,63282.47,63.27,89157.57,5641000.00,在售,住宅
6号楼32G,89.14,63439.53,63.27,89378.85,5655000.00,在售,住宅
6号楼33G,89.16,63593.53,63.28,89601.76,5670000.00,在售,住宅
6号楼34G,89.16,63761.77,63.28,89838.81,5685000.00,在售,住宅
6号楼39G,89.16,64019.73,63.28,90202.27,5708000.00,在售,住宅
6号楼42G,89.16,64109.46,63.28,90328.69,5716000.00,在售,住宅
6号楼43G,89.18,64151.15,63.30,90379.14,5721000.00,在售,住宅
6号楼44G,89.18,64173.58,63.30,90410.74,5723000.00,在售,住宅
6号楼45G,89.18,64207.22,63.30,90458.13,5726000.00,在售,住宅
6号楼46G,89.18,64240.86,63.30,90505.52,5729000.00,在售,住宅
6号楼47G,89.18,64274.50,63.30,90552.92,5732000.00,在售,住宅
6号楼48G,89.18,64308.14,63.30,90600.31,5735000.00,在售,住宅
