房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
4号楼B座31E,87.58,20246.00,70.08,25301.73,1773145.00,在售,住宅
4号楼B座31D,88.01,20331.00,70.43,25405.81,1789331.00,在售,住宅
4号楼B座31C,89.11,21395.00,71.31,26735.49,1906508.00,在售,住宅
4号楼B座31B,88.97,20877.00,71.19,26091.12,1857427.00,在售,住宅
4号楼B座31A,127.46,21265.00,101.99,26575.52,2710437.00,在售,住宅
4号楼B座30E,87.58,20410.00,70.08,25506.68,1787508.00,在售,住宅
4号楼B座30D,88.01,20495.00,70.43,25610.75,1803765.00,在售,住宅
4号楼B座30C,89.11,21559.00,71.31,26940.43,1921122.00,在售,住宅
4号楼B座30B,88.97,21042.00,71.19,26297.33,1872107.00,在售,住宅
4号楼B座30A,127.46,21361.00,101.99,26695.49,2722673.00,在售,住宅
4号楼B座29E,87.58,20381.00,70.08,25470.43,1784968.00,在售,住宅
4号楼B座29D,88.01,20467.00,70.43,25575.76,1801301.00,在售,住宅
4号楼B座29C,89.11,21530.00,71.31,26904.19,1918538.00,在售,住宅
4号楼B座29B,88.97,21013.00,71.19,26261.09,1869527.00,在售,住宅
4号楼B座29A,127.46,21265.00,101.99,26575.52,2710437.00,在售,住宅
4号楼B座28E,87.58,20353.00,70.08,25435.45,1782516.00,在售,住宅
4号楼B座28D,88.01,20438.00,70.43,25539.51,1798748.00,在售,住宅
4号楼B座28C,89.11,21502.00,71.31,26869.20,1916043.00,在售,住宅
4号楼B座28B,88.97,20984.00,71.19,26224.83,1866946.00,在售,住宅
4号楼B座28A,127.46,21168.00,101.99,26454.29,2698073.00,在售,住宅
4号楼B座27E,87.58,20324.00,70.08,25399.20,1779976.00,在售,住宅
4号楼B座27D,88.01,20409.00,70.43,25503.28,1796196.00,在售,住宅
4号楼B座27C,89.11,21473.00,71.31,26832.97,1913459.00,在售,住宅
4号楼B座27B,88.97,20955.00,71.19,26188.59,1864366.00,在售,住宅
4号楼B座27A,127.46,21071.00,101.99,26333.07,2685710.00,在售,住宅
4号楼B座26E,87.58,20295.00,70.08,25362.96,1777436.00,在售,住宅
4号楼B座26D,88.01,20380.00,70.43,25467.05,1793644.00,在售,住宅
4号楼B座26C,89.11,21444.00,71.31,26796.73,1910875.00,在售,住宅
4号楼B座26B,88.97,20927.00,71.19,26153.60,1861875.00,在售,住宅
4号楼B座26A,127.46,20975.00,101.99,26213.10,2673474.00,在售,住宅
4号楼B座25E,87.58,20266.00,70.08,25326.71,1774896.00,在售,住宅
4号楼B座25D,88.01,20352.00,70.43,25432.06,1791180.00,在售,住宅
4号楼B座25C,89.11,21415.00,71.31,26760.50,1908291.00,在售,住宅
4号楼B座25B,88.97,20898.00,71.19,26117.36,1859295.00,在售,住宅
4号楼B座25A,127.46,20878.00,101.99,26091.87,2661110.00,在售,住宅
4号楼B座24E,87.58,20238.00,70.08,25291.72,1772444.00,在售,住宅
4号楼B座24D,88.01,20323.00,70.43,25395.81,1788627.00,在售,住宅
4号楼B座24C,89.11,21387.00,71.31,26725.51,1905796.00,在售,住宅
4号楼B座24B,88.97,20869.00,71.19,26081.12,1856715.00,在售,住宅
4号楼B座24A,127.46,20782.00,101.99,25971.90,2648874.00,在售,住宅
4号楼B座23E,87.58,20209.00,70.08,25255.48,1769904.00,在售,住宅
4号楼B座23D,88.01,20294.00,70.43,25359.58,1786075.00,在售,住宅
4号楼B座23C,89.11,21358.00,71.31,26689.26,1903211.00,在售,住宅
4号楼B座23B,88.97,20840.00,71.19,26044.88,1854135.00,在售,住宅
4号楼B座23A,127.46,20685.00,101.99,25850.67,2636510.00,在售,住宅
4号楼B座22E,87.58,20180.00,70.08,25219.24,1767364.00,在售,住宅
4号楼B座22D,88.01,20265.00,70.43,25323.34,1783523.00,在售,住宅
4号楼B座22C,89.11,21329.00,71.31,26653.02,1900627.00,在售,住宅
4号楼B座22B,88.97,20812.00,71.19,26009.89,1851644.00,在售,住宅
4号楼B座22A,127.46,20588.00,101.99,25729.44,2624146.00,在售,住宅
4号楼B座21E,87.58,20151.00,70.08,25183.01,1764825.00,在售,住宅
4号楼B座21D,88.01,20237.00,70.43,25288.34,1781058.00,在售,住宅
4号楼B座21C,89.11,21300.00,71.31,26616.79,1898043.00,在售,住宅
4号楼B座21B,88.97,20783.00,71.19,25973.65,1849064.00,在售,住宅
4号楼B座21A,127.46,20492.00,101.99,25609.47,2611910.00,在售,住宅
4号楼B座20E,87.58,20123.00,70.08,25148.00,1762372.00,在售,住宅
4号楼B座20D,88.01,20208.00,70.43,25252.11,1778506.00,在售,住宅
4号楼B座20C,89.11,21272.00,71.31,26581.80,1895548.00,在售,住宅
4号楼B座20B,88.97,20754.00,71.19,25937.39,1846483.00,在售,住宅
4号楼B座20A,127.46,20395.00,101.99,25488.25,2599547.00,在售,住宅
4号楼B座19E,87.58,20094.00,70.08,25111.77,1759833.00,在售,住宅
4号楼B座19D,88.01,20179.00,70.43,25215.87,1775954.00,在售,住宅
4号楼B座19C,89.11,21243.00,71.31,26545.56,1892964.00,在售,住宅
4号楼B座19B,88.97,20725.00,71.19,25901.15,1843903.00,在售,住宅
4号楼B座19A,127.46,20299.00,101.99,25368.28,2587311.00,在售,住宅
4号楼B座18E,87.58,20065.00,70.08,25075.53,1757293.00,在售,住宅
4号楼B座18D,88.01,20150.00,70.43,25179.64,1773402.00,在售,住宅
4号楼B座18C,89.11,21214.00,71.31,26509.33,1890380.00,在售,住宅
4号楼B座18B,88.97,20697.00,71.19,25866.16,1841412.00,在售,住宅
4号楼B座18A,127.46,20202.00,101.99,25247.05,2574947.00,在售,住宅
4号楼B座17E,87.58,20036.00,70.08,25039.28,1754753.00,在售,住宅
4号楼B座17D,88.01,20122.00,70.43,25144.64,1770937.00,在售,住宅
4号楼B座17C,89.11,21185.00,71.31,26473.08,1887795.00,在售,住宅
4号楼B座17B,88.97,20668.00,71.19,25829.92,1838832.00,在售,住宅
4号楼B座17A,127.46,20105.00,101.99,25125.83,2562583.00,在售,住宅
4号楼B座16E,87.58,20008.00,70.08,25004.30,1752301.00,在售,住宅
4号楼B座16D,88.01,20093.00,70.43,25108.41,1768385.00,在售,住宅
4号楼B座16C,89.11,21157.00,71.31,26438.09,1885300.00,在售,住宅
4号楼B座16B,88.97,20639.00,71.19,25793.68,1836252.00,在售,住宅
4号楼B座16A,127.46,20009.00,101.99,25005.85,2550347.00,在售,住宅
4号楼B座15E,87.58,19979.00,70.08,24968.05,1749761.00,在售,住宅
4号楼B座15D,88.01,20064.00,70.43,25072.17,1765833.00,在售,住宅
4号楼B座15C,89.11,21128.00,71.31,26401.85,1882716.00,在售,住宅
4号楼B座15B,88.97,20610.00,71.19,25757.44,1833672.00,在售,住宅
4号楼B座15A,127.46,19912.00,101.99,24884.64,2537984.00,在售,住宅
4号楼B座14E,87.58,19950.00,70.08,24931.81,1747221.00,在售,住宅
4号楼B座14D,88.01,20035.00,70.43,25035.92,1763280.00,在售,住宅
4号楼B座14C,89.11,21099.00,71.31,26365.61,1880132.00,在售,住宅
4号楼B座14B,88.97,20582.00,71.19,25722.45,1831181.00,在售,住宅
4号楼B座14A,127.46,19816.00,101.99,24764.65,2525747.00,在售,住宅
4号楼B座13E,87.58,19921.00,70.08,24895.56,1744681.00,在售,住宅
4号楼B座13D,88.01,20007.00,70.43,25000.94,1760816.00,在售,住宅
4号楼B座13C,89.11,21070.00,71.31,26329.38,1877548.00,在售,住宅
4号楼B座13B,88.97,20553.00,71.19,25686.19,1828600.00,在售,住宅
4号楼B座13A,127.46,19719.00,101.99,24643.44,2513384.00,在售,住宅
4号楼B座12E,87.58,19893.00,70.08,24860.57,1742229.00,在售,住宅
4号楼B座12D,88.01,19978.00,70.43,24964.70,1758264.00,在售,住宅
4号楼B座12C,89.11,21042.00,71.31,26294.39,1875053.00,在售,住宅
4号楼B座12B,88.97,20524.00,71.19,25649.95,1826020.00,在售,住宅
4号楼B座12A,127.46,19622.00,101.99,24522.21,2501020.00,在售,住宅
4号楼B座11E,87.58,19864.00,70.08,24824.33,1739689.00,在售,住宅
4号楼B座11D,88.01,19949.00,70.43,24928.45,1755711.00,在售,住宅
4号楼B座11C,89.11,21013.00,71.31,26258.14,1872468.00,在售,住宅
4号楼B座11B,88.97,20495.00,71.19,25613.71,1823440.00,在售,住宅
4号楼B座11A,127.46,19526.00,101.99,24402.24,2488784.00,在售,住宅
4号楼B座10E,87.58,19835.00,70.08,24788.09,1737149.00,在售,住宅
4号楼B座10D,88.01,19920.00,70.43,24892.22,1753159.00,在售,住宅
4号楼B座10C,89.11,20984.00,71.31,26221.90,1869884.00,在售,住宅
4号楼B座10B,88.97,20467.00,71.19,25578.72,1820949.00,在售,住宅
4号楼B座10A,127.46,19429.00,101.99,24281.01,2476420.00,在售,住宅
4号楼B座9E,87.58,19806.00,70.08,24751.84,1734609.00,在售,住宅
4号楼B座9D,88.01,19892.00,70.43,24857.23,1750695.00,在售,住宅
4号楼B座9C,89.11,20955.00,71.31,26185.67,1867300.00,在售,住宅
4号楼B座9B,88.97,20438.00,71.19,25542.48,1818369.00,在售,住宅
4号楼B座9A,127.46,19333.00,101.99,24161.04,2464184.00,在售,住宅
4号楼B座8E,87.58,19778.00,70.08,24716.85,1732157.00,在售,住宅
4号楼B座8D,88.01,19863.00,70.43,24821.00,1748143.00,在售,住宅
4号楼B座8C,89.11,20927.00,71.31,26150.68,1864805.00,在售,住宅
4号楼B座8B,88.97,20409.00,71.19,25506.24,1815789.00,在售,住宅
4号楼B座8A,127.46,19236.00,101.99,24039.82,2451821.00,在售,住宅
4号楼B座7E,87.58,19749.00,70.08,24680.61,1729617.00,在售,住宅
4号楼B座7D,88.01,19834.00,70.43,24784.75,1745590.00,在售,住宅
4号楼B座7C,89.11,20898.00,71.31,26114.44,1862221.00,在售,住宅
4号楼B座7B,88.97,20380.00,71.19,25470.00,1813209.00,在售,住宅
4号楼B座7A,127.46,19139.00,101.99,23918.59,2439457.00,在售,住宅
4号楼B座6E,87.58,19720.00,70.08,24644.38,1727078.00,在售,住宅
4号楼B座6D,88.01,19805.00,70.43,24748.52,1743038.00,在售,住宅
4号楼B座6C,89.11,20869.00,71.31,26078.21,1859637.00,在售,住宅
4号楼B座6B,88.97,20352.00,71.19,25434.99,1810717.00,在售,住宅
4号楼B座6A,127.46,19043.00,101.99,23798.62,2427221.00,在售,住宅
4号楼B座5E,87.58,19691.00,70.08,24608.13,1724538.00,在售,住宅
4号楼B座5D,88.01,19777.00,70.43,24713.53,1740574.00,在售,住宅
4号楼B座5C,89.11,20840.00,71.31,26041.96,1857052.00,在售,住宅
4号楼B座5B,88.97,20323.00,71.19,25398.75,1808137.00,在售,住宅
4号楼B座5A,127.46,22585.00,101.99,28224.59,2878626.00,在售,住宅
4号楼B座4E,87.58,19663.00,70.08,24573.14,1722086.00,在售,住宅
4号楼B座4D,88.01,19748.00,70.43,24677.28,1738021.00,在售,住宅
4号楼B座4C,89.11,20812.00,71.31,26006.97,1854557.00,在售,住宅
4号楼B座4B,88.97,20294.00,71.19,25362.51,1805557.00,在售,住宅
4号楼B座4A,127.46,18850.00,101.99,23557.42,2402621.00,在售,住宅
4号楼B座3E,87.52,19441.00,70.03,24296.39,1701476.00,在售,住宅
4号楼B座3D,87.93,19526.00,70.36,24401.95,1716921.00,在售,住宅
4号楼B座3C,88.80,20590.00,71.05,25733.88,1828392.00,在售,住宅
4号楼B座3B,88.73,20072.00,71.00,25084.35,1780989.00,在售,住宅
4号楼B座3A,127.42,18560.00,101.95,23196.81,2364915.00,在售,住宅
4号楼A座31C,142.60,21837.00,111.71,27875.36,3113956.00,在售,住宅
4号楼A座31B,143.62,22872.00,112.50,29198.91,3284877.00,在售,住宅
4号楼A座31A,123.30,20588.00,96.59,26281.19,2538500.00,在售,住宅
4号楼A座30C,142.60,21934.00,111.71,27999.18,3127788.00,在售,住宅
4号楼A座30B,143.62,22969.00,112.50,29322.74,3298808.00,在售,住宅
4号楼A座30A,123.30,20685.00,96.59,26405.02,2550461.00,在售,住宅
4号楼A座29C,142.60,21837.00,111.71,27875.36,3113956.00,在售,住宅
4号楼A座29B,143.62,22872.00,112.50,29198.91,3284877.00,在售,住宅
4号楼A座29A,123.30,20588.00,96.59,26281.19,2538500.00,在售,住宅
4号楼A座28C,142.60,21741.00,111.71,27752.82,3100267.00,在售,住宅
4号楼A座28B,143.62,22776.00,112.50,29076.35,3271089.00,在售,住宅
4号楼A座28A,123.30,20492.00,96.59,26158.65,2526664.00,在售,住宅
4号楼A座27C,142.60,21644.00,111.71,27628.99,3086434.00,在售,住宅
4号楼A座27B,143.62,22679.00,112.50,28952.52,3257158.00,在售,住宅
4号楼A座27A,123.30,20395.00,96.59,26034.83,2514704.00,在售,住宅
4号楼A座26C,142.60,21548.00,111.71,27506.45,3072745.00,在售,住宅
4号楼A座26B,143.62,22583.00,112.50,28829.96,3243370.00,在售,住宅
4号楼A座26A,123.30,20299.00,96.59,25912.28,2502867.00,在售,住宅
4号楼A座25C,142.60,21451.00,111.71,27382.62,3058913.00,在售,住宅
4号楼A座25B,143.62,22486.00,112.50,28706.12,3229439.00,在售,住宅
4号楼A座25A,123.30,20202.00,96.59,25788.46,2490907.00,在售,住宅
4号楼A座24C,142.60,21354.00,111.71,27258.80,3045080.00,在售,住宅
4号楼A座24B,143.62,22389.00,112.50,28582.29,3215508.00,在售,住宅
4号楼A座24A,123.30,20105.00,96.59,25664.63,2478947.00,在售,住宅
4号楼A座23C,142.60,21258.00,111.71,27136.25,3031391.00,在售,住宅
4号楼A座23B,143.62,22293.00,112.50,28459.74,3201721.00,在售,住宅
4号楼A座23A,123.30,20009.00,96.59,25542.09,2467110.00,在售,住宅
4号楼A座22C,142.60,21161.00,111.71,27012.43,3017559.00,在售,住宅
4号楼A座22B,143.62,22196.00,112.50,28335.91,3187790.00,在售,住宅
4号楼A座22A,123.30,19912.00,96.59,25418.26,2455150.00,在售,住宅
4号楼A座21C,142.60,21065.00,111.71,26889.88,3003869.00,在售,住宅
4号楼A座21B,143.62,22100.00,112.50,28213.35,3174002.00,在售,住宅
4号楼A座21A,123.30,19816.00,96.59,25295.71,2443313.00,在售,住宅
4号楼A座20C,142.60,20968.00,111.71,26766.06,2990037.00,在售,住宅
4号楼A座20B,143.62,22003.00,112.50,28089.52,3160071.00,在售,住宅
4号楼A座20A,123.30,19719.00,96.59,25171.89,2431353.00,在售,住宅
4号楼A座19C,142.60,20871.00,111.71,26642.24,2976205.00,在售,住宅
4号楼A座19B,143.62,21906.00,112.50,27965.69,3146140.00,在售,住宅
4号楼A座19A,123.30,19622.00,96.59,25048.07,2419393.00,在售,住宅
4号楼A座18C,142.60,20775.00,111.71,26519.69,2962515.00,在售,住宅
4号楼A座18B,143.62,21810.00,112.50,27843.13,3132352.00,在售,住宅
4号楼A座18A,123.30,19526.00,96.59,24925.52,2407556.00,在售,住宅
4号楼A座17C,142.60,20678.00,111.71,26395.87,2948683.00,在售,住宅
4号楼A座17B,143.62,21713.00,112.50,27719.30,3118421.00,在售,住宅
4号楼A座17A,123.30,19429.00,96.59,24801.70,2395596.00,在售,住宅
4号楼A座16C,142.60,20582.00,111.71,26273.32,2934993.00,在售,住宅
4号楼A座16B,143.62,21617.00,112.50,27596.75,3104634.00,在售,住宅
4号楼A座16A,123.30,19333.00,96.59,24679.15,2383759.00,在售,住宅
4号楼A座15C,142.60,20485.00,111.71,26149.50,2921161.00,在售,住宅
4号楼A座15B,143.62,21520.00,112.50,27472.91,3090702.00,在售,住宅
4号楼A座15A,123.30,19236.00,96.59,24555.33,2371799.00,在售,住宅
4号楼A座14C,142.60,20388.00,111.71,26025.68,2907329.00,在售,住宅
4号楼A座14B,143.62,21423.00,112.50,27349.08,3076771.00,在售,住宅
4号楼A座14A,123.30,19139.00,96.59,24431.50,2359839.00,在售,住宅
4号楼A座13C,142.60,20292.00,111.71,25903.13,2893639.00,在售,住宅
4号楼A座13B,143.62,21327.00,112.50,27226.52,3062984.00,在售,住宅
4号楼A座13A,123.30,19043.00,96.59,24308.96,2348002.00,在售,住宅
4号楼A座12C,142.60,20195.00,111.71,25779.31,2879807.00,在售,住宅
4号楼A座12B,143.62,21230.00,112.50,27102.69,3049053.00,在售,住宅
4号楼A座12A,123.30,18946.00,96.59,24185.13,2336042.00,在售,住宅
4号楼A座11C,142.60,20099.00,111.71,25656.76,2866117.00,在售,住宅
4号楼A座11B,143.62,21134.00,112.50,26980.13,3035265.00,在售,住宅
4号楼A座11A,123.30,18850.00,96.59,24062.58,2324205.00,在售,住宅
4号楼A座10C,142.60,20002.00,111.71,25532.94,2852285.00,在售,住宅
4号楼A座10B,143.62,21037.00,112.50,26856.30,3021334.00,在售,住宅
4号楼A座10A,123.30,18753.00,96.59,23938.76,2312245.00,在售,住宅
4号楼A座9C,142.60,19905.00,111.71,25409.12,2838453.00,在售,住宅
4号楼A座9B,143.62,20940.00,112.50,26732.47,3007403.00,在售,住宅
4号楼A座9A,123.30,18656.00,96.59,23814.94,2300285.00,在售,住宅
4号楼A座8C,142.60,19809.00,111.71,25286.57,2824763.00,在售,住宅
4号楼A座8B,143.62,20844.00,112.50,26609.91,2993615.00,在售,住宅
4号楼A座8A,123.30,18560.00,96.59,23692.39,2288448.00,在售,住宅
4号楼A座7C,142.60,19712.00,111.71,25162.75,2810931.00,在售,住宅
