房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2313,68.37,50429.25,50.58,68166.23,3447848.36,在售,住宅
2312,61.21,47791.20,45.28,64604.67,2925299.83,在售,住宅
2311,68.13,48200.68,50.41,65144.06,3283912.52,在售,住宅
2310,59.04,50426.64,43.68,68159.09,2977189.14,在售,住宅
2309,49.18,49252.82,36.38,66582.01,2422253.70,已产权备案,住宅
2308,80.47,50850.20,59.53,68737.03,4091915.73,在售,住宅
2213,68.37,50329.25,50.58,68031.06,3441011.36,在售,住宅
2212,61.21,47691.20,45.28,64469.49,2919178.83,在售,住宅
2211,68.13,48100.68,50.41,65008.91,3277099.52,在售,住宅
2210,59.04,50326.64,43.68,68023.92,2971285.14,已产权备案,住宅
2209,49.18,49152.82,36.38,66446.83,2417335.70,已产权备案,住宅
2208,80.47,50750.20,59.53,68601.86,4083868.73,在售,住宅
2113,68.37,50229.25,50.58,67895.89,3434174.36,已产权备案,住宅
2112,61.21,47591.20,45.28,64334.31,2913057.83,已产权备案,住宅
2111,68.13,48000.68,50.41,64873.76,3270286.52,在售,住宅
2110,59.04,50226.64,43.68,67888.76,2965381.14,在售,住宅
2109,49.18,49052.82,36.38,66311.64,2412417.70,已产权备案,住宅
2108,80.47,50650.20,59.53,68466.68,4075821.73,在售,住宅
2013,68.37,50129.25,50.58,67760.72,3427337.36,已产权备案,住宅
2012,61.21,47491.20,45.28,64199.13,2906936.83,在售,住宅
2011,68.13,47900.68,50.41,64738.61,3263473.52,在售,住宅
2010,59.04,50126.64,43.68,67753.59,2959477.14,已产权备案,住宅
2009,49.18,48952.82,36.38,66176.46,2407499.70,已产权备案,住宅
2008,80.47,50550.20,59.53,68331.50,4067774.73,在售,住宅
1913,68.37,50049.25,50.58,67652.58,3421867.76,在售,住宅
1912,61.21,47411.20,45.28,64090.99,2902040.03,在售,住宅
1911,68.13,47820.68,50.41,64630.49,3258023.12,在售,住宅
1910,59.04,50046.64,43.68,67645.46,2954753.94,已产权备案,住宅
1909,49.18,48872.82,36.38,66068.31,2403565.30,已产权备案,住宅
1908,80.47,50470.20,59.53,68223.36,4061337.13,已产权备案,住宅
1813,68.37,49969.25,50.58,67544.44,3416398.16,在售,住宅
1812,61.21,47331.20,45.28,63982.84,2897143.23,在售,住宅
1811,68.13,47740.68,50.41,64522.37,3252572.72,在售,住宅
1810,59.04,49966.64,43.68,67537.33,2950030.74,在售,住宅
1809,49.18,48792.82,36.38,65960.16,2399630.90,已产权备案,住宅
1808,80.47,50390.20,59.53,68115.22,4054899.53,在售,住宅
1713,68.37,49889.25,50.58,67436.31,3410928.56,在售,住宅
1712,61.21,47251.20,45.28,63874.70,2892246.43,在售,住宅
1711,68.13,47660.68,50.41,64414.24,3247122.32,已产权备案,住宅
1710,59.04,49886.64,43.68,67429.20,2945307.54,已产权备案,住宅
1709,49.18,48712.82,36.38,65852.02,2395696.50,已产权备案,住宅
1708,80.47,50310.20,59.53,68007.08,4048461.93,在售,住宅
1613,68.37,49809.25,50.58,67328.17,3405458.96,在售,住宅
1612,61.21,47171.20,45.28,63766.55,2887349.63,在售,住宅
1611,68.13,47580.68,50.41,64306.12,3241671.92,已产权备案,住宅
1610,59.04,49806.64,43.68,67321.07,2940584.34,在售,住宅
1609,49.18,48632.82,36.38,65743.87,2391762.10,已产权备案,住宅
1608,80.47,50230.20,59.53,67898.94,4042024.33,在售,住宅
1513,68.37,49709.25,50.58,67193.00,3398621.96,在售,住宅
1512,61.21,47071.20,45.28,63631.37,2881228.63,在售,住宅
1511,68.13,47480.68,50.41,64170.97,3234858.92,在售,住宅
1510,59.04,49706.64,43.68,67185.90,2934680.34,已产权备案,住宅
1509,49.18,48532.82,36.38,65608.68,2386844.10,已产权备案,住宅
1508,80.47,50130.20,59.53,67763.77,4033977.33,在售,住宅
1413,68.37,49629.25,50.58,67084.86,3393152.36,在售,住宅
1412,61.21,46991.20,45.28,63523.22,2876331.83,在售,住宅
1411,68.13,47400.68,50.41,64062.85,3229408.52,在售,住宅
1410,59.04,49626.64,43.68,67077.77,2929957.14,在售,住宅
1409,49.18,48452.82,36.38,65500.54,2382909.70,已产权备案,住宅
1408,80.47,50050.20,59.53,67655.63,4027539.73,在售,住宅
1313,68.37,49629.25,50.58,67084.86,3393152.36,在售,住宅
1312,61.21,46991.20,45.28,63523.22,2876331.83,在售,住宅
1311,68.13,47400.68,50.41,64062.85,3229408.52,在售,住宅
1310,59.04,49626.64,43.68,67077.77,2929957.14,已产权备案,住宅
1309,49.18,48452.82,36.38,65500.54,2382909.70,已产权备案,住宅
1308,80.47,50050.20,59.53,67655.63,4027539.73,在售,住宅
1213,68.37,49549.25,50.58,66976.72,3387682.76,已产权备案,住宅
1212,61.21,46911.20,45.28,63415.08,2871435.03,在售,住宅
1211,68.13,47320.68,50.41,63954.73,3223958.12,在售,住宅
1210,59.04,49546.64,43.68,66969.64,2925233.94,已产权备案,住宅
1209,49.18,48372.82,36.38,65392.39,2378975.30,已产权备案,住宅
1208,80.47,49970.20,59.53,67547.49,4021102.13,在售,住宅
1113,68.37,49479.25,50.58,66882.10,3382896.86,在售,住宅
1112,61.21,46841.20,45.28,63320.45,2867150.33,在售,住宅
1111,68.13,47250.68,50.41,63860.12,3219189.02,已产权备案,住宅
1110,59.04,49476.64,43.68,66875.02,2921101.14,在售,住宅
1109,49.18,48302.82,36.38,65297.76,2375532.70,已产权备案,住宅
1108,80.47,49900.20,59.53,67452.86,4015469.23,在售,住宅
1013,68.37,49409.25,50.58,66787.48,3378110.96,已产权备案,住宅
1012,61.21,46771.20,45.28,63225.83,2862865.63,在售,住宅
1011,68.13,47180.68,50.41,63765.52,3214419.92,在售,住宅
1010,59.04,49406.64,43.68,66780.41,2916968.34,已产权备案,住宅
1009,49.18,48232.82,36.38,65203.13,2372090.10,已产权备案,住宅
1008,80.47,49830.20,59.53,67358.24,4009836.33,在售,住宅
913,68.37,49339.25,50.58,66692.86,3373325.06,在售,住宅
