房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
7栋2C,130.73,49140.75,106.52,60309.53,6424172.00,在售,住宅
7栋3C,130.73,47655.75,106.52,58487.01,6230037.00,在售,住宅
7栋4C,130.73,49270.75,106.52,60469.07,6441166.00,在售,住宅
7栋5C,130.73,47785.75,106.52,58646.56,6247032.00,在售,住宅
7栋6C,130.73,49400.75,106.52,60628.62,6458161.00,在售,住宅
7栋7C,130.73,47915.75,106.52,58806.11,6264027.00,在售,住宅
7栋8C,130.73,49530.75,106.52,60788.17,6475156.00,在售,住宅
7栋9C,130.73,48045.75,106.52,58965.65,6281022.00,在售,住宅
7栋10C,130.73,49660.75,106.52,60947.71,6492151.00,在售,住宅
7栋11C,130.73,48175.75,106.52,59125.20,6298017.00,在售,住宅
7栋12C,130.73,49790.75,106.52,61107.26,6509146.00,在售,住宅
7栋13C,130.73,48305.75,106.52,59284.75,6315012.00,在售,住宅
7栋14C,130.73,49920.75,106.52,61266.81,6526141.00,在售,住宅
7栋15C,130.73,48435.75,106.52,59444.30,6332007.00,在售,住宅
7栋16C,130.73,50050.75,106.52,61426.36,6543136.00,在售,住宅
7栋17C,130.73,48565.75,106.52,59603.84,6349002.00,在售,住宅
7栋18C,128.08,50180.75,104.36,61586.35,6427152.00,在售,住宅
7栋2B,113.69,46946.05,92.63,57619.52,5337297.00,在售,住宅
7栋3B,113.69,46111.05,92.63,56594.68,5242366.00,在售,住宅
7栋4B,113.69,47076.05,92.63,57779.08,5352077.00,在售,住宅
7栋5B,113.69,46241.05,92.63,56754.24,5257146.00,在售,住宅
7栋6B,113.69,47206.05,92.63,57938.64,5366857.00,在售,住宅
7栋7B,113.69,46371.05,92.63,56913.79,5271925.00,在售,住宅
7栋8B,113.69,47336.05,92.63,58098.19,5381636.00,在售,住宅
7栋9B,113.69,46501.05,92.63,57073.35,5286705.00,在售,住宅
7栋10B,113.69,47466.05,92.63,58257.75,5396416.00,在售,住宅
7栋11B,113.69,46631.05,92.63,57232.91,5301485.00,在售,住宅
