房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
C栋3210,162.73,79621.00,115.50,112179.44,12956725.33,在售,办公
C栋3209,162.73,80568.00,115.50,113513.68,13110830.64,在售,办公
C栋3208,288.09,78989.00,204.47,111292.32,22755941.01,在售,办公
C栋3207,433.95,77463.00,307.99,109143.37,33615068.85,在售,办公
C栋3206,159.93,81200.00,113.51,114406.80,12986316.00,在售,办公
C栋3205,162.73,80147.00,115.50,112920.53,13042321.31,在售,办公
C栋3204,165.44,78884.00,117.42,111144.34,13050568.96,在售,办公
C栋3203,377.61,77095.00,268.01,108622.22,29111842.95,在售,办公
C栋3202,202.47,74200.00,143.70,104546.09,15023274.00,在售,办公
C栋3201,380.32,75621.00,269.93,106546.80,28760178.72,在售,办公
C栋3110,162.73,79121.00,115.50,111474.98,12875360.33,在售,办公
C栋3109,162.73,80068.00,115.50,112809.22,13029465.64,在售,办公
C栋3108,288.09,78489.00,204.47,110587.84,22611896.01,在售,办公
C栋3107,433.95,76963.00,307.99,108438.89,33398093.85,在售,办公
C栋3106,159.93,80700.00,113.51,113702.32,12906351.00,在售,办公
C栋3105,162.73,79647.00,115.50,112216.07,12960956.31,在售,办公
C栋3104,165.44,78384.00,117.42,110439.86,12967848.96,在售,办公
C栋3103,377.61,76595.00,268.01,107917.75,28923037.95,在售,办公
C栋3102,202.47,73700.00,143.70,103841.60,14922039.00,在售,办公
C栋3101,380.32,75121.00,269.93,105842.32,28570018.72,在售,办公
C栋3010,162.73,78821.00,115.50,111052.30,12826541.33,在售,办公
C栋3009,162.73,79768.00,115.50,112386.55,12980646.64,在售,办公
C栋3008,288.09,78189.00,204.47,110165.15,22525469.01,在售,办公
C栋3007,433.95,76663.00,307.99,108016.19,33267908.85,在售,办公
C栋3006,159.93,80400.00,113.51,113279.64,12858372.00,在售,办公
C栋3005,162.73,79347.00,115.50,111793.39,12912137.31,在售,办公
C栋3004,165.44,78084.00,117.42,110017.17,12918216.96,在售,办公
C栋3003,377.61,76295.00,268.01,107495.07,28809754.95,在售,办公
C栋3002,202.47,73400.00,143.70,103418.91,14861298.00,在售,办公
C栋3001,380.32,74821.00,269.93,105419.63,28455922.72,在售,办公
C栋2910,162.73,78521.00,115.50,110629.63,12777722.33,在售,办公
C栋2909,162.73,79468.00,115.50,111963.87,12931827.64,在售,办公
C栋2908,288.09,77889.00,204.47,109742.46,22439042.01,在售,办公
C栋2907,433.95,76363.00,307.99,107593.50,33137723.85,在售,办公
C栋2906,159.93,80100.00,113.51,112856.95,12810393.00,在售,办公
C栋2905,162.73,79047.00,115.50,111370.72,12863318.31,在售,办公
