房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
18B,157.51,33224.00,118.76,44064.60,5233112.24,在售,未销售
17D,290.77,31171.00,235.93,38416.44,9063591.67,在售,未销售
17C,328.34,31860.00,266.42,39264.74,10460912.40,在售,未销售
17B,356.63,30345.00,289.38,37396.97,10821937.35,在售,未销售
17A,368.98,30208.00,299.40,37228.28,11146147.84,在售,未销售
16D,290.63,30758.00,235.82,37906.86,8939197.54,在售,未销售
16C,328.11,31447.00,266.23,38756.24,10318075.17,在售,未销售
16B,356.64,30069.00,289.38,37057.87,10723808.16,在售,未销售
16A,368.98,29932.00,299.40,36888.14,11044309.36,在售,未销售
15D,290.62,30345.00,235.81,37398.17,8818863.90,在售,未销售
15C,328.11,31034.00,266.23,38247.25,10182565.74,在售,未销售
15B,356.41,29932.00,289.19,36889.46,10668064.12,在售,未销售
15A,368.92,29795.00,299.34,36720.69,10991971.40,在售,未销售
14D,290.70,29932.00,235.87,36889.94,8701232.40,在售,未销售
14C,328.19,30621.00,266.29,37738.95,10049505.99,在售,未销售
14B,356.40,29656.00,289.19,36548.28,10569398.40,在售,未销售
14A,368.92,29519.00,299.34,36380.53,10890149.48,在售,未销售
13D,290.70,29795.00,235.87,36721.10,8661406.50,在售,未销售
13C,328.18,30482.00,266.29,37566.49,10003582.76,在售,未销售
13B,356.56,29519.00,289.32,36379.42,10525294.64,在售,未销售
13A,369.00,29380.00,299.41,36208.61,10841220.00,在售,未销售
12D,290.62,29519.00,235.81,36380.18,8578811.78,在售,未销售
12C,328.26,30069.00,266.35,37058.19,9870449.94,在售,未销售
12B,356.56,28967.00,289.32,35699.13,10328473.52,在售,未销售
12A,369.00,28830.00,299.41,35530.77,10638270.00,在售,未销售
11D,290.61,29243.00,235.81,36038.79,8498308.23,在售,未销售
11C,328.26,29932.00,266.35,36889.34,9825478.32,在售,未销售
11A,369.15,28417.00,299.54,35020.81,10490135.55,在售,未销售
10D,290.77,29106.00,235.93,35871.45,8463151.62,在售,未销售
10C,328.26,29656.00,266.35,36549.19,9734878.56,在售,未销售
10B,356.55,28417.00,289.32,35020.32,10132081.35,在售,未销售
10A,369.15,28278.00,299.54,34849.51,10438823.70,在售,未销售
9D,290.77,28967.00,235.93,35700.14,8422734.59,在售,未销售
9C,328.26,29519.00,266.35,36380.35,9689906.94,在售,未销售
9B,356.49,27728.00,289.26,34172.56,9884754.72,在售,未销售
9A,369.15,27452.00,299.54,33831.56,10133905.80,在售,未销售
8D,290.77,22967.00,235.93,28305.49,6678114.59,在售,未销售
8C,328.26,23380.00,266.35,28814.41,7674718.80,在售,未销售
8B,356.49,22416.00,289.26,27625.94,7991079.84,在售,未销售
8A,369.15,22278.00,299.54,27455.17,8223923.70,在售,未销售
7D,290.69,22691.00,235.87,27964.75,6596046.79,在售,未销售
7C,328.34,23104.00,266.42,28473.71,7585967.36,在售,未销售
7B,356.49,22278.00,289.26,27455.86,7941884.22,在售,未销售
7A,369.15,22141.00,299.54,27286.33,8173350.15,在售,未销售
6D,290.69,22554.00,235.87,27795.91,6556222.26,在售,未销售
6C,328.34,22967.00,266.42,28304.87,7540984.78,在售,未销售
6B,356.48,22141.00,289.25,27287.20,7892823.68,在售,未销售
6A,369.07,22002.00,299.47,27115.49,8120278.14,在售,未销售
5E,180.06,23000.00,115.27,35927.65,4141380.00,在售,未销售
5D,216.08,22416.00,138.33,35015.17,4843649.28,在售,未销售
5C,260.04,23000.00,166.47,35927.91,5980920.00,在售,未销售
5B,322.22,22002.00,206.28,34368.25,7089484.44,在售,未销售
5A,444.80,21865.00,284.75,34154.70,9725552.00,在售,未销售
