房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋G座33E,89.05,42932.16,72.08,53039.80,3823109.00,在售,住宅
1栋G座33D,89.99,44555.31,72.84,55045.74,4009532.00,在售,住宅
1栋G座33B,89.21,46116.80,72.21,56973.83,4114080.00,在售,住宅
1栋G座33A,130.71,43360.94,105.81,53564.97,5667709.00,在售,住宅
1栋G座32E,89.05,42612.16,72.08,52644.46,3794613.00,在售,住宅
1栋G座32D,89.99,44235.30,72.84,54650.40,3980735.00,在售,住宅
1栋G座32C,89.21,42252.92,72.21,52200.29,3769383.00,在售,住宅
1栋G座32B,89.21,45796.81,72.21,56578.49,4085533.00,在售,住宅
1栋G座32A,130.71,43040.95,105.81,53169.66,5625882.00,在售,住宅
1栋G座31E,89.05,42592.16,72.08,52619.76,3792832.00,在售,住宅
1栋G座31D,89.99,44215.30,72.84,54625.69,3978935.00,在售,住宅
1栋G座31C,89.21,42232.92,72.21,52175.59,3767599.00,在售,住宅
1栋G座31B,89.21,45776.81,72.21,56553.79,4083749.00,在售,住宅
1栋G座31A,130.71,43020.94,105.81,53144.95,5623267.00,在售,住宅
1栋G座30E,89.05,42572.16,72.08,52595.05,3791051.00,在售,住宅
1栋G座30D,89.99,44195.30,72.84,54600.97,3977135.00,在售,住宅
1栋G座30C,89.21,42212.92,72.21,52150.88,3765815.00,在售,住宅
1栋G座30B,89.21,45756.81,72.21,56529.08,4081965.00,在售,住宅
1栋G座30A,130.71,43000.94,105.81,53120.24,5620653.00,在售,住宅
1栋G座29E,89.05,42552.16,72.08,52570.34,3789270.00,在售,住宅
1栋G座29D,89.99,44175.30,72.84,54576.26,3975335.00,在售,住宅
1栋G座29C,89.21,42192.93,72.21,52126.17,3764031.00,在售,住宅
1栋G座29B,89.21,45736.80,72.21,56504.36,4080180.00,在售,住宅
1栋G座29A,130.71,42980.94,105.81,53095.54,5618039.00,在售,住宅
1栋G座28E,89.05,42532.16,72.08,52545.63,3787489.00,在售,住宅
1栋G座28D,89.99,44155.31,72.84,54551.57,3973536.00,在售,住宅
1栋G座28C,89.21,42172.93,72.21,52101.47,3762247.00,在售,住宅
1栋G座28B,89.21,45716.80,72.21,56479.66,4078396.00,在售,住宅
1栋G座28A,130.71,42960.94,105.81,53070.83,5615425.00,在售,住宅
1栋G座27E,89.05,42512.16,72.08,52520.92,3785708.00,在售,住宅
1栋G座27D,89.99,44135.30,72.84,54526.85,3971736.00,在售,住宅
1栋G座27C,89.21,42152.92,72.21,52076.75,3760462.00,在售,住宅
1栋G座27B,89.21,45696.81,72.21,56454.95,4076612.00,在售,住宅
1栋G座27A,130.71,42940.95,105.81,53046.13,5612811.00,在售,住宅
1栋G座26E,89.05,42492.16,72.08,52496.21,3783927.00,在售,住宅
1栋G座26D,89.99,44115.30,72.84,54502.14,3969936.00,在售,住宅
1栋G座26C,89.21,42132.92,72.21,52052.04,3758678.00,在售,住宅
1栋G座26B,89.21,45676.81,72.21,56430.25,4074828.00,在售,住宅
1栋G座26A,130.71,42920.94,105.81,53021.42,5610196.00,在售,住宅
1栋G座25E,89.05,42472.16,72.08,52471.50,3782146.00,在售,住宅
1栋G座25D,89.99,44095.30,72.84,54477.43,3968136.00,在售,住宅
1栋G座25C,89.21,42112.92,72.21,52027.34,3756894.00,在售,住宅
1栋G座25B,89.21,45656.81,72.21,56405.54,4073044.00,在售,住宅
1栋G座25A,130.71,42900.94,105.81,52996.71,5607582.00,在售,住宅
1栋G座24E,89.05,42452.16,72.08,52446.80,3780365.00,在售,住宅
1栋G座24D,89.99,44075.30,72.84,54452.72,3966336.00,在售,住宅
1栋G座24C,89.21,42092.93,72.21,52002.63,3755110.00,在售,住宅
1栋G座24B,89.21,45636.80,72.21,56380.82,4071259.00,在售,住宅
1栋G座24A,130.71,42880.94,105.81,52972.01,5604968.00,在售,住宅
1栋G座23E,89.05,42432.16,72.08,52422.09,3778584.00,在售,住宅
1栋G座23D,89.99,44055.31,72.84,54428.02,3964537.00,在售,住宅
1栋G座23C,89.21,42072.93,72.21,51977.93,3753326.00,在售,住宅
1栋G座23B,89.21,45616.80,72.21,56356.11,4069475.00,在售,住宅
1栋G座23A,130.71,42860.94,105.81,52947.30,5602354.00,在售,住宅
1栋G座22E,89.05,42412.16,72.08,52397.38,3776803.00,在售,住宅
1栋G座22D,89.99,44035.30,72.84,54403.31,3962737.00,在售,住宅
1栋G座22C,89.21,42052.92,72.21,51953.21,3751541.00,在售,住宅
