房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋24,27.39,60000.00,25.82,63648.33,1643400.00,在售,商业
1栋23,21.21,60000.00,20.00,63630.00,1272600.00,在售,商业
1栋22,21.68,60000.00,20.45,63608.80,1300800.00,在售,商业
1栋21,16.24,60000.00,15.31,63644.67,974400.00,在售,商业
1栋19,29.46,60000.00,27.78,63628.50,1767600.00,在售,商业
1栋18,28.81,60000.00,27.17,63621.64,1728600.00,在售,商业
1栋17,36.16,60000.00,34.10,63624.63,2169600.00,在售,商业
1栋16,34.90,60000.00,32.91,63628.07,2094000.00,在售,商业
1栋15,36.11,60000.00,34.05,63629.95,2166600.00,在售,商业
1栋14,13.81,60000.00,13.02,63640.55,828600.00,在售,商业
1栋13,13.40,60000.00,12.64,63607.59,804000.00,在售,商业
1栋12,23.49,60000.00,22.16,63601.08,1409400.00,在售,商业
1栋11,23.51,60000.00,22.17,63626.52,1410600.00,在售,商业
1栋10,13.40,60000.00,12.64,63607.59,804000.00,在售,商业
1栋09,13.81,60000.00,13.02,63640.55,828600.00,在售,商业
1栋08,36.11,60000.00,34.05,63629.95,2166600.00,在售,商业
1栋07,34.90,60000.00,32.91,63628.07,2094000.00,在售,商业
1栋06,36.17,60000.00,34.10,63642.22,2170200.00,在售,商业
1栋05,16.44,60000.00,15.50,63638.70,986400.00,在售,商业
1栋04,25.64,60000.00,24.18,63622.82,1538400.00,在售,商业
1栋03,23.08,60000.00,21.76,63639.70,1384800.00,在售,商业
1栋02,23.48,60000.00,22.14,63631.43,1408800.00,在售,商业
1栋01,38.84,60000.00,36.63,63619.98,2330400.00,在售,商业
6栋1102,76.77,49732.96,62.91,60689.87,3818000.00,在售,住宅
6栋1101,76.77,49120.75,62.91,59942.77,3771000.00,在售,住宅
6栋1004,119.54,25564.66,97.97,31193.22,3056000.00,在售,住宅
6栋1003,119.54,25171.49,97.97,30713.48,3009000.00,在售,住宅
6栋902,117.28,25630.96,96.12,31273.40,3006000.00,在售,住宅
6栋901,117.28,25230.21,96.12,30784.43,2959000.00,在售,住宅
6栋804,117.28,25571.28,96.12,31200.58,2999000.00,在售,住宅
6栋803,117.28,25170.53,96.12,30711.61,2952000.00,在售,住宅
6栋702,117.28,25511.59,96.12,31127.75,2992000.00,在售,住宅
6栋701,117.28,25110.84,96.12,30638.78,2945000.00,在售,住宅
6栋604,117.28,25451.90,96.12,31054.93,2985000.00,在售,住宅
6栋603,117.28,25051.15,96.12,30565.95,2938000.00,在售,住宅
6栋502,117.28,25392.22,96.12,30982.10,2978000.00,在售,住宅
6栋501,117.28,24991.47,96.12,30493.13,2931000.00,在售,住宅
6栋404,117.28,25332.53,96.12,30909.28,2971000.00,在售,住宅
6栋403,117.28,24931.78,96.12,30420.30,2924000.00,在售,住宅
6栋302,155.48,27418.31,127.43,33453.66,4263000.00,在售,住宅
6栋301,155.48,27116.02,127.43,33084.83,4216000.00,在售,住宅
6栋202,124.65,35219.00,102.16,42972.00,4390048.00,在售,住宅
6栋201,124.65,42398.71,102.16,51732.57,5285000.00,在售,住宅
6栋102,125.65,35018.00,102.98,42726.00,4400011.00,在售,住宅
6栋101,126.44,45001.58,103.62,54912.17,5690000.00,在售,住宅
5栋1102,76.77,49081.67,62.91,59895.08,3768000.00,在售,住宅
5栋1101,76.77,48469.45,62.91,59147.98,3721000.00,在售,住宅
5栋1004,119.54,24920.52,97.97,30407.26,2979000.00,在售,住宅
5栋1003,119.54,24518.98,97.97,29917.32,2931000.00,在售,住宅
5栋902,117.28,24982.94,96.12,30482.72,2930000.00,在售,住宅
5栋901,117.28,24582.19,96.12,29993.75,2883000.00,在售,住宅
5栋804,117.28,24923.26,96.12,30409.90,2923000.00,在售,住宅
5栋803,117.28,24522.51,96.12,29920.93,2876000.00,在售,住宅
5栋702,117.28,24744.20,96.12,30191.42,2902000.00,在售,住宅
5栋701,117.28,24343.45,96.12,29702.45,2855000.00,在售,住宅
5栋604,117.28,24684.51,96.12,30118.60,2895000.00,在售,住宅
5栋603,117.28,24283.76,96.12,29629.62,2848000.00,在售,住宅
5栋502,117.28,24633.35,96.12,30056.17,2889000.00,在售,住宅
5栋501,117.28,24224.07,96.12,29556.80,2841000.00,在售,住宅
5栋404,117.28,24573.66,96.12,29983.35,2882000.00,在售,住宅
5栋403,117.28,24172.91,96.12,29494.38,2835000.00,在售,住宅
5栋302,155.48,26652.94,127.43,32519.81,4144000.00,在售,住宅
5栋301,155.48,26350.65,127.43,32150.98,4097000.00,在售,住宅
5栋202,124.65,40802.24,102.16,49784.65,5086000.00,在售,住宅
5栋201,124.65,34860.00,102.16,42534.00,4345299.00,在售,住宅
5栋102,125.65,42626.34,102.98,52010.09,5356000.00,在售,住宅
5栋101,126.44,34799.00,103.62,42462.00,4399985.00,在售,住宅
1栋B3505,88.00,33051.00,69.68,41740.00,2908488.00,在售,住宅
1栋B3405,88.00,33051.00,69.68,41740.00,2908488.00,在售,住宅
1栋B3305,88.00,33040.00,69.68,41726.00,2907520.00,在售,住宅
1栋B3205,88.00,33030.00,69.68,41714.00,2906640.00,在售,住宅
1栋B3105,88.00,33019.00,69.68,41700.00,2905672.00,在售,住宅
1栋B3005,88.00,30229.00,69.68,38176.00,2660152.00,在售,住宅
1栋B2905,88.00,32999.00,69.68,41674.00,2903912.00,在售,住宅
1栋B2805,88.00,32989.00,69.68,41662.00,2903032.00,在售,住宅
1栋B2705,88.00,23363.63,69.68,29506.31,2056000.00,在售,住宅
1栋B2605,88.00,23352.27,69.68,29491.96,2055000.00,在售,住宅
1栋B2505,88.00,23340.90,69.68,29477.61,2054000.00,在售,住宅
1栋B2405,88.00,23329.54,69.68,29463.26,2053000.00,在售,住宅
1栋B2305,88.00,31532.00,69.68,39822.00,2774816.00,在售,住宅
1栋B2205,88.00,32906.00,69.68,41557.00,2895728.00,在售,住宅
1栋B2105,88.00,32906.00,69.68,41557.00,2895728.00,在售,住宅
1栋B2005,88.00,32844.00,69.68,41479.00,2890272.00,在售,住宅
1栋B1905,88.00,32812.00,69.68,41438.00,2887456.00,在售,住宅
1栋B1805,88.00,32782.00,69.68,41400.00,2884816.00,在售,住宅
1栋B1705,88.00,23102.27,69.68,29176.23,2033000.00,在售,住宅
1栋B1605,88.00,32720.00,69.68,41322.00,2879360.00,在售,住宅
1栋B1505,88.00,32688.00,69.68,41282.00,2876544.00,在售,住宅
1栋B1405,88.00,32450.00,69.68,40981.00,2855600.00,在售,住宅
1栋B1305,88.00,32419.00,69.68,40942.00,2852872.00,在售,住宅
1栋B1205,88.00,22693.18,69.68,28659.58,1997000.00,在售,住宅
1栋B1105,88.00,22659.09,69.68,28616.53,1994000.00,在售,住宅
1栋B1005,88.00,22636.36,69.68,28587.83,1992000.00,在售,住宅
1栋B905,88.00,22602.27,69.68,28544.77,1989000.00,在售,住宅
1栋B805,88.00,22579.54,69.68,28516.07,1987000.00,在售,住宅
1栋B705,88.00,32274.00,69.68,40759.00,2840112.00,在售,住宅
1栋B605,88.00,22534.09,69.68,28458.66,1983000.00,在售,住宅
1栋B505,88.00,27068.00,69.68,34184.00,2381984.00,在售,住宅
1栋B405,88.00,22488.63,69.68,28401.26,1979000.00,在售,住宅
1栋B305,88.00,22465.90,69.68,28372.56,1977000.00,在售,住宅
1栋B205,88.27,31979.00,69.68,40510.00,2822786.00,在售,住宅
1栋B105,89.74,38011.00,69.73,48918.00,3411107.00,在售,住宅
1栋B3504,88.66,33753.00,70.21,42622.00,2992540.00,在售,住宅
1栋B3404,88.66,33753.00,70.21,42622.00,2992540.00,在售,住宅
1栋B3304,88.66,33742.00,70.21,42608.00,2991565.00,在售,住宅
1栋B3204,88.66,33732.00,70.21,42596.00,2990679.00,在售,住宅
1栋B3104,88.66,33721.00,70.21,42582.00,2989703.00,在售,住宅
1栋B3004,88.66,30953.00,70.21,39086.00,2744292.00,在售,住宅
1栋B2904,88.66,33701.00,70.21,42557.00,2987930.00,在售,住宅
1栋B2804,88.66,33691.00,70.21,42544.00,2987044.00,在售,住宅
1栋B2704,88.66,24204.82,70.21,30565.44,2146000.00,在售,住宅
1栋B2604,88.66,24193.54,70.21,30551.20,2145000.00,在售,住宅
1栋B2504,88.66,24182.26,70.21,30536.96,2144000.00,在售,住宅
1栋B2404,88.66,24170.99,70.21,30522.71,2143000.00,在售,住宅
1栋B2304,88.66,24159.71,70.21,30508.47,2142000.00,在售,住宅
1栋B2204,88.66,33608.00,70.21,42439.00,2979685.00,在售,住宅
1栋B2104,88.66,33608.00,70.21,42439.00,2979685.00,在售,住宅
1栋B2004,88.66,33546.00,70.21,42361.00,2974188.00,在售,住宅
1栋B1904,88.66,33514.00,70.21,42320.00,2971351.00,在售,住宅
1栋B1804,88.66,33484.00,70.21,42283.00,2968691.00,在售,住宅
1栋B1704,88.66,23945.40,70.21,30237.85,2123000.00,在售,住宅
1栋B1604,88.66,33422.00,70.21,42204.00,2963194.00,在售,住宅
1栋B1504,88.66,33390.00,70.21,42164.00,2960357.00,在售,住宅
1栋B1404,88.66,33152.00,70.21,41863.00,2939256.00,在售,住宅
1栋B1304,88.66,33121.00,70.21,41824.00,2936507.00,在售,住宅
1栋B1204,88.66,23539.36,70.21,29725.11,2087000.00,在售,住宅
1栋B1104,88.66,23505.52,70.21,29682.38,2084000.00,在售,住宅
1栋B1004,88.66,23471.68,70.21,29639.65,2081000.00,在售,住宅
