房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
4栋117,13.39,56000.00,12.95,57902.70,749840.00,在售,商业
4栋116,12.56,56000.00,12.15,57889.71,703360.00,在售,商业
4栋115,12.56,56000.00,12.15,57889.71,703360.00,在售,商业
4栋114,12.56,56000.00,12.15,57889.71,703360.00,在售,商业
4栋113,15.49,56000.00,14.98,57906.54,867440.00,在售,商业
4栋112,64.09,36472.00,62.00,37701.45,2337490.48,在售,商业
4栋111,70.95,36472.00,68.64,37699.42,2587688.40,在售,商业
4栋110,50.43,36472.00,48.78,37705.67,1839282.96,在售,商业
4栋109,50.58,36472.00,48.93,37701.89,1844753.76,在售,商业
4栋108,50.49,36472.00,48.84,37704.16,1841471.28,在售,商业
4栋107,50.49,36472.00,48.84,37704.16,1841471.28,在售,商业
4栋106,50.49,36472.00,48.84,37704.16,1841471.28,在售,商业
4栋105,70.50,30800.00,68.20,31838.00,2171400.00,在售,商业
4栋104,70.30,30800.00,68.01,31837.00,2165240.00,在售,商业
4栋103,13.65,56000.00,13.20,57909.09,764400.00,在售,商业
4栋102,14.28,45000.00,13.81,46531.00,642600.00,在售,商业
4栋101,25.90,41621.63,25.05,43033.00,1078000.00,在售,商业
4栋2211,41.08,21774.17,26.40,33881.93,894483.00,在售,办公
4栋2210,41.08,23894.52,26.40,37181.32,981587.00,在售,办公
4栋2116,39.39,23915.41,26.40,35682.87,942028.00,在售,办公
4栋2115,39.39,22590.04,26.40,33705.37,889822.00,在售,办公
4栋2114,39.39,22590.04,26.40,33705.37,889822.00,在售,办公
4栋2113,39.39,21795.04,26.40,32519.20,858507.00,在售,办公
4栋2112,39.39,21795.04,26.40,32519.20,858507.00,在售,办公
4栋2111,39.39,21795.04,26.40,32519.20,858507.00,在售,办公
4栋2110,39.39,23915.41,26.40,35682.87,942028.00,在售,办公
4栋2109,39.39,20469.71,26.40,30541.74,806302.00,在售,办公
4栋2108,39.39,20469.71,26.40,30541.74,806302.00,在售,办公
4栋2107,39.39,24444.73,26.40,36472.65,962878.00,在售,办公
4栋2106,39.39,22324.37,26.40,33308.97,879357.00,在售,办公
4栋2105,39.39,22324.37,26.40,33308.97,879357.00,在售,办公
4栋2104,39.39,22324.37,26.40,33308.97,879357.00,在售,办公
4栋2103,39.39,23119.37,26.40,34495.15,910672.00,在售,办公
4栋2102,39.39,23119.37,26.40,34495.15,910672.00,在售,办公
4栋2101,39.39,24444.73,26.40,36472.65,962878.00,在售,办公
4栋2016,39.39,23849.25,26.40,35584.16,939422.00,在售,办公
4栋2015,39.39,22523.88,26.40,33606.66,887216.00,在售,办公
4栋2014,39.39,22523.88,26.40,33606.66,887216.00,在售,办公
4栋2013,39.39,21728.91,26.40,32420.53,855902.00,在售,办公
4栋2012,39.39,21728.91,26.40,32420.53,855902.00,在售,办公
4栋2011,39.39,21728.91,26.40,32420.53,855902.00,在售,办公
4栋2010,39.39,23849.25,26.40,35584.16,939422.00,在售,办公
4栋2009,39.39,20403.55,26.40,30443.03,803696.00,在售,办公
4栋2008,39.39,20403.55,26.40,30443.03,803696.00,在售,办公
4栋2007,39.39,24378.57,26.40,36373.93,960272.00,在售,办公
4栋2006,39.39,22258.21,26.40,33210.26,876751.00,在售,办公
4栋2005,39.39,22258.21,26.40,33210.26,876751.00,在售,办公
4栋2004,39.39,22258.21,26.40,33210.26,876751.00,在售,办公
4栋2003,39.39,23053.21,26.40,34396.43,908066.00,在售,办公
4栋2002,39.39,23053.21,26.40,34396.43,908066.00,在售,办公
4栋2001,39.39,24378.57,26.40,36373.93,960272.00,在售,办公
4栋1916,39.39,23783.09,26.40,35485.45,936816.00,在售,办公
4栋1915,39.39,22457.73,26.40,33507.95,884610.00,在售,办公
4栋1914,39.39,22457.73,26.40,33507.95,884610.00,在售,办公
4栋1913,39.39,21662.75,26.40,32321.81,853296.00,在售,办公
4栋1912,39.39,21662.75,26.40,32321.81,853296.00,在售,办公
4栋1911,39.39,21662.75,26.40,32321.81,853296.00,在售,办公
4栋1910,39.39,23783.09,26.40,35485.45,936816.00,在售,办公
4栋1909,39.39,20337.39,26.40,30344.31,801090.00,在售,办公
4栋1908,39.39,20337.39,26.40,30344.31,801090.00,在售,办公
4栋1907,39.39,24312.41,26.40,36275.22,957666.00,在售,办公
4栋1906,39.39,22192.05,26.40,33111.55,874145.00,在售,办公
4栋1905,39.39,22192.05,26.40,33111.55,874145.00,在售,办公
4栋1904,39.39,22192.05,26.40,33111.55,874145.00,在售,办公
4栋1903,39.39,22987.05,26.40,34297.72,905460.00,在售,办公
4栋1902,39.39,22987.05,26.40,34297.72,905460.00,在售,办公
4栋1901,39.39,24312.41,26.40,36275.22,957666.00,在售,办公
4栋1816,39.39,23716.93,26.40,35386.74,934210.00,在售,办公
4栋1815,39.39,22391.59,26.40,33409.28,882005.00,在售,办公
4栋1814,39.39,22391.59,26.40,33409.28,882005.00,在售,办公
4栋1813,39.39,21596.57,26.40,32223.06,850689.00,在售,办公
4栋1812,39.39,21596.57,26.40,32223.06,850689.00,在售,办公
4栋1811,39.39,21596.57,26.40,32223.06,850689.00,在售,办公
4栋1810,39.39,23716.93,26.40,35386.74,934210.00,在售,办公
4栋1809,39.39,20271.23,26.40,30245.60,798484.00,在售,办公
4栋1808,39.39,20271.23,26.40,30245.60,798484.00,在售,办公
4栋1807,39.39,24246.23,26.40,36176.47,955059.00,在售,办公
4栋1806,39.39,22125.86,26.40,33012.80,871538.00,在售,办公
4栋1805,39.39,22125.86,26.40,33012.80,871538.00,在售,办公
4栋1804,39.39,22125.86,26.40,33012.80,871538.00,在售,办公
4栋1803,39.39,22920.89,26.40,34199.01,902854.00,在售,办公
4栋1802,39.39,22920.89,26.40,34199.01,902854.00,在售,办公
4栋1801,39.39,24246.23,26.40,36176.47,955059.00,在售,办公
4栋1716,39.39,23650.77,26.40,35288.03,931604.00,在售,办公
4栋1715,39.39,22325.41,26.40,33310.53,879398.00,在售,办公
4栋1714,39.39,22325.41,26.40,33310.53,879398.00,在售,办公
4栋1713,39.39,21530.41,26.40,32124.35,848083.00,在售,办公
4栋1712,39.39,21530.41,26.40,32124.35,848083.00,在售,办公
4栋1711,39.39,21530.41,26.40,32124.35,848083.00,在售,办公
4栋1710,39.39,23650.77,26.40,35288.03,931604.00,在售,办公
4栋1709,39.39,20205.05,26.40,30146.85,795877.00,在售,办公
4栋1708,39.39,20205.05,26.40,30146.85,795877.00,在售,办公
4栋1707,39.39,24180.07,26.40,36077.76,952453.00,在售,办公
4栋1706,39.39,22059.71,26.40,32914.09,868932.00,在售,办公
4栋1705,39.39,22059.71,26.40,32914.09,868932.00,在售,办公
4栋1704,39.39,22059.71,26.40,32914.09,868932.00,在售,办公
4栋1703,39.39,22854.70,26.40,34100.26,900247.00,在售,办公
4栋1702,39.39,22854.70,26.40,34100.26,900247.00,在售,办公
4栋1701,39.39,24180.07,26.40,36077.76,952453.00,在售,办公
4栋1616,39.39,23584.61,26.40,35189.31,928998.00,在售,办公
4栋1615,39.39,22259.25,26.40,33211.81,876792.00,在售,办公
4栋1614,39.39,22259.25,26.40,33211.81,876792.00,在售,办公
4栋1613,39.39,21464.25,26.40,32025.64,845477.00,在售,办公
4栋1612,39.39,21464.25,26.40,32025.64,845477.00,在售,办公
4栋1611,39.39,21464.25,26.40,32025.64,845477.00,在售,办公
4栋1610,39.39,23584.61,26.40,35189.31,928998.00,在售,办公
4栋1609,39.39,20138.89,26.40,30048.14,793271.00,在售,办公
4栋1608,39.39,20138.89,26.40,30048.14,793271.00,在售,办公
4栋1607,39.39,24113.91,26.40,35979.05,949847.00,在售,办公
4栋1606,39.39,21993.55,26.40,32815.37,866326.00,在售,办公
4栋1605,39.39,21993.55,26.40,32815.37,866326.00,在售,办公
4栋1604,39.39,21993.55,26.40,32815.37,866326.00,在售,办公
4栋1603,39.39,22788.55,26.40,34001.55,897641.00,在售,办公
4栋1602,39.39,22788.55,26.40,34001.55,897641.00,在售,办公
4栋1601,39.39,24113.91,26.40,35979.05,949847.00,在售,办公
4栋1516,39.39,23518.45,26.40,35090.60,926392.00,在售,办公
4栋1515,39.39,22193.09,26.40,33113.10,874186.00,在售,办公
4栋1514,39.39,22193.09,26.40,33113.10,874186.00,在售,办公
4栋1513,39.39,21398.09,26.40,31926.93,842871.00,在售,办公
4栋1512,39.39,21398.09,26.40,31926.93,842871.00,在售,办公
4栋1511,39.39,21398.09,26.40,31926.93,842871.00,在售,办公
4栋1510,39.39,23518.45,26.40,35090.60,926392.00,在售,办公
4栋1509,39.39,20072.73,26.40,29949.43,790665.00,在售,办公
4栋1508,39.39,20072.73,26.40,29949.43,790665.00,在售,办公
4栋1507,39.39,24047.75,26.40,35880.34,947241.00,在售,办公
4栋1506,39.39,21927.39,26.40,32716.66,863720.00,在售,办公
4栋1505,39.39,21927.39,26.40,32716.66,863720.00,在售,办公
4栋1504,39.39,21927.39,26.40,32716.66,863720.00,在售,办公
4栋1503,39.39,22722.39,26.40,33902.84,895035.00,在售,办公
4栋1502,39.39,22722.39,26.40,33902.84,895035.00,在售,办公
4栋1501,39.39,24047.75,26.40,35880.34,947241.00,在售,办公
4栋1416,39.39,23452.27,26.40,34991.85,923785.00,在售,办公
4栋1415,39.39,22126.93,26.40,33014.39,871580.00,在售,办公
4栋1414,39.39,22126.93,26.40,33014.39,871580.00,在售,办公
4栋1413,39.39,21331.91,26.40,31828.18,840264.00,在售,办公
4栋1412,39.39,21331.91,26.40,31828.18,840264.00,在售,办公
4栋1411,39.39,21331.91,26.40,31828.18,840264.00,在售,办公
4栋1410,39.39,23452.27,26.40,34991.85,923785.00,在售,办公
4栋1409,39.39,20006.57,26.40,29850.71,788059.00,在售,办公
4栋1408,39.39,20006.57,26.40,29850.71,788059.00,在售,办公
4栋1407,39.39,23981.56,26.40,35781.59,944634.00,在售,办公
4栋1406,39.39,21861.20,26.40,32617.91,861113.00,在售,办公
4栋1405,39.39,21861.20,26.40,32617.91,861113.00,在售,办公
4栋1404,39.39,21861.20,26.40,32617.91,861113.00,在售,办公
4栋1403,39.39,22656.23,26.40,33804.12,892429.00,在售,办公
4栋1402,39.39,22656.23,26.40,33804.12,892429.00,在售,办公
4栋1401,39.39,23981.56,26.40,35781.59,944634.00,在售,办公
4栋1316,39.39,23386.11,26.40,34893.14,921179.00,在售,办公
4栋1315,39.39,22060.75,26.40,32915.64,868973.00,在售,办公
4栋1314,39.39,22060.75,26.40,32915.64,868973.00,在售,办公
4栋1313,39.39,21265.75,26.40,31729.46,837658.00,在售,办公
4栋1312,39.39,21265.75,26.40,31729.46,837658.00,在售,办公
4栋1311,39.39,21265.75,26.40,31729.46,837658.00,在售,办公
4栋1310,39.39,23386.11,26.40,34893.14,921179.00,在售,办公
4栋1309,39.39,19940.39,26.40,29751.96,785452.00,在售,办公
