房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
B2905,75.48,35998.43,58.07,46791.14,2717162.00,在售,在售
B2904,68.58,37859.91,52.76,49212.14,2596433.00,在售,在售
B2903,69.93,38695.48,53.80,50296.93,2705975.00,在售,在售
B2902,116.73,37481.23,89.80,48721.42,4375184.00,在售,在售
B2901,93.99,37505.42,72.31,48750.31,3525135.00,在售,在售
B2805,73.89,36093.44,56.84,46920.21,2666945.00,在售,在售
B2804,68.45,37037.83,52.66,48143.56,2535240.00,在售,在售
B2803,69.54,37983.16,53.50,49371.00,2641349.00,在售,在售
B2802,115.41,38162.61,88.78,49609.67,4404347.00,在售,在售
B2801,93.75,36790.01,72.13,47817.32,3449064.00,在售,在售
B2705,74.09,36884.22,57.00,47943.01,2732752.00,在售,在售
B2704,68.45,38132.97,52.65,49576.48,2610202.00,在售,在售
B2703,69.54,39121.59,53.50,50850.76,2720516.00,在售,在售
B2702,115.37,38138.96,88.75,49578.50,4400092.00,在售,在售
B2701,93.75,37810.08,72.13,49143.14,3544695.00,在售,在售
B2605,73.89,36046.69,56.84,46859.42,2663490.00,在售,在售
B2604,68.45,36993.13,52.66,48085.45,2532180.00,在售,在售
B2603,69.54,37936.69,53.50,49310.61,2638118.00,在售,在售
B2602,115.41,38114.63,88.78,49547.30,4398810.00,在售,在售
B2601,93.75,36743.65,72.13,47757.07,3444718.00,在售,在售
B2505,74.09,37071.25,57.00,48186.12,2746609.00,在售,在售
B2504,68.45,38088.26,52.65,49518.36,2607142.00,在售,在售
B2503,69.54,39307.46,53.50,51092.35,2733441.00,在售,在售
B2502,115.37,38090.98,88.75,49516.13,4394557.00,在售,在售
B2501,93.75,37763.72,72.13,49082.89,3540349.00,在售,在售
B2405,73.89,36233.72,56.84,47102.56,2677310.00,在售,在售
B2404,68.45,36948.42,52.66,48027.34,2529120.00,在售,在售
B2403,69.54,38122.56,53.50,49552.20,2651043.00,在售,在售
B2402,115.41,38066.65,88.78,49484.94,4393273.00,在售,在售
B2401,93.75,36697.29,72.13,47696.81,3440371.00,在售,在售
B2305,74.09,37047.87,57.00,48155.73,2744877.00,在售,在售
B2304,68.45,38065.91,52.65,49489.30,2605612.00,在售,在售
B2303,69.54,39284.23,53.50,51062.16,2731826.00,在售,在售
B2302,115.37,38066.99,88.75,49484.94,4391789.00,在售,在售
B2301,93.75,37740.53,72.13,49052.75,3538175.00,在售,在售
B2205,73.89,36210.33,56.84,47072.16,2675582.00,在售,在售
B2204,68.45,36926.09,52.66,47998.30,2527591.00,在售,在售
B2203,69.54,38099.32,53.50,49522.00,2649427.00,在售,在售
B2202,115.41,38042.66,88.78,49453.75,4390504.00,在售,在售
B2201,93.75,36674.10,72.13,47666.67,3438197.00,在售,在售
B2105,74.09,36907.59,57.00,47973.40,2734484.00,在售,在售
B2104,68.45,37931.81,52.65,49314.96,2596433.00,在售,在售
B2103,69.54,39144.83,53.50,50880.97,2722132.00,在售,在售
B2102,115.37,37923.06,88.75,49297.84,4375184.00,在售,在售
B2101,93.75,37601.44,72.13,48871.96,3525135.00,在售,在售
B2005,73.89,35976.54,56.84,46768.24,2658307.00,在售,在售
B2004,68.45,36702.58,52.66,47707.78,2512292.00,在售,在售
B2003,69.54,37866.99,53.50,49220.01,2633271.00,在售,在售
B2002,115.41,37802.78,88.78,49141.91,4362819.00,在售,在售
B2001,93.75,36442.27,72.13,47365.35,3416463.00,在售,在售
B1905,74.09,36673.80,57.00,47669.50,2717162.00,在售,在售
B1904,68.45,37708.32,52.65,49024.40,2581135.00,在售,在售
B1903,69.54,38912.49,53.50,50578.97,2705975.00,在售,在售
B1902,115.37,37683.18,88.75,48986.01,4347509.00,在售,在售
B1901,93.75,37369.60,72.13,48570.63,3503400.00,在售,在售
B1805,73.89,35742.75,56.84,46464.32,2641032.00,在售,在售
B1804,68.45,36479.09,52.66,47417.28,2496994.00,在售,在售
B1803,69.54,37634.65,53.50,48918.01,2617114.00,在售,在售
B1802,115.41,37562.90,88.78,48830.08,4335135.00,在售,在售
B1801,93.75,36210.44,72.13,47064.03,3394729.00,在售,在售
B1705,74.09,36533.52,57.00,47487.17,2706769.00,在售,在售
B1704,68.45,37574.22,52.65,48850.06,2571956.00,在售,在售
B1703,69.54,38773.09,53.50,50397.77,2696281.00,在售,在售
B1702,115.37,37539.25,88.75,48798.91,4330904.00,在售,在售
B1701,93.75,37230.50,72.13,48389.85,3490360.00,在售,在售
B1605,73.89,35602.49,56.84,46281.98,2630668.00,在售,在售
B1604,68.45,36344.99,52.66,47242.97,2487815.00,在售,在售
B1603,69.54,37495.25,53.50,48736.82,2607420.00,在售,在售
B1602,115.41,37418.97,88.78,48642.98,4318524.00,在售,在售
B1601,93.75,36071.33,72.13,46883.23,3381688.00,在售,在售
B1505,74.09,36299.74,57.00,47183.29,2689448.00,在售,在售
B1504,68.45,37350.72,52.65,48559.48,2556657.00,在售,在售
B1503,69.54,38540.76,53.50,50095.79,2680125.00,在售,在售
B1502,115.37,37299.36,88.75,48487.07,4303228.00,在售,在售
B1501,93.75,36998.66,72.13,48088.52,3468625.00,在售,在售
B1405,73.89,35368.69,56.84,45978.06,2613393.00,在售,在售
B1404,68.45,36121.50,52.66,46952.46,2472517.00,在售,在售
B1403,69.54,37262.91,53.50,48434.82,2591263.00,在售,在售
B1402,115.41,37179.09,88.78,48331.14,4290839.00,在售,在售
B1401,93.75,35839.50,72.13,46581.92,3359954.00,在售,在售
B1305,74.09,36182.84,57.00,47031.35,2680787.00,在售,在售
B1304,68.45,37238.97,52.65,48414.20,2549008.00,在售,在售
B1303,69.54,38424.59,53.50,49944.78,2672046.00,在售,在售
B1302,115.37,37179.43,88.75,48331.16,4289391.00,在售,在售
B1301,93.75,36882.75,72.13,47937.86,3457758.00,在售,在售
B1205,73.89,35251.79,56.84,45826.09,2604755.00,在售,在售
B1204,68.45,36009.74,52.66,46807.19,2464867.00,在售,在售
B1203,69.54,37146.75,53.50,48283.83,2583185.00,在售,在售
B1202,115.41,37059.14,88.78,48175.21,4276996.00,在售,在售
B1201,93.75,35723.59,72.13,46431.26,3349087.00,在售,在售
B1105,74.09,35949.04,57.00,46727.45,2663465.00,在售,在售
B1104,68.45,37015.48,52.65,48123.64,2533710.00,在售,在售
