房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
B3118,67.59,35954.87,53.21,45671.00,2430189.00,在售,商务公寓
B3117,66.86,37650.87,52.64,47821.00,2517337.00,在售,商务公寓
B3116,67.59,37337.11,53.21,47427.00,2523615.00,在售,商务公寓
B3115,66.83,37337.11,52.62,47419.00,2495239.00,在售,商务公寓
B3113,67.60,37022.41,53.22,47025.00,2502714.00,在售,商务公寓
B3112,66.83,36181.33,52.61,45960.00,2417998.00,在售,商务公寓
B3111,62.93,32543.12,49.54,41339.00,2047938.00,在售,商务公寓
B3110,78.66,33136.98,61.93,42088.00,2606554.00,在售,商务公寓
B3109,78.66,39322.38,61.93,49945.00,3093098.00,在售,商务公寓
B3108,62.69,35330.18,49.35,44880.00,2214848.00,在售,商务公寓
B3107,67.60,35330.18,53.22,44876.00,2388320.00,在售,商务公寓
B3106,65.05,35330.18,51.21,44878.00,2298228.00,在售,商务公寓
B3105,70.15,37863.82,55.22,48101.00,2656146.00,在售,商务公寓
B3103,74.57,43901.83,58.71,55761.54,3273760.09,在售,商务公寓
B3102,65.05,36495.71,51.21,46359.00,2374045.00,在售,商务公寓
B3101,244.18,44129.86,184.25,58483.00,10775629.00,在售,商务公寓
B3018,67.59,35980.75,53.21,45704.00,2431938.00,在售,商务公寓
B3017,66.86,37697.99,52.64,47881.00,2520487.00,在售,商务公寓
B3016,67.59,37384.23,53.21,47487.00,2526800.00,在售,商务公寓
B3015,66.83,37384.23,52.62,47479.00,2498388.00,在售,商务公寓
B3013,67.60,37069.52,53.22,47085.00,2505899.00,在售,商务公寓
B3012,66.83,36249.79,52.61,46047.00,2422573.00,在售,商务公寓
B3011,62.93,32920.34,49.54,41818.00,2071676.00,在售,商务公寓
B3010,78.66,33514.19,61.93,42567.00,2636226.00,在售,商务公寓
B3009,78.66,46426.28,61.93,58968.05,3651891.41,在售,商务公寓
B3008,62.69,35377.29,49.35,44940.00,2217802.00,在售,商务公寓
B3007,67.60,35377.29,53.22,44936.00,2391504.00,在售,商务公寓
B3006,65.05,35377.29,51.21,44938.00,2301292.00,在售,商务公寓
B3005,70.15,37910.93,55.22,48161.00,2659451.00,在售,商务公寓
B3003,74.57,43957.39,58.71,55832.10,3277902.86,在售,商务公寓
B3002,65.05,36542.82,51.21,46418.00,2377110.00,在售,商务公寓
B3001,244.18,44223.86,184.25,58608.00,10798582.00,在售,商务公寓
B2918,67.59,35954.87,53.21,45671.00,2430189.00,在售,商务公寓
B2917,66.86,37650.87,52.64,47821.00,2517337.00,在售,商务公寓
B2916,67.59,37337.11,53.21,47427.00,2523615.00,在售,商务公寓
B2915,66.83,37337.11,52.62,47419.00,2495239.00,在售,商务公寓
B2913,67.60,37022.41,53.22,47025.00,2502714.00,在售,商务公寓
B2912,66.83,36181.33,52.61,45960.00,2417998.00,在售,商务公寓
B2911,62.93,32758.67,49.54,41612.00,2061503.00,在售,商务公寓
B2910,78.66,33352.53,61.93,42362.00,2623510.00,在售,商务公寓
B2909,78.66,39322.38,61.93,49945.00,3093098.00,在售,商务公寓
B2908,62.69,35330.18,49.35,44880.00,2214849.00,在售,商务公寓
B2907,67.60,35330.18,53.22,44876.00,2388320.00,在售,商务公寓
B2906,65.05,35330.18,51.21,44878.00,2298228.00,在售,商务公寓
B2905,70.15,37863.82,55.22,48101.00,2656147.00,在售,商务公寓
B2903,74.57,43901.83,58.71,55761.54,3273760.09,在售,商务公寓
B2902,65.05,36495.71,51.21,46359.00,2374046.00,在售,商务公寓
