房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3栋1508,93.61,40746.80,69.89,54575.88,3814308.74,在售,商务公寓
3栋1507,95.86,40859.47,71.57,54726.68,3916788.87,在售,商务公寓
3栋1506,95.86,40859.47,71.57,54726.68,3916788.87,在售,商务公寓
3栋1505,93.61,41200.83,69.89,55184.00,3856810.44,在售,商务公寓
3栋1504,93.61,37502.63,69.89,50230.67,3510622.02,在售,商务公寓
3栋1503,56.16,35636.46,41.93,47730.59,2001343.92,在售,商务公寓
3栋1502,56.15,35636.46,41.92,47733.48,2000987.51,在售,商务公寓
3栋1501,93.61,35909.55,69.89,48096.92,3361493.75,在售,商务公寓
3栋1408,93.61,40690.06,69.89,54499.87,3808996.59,在售,商务公寓
3栋1407,95.86,40802.71,71.57,54650.67,3911348.46,在售,商务公寓
3栋1406,95.86,40802.71,71.57,54650.67,3911348.46,在售,商务公寓
3栋1405,93.61,41144.09,69.89,55108.00,3851498.29,在售,商务公寓
3栋1404,93.61,37445.87,69.89,50154.65,3505308.74,在售,商务公寓
3栋1403,56.33,35579.69,42.05,47662.40,2004204.31,在售,商务公寓
3栋1402,56.15,35579.70,41.92,47657.44,1997800.22,在售,商务公寓
3栋1401,93.61,35852.79,69.89,48020.89,3356180.47,在售,商务公寓
3栋1308,93.61,40633.30,69.89,54423.85,3803683.31,在售,商务公寓
3栋1307,95.86,40745.96,71.57,54574.65,3905908.05,在售,商务公寓
3栋1306,95.86,40745.96,71.57,54574.65,3905908.05,在售,商务公寓
3栋1305,93.61,41087.33,69.89,55031.97,3846185.01,在售,商务公寓
3栋1304,93.61,37389.13,69.89,50078.64,3499996.59,在售,商务公寓
3栋1303,56.33,35522.95,42.05,47586.39,2001007.94,在售,商务公寓
3栋1302,56.15,35522.95,41.92,47581.44,1994614.07,在售,商务公寓
3栋1301,93.61,35796.05,69.89,47944.88,3350868.33,在售,商务公寓
3栋1208,93.61,40576.55,69.89,54347.84,3798371.16,在售,商务公寓
3栋1207,95.86,40689.20,71.57,54498.63,3900467.65,在售,商务公寓
3栋1206,95.86,40689.20,71.57,54498.63,3900467.65,在售,商务公寓
3栋1205,93.61,41030.58,69.89,54955.97,3840872.87,在售,商务公寓
3栋1204,93.61,37332.37,69.89,50002.62,3494683.31,在售,商务公寓
3栋1203,56.33,35466.18,42.05,47510.35,1997810.44,在售,商务公寓
3栋1202,56.15,35466.19,41.92,47505.41,1991426.78,在售,商务公寓
3栋1201,93.61,35739.29,69.89,47868.86,3345555.05,在售,商务公寓
3栋1108,93.61,40519.79,69.89,54271.82,3793057.88,在售,商务公寓
3栋1107,95.86,40632.45,71.57,54422.62,3895027.24,在售,商务公寓
3栋1106,95.86,40632.45,71.57,54422.62,3895027.24,在售,商务公寓
3栋1105,93.61,40973.82,69.89,54879.94,3835559.59,在售,商务公寓
3栋1104,93.61,37275.62,69.89,49926.61,3489371.16,在售,商务公寓
3栋1103,56.33,35409.44,42.05,47434.34,1994614.07,在售,商务公寓
3栋1102,56.15,35409.45,41.92,47429.40,1988240.63,在售,商务公寓
3栋1101,93.61,35682.54,69.89,47792.85,3340242.90,在售,商务公寓
3栋1008,93.61,40463.04,69.89,54195.81,3787745.74,在售,商务公寓
3栋1007,95.86,40575.70,71.57,54346.60,3889586.83,在售,商务公寓
3栋1006,95.86,40575.70,71.57,54346.60,3889586.83,在售,商务公寓
