房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
8栋商业及01层配套134,42.96,65000.00,39.90,69984.00,2792400.00,在售,商业
8栋商业及01层配套133,65.13,115000.00,60.48,123841.76,7489950.00,在售,商业
8栋商业及01层配套132,74.98,65000.00,69.63,69994.00,4873700.00,在售,商业
8栋商业及01层配套131,86.21,65000.00,80.06,69993.00,5603650.00,在售,商业
8栋商业及01层配套130,72.36,65000.00,67.20,69991.00,4703400.00,在售,商业
8栋商业及01层配套129,68.81,65000.00,63.90,69994.00,4472650.00,在售,商业
8栋商业及01层配套128,82.05,65000.00,76.20,69990.00,5333250.00,在售,商业
8栋商业及01层配套127,68.81,65000.00,63.90,69994.00,4472650.00,在售,商业
8栋商业及01层配套126,80.06,65000.00,74.35,69991.00,5203900.00,在售,商业
8栋商业及01层配套125,65.50,65000.00,60.83,69990.00,4257500.00,在售,商业
8栋商业及01层配套124,62.07,115000.00,57.64,123838.48,7138050.00,在售,商业
8栋商业及01层配套123,63.96,115000.00,59.40,123828.28,7355400.00,在售,商业
8栋商业及01层配套122,65.86,65000.00,61.16,69995.00,4280900.00,在售,商业
8栋商业及01层配套121,67.75,65000.00,62.92,69989.00,4403750.00,在售,商业
8栋商业及01层配套120,63.96,65000.00,59.40,69989.00,4157400.00,在售,商业
8栋商业及01层配套119,65.86,115000.00,61.16,123837.47,7573900.00,在售,商业
8栋商业及01层配套118,65.12,115000.00,60.47,123843.22,7488800.00,在售,商业
8栋商业及01层配套117,35.42,65000.00,32.90,69978.00,2302300.00,在售,商业
2栋商业及配套107,53.71,65000.00,52.03,67098.00,3491150.00,在售,商业
4栋3903,124.02,37427.20,98.44,47152.00,4641721.00,在售,住宅
4栋3803,124.02,29234.00,98.44,36831.16,3625660.00,在售,住宅
4栋3703,124.02,29234.00,98.44,36831.16,3625660.00,在售,住宅
4栋3603,124.02,29234.00,98.44,36831.16,3625660.00,在售,住宅
4栋3503,124.02,29234.00,98.44,36831.16,3625660.00,在售,住宅
4栋3403,124.02,29234.00,98.44,36831.16,3625660.00,在售,住宅
4栋3303,124.02,29234.00,98.44,36831.16,3625660.00,在售,住宅
4栋3203,124.02,29234.00,98.44,36831.16,3625660.00,在售,住宅
4栋3103,124.02,29234.00,98.44,36831.16,3625660.00,在售,住宅
4栋3003,124.02,29234.00,98.44,36831.16,3625660.00,在售,住宅
4栋2903,124.02,37427.20,98.44,47152.00,4641721.00,在售,住宅
4栋2803,124.02,29165.00,98.44,36744.22,3617102.00,在售,住宅
4栋2703,124.02,29131.00,98.44,36700.76,3612823.00,在售,住宅
4栋2603,124.02,29096.00,98.44,36657.29,3608544.00,在售,住宅
4栋2503,124.02,29062.00,98.44,36613.83,3604266.00,在售,住宅
4栋2403,124.02,29027.00,98.44,36570.36,3599987.00,在售,住宅
4栋2303,124.02,28993.00,98.44,36526.90,3595709.00,在售,住宅
4栋2203,124.02,28958.00,98.44,36483.44,3591430.00,在售,住宅
4栋2103,124.02,28924.00,98.44,36439.97,3587151.00,在售,住宅
4栋2003,124.02,28889.00,98.44,36396.51,3582873.00,在售,住宅
4栋1903,124.02,28855.00,98.44,36353.03,3578593.00,在售,住宅
4栋1803,124.02,28820.00,98.44,36309.57,3574315.00,在售,住宅
4栋1703,124.02,28786.00,98.44,36266.11,3570036.00,在售,住宅
4栋1603,124.02,28751.00,98.44,36222.64,3565757.00,在售,住宅
4栋1503,124.02,28717.00,98.44,36179.18,3561479.00,在售,住宅
4栋1403,124.02,28682.00,98.44,36135.71,3557200.00,在售,住宅
4栋1303,124.02,28648.00,98.44,36092.25,3552922.00,在售,住宅
4栋1203,124.02,28613.00,98.44,36048.79,3548643.00,在售,住宅
4栋1103,124.02,28579.00,98.44,36005.32,3544364.00,在售,住宅
4栋1003,124.02,28544.00,98.44,35961.86,3540086.00,在售,住宅
4栋903,124.02,28510.00,98.44,35918.39,3535807.00,在售,住宅
4栋803,124.02,28475.00,98.44,35874.93,3531529.00,在售,住宅
