房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
8栋3905,119.30,36563.00,79.19,55082.28,4361966.00,在售,住宅
8栋3904,106.60,43463.00,70.80,65440.05,4633156.00,在售,住宅
8栋3903,100.57,40463.00,66.82,60900.38,4069364.00,在售,住宅
8栋3902,105.21,42262.99,69.84,63666.80,4446490.00,在售,住宅
8栋3901,113.46,36702.99,75.33,55281.05,4164322.00,在售,住宅
8栋3805,88.03,34502.99,58.20,52187.26,3037299.00,在售,住宅
8栋3804,75.14,41402.99,49.68,62621.19,3111021.00,在售,住宅
8栋3803,68.32,38403.00,45.17,58084.85,2623693.00,在售,住宅
8栋3802,76.51,40203.00,50.58,60813.20,3075932.00,在售,住宅
8栋3801,82.19,34642.99,54.34,52398.01,2847308.00,在售,住宅
8栋3705,88.03,34442.99,58.20,52096.51,3032017.00,在售,住宅
8栋3704,75.13,41343.00,49.68,62522.14,3106100.00,在售,住宅
8栋3703,68.31,38342.99,45.17,57985.60,2619210.00,在售,住宅
8栋3702,78.74,40143.00,52.06,60715.71,3160860.00,在售,住宅
8栋3701,82.18,34583.00,54.34,52300.90,2842031.00,在售,住宅
8栋3605,88.03,34382.99,58.20,52005.75,3026735.00,在售,住宅
8栋3604,75.14,41283.00,49.68,62439.71,3102005.00,在售,住宅
8栋3603,68.32,38283.00,45.17,57903.36,2615495.00,在售,住宅
8栋3602,76.51,40082.99,50.58,60631.67,3066750.00,在售,住宅
8栋3601,82.19,34522.99,54.34,52216.50,2837445.00,在售,住宅
8栋3505,88.03,34323.00,58.20,51915.01,3021454.00,在售,住宅
8栋3504,75.13,41223.00,49.68,62340.66,3097084.00,在售,住宅
8栋3503,68.31,38222.99,45.17,57804.13,2611013.00,在售,住宅
8栋3502,78.74,40022.99,52.06,60534.21,3151411.00,在售,住宅
8栋3501,82.18,34462.99,54.34,52119.41,2832169.00,在售,住宅
8栋3405,88.03,34263.00,58.20,51824.26,3016172.00,在售,住宅
8栋3404,75.14,41163.00,49.68,62258.21,3092988.00,在售,住宅
8栋3403,68.32,38162.99,45.17,57721.85,2607296.00,在售,住宅
8栋3402,76.51,39962.99,50.58,60450.15,3057569.00,在售,住宅
8栋3401,82.19,34403.00,54.34,52035.02,2827583.00,在售,住宅
8栋3305,88.03,34202.99,58.20,51733.50,3010890.00,在售,住宅
8栋3304,75.13,41102.99,49.68,62159.17,3088068.00,在售,住宅
8栋3303,68.31,38103.00,45.17,57622.66,2602816.00,在售,住宅
8栋3302,78.74,39902.99,52.06,60352.70,3141962.00,在售,住宅
8栋3301,82.18,34343.00,54.34,51937.94,2822308.00,在售,住宅
8栋3205,88.03,34142.99,58.20,51642.74,3005608.00,在售,住宅
8栋3204,75.14,41042.99,49.68,62076.71,3083971.00,在售,住宅
8栋3203,68.32,38043.00,45.17,57540.35,2599098.00,在售,住宅
8栋3202,76.51,39843.00,50.58,60268.64,3048388.00,在售,住宅
8栋3201,82.19,34283.00,54.34,51853.51,2817720.00,在售,住宅
8栋3105,88.03,34082.99,58.20,51551.99,3000326.00,在售,住宅
8栋3104,75.13,40983.00,49.68,61977.71,3079053.00,在售,住宅
8栋3103,68.31,37983.00,45.17,57441.19,2594619.00,在售,住宅
8栋3102,78.74,39782.99,52.06,60171.20,3132513.00,在售,住宅
8栋3101,82.18,34222.99,54.34,51756.45,2812446.00,在售,住宅
8栋3005,88.03,34023.00,58.20,51461.25,2995045.00,在售,住宅
8栋3004,75.14,40922.99,49.68,61895.20,3074954.00,在售,住宅
8栋3003,68.32,37922.99,45.17,57358.84,2590899.00,在售,住宅
8栋3002,76.51,39723.00,50.58,60087.12,3039207.00,在售,住宅
8栋3001,82.19,34163.00,54.34,51672.00,2807857.00,在售,住宅
8栋2905,87.72,33962.99,57.99,51374.96,2979234.00,在售,住宅
8栋2904,74.89,40862.99,49.51,61810.34,3060230.00,在售,住宅
8栋2903,68.06,37863.00,45.00,57265.68,2576956.00,在售,住宅
8栋2902,78.50,39663.00,51.90,59991.25,3113546.00,在售,住宅
8栋2901,81.64,34103.00,53.97,51587.34,2784169.00,在售,住宅
8栋2805,87.72,33902.99,57.99,51284.20,2973971.00,在售,住宅
8栋2804,74.90,40803.00,49.51,61727.83,3056145.00,在售,住宅
8栋2803,68.06,37802.99,45.00,57174.93,2572872.00,在售,住宅
8栋2802,76.26,39603.00,50.42,59899.34,3020125.00,在售,住宅
8栋2801,81.64,34043.00,53.97,51496.59,2779271.00,在售,住宅
8栋2705,87.73,33842.99,57.99,51199.27,2969046.00,在售,住宅
8栋2704,74.90,40743.00,49.51,61637.06,3051651.00,在售,住宅
8栋2703,68.06,37743.00,45.00,57084.20,2568789.00,在售,住宅
8栋2702,76.26,39542.99,50.42,59808.58,3015549.00,在售,住宅
8栋2701,81.64,33982.99,53.97,51405.81,2774372.00,在售,住宅
8栋2605,87.72,33783.00,57.99,51102.69,2963445.00,在售,住宅
8栋2604,74.90,40683.00,49.51,61546.29,3047157.00,在售,住宅
8栋2603,68.06,37683.00,45.00,56993.44,2564705.00,在售,住宅
8栋2602,76.26,39483.00,50.42,59717.85,3010974.00,在售,住宅
8栋2601,81.64,33923.00,53.97,51315.06,2769474.00,在售,住宅
8栋2505,87.73,33723.00,57.99,51017.74,2958519.00,在售,住宅
8栋2504,74.90,40623.00,49.51,61455.52,3042663.00,在售,住宅
8栋2503,68.06,37622.99,45.00,56902.68,2560621.00,在售,住宅
8栋2502,76.26,39423.00,50.42,59627.09,3006398.00,在售,住宅
8栋2501,81.64,33862.99,53.97,51224.29,2764575.00,在售,住宅
8栋2405,87.72,33702.99,57.99,50981.66,2956427.00,在售,住宅
8栋2404,74.90,40563.00,49.51,61364.75,3038169.00,在售,住宅
8栋2403,68.06,37563.00,45.00,56811.95,2556538.00,在售,住宅
8栋2402,76.26,39362.99,50.42,59536.33,3001822.00,在售,住宅
8栋2401,81.64,33843.00,53.97,51194.05,2762943.00,在售,住宅
8栋2305,87.73,33683.00,57.99,50957.23,2955010.00,在售,住宅
8栋2304,74.90,40503.00,49.51,61273.98,3033675.00,在售,住宅
8栋2303,68.06,37502.99,45.00,56721.20,2552454.00,在售,住宅
8栋2302,76.26,39303.00,50.42,59445.59,2997247.00,在售,住宅
8栋2301,81.64,33823.00,53.97,51163.79,2761310.00,在售,住宅
8栋2205,87.72,33662.99,57.99,50921.15,2952918.00,在售,住宅
8栋2204,74.90,40443.00,49.51,61183.21,3029181.00,在售,住宅
8栋2203,68.06,37443.00,45.00,56630.46,2548371.00,在售,住宅
8栋2202,76.26,39242.99,50.42,59354.83,2992671.00,在售,住宅
8栋2201,81.64,33803.00,53.97,51133.53,2759677.00,在售,住宅
8栋2005,86.94,33642.99,57.47,50894.76,2924922.00,在售,住宅
8栋2004,74.28,40382.99,49.10,61092.64,2999649.00,在售,住宅
8栋2003,67.47,37382.99,44.60,56552.26,2522231.00,在售,住宅
8栋2002,75.27,39182.99,49.75,59282.49,2949304.00,在售,住宅
8栋2001,80.70,33782.99,53.34,51111.51,2726288.00,在售,住宅
8栋1905,86.94,33623.00,57.47,50864.52,2923184.00,在售,住宅
8栋1904,74.28,40332.99,49.10,61017.00,2995935.00,在售,住宅
8栋1903,67.47,37333.00,44.60,56476.63,2518858.00,在售,住宅
8栋1902,75.27,39133.00,49.75,59206.85,2945541.00,在售,住宅
8栋1901,80.70,33762.99,53.34,51081.25,2724674.00,在售,住宅
8栋1805,86.94,33603.00,57.47,50834.26,2921445.00,在售,住宅
8栋1804,74.28,40282.99,49.10,60941.36,2992221.00,在售,住宅
8栋1803,67.47,37282.99,44.60,56400.98,2515484.00,在售,住宅
8栋1802,75.27,39082.99,49.75,59131.19,2941777.00,在售,住宅
8栋1801,80.70,33742.99,53.34,51050.99,2723060.00,在售,住宅
8栋1705,86.94,33582.99,57.47,50804.00,2919706.00,在售,住宅
8栋1704,74.28,40232.99,49.10,60865.72,2988507.00,在售,住宅
8栋1703,67.47,37233.00,44.60,56325.35,2512111.00,在售,住宅
8栋1702,75.27,39033.00,49.75,59055.55,2938014.00,在售,住宅
8栋1701,80.70,33722.99,53.34,51020.73,2721446.00,在售,住宅
8栋1605,86.94,33562.99,57.47,50773.74,2917967.00,在售,住宅
8栋1604,74.28,40182.99,49.10,60790.08,2984793.00,在售,住宅
