房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
D-32D,80.95,57495.00,60.85,76487.00,4654220.00,在售,住宅
D-31D,80.95,57460.00,60.85,76440.00,4651387.00,在售,住宅
D-30D,80.95,57425.00,60.85,76394.00,4648554.00,在售,住宅
D-29D,80.95,57390.00,60.85,76347.00,4645721.00,在售,住宅
D-28D,80.95,57354.00,60.85,76299.00,4642806.00,在售,住宅
D-27D,80.95,57319.00,60.85,76253.00,4639973.00,在售,住宅
D-26D,80.95,57284.00,60.85,76206.00,4637140.00,在售,住宅
D-25D,80.95,57248.00,60.85,76158.00,4634226.00,在售,住宅
D-24D,80.95,57213.00,60.85,76112.00,4631392.00,在售,住宅
D-23D,80.95,57178.00,60.85,76065.00,4628559.00,在售,住宅
D-22D,80.95,57143.00,60.85,76019.00,4625726.00,在售,住宅
D-21D,80.95,57107.00,60.85,75971.00,4622812.00,在售,住宅
D-20D,80.95,57072.00,60.85,75924.00,4619978.00,在售,住宅
D-19D,80.95,57037.00,60.85,75877.00,4617145.00,在售,住宅
D-18D,80.95,56978.00,60.85,75799.00,4612369.00,在售,住宅
D-17D,80.95,56943.00,60.85,75752.00,4609536.00,在售,住宅
D-16D,80.95,56907.00,60.85,75705.00,4606622.00,在售,住宅
D-15D,80.95,56872.00,60.85,75658.00,4603788.00,在售,住宅
D-14D,80.95,56825.00,60.85,75595.00,4599984.00,在售,住宅
D-13D,80.95,56790.00,60.85,75549.00,4597151.00,在售,住宅
D-12D,80.95,56754.00,60.85,75501.00,4594236.00,在售,住宅
D-11D,80.95,56719.00,60.85,75454.00,4591403.00,在售,住宅
D-10D,80.95,56684.00,60.85,75408.00,4588570.00,在售,住宅
D-9D,80.96,56650.00,60.85,75372.00,4586384.00,在售,住宅
D-8D,80.96,56626.00,60.85,75340.00,4584441.00,在售,住宅
D-7D,80.96,55461.00,60.85,73790.00,4490123.00,在售,住宅
D-6D,80.96,55438.00,60.85,73759.00,4488260.00,在售,住宅
D-5D,80.96,55414.00,60.85,73727.00,4486317.00,在售,住宅
D-4D,80.78,55503.00,60.71,73852.00,4483532.00,在售,住宅
D-3D,80.78,55479.00,60.71,73820.00,4481594.00,在售,住宅
D-2D,80.78,56891.00,60.71,75698.00,4595655.00,在售,住宅
D-32C,80.95,57919.00,60.85,77051.00,4688543.00,在售,住宅
D-31C,80.95,57884.00,60.85,77004.00,4685710.00,在售,住宅
D-30C,80.95,57849.00,60.85,76958.00,4682877.00,在售,住宅
D-29C,80.95,57813.00,60.85,76910.00,4679962.00,在售,住宅
D-28C,80.95,57778.00,60.85,76863.00,4677129.00,在售,住宅
D-27C,80.95,57743.00,60.85,76817.00,4674296.00,在售,住宅
D-26C,80.95,57707.00,60.85,76769.00,4671382.00,在售,住宅
D-25C,80.95,57672.00,60.85,76722.00,4668548.00,在售,住宅
D-24C,80.95,57637.00,60.85,76676.00,4665715.00,在售,住宅
D-23C,80.95,57602.00,60.85,76629.00,4662882.00,在售,住宅
D-22C,80.95,57566.00,60.85,76581.00,4659968.00,在售,住宅
D-21C,80.95,57531.00,60.85,76535.00,4657134.00,在售,住宅
D-20C,80.95,57496.00,60.85,76488.00,4654301.00,在售,住宅
D-19C,80.95,57460.00,60.85,76440.00,4651387.00,在售,住宅
D-18C,80.95,57402.00,60.85,76363.00,4646692.00,在售,住宅
D-17C,80.95,57366.00,60.85,76315.00,4643778.00,在售,住宅
D-16C,80.95,57331.00,60.85,76269.00,4640944.00,在售,住宅
