房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
5栋S32,59.40,24022.73,57.97,24615.00,1426950.00,在售,商铺
5栋S31,107.88,22559.43,105.28,23116.00,2433711.00,在售,商铺
5栋S30,33.82,56793.85,33.00,58205.00,1920768.00,在售,商铺
5栋S29,141.73,18259.60,138.30,18712.00,2587933.00,在售,商铺
5栋S28,110.20,25180.38,107.54,25803.00,2774877.00,在售,商铺
5栋S27,103.60,24393.64,101.08,25001.00,2527181.00,在售,商铺
5栋S25,86.51,27259.30,84.42,27934.00,2358202.00,在售,商铺
5栋S24,18.87,71372.55,18.41,73155.00,1346800.00,在售,商铺
5栋S23,143.47,35547.10,140.01,36425.00,5099942.00,在售,商铺
5栋S22,159.03,35831.15,155.18,36720.00,5698227.00,在售,商铺
5栋S21,18.87,75249.50,18.41,77129.00,1419958.00,在售,商铺
5栋S20,169.83,17540.83,165.72,17975.00,2978959.00,在售,商铺
5栋S19,61.85,50956.00,60.35,52222.00,3151628.00,在售,商铺
5栋2单元41层D,87.06,28147.00,62.57,39163.78,2450477.82,在售,住宅
5栋2单元41层C,88.18,29083.00,63.38,40462.90,2564538.94,在售,住宅
5栋2单元40层D,87.06,28147.00,62.57,39163.78,2450477.82,在售,住宅
5栋2单元40层C,88.18,29083.00,63.38,40462.90,2564538.94,在售,住宅
5栋2单元39层D,87.06,28147.00,62.57,39163.78,2450477.82,在售,住宅
5栋2单元39层C,88.18,15724.96,63.38,21877.00,1386626.00,在售,住宅
5栋2单元38层D,87.06,28147.00,62.57,39163.78,2450477.82,在售,住宅
5栋2单元38层C,88.18,29083.00,63.38,40462.90,2564538.94,在售,住宅
5栋2单元37层D,87.06,28147.00,62.57,39163.78,2450477.82,在售,住宅
5栋2单元37层C,88.18,29083.00,63.38,40462.90,2564538.94,在售,住宅
5栋2单元36层D,87.06,28147.00,62.57,39163.78,2450477.82,在售,住宅
5栋2单元36层C,88.18,29083.00,63.38,40462.90,2564538.94,在售,住宅
5栋2单元35层D,87.06,28147.00,62.57,39163.78,2450477.82,在售,住宅
5栋2单元35层C,88.18,22464.22,63.38,31254.00,1980894.00,在售,住宅
5栋2单元34层D,87.06,28147.00,62.57,39163.78,2450477.82,在售,住宅
5栋2单元34层C,88.18,29083.00,63.38,40462.90,2564538.94,在售,住宅
5栋2单元33层D,87.06,28147.00,62.57,39163.78,2450477.82,在售,住宅
5栋2单元33层C,88.18,29083.00,63.38,40462.90,2564538.94,在售,住宅
5栋2单元32层D,87.06,28147.00,62.57,39163.78,2450477.82,在售,住宅
5栋2单元32层C,88.18,29083.00,63.38,40462.90,2564538.94,在售,住宅
5栋2单元31层D,87.06,28136.00,62.57,39148.47,2449520.16,在售,住宅
5栋2单元31层C,88.18,29072.00,63.38,40447.60,2563568.96,在售,住宅
5栋2单元30层D,87.06,28105.00,62.57,39105.34,2446821.30,在售,住宅
5栋2单元30层C,88.18,23251.07,63.38,32348.00,2050279.00,在售,住宅
5栋2单元29层D,87.06,28073.00,62.57,39060.81,2444035.38,在售,住宅
5栋2单元29层C,88.18,22413.52,63.38,31183.00,1976424.00,在售,住宅
5栋2单元28层D,87.06,21748.00,62.57,30260.00,1893380.00,在售,住宅
5栋2单元28层C,88.18,22391.80,63.38,31153.00,1974508.00,在售,住宅
5栋2单元27层D,87.06,28010.00,62.57,38973.15,2438550.60,在售,住宅
5栋2单元27层C,88.18,28946.00,63.38,40272.29,2552458.28,在售,住宅
5栋2单元26层D,87.06,27978.00,62.57,38928.63,2435764.68,在售,住宅
5栋2单元26层C,88.18,28914.00,63.38,40227.77,2549636.52,在售,住宅
5栋2单元25层D,87.06,27442.00,62.57,38182.84,2389100.52,在售,住宅
5栋2单元25层C,88.18,22778.25,63.38,31691.00,2008586.00,在售,住宅
5栋2单元24层D,87.06,27410.00,62.57,38138.31,2386314.60,在售,住宅
5栋2单元24层C,88.18,21957.29,63.38,30548.00,1936193.00,在售,住宅
5栋2单元23层D,87.06,27378.00,62.57,38093.79,2383528.68,在售,住宅
5栋2单元23层C,88.18,28314.00,63.38,39393.00,2496728.52,在售,住宅
5栋2单元22层D,87.06,27347.00,62.57,38050.66,2380829.82,在售,住宅
5栋2单元22层C,88.18,28283.00,63.38,39349.87,2493994.94,在售,住宅
5栋2单元21层D,87.06,27315.00,62.57,38006.13,2378043.90,在售,住宅
5栋2单元21层C,88.18,28251.00,63.38,39305.35,2491173.18,在售,住宅
5栋2单元20层D,87.06,23100.00,62.57,32141.00,2011086.00,在售,住宅
5栋2单元20层C,88.18,19882.17,63.38,27661.00,1753209.00,在售,住宅
5栋2单元19层D,87.06,27252.00,62.57,37918.47,2372559.12,在售,住宅
5栋2单元18层C,88.18,22620.64,63.38,31471.00,1994688.00,在售,住宅
5栋2单元18层D,87.06,27220.00,62.57,37873.95,2369773.20,在售,住宅
5栋2单元18层C,88.18,28156.00,63.38,39173.17,2482796.08,在售,住宅
5栋2单元17层D,87.06,27189.00,62.57,37830.81,2367074.34,在售,住宅
5栋2单元17层C,88.18,28125.00,63.38,39130.04,2480062.50,在售,住宅
5栋2单元16层D,87.06,27157.00,62.57,37786.29,2364288.42,在售,住宅
5栋2单元16层C,88.18,21783.47,63.38,30307.00,1920866.00,在售,住宅
5栋2单元15层D,87.06,27126.00,62.57,37743.16,2361589.56,在售,住宅
5栋2单元15层C,88.18,21761.76,63.38,30276.00,1918951.00,在售,住宅
5栋2单元14层D,87.06,27094.00,62.57,37698.63,2358803.64,在售,住宅
5栋2单元14层C,88.18,28030.00,63.38,38997.87,2471685.40,在售,住宅
5栋2单元13层D,87.06,27063.00,62.57,37655.50,2356104.78,在售,住宅
5栋2单元13层C,88.18,27998.00,63.38,38953.35,2468863.64,在售,住宅
5栋2单元12层D,87.06,27031.00,62.57,37610.97,2353318.86,在售,住宅
5栋2单元12层C,88.18,27967.00,63.38,38910.22,2466130.06,在售,住宅
5栋2单元11层D,87.06,26999.00,62.57,37566.45,2350532.94,在售,住宅
5栋2单元11层C,88.18,27935.00,63.38,38865.70,2463308.30,在售,住宅
5栋2单元10层D,87.06,26968.00,62.57,37523.31,2347834.08,在售,住宅
5栋2单元10层C,88.18,23640.00,63.38,32890.00,2084575.00,在售,住宅
5栋2单元09层D,87.06,26936.00,62.57,37478.79,2345048.16,在售,住宅
5栋2单元09层C,88.18,27872.00,63.38,38778.05,2457752.96,在售,住宅
5栋2单元08层D,87.06,26905.00,62.57,37435.66,2342349.30,在售,住宅
5栋2单元08层C,88.18,27840.00,63.38,38733.53,2454931.20,在售,住宅
5栋2单元07层D,87.06,26873.00,62.57,37391.13,2339563.38,在售,住宅
5栋2单元07层C,88.18,27809.00,63.38,38690.40,2452197.62,在售,住宅
5栋2单元06层D,87.06,26842.00,62.57,37348.00,2336864.52,在售,住宅
5栋2单元06层C,88.18,27777.00,63.38,38645.87,2449375.86,在售,住宅
5栋2单元05层D,87.08,26810.00,62.59,37300.12,2334614.80,在售,住宅
5栋2单元05层C,88.18,27746.00,63.38,38602.74,2446642.28,在售,住宅
5栋2单元04层D,87.08,26778.00,62.59,37255.60,2331828.24,在售,住宅
5栋2单元04层C,88.18,27714.00,63.38,38558.22,2443820.52,在售,住宅
5栋2单元03层D,87.08,26747.00,62.59,37212.47,2329128.76,在售,住宅
5栋2单元03层C,88.18,27683.00,63.38,38515.09,2441086.94,在售,住宅
5栋2单元02层C,88.18,27651.00,63.38,38470.57,2438265.18,在售,住宅
