房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
101,195.45,93931.37,147.24,124686.82,18358888.00,在售,住宅
102,218.19,88633.24,164.36,117661.77,19338888.00,在售,住宅
103,202.60,105769.43,152.62,140406.81,21428888.00,在售,住宅
104,209.81,105375.75,158.06,139876.55,22108888.00,在售,住宅
105,213.41,88744.14,160.77,117801.13,18938888.00,在售,住宅
1601,61.06,65163.57,43.99,90449.83,3978888.00,在售,住宅
1603,99.61,62231.58,71.76,86383.61,6198888.00,在售,住宅
1604,105.31,63516.17,75.87,88162.49,6688888.00,在售,住宅
1605,114.08,63980.43,82.19,88805.06,7298888.00,在售,住宅
1606,61.06,65491.12,43.99,90904.48,3998888.00,在售,住宅
1801,209.85,64326.36,155.27,86938.16,13498888.00,在售,住宅
1802,212.84,66664.57,157.48,90099.62,14188888.00,在售,住宅
1901,209.85,64802.89,155.27,87582.20,13598888.00,在售,住宅
1902,212.84,67134.41,157.48,90734.62,14288888.00,在售,住宅
2001,209.85,65517.69,155.27,88548.26,13748888.00,在售,住宅
2002,212.84,67886.14,157.48,91750.62,14448888.00,在售,住宅
2101,209.85,65946.57,155.27,89127.89,13838888.00,在售,住宅
2102,212.84,68309.00,157.48,92322.12,14538888.00,在售,住宅
2201,209.85,66375.44,155.27,89707.53,13928888.00,在售,住宅
2202,212.84,68731.85,157.48,92893.62,14628888.00,在售,住宅
2301,209.85,66804.32,155.27,90287.16,14018888.00,在售,住宅
2302,212.84,69201.69,157.48,93528.63,14728888.00,在售,住宅
2401,209.85,67233.20,155.27,90866.80,14108888.00,在售,住宅
2402,212.84,69624.54,157.48,94100.13,14818888.00,在售,住宅
2501,209.85,67662.08,155.27,91446.44,14198888.00,在售,住宅
2502,212.84,70094.38,157.48,94735.13,14918888.00,在售,住宅
2601,209.85,68090.96,155.27,92026.07,14288888.00,在售,住宅
2602,212.84,70517.23,157.48,95306.63,15008888.00,在售,住宅
2701,209.85,68519.83,155.27,92605.71,14378888.00,在售,住宅
2702,212.84,70987.07,157.48,95941.63,15108888.00,在售,住宅
2801,209.85,68948.71,155.27,93185.34,14468888.00,在售,住宅
2802,212.84,71409.92,157.48,96513.13,15198888.00,在售,住宅
2901,210.30,69799.75,155.60,94337.33,14678888.00,在售,住宅
2902,213.10,72261.32,157.67,97665.30,15398888.00,在售,住宅
3001,196.37,98888.00,145.30,133645.13,19418637.00,在售,住宅
3002,196.50,109888.00,145.39,148517.72,21592992.00,在售,住宅
